o0902858	12550	CUNEIFORM NUMERIC SIGN ONE N01
o0902859	12551	CUNEIFORM NUMERIC SIGN TWO N01
o0902860	12552	CUNEIFORM NUMERIC SIGN THREE N01
o0902861	12553	CUNEIFORM NUMERIC SIGN FOUR N01
o0902862	12554	CUNEIFORM NUMERIC SIGN FIVE N01
o0902863	12555	CUNEIFORM NUMERIC SIGN SIX N01
o0902864	12556	CUNEIFORM NUMERIC SIGN SEVEN N01
o0902865	12557	CUNEIFORM NUMERIC SIGN EIGHT N01
o0902866	12558	CUNEIFORM NUMERIC SIGN NINE N01
o0902909	12559	CUNEIFORM NUMERIC SIGN ONE N08
o0902912	1255A	CUNEIFORM NUMERIC SIGN TWO N08
o0902914	1255B	CUNEIFORM NUMERIC SIGN THREE N08
o0902916	1255C	CUNEIFORM NUMERIC SIGN FOUR N08
o0902919	1255D	CUNEIFORM NUMERIC SIGN FIVE N08
o0902920	1255E	CUNEIFORM NUMERIC SIGN SIX N08
o0902921	1255F	CUNEIFORM NUMERIC SIGN SEVEN N08
o0902922	12560	CUNEIFORM NUMERIC SIGN EIGHT N08
o0902923	12561	CUNEIFORM NUMERIC SIGN NINE N08
o0902929	12562	CUNEIFORM NUMERIC SIGN ONE N14
o0902930	12563	CUNEIFORM NUMERIC SIGN TWO N14
o0902932	12564	CUNEIFORM NUMERIC SIGN THREE N14
o0902933	12565	CUNEIFORM NUMERIC SIGN FOUR N14
o0902934	12566	CUNEIFORM NUMERIC SIGN FIVE N14
o0902936	12567	CUNEIFORM NUMERIC SIGN SIX N14
o0902938	12568	CUNEIFORM NUMERIC SIGN SEVEN N14
o0902939	12569	CUNEIFORM NUMERIC SIGN EIGHT N14
o0902940	1256A	CUNEIFORM NUMERIC SIGN NINE N14
o0903059	1256B	CUNEIFORM NUMERIC SIGN ONE N34
o0903061	1256C	CUNEIFORM NUMERIC SIGN TWO N34
o0903062	1256D	CUNEIFORM NUMERIC SIGN THREE N34
o0903063	1256E	CUNEIFORM NUMERIC SIGN FOUR N34
o0903064	1256F	CUNEIFORM NUMERIC SIGN FIVE N34
o0903065	12570	CUNEIFORM NUMERIC SIGN SIX N34
o0903066	12571	CUNEIFORM NUMERIC SIGN SEVEN N34
o0903067	12572	CUNEIFORM NUMERIC SIGN EIGHT N34
o0903068	12573	CUNEIFORM NUMERIC SIGN NINE N34
o0903161	12574	CUNEIFORM NUMERIC SIGN ONE N48
o0903162	12575	CUNEIFORM NUMERIC SIGN TWO N48
o0903163	12576	CUNEIFORM NUMERIC SIGN THREE N48
o0903164	12577	CUNEIFORM NUMERIC SIGN FOUR N48
o0903165	12578	CUNEIFORM NUMERIC SIGN FIVE N48
o0903134	12579	CUNEIFORM NUMERIC SIGN ONE N45
o0903137	1257A	CUNEIFORM NUMERIC SIGN TWO N45
o0903138	1257B	CUNEIFORM NUMERIC SIGN THREE N45
o0903139	1257C	CUNEIFORM NUMERIC SIGN FOUR N45
o0903140	1257D	CUNEIFORM NUMERIC SIGN FIVE N45
o0903141	1257E	CUNEIFORM NUMERIC SIGN SIX N45
o0903142	1257F	CUNEIFORM NUMERIC SIGN SEVEN N45
o0903306	12580	CUNEIFORM NUMERIC SIGN EIGHT N45
o0903143	12581	CUNEIFORM NUMERIC SIGN NINE N45
o0903174	12582	CUNEIFORM NUMERIC SIGN ONE N50
o0903175	12583	CUNEIFORM NUMERIC SIGN TWO N50
o0903176	12584	CUNEIFORM NUMERIC SIGN THREE N50
o0903177	12585	CUNEIFORM NUMERIC SIGN FOUR N50
o0903178	12586	CUNEIFORM NUMERIC SIGN FIVE N50
o0223358	12587	CUNEIFORM NUMERIC SIGN ONE EIGHTH IKU CURVED
