o0902858	12550	1(N01)	ONE N01
o0902859	12551	2(N01)	TWO N01
o0902860	12552	3(N01)	THREE N01
o0902861	12553	4(N01)	FOUR N01
o0902862	12554	5(N01)	FIVE N01
o0902863	12555	6(N01)	SIX N01
o0902864	12556	7(N01)	SEVEN N01
o0902865	12557	8(N01)	EIGHT N01
o0902867	12558	9(N01)	NINE N01
o0902909	12559	1(N08)	ONE N08
o0902912	1255A	2(N08)	TWO N08
o0902914	1255B	3(N08)	THREE N08
o0902916	1255C	4(N08)	FOUR N08
o0902919	1255D	5(N08)	FIVE N08
o0902920	1255E	6(N08)	SIX N08
o0902921	1255F	7(N08)	SEVEN N08
o0902922	12560	8(N08)	EIGHT N08
o0902923	12561	9(N08)	NINE N08
o0902929	12562	1(N14)	ONE N14
o0902930	12563	2(N14)	TWO N14
o0902932	12564	3(N14)	THREE N14
o0902933	12565	4(N14)	FOUR N14
o0902935	12566	5(N14)	FIVE N14
o0902937	12567	6(N14)	SIX N14
o0902938	12568	7(N14)	SEVEN N14
o0902939	12569	8(N14)	EIGHT N14
o0902940	1256A	9(N14)	NINE N14
o0903059	1256B	1(N34)	ONE N34
o0903061	1256C	2(N34)	TWO N34
o0903062	1256D	3(N34)	THREE N34
o0903063	1256E	4(N34)	FOUR N34
o0903064	1256F	5(N34)	FIVE N34
o0903065	12570	6(N34)	SIX N34
o0903066	12571	7(N34)	SEVEN N34
o0903067	12572	8(N34)	EIGHT N34
o0903068	12573	9(N34)	NINE N34
o0903161	12574	1(N48)	ONE N48
o0903162	12575	2(N48)	TWO N48
o0903163	12576	3(N48)	THREE N48
o0903164	12577	4(N48)	FOUR N48
o0903165	12578	5(N48)	FIVE N48
o0903134	12579	1(N45)	ONE N45
o0903137	1257A	2(N45)	TWO N45
o0903138	1257B	3(N45)	THREE N45
o0903139	1257C	4(N45)	FOUR N45
o0903140	1257D	5(N45)	FIVE N45
o0903141	1257E	6(N45)	SIX N45
o0903142	1257F	7(N45)	SEVEN N45
o0903306	12580	8(N45)	EIGHT N45
o0903143	12581	9(N45)	NINE N45
o0903174	12582	1(N50)	ONE N50
o0903175	12583	2(N50)	TWO N50
o0903176	12584	3(N50)	THREE N50
o0903177	12585	4(N50)	FOUR N50
o0903178	12586	5(N50)	FIVE N50
o0223358	12587	1/8(IKU@c)	ONE EIGHTH IKU CURVED
o0038149	12588	1/8(IKU@c)~v	ONE EIGHTH IKU CURVED VARIANT FORM
o0902857	12589	1(N01@r)	ONE N01 REVERSED
o0223359	1258A	1/4(IKU@c)~v	ONE QUARTER IKU CURVED VARIANT FORM
o0223351	1258B	1/2(IKU@c)~v	ONE HALF IKU CURVED VARIANT FORM
o0903005	1258C	1(N22)	ONE N22
o0903006	1258D	2(N22)	TWO N22
o0223372	1258E	1(BURU@c)	ONE BURU CURVED
o0223375	1258F	2(BURU@c)	TWO BURU CURVED
o0223377	12590	3(BURU@c)	THREE BURU CURVED
o0223380	12591	4(BURU@c)	FOUR BURU CURVED
o0223382	12592	5(BURU@c)	FIVE BURU CURVED
o0223385	12593	1(BAN₂@c)	ONE BAN2 CURVED
o0223389	12594	2(BAN₂@c)	TWO BAN2 CURVED
o0223398	12595	3(BAN₂@c)	THREE BAN2 CURVED
o0223414	12596	4(BAN₂@c)	FOUR BAN2 CURVED
o0223425	12597	5(BAN₂@c)	FIVE BAN2 CURVED
o0223482	12598	|NINDA₂×(ŠE.1(AŠ@c))|	NINDA2 TIMES SHE PLUS ONE ASH CURVED
o0223483	12599	|NINDA₂×(ŠE.2(AŠ@c))|	NINDA2 TIMES SHE PLUS TWO ASH CURVED
o0903188	1259A	1(N51)	ONE N51
o0903189	1259B	2(N51)	TWO N51
o0903190	1259C	3(N51)	THREE N51
o0903191	1259D	4(N51)	FOUR N51
o0903192	1259E	5(N51)	FIVE N51
o0903193	1259F	6(N51)	SIX N51
o0903194	125A0	7(N51)	SEVEN N51
o0903195	125A1	8(N51)	EIGHT N51
o0903307	125A2	9(N51)	NINE N51
o0903202	125A3	1(N54)	ONE N54
o0903203	125A4	2(N54)	TWO N54
o0903204	125A5	3(N54)	THREE N54
o0903205	125A6	4(N54)	FOUR N54
o0903206	125A7	5(N54)	FIVE N54
o0903208	125A8	1(N56)	ONE N56
o0903209	125A9	2(N56)	TWO N56
o0903016	125AA	1(N24)	ONE N24
o0903023	125AB	1(N26)	ONE N26
o0903028	125AC	1(N28)	ONE N28
o0903033	125AD	1(N29A)	ONE N29A
o0903034	125AE	1(N29B)	ONE N29B
o0903045	125AF	1(N30A)	ONE N30A
o0903048	125B0	1(N30C)	ONE N30C
o0903049	125B1	1(N30D)	ONE N30D
o0903050	125B2	1(N30E)	ONE N30E
o0903056	125B3	1(N31)	ONE N31
o0903057	125B4	1(N32)	ONE N32
o0903058	125B5	1(N33)	ONE N33
o0903097	125B6	1(N39A)	ONE N39A
o0903100	125B7	2(N39A)	TWO N39A
o0903104	125B8	3(N39A)	THREE N39A
o0903107	125B9	4(N39A)	FOUR N39A
o0903098	125BA	1(N39B)	ONE N39B
o0903101	125BB	2(N39B)	TWO N39B
o0903105	125BC	3(N39B)	THREE N39B
o0903108	125BD	4(N39B)	FOUR N39B
o0902869	125BE	1(N02)	ONE N02
o0902871	125BF	2(N02)	TWO N02
o0902872	125C0	3(N02)	THREE N02
o0902873	125C1	4(N02)	FOUR N02
o0902874	125C2	5(N02)	FIVE N02
o0902875	125C3	6(N02)	SIX N02
o0902876	125C4	7(N02)	SEVEN N02
o0902877	125C5	8(N02)	EIGHT N02
o0902878	125C6	9(N02)	NINE N02
o0902955	125C7	1(N15)	ONE N15
o0902956	125C8	2(N15)	TWO N15
o0902957	125C9	3(N15)	THREE N15
o0902958	125CA	4(N15)	FOUR N15
o0902959	125CB	5(N15)	FIVE N15
o0903079	125CC	1(N35)	ONE N35
o0903080	125CD	2(N35)	TWO N35
o0903319	125CE	3(N35)	THREE N35
o0903320	125CF	4(N35)	FOUR N35
o0903081	125D0	5(N35)	FIVE N35
o0902899	125D1	1(N06)	ONE N06
o0903321	125D2	2(N06)	TWO N06
o0903322	125D3	3(N06)	THREE N06
o0903323	125D4	4(N06)	FOUR N06
o0903324	125D5	5(N06)	FIVE N06
o0903325	125D6	6(N06)	SIX N06
o0903326	125D7	7(N06)	SEVEN N06
o0903327	125D8	8(N06)	EIGHT N06
o0903328	125D9	9(N06)	NINE N06
o0903329	125DA	1(N21)	ONE N21
o0903000	125DB	2(N21)	TWO N21
o0903001	125DC	3(N21)	THREE N21
o0903002	125DD	4(N21)	FOUR N21
o0903003	125DE	5(N21)	FIVE N21
o0903094	125DF	1(N38)	ONE N38
o0903196	125E0	1(N52)	ONE N52
o0903197	125E1	2(N52)	TWO N52
o0903198	125E2	3(N52)	THREE N52
