o0900027	F302B	|AB~a×1(N04)|	-
o0900046	F302A	AB₂@g	-
o0900051	F3056	|AB×ZU|	-
o0900057	F3067	ADAB~v1	-
o0900097	F3068	ANŠE~f	-
o0900156	F3060	|BAR×URI₃~a|	-
o0900179	F3023	|((BU~a.DU₆~a)&(BU~a.DU₆))×UDU~a|	-
o0900189	F302C	|BU~a&BU~a|	-
o0900202	F302D	|BU~a+KI|	-
o0900204	F302E	|BU~a+TU~b|	-
o0900209	F3061	|BULUG₃.DU₆~a|	-
o0900253	F3069	DARA₄~c	-
o0900259	F302F	DARA₄~d	-
o0900277	F3030	|DIN×1(N58)|	-
o0900299	F3031	|DU₈~c×AB₂|	-
o0900301	F3032	|DU₈~c×AMAR|	-
o0900322	F3033	DUB~h	-
o0900328	F3053	DUB~b@r	-
o0900345	F3063	|DUG~b×BA|	-
o0900378	F306A	|DUG~a×KU₆~a|	-
o0900405	F3035	|DUG~b~v1×1(N58)|	-
o0900416	F3054	|DUG~b×(SA~a.GI)|	-
o0900429	F3055	|DUG~b×SUKUD~d|	-
o0900454	F3034	|DUG~b×(UDU~a×TAR)|	-
o0900501	F3062	|E₂~b×3(N57)|	-
o0900563	F3036	|EZEN~a×KAŠ~b|	-
o0900589	F3066	|EZEN~a×X₁|	-
o0900628	F3039	|GA₂~a1×E₂~a|	-
o0900630	F3037	|GA₂~a1×EN~a|	-
o0900633	F306B	|GA₂~a1×GEŠTU~a|	-
o0900658	F306C	|GA₂~b×KU₆~a|	-
o0900683	F306D	|GA₂~b×NUN~b|	-
o0900710	F304D	|GA₂~a1×X|~v1	-
o0900717	F3038	|GA₂~b×ZATU694~c|	-
o0900763	F303A	|GAN~c×(4(N57).GAR)|	-
o0900792	F306E	GEŠTIN~d	-
o0900793	F306F	GEŠTIN~e	-
o0900809	F303B	|GI×A|	-
o0900902	F3070	GIŠIMMAR~b2	-
o0900961	F3071	HI~b	-
o0900985	F3072	IB~c	-
o0901068	F303C	KALAM~g	-
o0901069	F303D	KALAM~h	-
o0901070	F303E	KALAM~h2	-
o0901084	F3057	KAŠ~d1	-
o0901105	F3073	KIN₂~b	-
o0901203	F3015	|LAGAB~b×(HI×N04)|	-
o0901215	F3019	|LAGAB~a×LA₂~a|	-
o0901225	F301A	|LAGAB~a×1(N58)|	-
o0901227	F3016	|LAGAB~a×NI~a|	-
o0901275	F303F	|LAL₂~a×NAGA~a|	-
o0901347	F3040	|MAH~a×TUN₃~c|	-
o0901365	F3002	|MAR~b×GAR|	-
o0901373	F301C	MAR@g~a	-
o0901427	F3003	|MUŠEN.3(N58)|	-
o0901446	F3074	NA₂~c	-
o0901495	F3075	NESAG₂~a2	-
o0901520	F3076	NIM~d	-
o0901555	F3041	|NINDA₂×MAR~a|	-
o0901564	F3042	|NINDA₂×NUN~a|	-
o0901576	F3043	|NINDA₂×ZATU710|	-
o0901642	F3077	PAP@t	-
o0901651	F3044	|PIRIG~b1×1(N58@t)|	-
o0901655	F3018	|PIRIG~b1+DIN|	-
o0901689	F3010	|SAG×NAM₂|	-
o0901693	F3011	|SAG+UKKIN~b~v1×1(N57)|	-
o0901705	F300F	|SAL+HI×HI|	-
o0901707	F300E	|SAL+ZATU751~a|	-
o0901715	F3064	SANGA~e1	-
o0901716	F3065	SANGA~e2	-
o0901721	F3046	SAR~d	-
o0901728	F3048	|SI×EN~a|	-
o0901731	F3049	|SI×KU~b1|	-
o0901732	F3047	|SI×1(N58)|	-
o0901733	F304B	|SI×SAL|	-
o0901736	F304C	|SI×TUN₃~a|	-
o0901737	F300C	|SI+AN|	-
o0901747	F3078	SIG~b	-
o0901820	F304A	|SILA₃~a×MUD₃~b|	-
o0901863	F3000	SILA₄~c1	-
o0901873	F3079	SU~c	-
o0901882	F3058	SUHUR~b	-
o0901886	F3059	SUHUR~b@t	-
o0901900	F300D	SUKUD@h	-
o0901924	F3045	ŠA₃~a2@g	-
o0901950	F305A	|ŠE~a@t~v1.GAR|	-
o0901957	F3014	|ŠE~a.NAM₂|~v2	-
o0902027	F307A	ŠITA~a3@g	-
o0902054	F3004	|ŠU₂.PAP~a|	-
o0902057	F3013	|ŠU₂×1(N24)|	-
o0902058	F3012	|ŠU₂×3(N57)|	-
o0902065	F307B	ŠUR₂~c	-
o0902066	F3017	|ŠUR₂×1(N58)|	-
o0902134	F3028	TUM₃	-
o0902150	F3005	|TUR₃~a.5(N57)|	-
o0902180	F3007	|U₄×(1(N01).1(N24))|	-
o0902197	F3008	|U₄×(1(N14).1(N01))|	-
o0902199	F3009	|U₄×(1(N14).3(N01)).(1(N14).4(N08))|	-
o0902219	F3006	|U₄+1(N24)|	-
o0902232	F304E	UBI~d	-
o0902253	F307C	UDUNITA~d	-
o0902266	F307D	UKKIN~d	-
o0902319	F307E	UR₃~d2	-
o0902355	F301B	|URU~a1×KI|	-
o0902361	F304F	|URU~a1×3(N57)|	-
o0902414	F3001	|X×HI|	-
o0902578	F3050	ZATU694~e	-
o0902667	F300B	|ZATU737×I|	-
o0902685	F300A	|ZATU737@t×PAP~a|	-
o0902770	F3051	ZATU802~b	-
o0902824	F3021	ZATU856	-
o0902825	F3024	ZATU857	-
o0902826	F3025	ZATU858	-
o0902827	F3052	ZATU859	-
o0902843	F3087	3(LAGAB~a)	-
o0902911	F3080	1(N08~v)	-
o0902942	F307F	11(N14)	-
o0902944	F3085	22(N14)	-
o0903007	F3089	1(N22@v)	-
o0903035	F3081	1(N29~c)	-
o0903038	F3086	2(N29~b)	-
o0903047	F3083	1(N30~b)	-
o0903214	F3027	|1(N57).E₂~a|	-
o0903225	F3029	|2(N57).BIR₃~a|	-
o0903233	F305C	|2(N57).UDUNITA~a|	-
o0903238	F305D	|3(N57).BAR×UŠ~a|	-
o0903254	F305E	|3(N57).UDU~a|	-
o0903256	F305F	|3(N57).UDUNITA~a|	-
o0903295	F3084	1(N59)	-
o0903299	F3088	6(N59)	-
