o0900000	12690	A	A
o0900001	12691	|A×AB₂|	A TIMES AB2
o0900004	12692	|A×EN~a~v2|	A TIMES EN-A VARIANT 2
o0900006	12693	|A×ŠUBUR|	A TIMES SHUBUR
o0900007	12694	|A×ZATU672|	A TIMES ZATU672
o0900005	12695	|A×1(N14)|	A TIMES ONE-N14
o0900009	12696	A@t	A TENU
o0900010	12697	A₂	A2
o0900012	12698	AB~a	AB-A
o0900018	12699	|AB~a×A@t|	AB-A TIMES A TENU
o0900020	1269A	|AB~a×AŠ₂|	AB-A TIMES ASH2
o0900022	1269B	|AB~a×KU₆~a|	AB-A TIMES KU6-A
o0900029	1269C	|AB~a×SUKKAL|	AB-A TIMES SUKKAL
o0900033	1269D	|AB~a×(ŠE~a&ŠE~a)|	AB-A TIMES SHE-A OVER SHE-A
o0900035	1269E	|AB~a×X|	AB-A TIMES X
o0900038	1269F	|AB~a×ZATU659|	AB-A TIMES ZATU659
o0900025	126A0	|AB~a×1(N01)|	AB-A TIMES ONE-N1
o0900040	126A1	AB~a@g	AB-A GUNU
o0900013	126A2	AB~a~v1	AB-A VARIANT 1
o0900014	126A3	AB~b	AB-B
o0900016	126A4	|AB~b×A|	AB-B TIMES A
o0900023	126A5	|AB~b×KU₆~a|	AB-B TIMES KU6-A
o0900031	126A6	|AB~b×ŠA₃~a1|	AB-B TIMES SHA3-A1
o0900041	126A7	AB₂	AB2
o0900043	126A8	|AB₂×2(N14)|	AB2 TIMES TWO-N14
o0900042	126A9	AB₂~v1	AB2 VARIANT 1
o0900044	126AA	|AB₂~v2×2(N14)|	AB2 VARIANT 2 TIMES TWO-N14
o0900047	126AB	ABGAL	ABGAL
o0900048	126AC	ABGAL~v1	ABGAL VARIANT 1
o0900049	126AD	ABRIG	ABRIG
o0900050	126AE	ABZU	ABZU
o0900053	126AF	AD~a	AD-A
o0900054	126B0	AD~b	AD-B
o0900055	126B1	AD~c	AD-C
o0900056	126B2	ADAB	ADAB
o0900058	126B3	ADDA	ADDA
o0900059	126B4	ADDA@t	ADDA TENU
o0900060	126B5	AGAR₂	AGAR2
o0900062	126B6	AK~a	AK-A
o0900063	126B7	AK~b	AK-B
o0900064	126B8	AL	AL
o0900066	126B9	ALAN~a	ALAN-A
o0900067	126BA	ALAN~b	ALAN-B
o0900068	126BB	ALAN~c	ALAN-C
o0900069	126BC	ALAN~d	ALAN-D
o0900070	126BD	ALAN~e	ALAN-E
o0900072	126BE	ALIM	ALIM
o0900074	126BF	AM~a	AM-A
o0900075	126C0	AM~b	AM-B
o0900077	126C1	AMA~a	AMA-A
o0900081	126C2	|AMA~a×E₂~a|	AMA-A TIMES E2-A
o0900078	126C3	AMA~a~v1	AMA-A VARIANT 1
o0900079	126C4	AMA~b	AMA-B
o0900082	126C5	AMAR	AMAR
o0900085	126C6	|AMAR.1(N02)|	AMAR BESIDE ONE-N2
o0900087	126C7	|AMAR&AMAR|	AMAR OVER AMAR
o0900088	126C8	AMAR@g	AMAR GUNU
o0900083	126C9	AMAR~v1	AMAR VARIANT 1
o0900084	126CA	AMAR~v2	AMAR VARIANT 2
o0900086	126CB	|AMAR~v2×TAR~c|	AMAR VARIANT 2 TIMES TAR-C
o0900089	126CC	AN	AN
o0900091	126CD	AN~v2	AN VARIANT 2
o0900093	126CE	ANŠE~a	ANSHE-A
o0900094	126CF	ANŠE~b	ANSHE-B
o0900095	126D0	ANŠE~c	ANSHE-C
o0900096	126D1	ANŠE~e	ANSHE-E
o0900100	126D2	APIN~a	APIN-A
o0900104	126D3	|APIN~a.APIN~a|	APIN-A BESIDE APIN-A
