A	126E7	12690	
|A×AB₂|	12C46	12691	
|A×AN|	12C47	F2C47	
|A×EN~a~v2|	12C48	12692	
|A×ŠUBUR|	12C49	12693	
|A×ZATU672|	12C4A	12694	
|A×1(N14)|	12C45	12695	
A@g	126E9	F26E9	
A@t	126E8	12696	
A₂	126EA	12697	
AB~a	126EB	12698	
|AB~a×A@t|	12C4C	12699	
|AB~a×AŠ₂|	12C4D	1269A	
|AB~a×KU₆~a|	12C4E	1269B	
|AB~a×SUKKAL|	12C50	1269C	
|AB~a×(ŠE~a&ŠE~a)|	12C4F	1269D	
|AB~a×X|	12C51	1269E	
|AB~a×ZATU659|	12C52	1269F	
|AB~a×1(N01)|	12C4B	126A0	
AB~a@g	126ED	126A1	
AB~a~v1	126EC	126A2	
AB~b	126EE	126A3	
|AB~b×A|	12C53	126A4	
|AB~b×KU₆~a|	12C54	126A5	
|AB~b×ŠA₃~a1|	12C55	126A6	
AB₂	126EF	126A7	
|AB₂×2(N14)|	12C56	126A8	
AB₂~v1	126F0	126A9	
|AB₂~v2×2(N14)|	12C57	126AA	
ABGAL	126F1	126AB	
ABGAL~v1	126F2	126AC	
ABRIG	126F3	126AD	
ABZU	126F4	126AE	
AD~a	126F5	126AF	
AD~b	126F6	126B0	
AD~c	126F7	126B1	
ADAB	126F8	126B2	
ADDA	126F9	126B3	
ADDA@t	126FA	126B4	
AGAR₂	126FB	126B5	
AK~a	126FC	126B6	
AK~b	126FD	126B7	
AL	126FE	126B8	
ALAN~a	126FF	126B9	
ALAN~b	12700	126BA	
ALAN~c	12701	126BB	
ALAN~d	12702	126BC	
ALAN~e	12703	126BD	
ALAN~f	12704	F2704	
ALIM	12705	126BE	
AM~a	12706	126BF	
AM~b	12707	126C0	
AMA~a	12708	126C1	
|AMA~a×E₂~a|	12C58	126C2	
AMA~a~v1	12709	126C3	
AMA~b	1270A	126C4	
AMAR	1270B	126C5	
|AMAR.1(N02)|	12C59	126C6	
|AMAR&AMAR|	12C5A	126C7	
AMAR@g	1270E	126C8	
AMAR~v1	1270C	126C9	
AMAR~v2	1270D	126CA	
|AMAR~v2×TAR~c|	12C5B	126CB	
AN	1270F	126CC	
AN~v1	12710	F2710	
AN~v2	12711	126CD	
ANŠE~a	12712	126CE	
