o0000087	A	sl	177_01	A	
o0000112	A₂	sl	178_01	A₂	
o0028198	AB~a	sl	178_02	AB~a	
o0028201	|AB~a×AŠ₂|	sl	179_01	AB~a+AŠ₂	ABa+ASZ2.png	gv
o0028211	|AB~a×ZATU659|	aka	179_02	AB~a+ZATU659	
o0028196	AB~a@g	sl	179_03	AB~a@g	
o0028212	AB~b	sl	179_04	AB~b	
o0000090	AB₂	sl	179_05	AB₂	
o0028194	|AB₂×2(N14)|	sl	180_01	AB₂+2(N14)	
o0028219	ABGAL	sl	180_02	ABGAL	
o0028221	ABRIG	sl	181_01	ABRIG	ABRIG.png	Prevalent form is |DU&(NUN.ME)|.
o0028223	ABZU	sl	181_02	ABZU	
o0028227	AD~a	sl	181_03	AD~a	
o0028229	AD~b	sl	181_04	AD~b	
o0028225	ADAB	sl	181_05	ADAB	
o0028232	ADDA	sl	181_06	ADDA	
o0028234	AGAR₂	sl	182_01	AGAR₂	
o0028236	AK~a	sl	182_02	AK~a	
o0000094	AL	sl	182_03	AL	
o0028240	ALAN~b	sl	183_01	ALAN~b	
o0028249	ALIM	aka	183_02	ALIM~a	
o0028261	AM~b	sl	183_03	AM~b	
o0028251	AMA~a	sl	183_04	AMA~a	
o0028255	AMA~b	sl	183_05	AMA~b	
o0000097	AMAR	sl	183_06	AMAR	AMAR.png	AMAR~v1	o0035514
o0000099	AN	sl	184_01	AN	AN.png	AN~v2	o0035520
o0028265	ANŠE~b	sl	186_01	ANŠE~b	
o0028274	APIN~a	sl	186_02	APIN~a	
o0028276	APIN~b	sl	187_01	APIN~b	
o0028278	APIN~c	sl	187_02	APIN~c	
o0027166	ARARMA₂~a	sl	187_03	ARARMA₂~a	ARARMA2a.png	ARARMA₂~a1	o0035522
o0028286	ASAR	sl	187_04	ASAR	
o0000113	BA	sl	187_05	BA	
o0000114	BAD	sl	188_01	BAD	
o0023035	|BAD&BAD|	aka	188_02	BAD+BAD	
o0028149	|1(N58).BAD~a|	aka	188_03	BAD+DIŠ~a	
o0028151	|1(N58).BAD~b|	map	188_04	BAD+DIŠ~b	
o0028300	BAD₃~a	sl	188_05	BAD₃~a	
o0028306	BAHAR₂~a	sl	188_06	BAHAR₂~a	BAHAR2a.png	BAHAR₂~a1	o0035524
o0028307	BAHAR₂~b	sl	188_07	BAHAR₂~b	BAHAR2b.png	BAHAR₂~b1	o0035526
o0028311	BALA~a	sl	189_01	BALA~a	
o0000119	BALAG	sl	189_02	BALAG	BALAG.png	BALAG~v1	o0035529
o0028316	BAN~b	sl	189_03	BAN~b	
o0028322	BANŠUR~b1	sl	189_04	BANŠUR~b1	
o0028324	BANŠUR~b2	sl	189_05	BANŠUR~b2	
o0028326	BANŠUR~c	sl	189_06	BANŠUR~c	
o0028330	BAPPIR~b	sl	189_07	BAPPIR~b	
o0028333	BAPPIR~d	sl	189_08	BAPPIR~d	
o0000120	BAR	sl	190_01	BAR	
