id_text	primary_publication	publication_history
P000003	ATU 3, pl. 081, W 9123,d	ATU 1, 539
P000014	ATU 3, pl. 036, W 12139	UVB 6; R. Englund, Fs Boehmer (Mainz 1995) 130 fig. 6; R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 173 fig. 63
P000021	ATU 3, pl. 080, W 13948	
P000022	ATU 3, pl. 082, W 13982	Frühe Schrift p. 148, no. 15.4; R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 85 fig. 23 (false as BM 128990); Woods, Christpher, OIMP 32 (2015) 042 & 075
P000023	ATU 3, pl. 080, W 14264	
P000025	ATU 3, pl. 080, W 14337,a+	ATU 2, pl. 049
P000167	ATU 3, pl. 080, W 19548,a+	
P000195	ATU 3, pl. 083, W 19948,8	
P000196	ATU 3, pl. 083, W 19948,9	
P000197	ATU 3, pl. 083, W 19948,10	
P000432	ATU 3, pl. 084, W 20335,1	BagM 2, catalogue; ATU 2, plate 35
P000434	ATU 3, pl. 081, W 20335,3	BagM 2, catalogue; ATU 2, pl. 035
P000453	ATU 3, pl. 080, W 20493,26	
P000456	ATU 3, pl. 036, W 20497	
P000481	ATU 3, pl. 081, W 20708	
P000488	ATU 3, pl. 081, W 21002,6	
P000628	ATU 3, pl. 081, W 22119,5	
P000631	ATU 3, pl. 081, W 22136	
P000656	CDLI Lexical Archaic Unidentified, ex. 126	Englund, Robert K. (forthcoming)
P000774	unpublished unassigned ?	
P000832	unpublished unassigned ?	
P000833	unpublished unassigned ?	
P000848	unpublished unassigned ?	
P000851	unpublished unassigned ?	
P000868	unpublished unassigned ?	
P000869	unpublished unassigned ?	
P000870	unpublished unassigned ?	
P000871	unpublished unassigned ?	
P000872	unpublished unassigned ?	
P000873	unpublished unassigned ?	
P000874	unpublished unassigned ?	
P000875	unpublished unassigned ?	
P000876	unpublished unassigned ?	
P000877	unpublished unassigned ?	
P000878	unpublished unassigned ?	
P000879	unpublished unassigned ?	
P000889	unpublished unassigned ?	
P000923	unpublished unassigned ?	
P000946	unpublished unassigned ?	
P000948	unpublished unassigned ?	
P000951	unpublished unassigned ?	
P000955	unpublished unassigned ?	
P000979	unpublished unassigned ?	
P000980	unpublished unassigned ?	
P000994	unpublished unassigned ?	
P001012	unpublished unassigned ?	
P001015	unpublished unassigned ?	
P001017	unpublished unassigned ?	
