P005312	MSVO 3, 01	Frühe Schrift photos obv. rev.. on page before title; Natuur & Techniek 59/9 (1991) 696-7 Farbfoto.
P005313	MSVO 3, 02	Frühe Schrift Nr. 4.2, p. 72 Zeichnung Vs.; Natuur & Techniek 59/9 (1991) 704 ((p)); copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 196 fig. 77
P005314	MSVO 3, 03	P. Damerow, R. Englund u. H. Nissen, MDOG 121 (1989) 151 ((c) Vs.); Frühe Schrift Nr. 4.3
P005315	MSVO 3, 04	Frühe Schrift Nr. 4.4
P005316	MSVO 3, 05	Frühe Schrift Nr. 4.5
P005317	MSVO 3, 06	Frühe Schrift Nr. 4.6; p. 74 drawing obv.; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 195 fig. 76
P005318	MSVO 3, 07	Frühe Schrift Nr. 4.7
P005319	MSVO 3, 08	Frühe Schrift Nr. 4.08
P005320	MSVO 3, 09	Frühe Schrift Nr. 4.9
P005321	MSVO 3, 10	Frühe Schrift Nr. 4.10
P005322	MSVO 3, 11	Frühe Schrift Nr. 4.11; p. 74 drawing; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 194 fig. 76
P005323	MSVO 3, 12	Frühe Schrift Nr. 4.12
P005324	MSVO 3, 13	Frühe Schrift Nr. 4.13
P005325	MSVO 3, 14	Frühe Schrift Nr. 4.14
P005326	MSVO 3, 15	Frühe Schrift Nr. 4.15
P005327	MSVO 3, 16	E. Sollberger, ZA 53, 5; Frühe Schrift Nr. 4.16
P005328	MSVO 3, 17	Frühe Schrift Nr. 4.17
P005329	MSVO 3, 18	Frühe Schrift Nr. 4.18
P005330	MSVO 3, 19	Frühe Schrift Nr. 4.19
P005331	MSVO 3, 20	Frühe Schrift Nr. 4.20
P005332	MSVO 3, 21	Frühe Schrift Nr. 4.21
P005333	MSVO 3, 22	Frühe Schrift Nr. 4.22
P005334	MSVO 3, 23	E. Sollberger ZA 53, 1; Frühe Schrift Nr. 4.23
P005335	MSVO 3, 24	Frühe Schrift Nr. 4.24
P005336	MSVO 3, 25	Frühe Schrift Nr. 4.25
P005337	MSVO 3, 26	Frühe Schrift Nr. 4.26
P005338	MSVO 3, 27	Frühe Schrift Nr. 4.27
P005339	MSVO 3, 28	Frühe Schrift Nr. 4.28
P005340	MSVO 3, 29	Frühe Schrift Nr. 4.29; p. 67 copy obv.; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 182 fig. 69
P005341	MSVO 3, 30	Frühe Schrift Nr. 4.30
P005342	MSVO 3, 31	Frühe Schrift Nr. 4.31
P005343	MSVO 3, 32	Frühe Schrift Nr. 4.32
P005344	MSVO 3, 33	Frühe Schrift Nr. 4.33
P005345	MSVO 3, 34	Frühe Schrift Nr. 4.34
P005346	MSVO 3, 35	Frühe Schrift Nr. 4.35
P005347	MSVO 3, 36	Frühe Schrift Nr. 4.36
P005348	MSVO 3, 37	Frühe Schrift Nr. 4.37
P005349	MSVO 3, 38	Frühe Schrift Nr. 4.38
P005350	MSVO 3, 39	Frühe Schrift Nr. 4.39
P005351	MSVO 3, 40	E. Sollberger ZA 53, 3; Frühe Schrift Nr. 4.40
P005352	MSVO 3, 41	Frühe Schrift Nr. 4.41
P005353	MSVO 3, 42	Frühe Schrift Nr. 4.42; Finkel & Taylor, Cuneiform Fig. 54
P005354	MSVO 3, 43	E. Sollberger ZA 53, 4; Frühe Schrift Nr. 4.43
P005355	MSVO 3, 44	 Frühe Schrift Nr. 4.44
P005356	MSVO 3, 45	 Frühe Schrift Nr. 4.45
P005357	MSVO 3, 46	 Frühe Schrift Nr. 4.46
P005358	MSVO 3, 47	Frühe Schrift Nr. 4.47
P005359	MSVO 3, 48	 Frühe Schrift Nr. 4.48
P005360	MSVO 3, 49	Frühe Schrift Nr. 4.49
P005361	MSVO 3, 50	 Frühe Schrift Nr. 4.50
P005362	MSVO 3, 51	 Frühe Schrift Nr. 4.51; p. 70 copy obv.; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 187 fig. 73
P005363	MSVO 3, 52	 Frühe Schrift Nr. 4.52; p. 68 copy obv.; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 187 fig. 73
P005364	MSVO 3, 53	E. Sollberger ZA 53, 2;  Frühe Schrift Nr. 4.53
P005365	MSVO 3, 54	Frühe Schrift Nr. 4.54
P005366	MSVO 3, 55	Frühe Schrift Nr. 4.55; Englund, Robert K., CTMMA 4, 181
P005367	MSVO 3, 56	Frühe Schrift Nr. 4.56
P005368	MSVO 3, 57	Frühe Schrift Nr. 4.57
P005369	MSVO 3, 58	Frühe Schrift Nr. 4.58; p. 69 copy; ; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 186 fig. 72
P005370	MSVO 3, 59	Frühe Schrift Nr. 4.59
P005371	MSVO 3, 60	Frühe Schrift Nr. 4.60, p. 157 copy obv.; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 108 fig. 35
P005372	MSVO 3, 61	Frühe Schrift Nr. 4.61, p. 157 copy obv.; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 108 fig. 35
P005373	MSVO 3, 62	Frühe Schrift Nr. 4.62
P005374	MSVO 3, 63	Frühe Schrift Nr. 4.63
P005375	MSVO 3, 64	Frühe Schrift Nr. 4.64, p. 68 copy,  p. 157 copy obv.; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 186 fig. 72
P005376	MSVO 3, 65	Frühe Schrift Nr. 4.65
P005377	MSVO 3, 66	Frühe Schrift Nr. 4.66
P005378	MSVO 3, 67	Frühe Schrift Nr. 4.67
P005379	MSVO 3, 68	Frühe Schrift Nr. 4.68
P005380	MSVO 3, 69	Frühe Schrift Nr. 4.69
P005381	MSVO 3, 70	Frühe Schrift Nr. 4.70
P005382	MSVO 3, 71	Frühe Schrift Nr. 4.71
P005383	MSVO 3, 72	Frühe Schrift Nr. 4.72
P005384	MSVO 3, 73	Frühe Schrift Nr. 4.73
P005385	MSVO 3, 74	Frühe Schrift Nr. 4.74
P005386	MSVO 3, 75	Frühe Schrift Nr. 4.75
P005387	MSVO 3, 76	Frühe Schrift Nr. 4.76
P005388	MSVO 3, 77	Frühe Schrift Nr. 4.77
P005389	MSVO 3, 78	Frühe Schrift Nr. 4.78
P005390	MSVO 3, 79	Frühe Schrift Nr. 4.79; Englund, Robert K., CTMMA 4, 180
P005391	MSVO 3, 80	Frühe Schrift Nr. 4.80
P005392	MSVO 3, 81	Frühe Schrift Nr. 4.81
