|A×EN~a~v2|	|A×EN~a|	𒚒
|AMAR~v2×TAR~c|	|AMAR×TAR~c|	𒛋
|BU~a~v1×A|	|BU~a×A|	𒜔
|(BU~a~v1%BU~a~v1).NA₂~a@n|	|(BU~a%BU~a).NA₂~a@n|	𒜕
|BU~b.NA₂~a~v1|	|BU~b.NA₂~a|	𒜗
|DU₆~a~v1×1(N58)|	|DU₆~a×1(N58)|	𒝒
|DUG~b×GA~a~v4|	|DUG~b×GA~a|	𒝿
|DUG~b~v1×AB₂|	|DUG~b×AB₂|	𒞮
|DUG~b~v1×HI@g~a|	|DUG~b×HI@g~a|	𒞲
|DUG~b~v1×ŠE~a@t|	|DUG~b×ŠE~a@t|	𒞵
|(DUG~b~v1&DUG~b~v1)×1(N58)|	|(DUG~b&DUG~b)×1(N58)|	𒞹
|EZEN~a×EN~b~v1|	|EZEN~a×EN~b|	𒟴
|EZEN~a×LA~e|~v1	|EZEN~a×LA~e|	𒟸
|EZEN~a×SAG~v1|	|EZEN~a×SAG|	𒟼
|EZEN~a~v1×EN~a|	|EZEN~a×EN~a|	𒠂
|EZEN~b×6(N57)|~v1	|EZEN~b×6(N57)|	𒠄
|GA₂~a1×EN~b~v1|	|GA₂~a1×EN~b|	𒠗
|GA₂~a1×(HI.SUHUR~v1)|	|GA₂~a1×(HI.SUHUR)|	𒠟
|GA₂~a2×ŠE₃~v1|	|GA₂~a2×ŠE₃|	𒠻
|GA₂~a2×(ŠE₃~v1.GU₄)|	|GA₂~a2×(ŠE₃.GU₄)|	𒠼
|GA₂~b×DUB~b~v2|	|GA₂~b×DUB~b|	𒡃
|GAN~c~v1×KAŠ~c|	|GAN~c×KAŠ~c|	𒡡
|GAN~c~v1×(KUR~a.A)|	|GAN~c×(KUR~a.A)|	𒡢
|GAN~c~v1×ZATU777~v1|	|GAN~c×ZATU777|	𒡣
|GAN~c~v2×ŠE~a|	|GAN~c×ŠE~a|	𒡤
|GAN~c~v2×ŠE₃~v1@t|	|GAN~c×ŠE₃@t|	𒡥
|GAN~d×GEŠTU~a~v2|	|GAN~d×GEŠTU~a|	𒡦
|GI×ŠE₃~v1|	|GI×ŠE₃|	𒡼
|(GI&GI)×ŠE₃~v1|	|(GI&GI)×ŠE₃|	𒢁
|GI~v1×GIŠ@t|	|GI×GIŠ@t|	𒢅
|GI~v1×LAGAB~a|	|GI×LAGAB~a|	𒢆
|GI~v1×1(N14)|	|GI×1(N14)|	𒢇
|GI~v1&GI~v1&GI~v1|	|GI&GI&GI|	𒢈
|GIR~b~v1.GIR~b~v1|	|GIR~b.GIR~b|	𒢗
|GIR₃~c×ŠE₃~v1|	|GIR₃~c×ŠE₃|	𒢡
|GUG₂~v1×SILA₃~a|	|GUG₂×SILA₃~a|	𒣋
|GUG₂~v1×TUR~v1|	|GUG₂×TUR|	𒣌
|KA~a~v1.ŠE~a|	|KA~a.ŠE~a|	𒤖
|KA~a~v2.ŠE~a@t|	|KA~a.ŠE~a@t|	𒤗
|KA₂~d×LAM~b~v2|	|KA₂~d×LAM~b|	𒤛
|KAŠ~b~v1×ŠE~a@t~v1|	|KAŠ~b×ŠE~a@t|	𒤹
|LAGAB~a×DU₆~a~v1|	|LAGAB~a×DU₆~a|	𒦃
|LAGAB~a×SI~v1|	|LAGAB~a×SI|	𒦌
|LAGAB~a×SIG₇~v1|	|LAGAB~a×SIG₇|	𒦍
|LAL₂~a×EZEN~a~v1|	|LAL₂~a×EZEN~a|	𒦧
|MA~v1×A|	|MA×A|	𒧁
|MAH~a×UD₅~a~v1|	|MAH~a×UD₅~a|	𒧍
|MAR~b×(LAGAB~b.ŠE₃~v1)|	|MAR~b×(LAGAB~b.ŠE₃)|	𒧜
|NI~a.RU~v1|	|NI~a.RU|	𒨻
|NUN~a+EN~a~v2|	|NUN~a+EN~a|	𒩶
|NUN~a+EN~b~v1|	|NUN~a+EN~b|	𒩷
|SAG~v1×GEŠTU~c|	|SAG×GEŠTU~c|	𒪯
|SAG~v1×MA~v1|	|SAG×MA|	𒪰
|SAG~v1×1(N14)|	|SAG×1(N14)|	𒪱
|SAG~v2×GEŠTU~b|	|SAG×GEŠTU~b|	𒪳
|SI×ŠE₃~v1|	|SI×ŠE₃|	𒫆
|SILA₃~a×GA~a~v3|	|SILA₃~a×GA~a|	𒫩
|SILA₃~a×GEŠTU~a~v2|	|SILA₃~a×GEŠTU~a|	𒫫
|SILA₃~a×MA~v1|	|SILA₃~a×MA|	𒫷
|SILA₃~a×SUM~a~v1|	|SILA₃~a×SUM~a|	𒫽
|SILA₃~a×ZATU629~v1|	|SILA₃~a×ZATU629|	𒬄
|SILA₃~a×(ZATU659.TU~c~v1)|	|SILA₃~a×(ZATU659.TU~c)|	𒬆
|ŠU₂~a.EN~b~v1|	|ŠU₂~a.EN~b|	𒮕
|ŠU₂~a.URI₃~a~v1|	|ŠU₂~a.URI₃~a|	𒮗
|U₄.4(N08)~v1|	|U₄.4(N08)|	𒯦
|U₄×3(N01).3(N08)~v1|	|U₄×3(N01).3(N08)|	𒯺
|UNUG~a~v1×A@t|	|UNUG~a×A@t|	𒱇
|URU~a1×AMAR~v2|	|URU~a1×AMAR|	𒱤
|ZATU651×EN~a~v2|	|ZATU651×EN~a|	𒳐
|ZATU651~v2×ŠE~a|	|ZATU651×ŠE~a|	𒳙
|ZATU711~v1×HI@g~a|	|ZATU711×HI@g~a|	𒴳
|ZATU711~v1×X|	|ZATU711×X|	𒴴
|ZATU737×EN~a~v2|	|ZATU737×EN~a|	𒵜
|ZATU737×UNUG~a~v1|	|ZATU737×UNUG~a|	𒵣
|ZATU737~v1×EN~b~v1|	|ZATU737×EN~b|	𒵥
|ZATU737~v2×X|	|ZATU737×X|	𒵩
|ZATU737~v3×SAL|	|ZATU737×SAL|	𒵪
|ZATU737~v3×U₄|	|ZATU737×U₄|	𒵫
