o0900013	AB~a~v1	AB~a
o0900042	AB₂~v1	AB₂
o0900044	|AB₂~v2×2(N14)|	|AB₂×2(N14)|
o0900048	ABGAL~v1	ABGAL
o0900078	AMA~a~v1	AMA~a
o0900083	AMAR~v1	AMAR
o0900084	AMAR~v2	AMAR
o0900091	AN~v2	AN
o0900107	ARARMA₂~a~v1	ARARMA₂~a
o0900125	BAHAR₂~a~v1	BAHAR₂~a
o0900127	BAHAR₂~b~v1	BAHAR₂~b
o0900132	BALA~b~v1	BALA~b
o0900134	BALAG~v1	BALAG
o0900137	BAN~a~v1	BAN~a
o0900138	BAN~a~v2	BAN~a
o0900159	BARA₂~a~v1	BARA₂~a
o0900161	BARA₂~b~v1	BARA₂~b
o0900170	BIR₃~a~v1	BIR₃~a
o0900172	BIR₃~b~v1	BIR₃~b
o0900200	|BU~a+DU₆~a~v1|	|BU~a+DU₆~a|
o0900192	|(BU~a&BU~a).NA₂~a~v1|	|(BU~a&BU~a).NA₂~a|
o0900176	BU~a~v1	BU~a
o0900238	DARA₃~c~v1	DARA₃~c
o0900263	DIB~v1	DIB
o0900265	DILMUN~v1	DILMUN
o0900266	DILMUN~v2	DILMUN
o0900285	DU₆~a~v1	DU₆~a
o0900295	DU₈~b~v1	DU₈~b
o0900310	DU₈~c@g~v1	DU₈~c@g
o0900314	DUB~b~v1	DUB~b
o0900315	DUB~b~v2	DUB~b
o0900316	DUB~b~v3	DUB~b
o0900317	DUB~b~v4	DUB~b
o0900332	DUG~a~v1	DUG~a
o0900333	DUG~a~v2	DUG~a
o0900361	|DUG~b×GEŠTU~a~v2|	|DUG~b×GEŠTU~a|
o0900362	|DUG~b~v1×GEŠTU~a~v2|	|DUG~b×GEŠTU~a|
o0900335	DUG~b~v1	DUG~b
o0900352	|DUG~b~v1×DIN|	|DUG~b×DIN|
o0900371	|DUG~b~v1×HI|	|DUG~b×HI|
o0900392	|DUG~b~v1×MAŠ|	|DUG~b×MAŠ|
o0900434	|DUG~b~v1×ŠE~a|	|DUG~b×ŠE~a|
o0900451	|DUG~b~v1×U₂~b|	|DUG~b×U₂~b|
o0900452	|DUG~b~v2×U₂~b|	|DUG~b×U₂~b|
o0900462	|DUG~b~v1×X|	|DUG~b×X|
o0900396	|DUG~b~v1×1(N57)|	|DUG~b×1(N57)|
o0900336	DUG~c~v1	DUG~c
o0900337	DUG~c~v3	DUG~c
o0900397	|DUG~c~v1×1(N57)|	|DUG~c×1(N57)|
o0900398	|DUG~c~v2×1(N57)|	|DUG~c×1(N57)|
o0900399	|DUG~c~v3×1(N57)|	|DUG~c×1(N57)|
o0900514	EN~a~v1	EN~a
o0900515	EN~a~v2	EN~a
o0900516	EN~a~v3	EN~a
o0900518	EN~b~v1	EN~b
o0900520	EN~c~v1	EN~c
o0900536	ENKUM~v1	ENKUM
o0900551	EZEN~a~v1	EZEN~a
o0900600	GA~a~v1	GA~a
o0900601	GA~a~v2	GA~a
o0900602	GA~a~v3	GA~a
o0900603	GA~a~v4	GA~a
o0900607	|GA~a~v1.ZATU753|	|GA~a.ZATU753|
o0900608	|GA~a~v4.ZATU753|~v1	|GA~a.ZATU753|
o0900737	GAN~a~v1	GAN~a
o0900739	GAN~b~v1	GAN~b
o0900740	GAN~b~v2	GAN~b
o0900741	GAN~b~v3	GAN~b
o0900743	GAN~c~v1	GAN~c
o0900798	GEŠTU~a~v1	GEŠTU~a
o0900799	GEŠTU~a~v2	GEŠTU~a
o0900802	GEŠTU~c3~v1	GEŠTU~c3
o0900807	GI~v1	GI
o0900837	GI₆~v1	GI₆
o0900847	GIR~b~v1	GIR~b
o0900894	GIŠGAL~v1	GIŠGAL
o0900900	GIŠIMMAR~b1~v1	GIŠIMMAR~b1
o0900901	GIŠIMMAR~b1~v2	GIŠIMMAR~b1
o0900909	GU₄~v1	GU₄
o0900913	GU₇~v1	GU₇
o0900921	GUG₂~v1	GUG₂
o0900942	GUM~b@n~v1	GUM~b@n
o0900939	GUM~b~v1	GUM~b
o0900949	GURUŠ~a~v1	GURUŠ~a
o0900963	|HI.SUHUR~v1|	|HI.SUHUR|
o0900964	|HI.SUHUR~v2|	|HI.SUHUR|
o0900989	IDIGNA~v1	IDIGNA
o0901006	IN~b~v1	IN~b
o0901017	IR₁₁~v1	IR₁₁
o0901021	IŠ~a~v1	IŠ~a
o0901023	IŠ~b~v1	IŠ~b
o0901024	IŠ~b~v2	IŠ~b
o0901025	IŠ~b~v3	IŠ~b
o0901026	IŠ~b~v4	IŠ~b
o0901027	IŠ~b~v5	IŠ~b
o0901059	KAL~b1~v1	KAL~b1
o0901079	KAŠ~a~v1	KAŠ~a
o0901081	KAŠ~b~v1	KAŠ~b
o0901110	KINGAL~v1	KINGAL
o0901124	KISIM~b~v1	KISIM~b
o0901125	KISIM~b~v2	KISIM~b
o0901126	KISIM~b~v3	KISIM~b
o0901129	KIŠ~v1	KIŠ
o0901134	KITI~v1	KITI
o0901161	KUR~c~v1	KUR~c
o0901285	LAM~b~v1	LAM~b
o0901286	LAM~b~v2	LAM~b
o0901302	LI~v1	LI
o0901305	LU₂~v1	LU₂
o0901306	LU₂~v2	LU₂
o0901311	LUGAL~v1	LUGAL
o0901314	MA~v1	MA
o0901362	MAR~a~v1	MAR~a
o0901385	MEN~a~v1	MEN~a
o0901388	MES~v1	MES
o0901394	MUD~v1	MUD
o0901425	MUŠ₃~a@g~v1	MUŠ₃~a@g
o0901420	MUŠ₃~a~v1	MUŠ₃~a
o0901421	MUŠ₃~a~v2	MUŠ₃~a
o0901443	NA₂~a~v1	NA₂~a
o0901449	NAB~v1	NAB
o0901450	NAB~v2	NAB
o0901458	NAGAR~a~v1	NAGAR~a
o0901459	NAGAR~a~v2	NAGAR~a
o0901460	NAGAR~a~v3	NAGAR~a
o0901462	NAGAR~b~v1	NAGAR~b
o0901473	NAMEŠDA~v1	NAMEŠDA
o0901476	NANNA~a~v1	NANNA~a
o0901484	NE~a~v1	NE~a
o0901485	NE~a~v2	NE~a
o0901497	NESAG₂~b~v1	NESAG₂~b
o0901522	NIMGIR~v1	NIMGIR
o0901526	NINDA₂~v1	NINDA₂
o0901595	NUN~c~v1	NUN~c
o0901596	NUN~c~v2	NUN~c
o0901597	NUN~c~v3	NUN~c
o0901619	NUNUZ~c~v1	NUNUZ~c
o0901620	NUNUZ~c~v2	NUNUZ~c
o0901621	NUNUZ~c~v3	NUNUZ~c
o0901626	PA~a~v1	PA~a
o0901627	PA~a~v2	PA~a
o0901641	PAP~b~v1	PAP~b
o0901671	RU~v1	RU
o0901676	SA~c~v1	SA~c
o0901678	SAG~v1	SAG
o0901679	SAG~v2	SAG
o0901710	SANGA~a~v1	SANGA~a
o0901711	SANGA~a~v2	SANGA~a
o0901713	SANGA~b~v1	SANGA~b
o0901725	SI~v1	SI
o0901743	SI₄~d~v1	SI₄~d
o0901745	SI₄~f~v1	SI₄~f
o0901754	SIG₂~a3~v1	SIG₂~a3
o0901755	SIG₂~a3~v2	SIG₂~a3
o0901762	SIG₂~d2~v1	SIG₂~d2
o0901772	SIG₇~v1	SIG₇
o0901786	|SILA₃~a×DUG~a|~v1	|SILA₃~a×DUG~a|
o0901785	|SILA₃~a~v1×DUG~a|	|SILA₃~a×DUG~a|
o0901867	SIMUG~v1	SIMUG
o0901871	SU~a~v1	SU~a
o0901897	SUKUD@g~b~v1	SUKUD@g~b
o0901903	SUM~a~v1	SUM~a
o0901911	ŠA~v1	ŠA
o0901912	ŠA~v2	ŠA
o0901927	ŠAB~a~v1	ŠAB~a
o0901929	ŠAB~b~v1	ŠAB~b
o0901931	ŠAGAN~v1	ŠAGAN
o0901956	|ŠE~a.NAM₂|~v1	|ŠE~a.NAM₂|
o0901963	ŠE₃~v1	ŠE₃
o0901965	ŠE₃~v1@t	ŠE₃@t
o0901970	ŠEN~a~v1	ŠEN~a
o0901972	ŠEN~b~v1	ŠEN~b
