o0900000	s	A	A	38	1
o0900012	s	AB~a	AB~a	81	24
o0900014	s	AB~b	AB~b	3	37
o0900041	s	AB₂	AB₂	11	43
o0900047	s	ABGAL	ABGAL	2	50
o0900053	s	AD~a	AD~a	1	56
o0900055	s	AD~c	AD~c	6	58
o0900060	s	AGAR₂	AGAR₂	2	64
o0900062	s	AK~a	AK~a	1	66
o0900064	s	AL	AL	9	68
o0900077	s	AMA~a	AMA~a	9	82
o0900082	s	AMAR	AMAR	7	86
o0900085	c	|AMAR.1(N02)|	|AMAR.1(N02)|	2	87
o0900089	s	AN	AN	26	95
o0900093	s	ANŠE~a	ANŠE~a	1	99
o0900100	s	APIN~a	APIN~a	24	107
o0900101	s	APIN~b	APIN~b	2	109
o0900115	s	BA	BA	66	122
o0900126	s	BAHAR₂~b	BAHAR₂~b	4	135
o0900128	s	BAHAR₂~c	BAHAR₂~c	6	137
o0900130	s	BALA~a	BALA~a	2	139
o0900149	s	BAPPIR~b	BAPPIR~b	1	158
o0900154	s	BAR	BAR	44	163
o0900162	s	BARA₃	BARA₃	1	173
o0900171	s	BIR₃~b	BIR₃~b	1	645
o0900175	s	BU~a	BU~a	23	664
o0900177	s	BU~b	BU~b	2	689
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	2	670
o0900217	s	DA~a	DA~a	9	706
o0900224	s	DAH	DAH	12	711
o0900260	s	DI	DI	19	755
o0900269	s	DIM~a	DIM~a	2	763
o0900276	s	DIN	DIN	1	766
o0900279	s	DU	DU	34	771
o0900281	c	|DU×1(N58@t)|	|DU×DIŠ|	3	774
o0900282	s	DU@g	DU@g	1	775
o0900284	s	DU₆~a	DU₆~a	1	779
o0900296	s	DU₈~c	DU₈~c	1	797
o0900312	s	DUB~a	DUB~a	17	813
o0900313	s	DUB~b	DUB~b	1	814
o0900331	s	DUG~a	DUG~a	35	896
o0900334	s	DUG~b	DUG~b	3	907
o0900336	s	DUG~c~v1	DUG~c	3	1029
o0900347	c	|DUG~b×BALA~a|	|DUG~b×BALA~a|	1	941
o0900359	c	|DUG~b×GA~b|	|DUG~b×GA~b|	1	949
o0900365	c	|DUG~b×GI₆|	|DUG~b×GI₆|	1	954
o0900367	c	|DUG~b×GIŠ|	|DUG~b×GIŠ|	1	955
o0900376	c	|DUG~b×KASKAL|	|DUG~b×KASKAL|	1	959
o0900381	c	|DUG~b×KUR~a|	|DUG~b×KUR~a|	1	961
o0900391	c	|DUG~b×MAŠ|	|DUG~b×MAŠ|	1	966
o0900398	c	|DUG~c~v2×1(N57)|	|DUG~c×1(N57)|	7	1032
o0900408	c	|DUG~b×NAGA~a|	|DUG~b×NAGA~a|	1	968
o0900416	c	|DUG~b×(SA~a.GI)|	|DUG~b×(SA~a.GI)|	1	972
o0900418	c	|DUG~b×SI₄~a|	|DUG~b×SI₄~a|	1	973
o0900425	c	|DUG~b×SIG₇|	|DUG~b×SIG₇|	3	977
o0900433	c	|DUG~b×ŠE~a|	|DUG~b×ŠE~a|	1	981
o0900445	c	|DUG~b×TI|	|DUG~b×TI|	1	988
o0900461	c	|DUG~b×X|	|DUG~b×X|	5	995
o0900472	c	|DUG~b×ZATU781|	|DUG~b×ZATU781|	1	1001
o0900483	s	DUR~a	DUR~a	1	1044
o0900484	s	DUR~b	DUR~b	20	1045
