o0900000	s	A	A	111	1
o0900001	c	|A×AB₂|	|A×AB₂|	3	2
o0900009	s	A@t	A@t	1	9
o0900012	s	AB~a	AB~a	21	24
o0900014	s	AB~b	AB~b	16	37
o0900023	c	|AB~b×KU₆~a|	|AB~b×KU₆~a|	1	39
o0900029	c	|AB~a×SUKKAL|	|AB~a×SUKKAL|	3	29
o0900031	c	|AB~b×ŠA₃~a1|	|AB~b×ŠA₃~a1|	1	40
o0900041	s	AB₂	AB₂	14	43
o0900047	s	ABGAL	ABGAL	1	50
o0900053	s	AD~a	AD~a	6	56
o0900055	s	AD~c	AD~c	1	58
o0900056	s	ADAB	ADAB	1	59
o0900064	s	AL	AL	22	68
o0900068	s	ALAN~c	ALAN~c	1	72
o0900077	s	AMA~a	AMA~a	4	82
o0900082	s	AMAR	AMAR	6	86
o0900089	s	AN	AN	183	95
o0900093	s	ANŠE~a	ANŠE~a	1	99
o0900094	s	ANŠE~b	ANŠE~b	1	100
o0900095	s	ANŠE~c	ANŠE~c	1	101
o0900096	s	ANŠE~e	ANŠE~e	1	103
o0900100	s	APIN~a	APIN~a	34	107
o0900101	s	APIN~b	APIN~b	2	109
o0900106	s	ARARMA₂~a	ARARMA₂~a	2	112
o0900115	s	BA	BA	105	122
o0900121	s	BAD₃~b1	BAD₃~b1	2	130
o0900124	s	BAHAR₂~a	BAHAR₂~a	1	133
o0900126	s	BAHAR₂~b	BAHAR₂~b	6	135
o0900128	s	BAHAR₂~c	BAHAR₂~c	2	137
o0900139	s	BAN~b	BAN~b	7	148
o0900154	s	BAR	BAR	67	163
o0900158	s	BARA₂~a	BARA₂~a	1	169
o0900162	s	BARA₃	BARA₃	1	173
o0900171	s	BIR₃~b	BIR₃~b	2	645
o0900175	s	BU~a	BU~a	90	664
o0900185	c	|BU~a×GIŠ@t|	|BU~a×GIŠ@t|	1	676
o0900187	c	|BU~a×1(N58)|	|BU~a×1(N58)|	1	677
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	4	670
o0900205	s	BU₃	BU₃	4	692
o0900207	s	BULUG₃	BULUG₃	3	695
o0900211	s	BUR~a	BUR~a	2	699
o0900215	s	BUR₂	BUR₂	1	703
o0900217	s	DA~a	DA~a	51	706
o0900222	c	|DA~a.LIŠ|	|DA~a.LIŠ|	1	707
o0900224	s	DAH	DAH	2	711
o0900226	s	DANNA	DANNA	3	713
o0900228	s	DAR~a	DAR~a	6	716
o0900229	s	DAR~b	DAR~b	11	718
o0900235	s	DARA₃~a	DARA₃~a	1	724
o0900237	s	DARA₃~c	DARA₃~c	1	726
o0900241	c	|DARA₃~c×KAR₂~b|	|DARA₃~c×KAR₂|	2	729
o0900243	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	1	737
o0900249	s	DARA₄~a1	DARA₄~a1	4	744
o0900254	s	DARA₄~c1	DARA₄~c1	2	749
o0900255	s	DARA₄~c2	DARA₄~c2	4	750
o0900257	s	DARA₄~c4	DARA₄~c4	1	752
o0900260	s	DI	DI	16	755
o0900264	s	DILMUN	DILMUN	3	759
o0900269	s	DIM~a	DIM~a	17	763
o0900271	s	DIM~c	DIM~c	1	765
o0900276	s	DIN	DIN	6	766
o0900279	s	DU	DU	68	771
o0900282	s	DU@g	DU@g	3	775
o0900287	s	DU₆~b	DU₆~b	2	785
o0900291	s	DU₇	DU₇	1	787
o0900296	s	DU₈~c	DU₈~c	5	797
o0900305	c	|DU₈~c×UDU~a|	|DU₈~c×UDU~a|	3	801
o0900309	s	DU₈~c@g	DU₈~c@g	2	803
o0900310	s	DU₈~c@g~v1	DU₈@g~c	1	804
o0900312	s	DUB~a	DUB~a	24	813
o0900313	s	DUB~b	DUB~b	6	814
o0900331	s	DUG~a	DUG~a	8	896
o0900334	s	DUG~b	DUG~b	3	907
o0900336	s	DUG~c~v1	DUG~c	2	1029
o0900391	c	|DUG~b×MAŠ|	|DUG~b×MAŠ|	1	966
o0900395	c	|DUG~b×1(N57)|	|DUG~b×1(N57)|	1	1003
o0900461	c	|DUG~b×X|	|DUG~b×X|	1	995
o0900484	s	DUR~b	DUR~b	9	1045
o0900485	s	DUR₂	DUR₂	14	1046
o0900487	s	E~a	E~a	5	1048
o0900488	s	E~b	E~b	1	1049
o0900493	s	E₂~a	E₂~a	50	1057
o0900494	s	E₂~b	E₂~b	50	1063
o0900499	c	|E₂~b.LIŠ|	|E₂~b.LIŠ|	1	1064
o0900501	c	|E₂~b×3(N57)|	|E₂~b×3(N57)|	1	1067
o0900506	c	|E₂~a×3(N58)|	|E₂~a×3(N58)|	1	1061
o0900512	s	EN	EN	1	1076
o0900513	s	EN~a	EN~a	208	1078
o0900529	s	EN₂	EN₂	2	1098
o0900531	c	|EN₂.E₂~a|	|EN₂.E₂~a|	3	1100
