o0902932	n	3(N14)--	3(N14)
o0902290	s	UMUN₂--	UMUN₂
o0903368	s	X--	X
o0901777	s	SILA₃-SILA₃~c-	SILA₃~c
o0901090	s	KI--	KI
o0901639	s	PAP-PAP~a-	PAP~a
o0902103	s	TI--	TI
o0901639	s	PAP-PAP~a-	PAP~a
o0903368	s	X--	X
o0900779	s	GAR--	GAR
o0901384	s	MEN-MEN~a-	MEN~a
o0902116	s	TUG₂-TUG₂~a-	TUG₂~a
o0903368	s	X--	X
o0902860	n	3(N01)--	3(N01)
o0902859	n	2(N01)--	2(N01)
o0901380	s	ME-ME~a-	ME~a
o0901881	s	SUHUR--	SUHUR
o0903094	n	1(N38)--	1(N38)
o0903059	n	1(N34)--	1(N34)
o0902033	s	ŠU--	ŠU
o0900488	s	E-E~b-	E~b
o0901881	s	SUHUR--	SUHUR
o0903368	s	X--	X
o0903368	s	X--	X
o0901062	s	KALAM-KALAM~a-	KALAM~a
o0900513	s	EN-EN~a-	EN~a
o0903368	s	X--	X
o0901870	s	SU-SU~a-	SU~a
o0902859	n	2(N01)--	2(N01)
o0900089	s	AN--	AN
o0901090	s	KI--	KI
o0902859	n	2(N01)--	2(N01)
o0901639	s	PAP-PAP~a-	PAP~a
o0900493	s	E₂-E₂~a-	E₂~a
o0902859	n	2(N01)--	2(N01)
o0900014	s	AB-AB~b-	AB~b
o0903368	s	X--	X
o0900452	c	|DUG×U₂|-|DUG~b~v2×U₂~b|-	|DUG~b×U₂~b|
o0902861	n	4(N01)--	4(N01)
o0901996	s	ŠIM-ŠIM~b-	ŠIM~b
o0903368	s	X--	X
o0902710	s	ZATU758--	ZATU758
o0902930	n	2(N14)--	2(N14)
o0903368	s	X--	X
o0903368	s	X--	X
o0902862	n	5(N01)--	5(N01)
o0902862	n	5(N01)--	5(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0903368	s	X--	X
o0902861	n	4(N01)--	4(N01)
o0902701	s	ZATU753--	ZATU753
o0902859	n	2(N01)--	2(N01)
o0902261	s	UKKIN-UKKIN~a-	UKKIN~a
o0902859	n	2(N01)--	2(N01)
o0902858	n	1(N01)--	1(N01)
o0900136	s	BAN-BAN~a-	BAN~a
o0902100	s	TAR-TAR~a-	TAR~a
o0900133	s	BALAG--	BALAG
o0902858	n	1(N01)--	1(N01)
o0902782	s	ZATU814--	ZATU814
o0900552	s	EZEN-EZEN~b-	EZEN~b
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902861	n	4(N01)--	4(N01)
o0902863	n	6(N01)--	6(N01)
o0903061	n	2(N34)--	2(N34)
o0903368	s	X--	X
o0900284	s	DU₆-DU₆~a-	DU₆~a
o0901592	s	NUN-NUN~a-	NUN~a
o0900047	s	ABGAL--	ABGAL
o0902860	n	3(N01)--	3(N01)
o0901382	s	ME₃--	ME₃
o0902858	n	1(N01)--	1(N01)
o0901020	s	IŠ-IŠ~a-	IŠ~a
o0900729	s	GAL-GAL~a-	GAL~a
o0901940	s	ŠAKIR-ŠAKIR~c-	ŠAKIR~c
o0902699	s	ZATU752--	ZATU752
o0902861	n	4(N01)--	4(N01)
o0900912	s	GU₇--	GU₇
o0902859	n	2(N01)--	2(N01)
o0903368	s	X--	X
o0900783	s	GAR@g-GAR@g~c-	GAR@g~c
o0902858	n	1(N01)--	1(N01)
o0903137	n	2(N45)--	2(N45)
o0901785	c	|SILA₃×DUG|-|SILA₃~a~v1×DUG~a|-	|SILA₃~a×DUG~a|
o0901592	s	NUN-NUN~a-	NUN~a
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900064	s	AL--	AL
o0901502	s	NI-NI~b-	NI~b
o0900836	s	GI₆--	GI₆
o0900175	s	BU-BU~a-	BU~a
o0902859	n	2(N01)--	2(N01)
o0901426	s	MUŠEN--	MUŠEN
o0901614	s	NUNUZ-NUNUZ~a1-	NUNUZ~a1
o0903368	s	X--	X
o0901677	s	SAG--	SAG
o0900082	s	AMAR--	AMAR
o0900064	s	AL--	AL
o0903134	n	1(N45)--	1(N45)
o0903176	n	3(N50)--	3(N50)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
