o0900000	s	A	A	3	1
o0900041	s	AB₂	AB₂	4	43
o0900055	s	AD~c	AD~c	1	58
o0900082	s	AMAR	AMAR	5	86
o0900089	s	AN	AN	2	95
o0900115	s	BA	BA	3	122
o0900158	s	BARA₂~a	BARA₂~a	2	169
o0900164	s	BIR	BIR	1	638
o0900175	s	BU~a	BU~a	2	664
o0900217	s	DA~a	DA~a	2	706
o0900218	s	DA~b	DA~b	2	708
o0900249	s	DARA₄~a1	DARA₄~a1	1	744
o0900269	s	DIM~a	DIM~a	1	763
o0900276	s	DIN	DIN	2	766
o0900279	s	DU	DU	2	771
o0900303	c	|DU₈~c×HI|	|DU₈~c×HI|	1	800
o0900328	s	DUB~b@r	DUB~b@r	1	819
o0900494	s	E₂~b	E₂~b	3	1063
o0900513	s	EN~a	EN~a	8	1078
o0900521	s	EN~e	EN~e	1	1093
o0900545	s	ERIN	ERIN	4	1113
o0900550	s	EZEN~a	EZEN~a	1	1138
o0900554	s	EZEN~c	EZEM~c	1	1167
o0900683	c	|GA₂~b×NUN~b|	|GA₂~b×NUN~b|	1	1299
o0900729	s	GAL~a	GAL~a	6	1317
o0900778	s	GAN₂	GAN₂	5	1370
o0900800	s	GEŠTU~b	GEŠTU~b	6	1390
o0900806	s	GI	GI	2	1395
o0900845	s	GIR~a	GIR~a	1	1441
o0900908	s	GU₄	GU₄	1	1506
o0900920	s	GUG₂	GUG₂	1	1520
o0900956	s	HAL	HAL	1	1563
o0900960	s	HI	HI	3	1567
o0900961	s	HI~b	HI~b	1	1589
o0900983	s	IB~a	IB~a	2	1597
o0901022	s	IŠ~b	IŠ~b	1	1633
o0901044	s	KAB	KAB	1	1660
o0901044	s	KAB	TUKU	2	1660
o0901080	s	KAŠ~b	KAŠ~b	1	1699
o0901090	s	KI	KI	2	1708
o0901115	s	KISAL~b1	KISAL~b1	1	1735
o0901128	s	KIŠ	KIŠ	6	1748
o0901145	s	KU₆~a	KU₆~a	2	1766
o0901158	s	KUR~a	KUR~a	2	1777
o0901162	s	KUR~d	KUR~d	1	1784
o0901189	c	|LAGAB~b.TE|	|LAGAB~b.TE|	1	1871
o0901203	c	|LAGAB~b×(HI×N04)|	|LAGAB~b×(HI×N04)|	1	1876
o0901320	s	MA₂	MA₂	1	1934
o0901361	s	MAR~a	MAR~a	4	1980
o0901377	s	MAŠ₂	MAŠ₂	2	1993
o0901392	s	MU	MU	2	2010
o0901424	s	MUŠ₃~a@g	MUŠ₃~a@g	1	2037
o0901451	s	NAGA	NAGA	1	2140
o0901452	s	NAGA~a	NAGA~a	1	2142
o0901481	s	NAR	NAR	3	2171
o0901524	s	NIN	NIN	1	2213
o0901572	c	|NINDA₂×X|	|NINDA₂×X|	1	2261
o0901592	s	NUN~a	NUN~a	3	2290
o0901606	c	|NUN~a+EN~a~v2|	|NUN~a+EN~a|	1	2293
o0901609	c	|NUN~b+EN~a|	|NUN~b+EN~a|	1	2300
o0901615	s	NUNUZ~a2	NUNUZ~a2	1	2311
o0901625	s	PA~a	PA~a	3	2320
