o0038414	7176a	U+F308B	1(|N01×DIŠ|)
o0900027	34	U+F302B	|AB~a×1(N04)|
o0900046	49	U+F302A	AB₂@g
o0900051	21	U+F3056	|AB×ZU|
o0900057	60	U+F3067	ADAB~v1
o0900097	104	U+F3068	ANŠE~f
o0900156	165	U+F3060	|BAR×URI₃~a|
o0900179	667	U+F3023	|((BU~a.DU₆~a)&(BU~a.DU₆))×UDU~a|
o0900189	677	U+F302C	|BU~a&BU~a|
o0900202	672	U+F302D	|BU~a+KI|
o0900204	673	U+F302E	|BU~a+TU~b|
o0900209	696	U+F3061	|BULUG₃.DU₆~a|
o0900253	747	U+F3069	DARA₄~c
o0900259	753	U+F302F	DARA₄~d
o0900277	768	U+F3030	|DIN×1(N58)|
o0900299	797	U+F3031	|DU₈~c×AB₂|
o0900301	798	U+F3032	|DU₈~c×AMAR|
o0900322	823	U+F3033	DUB~h
o0900328	818	U+F3053	DUB~b@r
o0900345	939	U+F3063	|DUG~b×BA|
o0900378	897	U+F306A	|DUG~a×KU₆~a|
o0900405	1019	U+F3035	|DUG~b~v1×1(N58)|
o0900416	971	U+F3054	|DUG~b×(SA~a.GI)|
o0900429	978	U+F3055	|DUG~b×SUKUD~d|
o0900454	990	U+F3034	|DUG~b×(UDU~a×TAR)|
o0900501	1066	U+F3062	|E₂~b×3(N57)|
o0900563	1146	U+F3036	|EZEN~a×KAŠ~b|
o0900589	1158	U+F3066	|EZEN~a×X₁|
o0900628	1239	U+F3039	|GA₂~a1×E₂~a|
o0900630	1240	U+F3037	|GA₂~a1×EN~a|
o0900633	1243	U+F306B	|GA₂~a1×GEŠTU~a|
o0900658	1298	U+F306C	|GA₂~b×KU₆~a|
o0900683	1299	U+F306D	|GA₂~b×NUN~b|
o0900710	1273	U+F304D	|GA₂~a1×X|~v1
o0900717	1302	U+F3038	|GA₂~b×ZATU694~c|
o0900763	1357	U+F303A	|GAN~c×(4(N57).GAR)|
o0900792	1384	U+F306E	GEŠTIN~d
o0900793	1385	U+F306F	GEŠTIN~e
o0900809	1397	U+F303B	|GI×A|
o0900902	1498	U+F3070	GIŠIMMAR~b2
o0900961	1589	U+F3071	HI~b
o0900985	1600	U+F3072	IB~c
o0901068	1684	U+F303C	KALAM~g
o0901069	1685	U+F303D	KALAM~h
o0901070	1686	U+F303E	KALAM~h2
o0901084	1706	U+F3057	KAŠ~d1
o0901105	1725	U+F3073	KIN₂~b
o0901203	1876	U+F3015	|LAGAB~b×(HI×N04)|
o0901215	1850	U+F3019	|LAGAB~a×LA₂~a|
o0901225	1869	U+F301A	|LAGAB~a×1(N58)|
o0901227	1853	U+F3016	|LAGAB~a×NI~a|
o0901275	1898	U+F303F	|LAL₂~a×NAGA~a|
o0901347	1962	U+F3040	|MAH~a×TUN₃~c|
o0901365	1984	U+F3002	|MAR~b×GAR|
o0901373	1990	U+F301C	MAR@g~a
o0901427	2045	U+F3003	|MUŠEN.3(N58)|
o0901446	2135	U+F3074	NA₂~c
o0901495	2184	U+F3075	NESAG₂~a2
o0901520	2210	U+F3076	NIM~d
o0901555	2249	U+F3041	|NINDA₂×MAR~a|
o0901564	2252	U+F3042	|NINDA₂×NUN~a|
o0901576	2263	U+F3043	|NINDA₂×ZATU710|
o0901642	2332	U+F3077	PAP@t
o0901651	2345	U+F3044	|PIRIG~b1×1(N58@t)|
o0901655	2342	U+F3018	|PIRIG~b1+DIN|
o0901689	2379	U+F3010	|SAG×NAM₂|
o0901693	2371	U+F3011	|SAG+UKKIN~b~v1×1(N57)|
o0901705	2400	U+F300F	|SAL+HI×HI|
o0901707	2402	U+F300E	|SAL+ZATU751~a|
o0901715	2412	U+F3064	SANGA~e1
o0901716	2413	U+F3065	SANGA~e2
o0901721	2420	U+F3046	SAR~d
o0901728	2424	U+F3048	|SI×EN~a|
o0901731	2427	U+F3049	|SI×KU~b1|
o0901732	2433	U+F3047	|SI×1(N58)|
o0901733	2428	U+F304B	|SI×SAL|
o0901736	2432	U+F304C	|SI×TUN₃~a|
o0901737	2422	U+F300C	|SI+AN|
o0901747	2445	U+F3078	SIG~b
o0901820	2538	U+F304A	|SILA₃~a×MUD₃~b|
o0901863	2577	U+F3000	SILA₄~c1
o0901873	2591	U+F3079	SU~c
o0901882	2599	U+F3058	SUHUR~b
o0901886	2600	U+F3059	SUHUR~b@t
o0901900	2624	U+F300D	SUKUD@h
o0901924	2646	U+F3045	ŠA₃~a2@g
o0901950	2693	U+F305A	|ŠE~a@t~v1.GAR|
o0901957	2683	U+F3014	|ŠE~a.NAM₂|~v2
o0902027	2756	U+F307A	ŠITA~a3@g
o0902054	2794	U+F3004	|ŠU₂.PAP~a|
o0902057	2801	U+F3013	|ŠU₂×1(N24)|
o0902058	2802	U+F3012	|ŠU₂×3(N57)|
o0902065	2823	U+F307B	ŠUR₂~c
o0902066	2820	U+F3017	|ŠUR₂×1(N58)|
o0902134	2897	U+F3028	TUM₃
o0902150	2910	U+F3005	|TUR₃~a.5(N57)|
o0902180	2948	U+F3007	|U₄×(1(N01).1(N24))|
o0902197	2966	U+F3008	|U₄×(1(N14).1(N01))|
o0902199	2969	U+F3009	|U₄×(1(N14).3(N01)).(1(N14).4(N08))|
o0902219	2942	U+F3006	|U₄+1(N24)|
o0902232	5830	U+F304E	UBI~d
o0902253	5855	U+F307C	UDUNITA~d
o0902266	5886	U+F307D	UKKIN~d
o0902319	5927	U+F307E	UR₃~d2
o0902355	5960	U+F301B	|URU~a1×KI|
o0902361	5966	U+F304F	|URU~a1×3(N57)|
o0902414	6018	U+F3001	|X×HI|
o0902578	6840	U+F3050	ZATU694~e
o0902667	6937	U+F300B	|ZATU737×I|
o0902685	6966	U+F300A	|ZATU737@t×PAP~a|
