pcsl	cdli	cdli_fixed_flag	recommendation	encoding_status	unicode_codepoint	unicode_name
A	A	False	keep	proposed	12690	PROTO-CUNEIFORM SIGN A
|A×AB₂|	|AxAB2|	False	keep	proposed	12691	PROTO-CUNEIFORM SIGN A TIMES AB2
|A×AN|	|AxAN|	False	remove	not_proposed		
|A×EN~a~v2|	|AxEN~a|	False	rename	proposed	12692	PROTO-CUNEIFORM SIGN A TIMES EN-A VARIANT 2
|A×ŠUBUR|	|AxSZUBUR|	False	keep	proposed	12693	PROTO-CUNEIFORM SIGN A TIMES SHUBUR
|A×ZATU672|	|AxZATU672|	False	keep	proposed	12694	PROTO-CUNEIFORM SIGN A TIMES ZATU672
|A×1(N14)|	|Ax1(N14)|	False	keep	proposed	12695	PROTO-CUNEIFORM SIGN A TIMES ONE-N14
A@g	A@g	False	remove	not_proposed		
A@t	A@t	False	keep	proposed	12696	PROTO-CUNEIFORM SIGN A TENU
A₂	A2	False	keep	proposed	12697	PROTO-CUNEIFORM SIGN A2
AB~a	AB~a	False	keep	proposed	12698	PROTO-CUNEIFORM SIGN AB-A
|AB~a×A@t|	|AB~axA@t|	False	keep	proposed	12699	PROTO-CUNEIFORM SIGN AB-A TIMES A TENU
|AB~a×AŠ₂|	|AB~axASZ2|	False	keep	proposed	1269A	PROTO-CUNEIFORM SIGN AB-A TIMES ASH2
|AB~a×KU₆~a|	|AB~axKU6~a|	False	keep	proposed	1269B	PROTO-CUNEIFORM SIGN AB-A TIMES KU6-A
|AB~a×SUKKAL|	|AB~axSUKKAL|	False	keep	proposed	1269C	PROTO-CUNEIFORM SIGN AB-A TIMES SUKKAL
|AB~a×(ŠE~a&ŠE~a)|	|AB~ax(SZE~a&SZE~a)|	False	keep	proposed	1269D	PROTO-CUNEIFORM SIGN AB-A TIMES SHE-A OVER SHE-A
|AB~a×X|	|AB~axX|	False	keep	proposed	1269E	PROTO-CUNEIFORM SIGN AB-A TIMES X
|AB~a×ZATU659|	|AB~axZATU659|	False	keep	proposed	1269F	PROTO-CUNEIFORM SIGN AB-A TIMES ZATU659
|AB~a×1(N01)|	|AB~ax1(N01)|	False	keep	proposed	126A0	PROTO-CUNEIFORM SIGN AB-A TIMES ONE-N1
AB~a@g	AB~a@g	False	keep	proposed	126A1	PROTO-CUNEIFORM SIGN AB-A GUNU
AB~a~v1	AB~a	False	keep	proposed	126A2	PROTO-CUNEIFORM SIGN AB-A VARIANT 1
AB~b	AB~b	False	keep	proposed	126A3	PROTO-CUNEIFORM SIGN AB-B
|AB~b×A|	|AB~bxA|	False	keep	proposed	126A4	PROTO-CUNEIFORM SIGN AB-B TIMES A
|AB~b×KU₆~a|	|AB~bxKU6~a|	False	keep	proposed	126A5	PROTO-CUNEIFORM SIGN AB-B TIMES KU6-A
|AB~b×ŠA₃~a1|	|AB~bxSZA3~a1|	False	keep	proposed	126A6	PROTO-CUNEIFORM SIGN AB-B TIMES SHA3-A1
AB₂	AB2	False	keep	proposed	126A7	PROTO-CUNEIFORM SIGN AB2
|AB₂×2(N14)|	|AB2x2(N14)|	False	keep	proposed	126A8	PROTO-CUNEIFORM SIGN AB2 TIMES TWO-N14
AB₂~v1	AB2	False	keep	proposed	126A9	PROTO-CUNEIFORM SIGN AB2 VARIANT 1
|AB₂~v2×2(N14)|	|AB2x2(N14)|	False	rename	proposed	126AA	PROTO-CUNEIFORM SIGN AB2 VARIANT 2 TIMES TWO-N14
ABGAL	ABGAL	False	keep	proposed	126AB	PROTO-CUNEIFORM SIGN ABGAL
ABGAL~v1	ABGAL	False	keep	proposed	126AC	PROTO-CUNEIFORM SIGN ABGAL VARIANT 1
ABRIG	ABRIG	False	keep	proposed	126AD	PROTO-CUNEIFORM SIGN ABRIG
ABZU	ABZU	False	keep	proposed	126AE	PROTO-CUNEIFORM SIGN ABZU
AD~a	AD~a	False	keep	proposed	126AF	PROTO-CUNEIFORM SIGN AD-A
AD~b	AD~b	False	keep	proposed	126B0	PROTO-CUNEIFORM SIGN AD-B
AD~c	AD~c	False	keep	proposed	126B1	PROTO-CUNEIFORM SIGN AD-C
ADAB	ADAB	False	keep	proposed	126B2	PROTO-CUNEIFORM SIGN ADAB
ADDA	ADDA	False	keep	proposed	126B3	PROTO-CUNEIFORM SIGN ADDA
ADDA@t	ADDA@t-2	False	keep	proposed	126B4	PROTO-CUNEIFORM SIGN ADDA TENU
AGAR₂	AGAR2	False	keep	proposed	126B5	PROTO-CUNEIFORM SIGN AGAR2
AK~a	AK~a	False	keep	proposed	126B6	PROTO-CUNEIFORM SIGN AK-A
AK~b	AK~b	False	keep	proposed	126B7	PROTO-CUNEIFORM SIGN AK-B
AL	AL	False	keep	proposed	126B8	PROTO-CUNEIFORM SIGN AL
ALAN~a	ALAN~a	False	keep	proposed	126B9	PROTO-CUNEIFORM SIGN ALAN-A
ALAN~b	ALAN~b	False	keep	proposed	126BA	PROTO-CUNEIFORM SIGN ALAN-B
ALAN~c	ALAN~c	False	keep	proposed	126BB	PROTO-CUNEIFORM SIGN ALAN-C
ALAN~d	ALAN~d	False	keep	proposed	126BC	PROTO-CUNEIFORM SIGN ALAN-D
ALAN~e	ALAN~e	False	keep	proposed	126BD	PROTO-CUNEIFORM SIGN ALAN-E
ALAN~f	ALAN~f	False	remove	not_proposed		
ALIM	ALIM	False	keep	proposed	126BE	PROTO-CUNEIFORM SIGN ALIM
AM~a	AM~a	False	keep	proposed	126BF	PROTO-CUNEIFORM SIGN AM-A
AM~b	AM~b	False	keep	proposed	126C0	PROTO-CUNEIFORM SIGN AM-B
AMA~a	AMA~a	False	keep	proposed	126C1	PROTO-CUNEIFORM SIGN AMA-A
|AMA~a×E₂~a|	|AMA~axE2~a|	False	keep	proposed	126C2	PROTO-CUNEIFORM SIGN AMA-A TIMES E2-A
AMA~a~v1	AMA~a	False	keep	proposed	126C3	PROTO-CUNEIFORM SIGN AMA-A VARIANT 1
AMA~b	AMA~b	False	keep	proposed	126C4	PROTO-CUNEIFORM SIGN AMA-B
AMAR	AMAR	False	keep	proposed	126C5	PROTO-CUNEIFORM SIGN AMAR
|AMAR.1(N02)|	|AMAR.1(N02)|	False	keep	proposed	126C6	PROTO-CUNEIFORM SIGN AMAR BESIDE ONE-N2
|AMAR&AMAR|	|AMAR&AMAR|	False	keep	proposed	126C7	PROTO-CUNEIFORM SIGN AMAR OVER AMAR
AMAR@g	AMAR@g	False	keep	proposed	126C8	PROTO-CUNEIFORM SIGN AMAR GUNU
AMAR~v1	AMAR	False	keep	proposed	126C9	PROTO-CUNEIFORM SIGN AMAR VARIANT 1
AMAR~v2	AMAR	False	keep	proposed	126CA	PROTO-CUNEIFORM SIGN AMAR VARIANT 2
|AMAR~v2×TAR~c|	|AMARxTAR|	False	rename	proposed	126CB	PROTO-CUNEIFORM SIGN AMAR VARIANT 2 TIMES TAR-C
AN	AN	False	keep	proposed	126CC	PROTO-CUNEIFORM SIGN AN
AN~v1	AN	False	delete	not_proposed		
AN~v2	AN	False	keep	proposed	126CD	PROTO-CUNEIFORM SIGN AN VARIANT 2
ANŠE~a	ANSZE~a	False	keep	proposed	126CE	PROTO-CUNEIFORM SIGN ANSHE-A
ANŠE~b	ANSZE~b	False	keep	proposed	126CF	PROTO-CUNEIFORM SIGN ANSHE-B
ANŠE~c	ANSZE~c	False	keep	proposed	126D0	PROTO-CUNEIFORM SIGN ANSHE-C
ANŠE~e	ANSZE~e	False	keep	proposed	126D1	PROTO-CUNEIFORM SIGN ANSHE-E
ANZU₂	ANZU2	False	remove	not_proposed		
APIN~a	APIN~a	False	keep	proposed	126D2	PROTO-CUNEIFORM SIGN APIN-A
|APIN~a.APIN~a|	|APIN~a.APIN~a|	False	keep	proposed	126D3	PROTO-CUNEIFORM SIGN APIN-A BESIDE APIN-A
APIN~b	APIN~b	False	keep	proposed	126D4	PROTO-CUNEIFORM SIGN APIN-B
APIN~c	APIN~c	False	keep	proposed	126D5	PROTO-CUNEIFORM SIGN APIN-C
ARARMA₂~a	ARARMA2~a	False	keep	proposed	126D6	PROTO-CUNEIFORM SIGN ARARMA2-A
ARARMA₂~a~v1	ARARMA2~a	False	keep	proposed	126D7	PROTO-CUNEIFORM SIGN ARARMA2-A VARIANT 1
ARARMA₂~b	ARARMA2~b	False	keep	proposed	126D8	PROTO-CUNEIFORM SIGN ARARMA2-B
ARATTA	ARATTA	False	keep	proposed	126D9	PROTO-CUNEIFORM SIGN ARATTA
ASAL₂	ASAL2	False	remove	not_proposed		
ASAR	ASAR	False	keep	proposed	126DA	PROTO-CUNEIFORM SIGN ASAR
AŠ₂	ASZ2	False	keep	proposed	126DB	PROTO-CUNEIFORM SIGN ASH2
AZ	AZ	False	keep	proposed	126DC	PROTO-CUNEIFORM SIGN AZ
AZU	AZU	False	keep	proposed	126DD	PROTO-CUNEIFORM SIGN AZU
BA	BA	False	keep	proposed	126DE	PROTO-CUNEIFORM SIGN BA
BAD	BAD	False	keep	proposed	126DF	PROTO-CUNEIFORM SIGN BAD
|BAD&BAD|	|BAD&BAD|	False	keep	proposed	126E0	PROTO-CUNEIFORM SIGN BAD OVER BAD
BAD₃~a	BAD3~a	False	keep	proposed	126E1	PROTO-CUNEIFORM SIGN BAD3-A
BAD₃~b1	BAD3~b1	False	keep	proposed	126E2	PROTO-CUNEIFORM SIGN BAD3-B1
BAD₃~b2	BAD3~b2	False	keep	proposed	126E3	PROTO-CUNEIFORM SIGN BAD3-B2
BAHAR₂~a	BAHAR2~a	False	keep	proposed	126E4	PROTO-CUNEIFORM SIGN BAHAR2-A
