id_text	artifact_type
P000810	tag
P000835	tag
P000927	tag
P001155	tag
P001314	tag
P001322	tag
P001431	tag
P001557	tag
P002177	tag
P002207	tag
P002208	tag
P004102	tag
P004308	tag
P004438	statue
P005477	tag
P005986	kudurru
P250428	tag
P328726	
P328728	
P328729	
P328730	
P328731	
P328732	
P328733	
P328734	
P328735	
P328736	
P328737	
P330058	
P330059	
P330060	
P342626	tag
P342627	tag
P342628	sealing
P342629	sealing
P385821	sealing
P423593	vase
P449892	
P449911	
P450832	
P450927	
P452290	sealing
P473391	seal (not impression)
P496453	Vessel
P498045	trough
P504257	
P519808	tag
