id_text	publications_key
P000001	Englund1993ATU3; Falkenstein1936ATU1
P000002	Englund1993ATU3; Falkenstein1936ATU1
P000003	Englund1993ATU3; Falkenstein1936ATU1
P000004	Englund1993ATU3; Falkenstein1936ATU1
P000005	Englund1993ATU3; Falkenstein1936ATU1
P000006	Englund1993ATU3; Falkenstein1936ATU1; Nissen1991FrüheSchrift; sec12; Woods2010writing
P000007	Englund1993ATU3; Falkenstein1936ATU1
P000008	Englund1993ATU3
P000009	Englund1993ATU3
P000010	Englund1993ATU3
P000011	Englund1993ATU3
P000012	Englund1993ATU3
P000013	Englund1993ATU3
P000014	Englund1993ATU3; Englund1998OBO160/1; sec23; sec24
P000015	Englund1993ATU3; Green1987ATU2
P000019	Englund1993ATU3
P000020	Englund1993ATU3
P000021	Englund1993ATU3
P000022	Englund1993ATU3; Englund1998OBO160/1; Nissen1991FrüheSchrift; Woods2010writing
P000023	Englund1993ATU3
P000024	Englund1993ATU3
P000025	Englund1993ATU3; Green1987ATU2
P000030	Englund1993ATU3
P000031	Englund1993ATU3
P000033	Englund1993ATU3
P000034	Englund1993ATU3
P000035	Englund1993ATU3
P000036	Englund1993ATU3
P000037	Englund1993ATU3
P000038	Englund1993ATU3
P000039	Englund1993ATU3
P000040	Englund1993ATU3
P000041	Englund1993ATU3
P000042	Englund1993ATU3
P000043	Englund1993ATU3
P000045	Englund1993ATU3
P000046	Englund1993ATU3
P000047	Englund1993ATU3
P000048	Englund1993ATU3
P000050	Englund1993ATU3
P000051	Englund1993ATU3
P000053	Englund1993ATU3
P000054	Englund1993ATU3
P000055	Englund1993ATU3
P000056	Englund1993ATU3
P000057	Englund1993ATU3
P000058	Englund1993ATU3
P000060	Englund1993ATU3
P000061	Englund1993ATU3
P000062	Englund1993ATU3
P000063	Englund1993ATU3
P000064	Englund1993ATU3
P000065	Englund1993ATU3
P000066	Englund1993ATU3
P000067	Englund1993ATU3
P000068	Englund1993ATU3
P000069	Englund1993ATU3
P000070	Englund1993ATU3
P000071	Englund1993ATU3
P000072	Englund1993ATU3
P000073	Englund1993ATU3
P000075	Englund1993ATU3
P000076	Englund1993ATU3
P000077	Englund1993ATU3
P000078	Englund1993ATU3
P000079	Englund1993ATU3
P000080	Englund1993ATU3
P000081	Englund1993ATU3
P000082	Englund1993ATU3
P000083	Englund1993ATU3
P000084	Englund1993ATU3
P000085	Englund1993ATU3
P000086	Englund1993ATU3
P000087	Englund1993ATU3
P000088	Englund1993ATU3
P000090	Englund1993ATU3
P000091	Englund1993ATU3
P000092	Englund1993ATU3
P000093	Englund1993ATU3
P000094	Englund1993ATU3
P000095	Englund1993ATU3
P000096	Englund1993ATU3
P000097	Englund1993ATU3
P000098	Englund1993ATU3
P000099	Englund1993ATU3
P000100	Englund1993ATU3
P000101	Englund1993ATU3
P000102	Englund1993ATU3
P000103	Englund1993ATU3
P000104	Englund1993ATU3
P000105	Englund1993ATU3
P000106	Englund1993ATU3
P000107	Englund1993ATU3
P000108	Englund1993ATU3
P000109	Englund1993ATU3
P000110	Englund1993ATU3
P000111	Englund1993ATU3
P000113	Englund1993ATU3
P000114	Englund1993ATU3
P000115	Englund1993ATU3
P000116	Englund1993ATU3
P000117	Englund1993ATU3
P000118	Englund1993ATU3
P000120	Englund1993ATU3
P000121	Englund1993ATU3
P000122	Englund1993ATU3
P000123	Englund1993ATU3
P000124	Englund1993ATU3
P000125	Englund1993ATU3
P000126	Englund1993ATU3
P000127	Englund1993ATU3; Green1981cuneiform
P000128	Englund1993ATU3
P000129	Englund1993ATU3
P000131	Englund1993ATU3
P000132	Englund1993ATU3
P000133	Englund1993ATU3
P000134	Englund1993ATU3
P000135	Englund1993ATU3
P000136	Englund1993ATU3
P000137	Englund1993ATU3
P000138	Englund1993ATU3
P000139	Englund1993ATU3
P000140	Englund1993ATU3
P000141	Englund1993ATU3
P000142	Englund1993ATU3
P000143	Englund1993ATU3
P000144	Englund1993ATU3
P000145	Englund1993ATU3
P000146	Englund1993ATU3
P000147	Englund1993ATU3
P000148	Englund1993ATU3
P000149	Englund1993ATU3
P000150	Englund1993ATU3
P000151	Englund1993ATU3
P000152	Englund1993ATU3
P000153	Englund1993ATU3
P000154	Englund1993ATU3
P000155	Englund1993ATU3
P000156	Englund1993ATU3
P000157	Englund1993ATU3
P000158	Englund1993ATU3
P000159	Englund1993ATU3
P000160	Englund1993ATU3
P000161	Englund1993ATU3
P000162	Englund1993ATU3
P000163	Englund1993ATU3
P000164	Englund1993ATU3; vanDijk1960UVB16
P000165	Englund1993ATU3
P000166	Englund1993ATU3
P000167	Englund1993ATU3
P000169	Englund1993ATU3
P000170	Englund1993ATU3
P000171	Englund1993ATU3
