P000705	CDLI Lexical 000007, ex. 014	Englund, Robert K. & Nissen, Hans J., ATU 7, pl. 94, HD 05
P000706	CDLI Lexical 000007, ex. 015	Englund, Robert K. & Nissen, Hans J., ATU 7, pl. 94, HD 06
P000707	CDLI Lexical 000007, ex. 016	Englund, Robert K. & Nissen, Hans J., ATU 7, pl. 94, HD 07
P000708	CDLI Lexical Archaic Unidentified, ex. 123	Englund, Robert K. & Nissen, Hans J., ATU 7 (2001) pl. 94, HD 08
P000709	CDLI Lexical 000030, ex. 058	Englund, Robert K. & Nissen, Hans J., ATU 7 (2001) pl. 94, HD 09 (""CDLI Lexical Archaic Unidentified, ex. 124); Kelley, Katherine, forthcoming
P000710	CDLI Lexical 000011, ex. 025	Englund, Robert K. & Nissen, Hans J., ATU 7 (2001) pl. 94, HD 10
P000711	CDLI Lexical 000023, ex. 094	Englund, Robert K. & Nissen, Hans J., ATU 7 (2001) pl. 94, HD 11
P000712	CDLI Lexical Archaic Unidentified, ex. 125	Englund, Robert K. & Nissen, Hans J., ATU 7 (2001) pl. 94, HD 12
P002901	ATU 7, pl. 001, W 18247,1a	
P002902	ATU 7, pl. 001, W 18247,1b	
P002903	ATU 7, pl. 001, W 18247,1c	
P002904	ATU 7, pl. 001, W 18247,1d	
P002907	ATU 7, pl. 001, W 18247,4	
P002908	ATU 7, pl. 001, W 18247,4a	
P002909	ATU 7, pl. 001, W 18247,4b	
P002913	ATU 7, pl. 001, W 18330,b	D. Schmandt-Besserat, Before Writing II, 299, token no. 443
P002915	ATU 7, pl. 002, W 19163	
P002919	ATU 7, pl. 002, W 19295	
P002922	ATU 7, pl. 002, W 19361,1	
P002924	ATU 7, pl. 002, W 19361,3	
P002926	ATU 7, pl. 002, W 19361,5	
P002928	ATU 7, pl. 002, W 19361,7	
P002930	ATU 7, pl. 002, W 19361,9	
P002933	ATU 7, pl. 003, W 19361,12	
P002934	ATU 7, pl. 003, W 19361,13	
P002936	ATU 7, pl. 003, W 19361,15	
P002938	ATU 7, pl. 003, W 19361,17	
P002940	ATU 7, pl. 003, W 19361,19	
P002943	ATU 7, pl. 003, W 19361,22	
P002944	ATU 7, pl. 003, W 19361,23	
P002946	ATU 7, pl. 003, W 19361,25	
P002947	ATU 7, pl. 004, W 19361,26	
P002948	ATU 7, pl. 004, W 19361,27+	
P002949	ATU 7, pl. 004, W 19361,28	
P002950	ATU 7, pl. 004, W 19361,29	
P002951	ATU 7, pl. 004, W 19361,30	
P002952	ATU 7, pl. 004, W 19361,31	
P002953	ATU 7, pl. 004, W 19361,32	
P002954	ATU 7, pl. 004, W 19361,33	
P002955	ATU 7, pl. 004, W 19361,34	
P002956	ATU 7, pl. 004, W 19361,35	
P002966	ATU 7, pl. 005, W 19361,37	
P002967	ATU 7, pl. 005, W 19361,38a	
P002968	ATU 7, pl. 005, W 19361,38b	
P002969	ATU 7, pl. 005, W 19361,38c	
P002970	ATU 7, pl. 006, W 19361,39a	
P002971	ATU 7, pl. 006, W 19361,39b	
P002972	ATU 7, pl. 006, W 19361,39c	
P002973	ATU 7, pl. 006, W 19361,39d	
P002974	ATU 7, pl. 006, W 19361,39e	
P002975	ATU 7, pl. 006, W 19361,39f	
P002976	ATU 7, pl. 006, W 19361,39g	
P002977	ATU 7, pl. 006, W 19361,39h	
P002978	ATU 7, pl. 006, W 19361,39i	
P002985	ATU 7, pl. 006, W 19361,41	
P002986	ATU 7, pl. 007, W 19361,42	
P002987	ATU 7, pl. 007, W 19361,43	
P002988	ATU 7, pl. 007, W 19361,44	
P003034	ATU 7, pl. 007, W 19363	
P003036	ATU 7, pl. 007, W 19408,1	
P003038	ATU 7, pl. 007, W 19408,3	
P003040	ATU 7, pl. 007, W 19408,5	
P003042	ATU 7, pl. 008, W 19408,7	
P003044	ATU 7, pl. 008, W 19408,9	
P003047	ATU 7, pl. 008, W 19408,12	
P003048	ATU 7, pl. 008, W 19408,13	
P003050	ATU 7, pl. 008, W 19408,15	
P003053	ATU 7, pl. 008, W 19408,18	
P003054	ATU 7, pl. 008, W 19408,19	
P003056	ATU 7, pl. 009, W 19408,21	
P003060	ATU 7, pl. 009, W 19408,25	
P003061	ATU 7, pl. 009, W 19408,26	van Dijk, UVB 16, Tf. 27f
P003062	ATU 7, pl. 009, W 19408,27	
P003064	ATU 7, pl. 009, W 19408,29	
P003066	ATU 7, pl. 009, W 19408,31	
P003068	ATU 7, pl. 010, W 19408,33	
P003070	ATU 7, pl. 010, W 19408,35	
P003072	ATU 7, pl. 010, W 19408,37	
P003074	ATU 7, pl. 010, W 19408,39	van Dijk, UVB 16, Tf. 27g
P003076	ATU 7, pl. 010, W 19408,41	van Dijk, UVB 16, Tf. 27d
P003078	ATU 7, pl. 010, W 19408,43	
P003080	ATU 7, pl. 011, W 19408,45	
P003083	ATU 7, pl. 011, W 19408,48	
P003084	ATU 7, pl. 011, W 19408,49	
P003086	ATU 7, pl. 011, W 19408,50b	
P003087	ATU 7, pl. 011, W 19408,51	
P003090	ATU 7, pl. 012, W 19408,54	
P003091	ATU 7, pl. 012, W 19408,55	
P003094	ATU 7, pl. 013, W 19408,58	
P003095	ATU 7, pl. 013, W 19408,59	
P003097	ATU 7, pl. 013, W 19408,61	
P003099	ATU 7, pl. 013, W 19408,63a	
P003100	ATU 7, pl. 013, W 19408,63b	
P003101	ATU 7, pl. 013, W 19408,63c	
P003102	ATU 7, pl. 013, W 19408,63d	
P003104	ATU 7, pl. 013, W 19408,65	
P003105	ATU 7, pl. 014, W 19408,66	
P003108	ATU 7, pl. 014, W 19408,69	
P003109	ATU 7, pl. 014, W 19408,70a	
P003111	ATU 7, pl. 014, W 19408,70c	
P003112	ATU 7, pl. 014, W 19408,70d	
P003116	ATU 7, pl. 014, W 19408,74	
P003118	ATU 7, pl. 014, W 19408,76+	ATU 2, plate 59; Frühe Schrift p. 98, no. 12.3; discussed by J. Friberg, AfO 44/45 (1997/98) 10; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 210 fig. 85
P003119	ATU 7, pl. 015, W 19408,77a	
P003127	ATU 7, pl. 015, W 19408,81a	
P003128	ATU 7, pl. 015, W 19408,81b	
P003129	ATU 7, pl. 015, W 19408,82a	van Dijk, UVB 16, Tf. 33d
P003131	ATU 7, pl. 015, W 19408,83	
P003133	ATU 7, pl. 015, W 19408,85	
P003134	ATU 7, pl. 015, W 19408,86	
