P000001	CDLI Lexical 000002, ex. 065	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 6435,a; ATU 1, 594
P000002	CDLI Lexical 000002, ex. 066	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 6435,b; ATU 1, 595
P000003	ATU 3, pl. 081, W 9123,d	ATU 1, 539
P000004	CDLI Lexical 000002, ex. 051	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 009, W 9169,d; ATU 1, 489
P000005	CDLI Lexical 000002, ex. 172	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 023, W 9206,k; ATU 1, 390
P000006	CDLI Lexical 000002, ex. 173	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 023, W 9656,h1; ATU 1, 340; s. A. Vaiman, ActAnt. 22, 1974, 25; Frühe Schrift p. 153, no. 16.1; Woods, Christpher, OIMP 32 (2015) 074
P000007	CDLI Lexical 000002, ex. 174	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 023, W 9656,x; ATU 1, 522
P000730	ATU 5, pl. 001, W 1872,1	ATU 1, 511
P000731	ATU 5, pl. 001, W 1872,2	ATU 1, 525
P000732	ATU 5, pl. 001, W 2134	ATU 1, 497
P000733	ATU 5, pl. 001, W 2352	ATU 1, 593
P000734	ATU 5, pl. 001, W 5233,a	ATU 1, 605; ATU 2, plate 43 (p), published as W05233,a in UVB 2, 1931, fig. 15 left (p); Frühe Schrift, p. 81, no. 10.9; Woods, Christpher, OIMP 32 (2015) 077
P000735	ATU 5, pl. 002, W 5233,b	ATU 1, 606; ATU 2, plate 43 (p), published as W 5233,b; UVB 2, 1931, fig. 15 rechts (p); Frühe Schrift, p. 81, no. 10.8; Woods, Christpher, OIMP 32 (2015) 078
P000736	ATU 5, pl. 002, W 5233,c	ATU 1, 607; ATU 2, plate 43 (p), published as W 5233,c
P000737	ATU 5, pl. 002, W 5233,e	ATU 1, 608; ATU 2, plate 43 obv. (p), published as W 5233,e
P000740	ATU 5, pl. 002, W 5353	ATU 1, 259
P000742	ATU 5, pl. 003, W 6066,a	ATU 1, 599
P000743	ATU 5, pl. 003, W 6066,b	ATU 1, 600
P000744	ATU 5, pl. 003, W 6108	ATU 1, 61
P000745	ATU 5, pl. 003, W 6110	ATU 1, 112
P000747	ATU 5, pl. 003, W 6115	ATU 1, 428
P000748	ATU 5, pl. 003, W 6150	ATU 1, 212
P000749	ATU 5, pl. 003, W 6216,a	ATU 1, 245
P000750	ATU 5, pl. 003, W 6216,b	ATU 1, 121
P000751	ATU 5, pl. 004, W 6245,a	ATU 1, 296
P000752	ATU 5, pl. 004, W 6245,b	ATU 1, 523
P000757	ATU 5, pl. 005, W 6252	ATU 1, 253; UVB 2, 1931, fig. 36 (p)
P000758	ATU 5, pl. 005, W 6284	ATU 1, 38
P000759	ATU 5, pl. 005, W 6288	ATU 1, 602; ATU 2, plate 44 obv. (p), published as W 6288
P000760	ATU 5, pl. 005, W 6372	ATU 1, 597; ATU 2, plate 44 obv. (p), published as W 7717
P000761	ATU 5, pl. 005, W 6375,a	ATU 1, 272
P000762	ATU 5, pl. 006, W 6375,b	ATU 1, 273
P000763	ATU 5, pl. 006, W 6375,c	ATU 1, 338
P000764	ATU 5, pl. 006, W 6375,d	ATU 1, 270
P000765	ATU 5, pl. 007, W 6375,e	ATU 1, 363
P000766	ATU 5, pl. 007, W 6375,f+	ATU 1, 262
P000767	ATU 5, pl. 007, W 6375,g	ATU 1, 367
P000768	ATU 5, pl. 007, W 6426,a	ATU 1, 264
P000769	ATU 5, pl. 008, W 6426,b	ATU 1, 598
P000770	ATU 5, pl. 008, W 6502,a	ATU 1, 278
P000771	ATU 5, pl. 008, W 6502,b	ATU 1, 70
P000772	ATU 5, pl. 008, W 6502,c	ATU 1, 263
P000775	ATU 5, pl. 008, W 6502,f	ATU 1, 373
P000776	ATU 5, pl. 009, W 6502,g	ATU 1, 260; UVB 2, 1931, fig. 38 (p)
P000779	ATU 5, pl. 009, W 6572,c	ATU 1, 370
P000780	ATU 5, pl. 009, W 6572,d	ATU 1, 404
P000783	ATU 5, pl. 009, W 6573,a	ATU 1, 604
P000784	ATU 5, pl. 009, W 6573,b	ATU 1, 592
P000785	ATU 5, pl. 010, W 6573,c	ATU 1, 603
P000786	ATU 5, pl. 010, W 6584	ATU 1, 502
P000787	ATU 5, pl. 010, W 6601	ATU 1, 500
P000788	ATU 5, pl. 010, W 6604	ATU 1, 612
P000789	ATU 5, pl. 010, W 6611	ATU 1, 133
P000790	ATU 5, pl. 010, W 6612,a	ATU 1, 261
P000791	ATU 5, pl. 011, W 6612,b	ATU 1, 269; K. Szarzynska, 1970, 13 obv. (c)
P000792	ATU 5, pl. 011, W 6612,c	ATU 1, 471
P000804	ATU 5, pl. 012, W 6705,a	ATU 1, 110
P000805	ATU 5, pl. 012, W 6705,b	ATU 1, 188
P000806	ATU 5, pl. 012, W 6705,c	ATU 1, 438
P000807	ATU 5, pl. 012, W 6705,d	ATU 1, 406
P000808	ATU 5, pl. 012, W 6705,e	ATU 1, 368
P000809	ATU 5, pl. 013, W 6705,f	ATU 1, 521
P000810	ATU 5, pl. 013, W 6705,g	ATU 1, 481
P000812	ATU 5, pl. 013, W 6708	ATU 1, 243
P000813	ATU 5, pl. 013, W 6710,a	ATU 1, 353; Frühe Schrift, p. 56, no. 7.5; Woods, Christpher, OIMP 32 (2015) 073
P000816	ATU 5, pl. 013, W 6710,d	ATU 1, 407
P000817	ATU 5, pl. 013, W 6710,e	ATU 1, 300
P000820	ATU 5, pl. 014, W 6738,a	ATU 1, 171; M. Lambert, Archeologia 12, 9-10, 1966, 29; K. Szarzynska, 1970, 11 obv. (c); K. Veenhof, Phoenix 24/1, 1978, 27 obv. (c)
P000821	ATU 5, pl. 014, W 6738,b	ATU 1, 150
P000822	ATU 5, pl. 014, W 6738,c	ATU 1, 177
P000823	ATU 5, pl. 014, W 6738,d	ATU 1, 493
P000828	ATU 5, pl. 014, W 6741	ATU 1, 162
