o0900000	A	sl	177_01	A	
o0900010	A₂	sl	178_01	A₂	
o0900012	AB~a	sl	178_02	AB~a	
o0900020	|AB~a×AŠ₂|	sl	179_01	AB~a+AŠ₂	ABa+ASZ2.png	gv
o0900038	|AB~a×ZATU659|	aka	179_02	AB~a+ZATU659	
o0900040	AB~a@g	sl	179_03	AB~a@g	
o0900014	AB~b	sl	179_04	AB~b	
o0900041	AB₂	sl	179_05	AB₂	
o0900043	|AB₂×2(N14)|	sl	180_01	AB₂+2(N14)	
o0900047	ABGAL	sl	180_02	ABGAL	
o0900049	ABRIG	sl	181_01	ABRIG	ABRIG.png	Prevalent form is |DU&(NUN.ME)|.
o0900050	ABZU	sl	181_02	ABZU	
o0900053	AD~a	sl	181_03	AD~a	
o0900054	AD~b	sl	181_04	AD~b	
o0900056	ADAB	sl	181_05	ADAB	
o0900058	ADDA	sl	181_06	ADDA	
o0900060	AGAR₂	sl	182_01	AGAR₂	
o0900062	AK~a	sl	182_02	AK~a	
o0900064	AL	sl	182_03	AL	
o0900067	ALAN~b	sl	183_01	ALAN~b	
o0900072	ALIM	aka	183_02	ALIM~a	
o0900075	AM~b	sl	183_03	AM~b	
o0900077	AMA~a	sl	183_04	AMA~a	
o0900079	AMA~b	sl	183_05	AMA~b	
o0900082	AMAR	sl	183_06	AMAR	AMAR.png	AMAR~v1	o0900083
o0900089	AN	sl	184_01	AN	AN.png	AN~v2	o0900091
o0900094	ANŠE~b	sl	186_01	ANŠE~b	
o0900100	APIN~a	sl	186_02	APIN~a	
o0900101	APIN~b	sl	187_01	APIN~b	
o0900102	APIN~c	sl	187_02	APIN~c	
o0900106	ARARMA₂~a	sl	187_03	ARARMA₂~a	ARARMA2a.png	ARARMA₂~a1	o0900107
o0900111	ASAR	sl	187_04	ASAR	
o0900115	BA	sl	187_05	BA	
o0900116	BAD	sl	188_01	BAD	
o0900117	|BAD&BAD|	aka	188_02	BAD+BAD	
o0903281	|1(N58).BAD~a|	aka	188_03	BAD+DIŠ~a	
o0903282	|1(N58).BAD~b|	map	188_04	BAD+DIŠ~b	
o0900119	BAD₃~a	sl	188_05	BAD₃~a	
o0900124	BAHAR₂~a	sl	188_06	BAHAR₂~a	BAHAR2a.png	BAHAR₂~a1	o0900125
o0900126	BAHAR₂~b	sl	188_07	BAHAR₂~b	BAHAR2b.png	BAHAR₂~b1	o0900127
o0900130	BALA~a	sl	189_01	BALA~a	
o0900133	BALAG	sl	189_02	BALAG	BALAG.png	BALAG~v1	o0900134
o0900139	BAN~b	sl	189_03	BAN~b	
o0900142	BANŠUR~b1	sl	189_04	BANŠUR~b1	
o0900143	BANŠUR~b2	sl	189_05	BANŠUR~b2	
o0900144	BANŠUR~c	sl	189_06	BANŠUR~c	
o0900149	BAPPIR~b	sl	189_07	BAPPIR~b	
o0900151	BAPPIR~d	sl	189_08	BAPPIR~d	
o0900154	BAR	sl	190_01	BAR	
o0900158	BARA₂~a	sl	190_02	BARA₂~a	BARA2a.png	BARA₂~a1	o0900159
o0900162	BARA₃	sl	190_03	BARA₃	BARA3.png	gv
o0900165	BIR~a	sl	190_04	BIR~a	
o0900167	BIR~c	sl	190_05	BIR~c	
o0900173	BIR₃~c	sl	190_06	BIR₃~c	
o0900175	BU~a	sl	190_07	BU~a	BUa.png	BU~a1	o0900176
o0900191	|(BU~a&BU~a).NA₂~a|	min	191_01	BU~a+BU~a+NA₂~a	BUa+BUa+NA2a.png	 |(BU~a&BU~a).NA₂~a|~v1	o0900192
o0900199	|BU~a+DU₆~a|	map	192_01	BU~a+DU₆	
o0900177	BU~b	sl	192_02	BU~b	
o0900205	BU₃	aka	192_03	BU₃~a	
o0900207	BULUG₃	sl	192_04	BULUG₃	
o0900211	BUR~a	sl	192_05	BUR~a	
o0900215	BUR₂	sl	192_06	BUR₂	
o0900217	DA~a	sl	192_07	DA~a	
o0900218	DA~b	sl	193_01	DA~b	
o0900225	DAM	sl	193_02	DAM	
o0900228	DAR~a	sl	193_03	DAR~a	
o0900230	DAR~c	sl	193_04	DAR~c	
o0900237	DARA₃~c	sl	193_05	DARA₃~c	
o0900239	DARA₃~d	sl	193_06	DARA₃~d	
o0900242	|DARA₃~d×KAR₂|	sl	193_07	DARA₃~d+KAR₂	DARA3d+KAR2.png	|DARA₃~d×KAR₂|~v1	o0900243
o0900249	DARA₄~a1	sl	193_10	DARA₄~a1	
o0900251	DARA₄~a3	sl	194_01	DARA₄~a3	
o0900252	DARA₄~b	sl	194_02	DARA₄~b	
o0900254	DARA₄~c1	sl	194_03	DARA₄~c1	
o0900260	DI	sl	194_04	DI	
o0900261	DI@t	sl	195_01	DI@t	
o0900262	DIB	sl	195_02	DIB	DIB.png	DIB~v1	o0900263
o0900264	DILMUN	sl	195_03	DILMUN	DILMUN.png	DILMUN~v1	o0900265
o0900271	DIM~c	sl	195_04	DIM~c	
o0900276	DIN	sl	195_05	DIN	
o0900279	DU	sl	195_06	DU	
o0900284	DU₆~a	sl	196_01	DU₆~a	DU6a.png	gv
o0900287	DU₆~b	sl	196_02	DU₆~b	
o0900288	DU₆~c	sl	196_03	DU₆~c	
o0900291	DU₇	sl	196_04	DU₇	
o0900305	|DU₈~c×UDU~a|	sl	196_05	DU₈~c+UDU~a	
o0900309	DU₈~c@g	sl	197_01	DU₈~c@g	
o0900312	DUB~a	sl	197_02	DUB~a	
o0900313	DUB~b	sl	197_03	DUB~b	DUBb.png	DUB~b4	o0900317
o0900326	|(DUB×DIŠ)~c|	map	197_04	DUB+DIŠ~c	
o0900329	DUB₂	sl	197_05	DUB₂	
o0900331	DUG~a	sl	197_06	DUG~a	DUGa.png	DUG~a2	o0900333
o0900334	DUG~b	sl	197_07	DUG~b	DUGb.png	DUG~b1	o0900335
o0900394	|DUG~a×1(N57)|	map	198_01	DUG+AŠ~a	
o0900395	|DUG~b×1(N57)|	aka	198_02	DUG+AŠ~b	DUG+ASZb.png	|DUG~b1×1(N57)|	o0900396
o0900398	|DUG~c×1(N57)|	aka	198_03	DUG+AŠ~c	DUG+ASZc.png	|DUG~c2×1(N57)|	o0900399
o0900401	|DUG~b×(1(N57).KU₃~a)|	map	198_04	DUG~b+1(N57)+KU₃~a	
o0900340	|DUG~b×AB₂|	aka	198_05	DUG~b+AB₂	DUGb+AB2.png	Add Uruk III form although the neck is not preserved in the Uruk III instance.
o0900342	|DUG~b×ANŠE~b|	aka	198_06	DUG~b+ANŠE~b	
o0900343	|DUG~b×ANŠE~d|	sl	198_07	DUG~b+ANŠE~d	
o0900347	|DUG~b×BALA~a|	aka	198_08	DUG~b+BALA~a	
o0900349	|DUG~b×BIR₃~c|	aka	199_01	DUG~b+BIR₃~c	
o0900351	|DUG~b×DIN|	aka	199_02	DUG~b+DIN	DUGb+DIN.png	|DUG~b×DIN|~v1	o0900352
o0900358	|DUG~b×GA~a|	sl	199_03	DUG~b+GA~a	
o0900359	|DUG~b×GA~b|	aka	199_04	DUG~b+GA~b	
o0900361	|DUG~b×GEŠTU~a|	aka	199_05	DUG~b+GEŠTU~a	DUGb+GESZTUa.png	|DUG~b×GEŠTU~a|~v1	o0900362
o0900363	|DUG~b×GEŠTU~b|	sl	199_06	DUG~b+GEŠTU~b	
o0900365	|DUG~b×GI₆|	aka	199_07	DUG~b+GI₆	
o0900367	|DUG~b×GIŠ|	aka	199_08	DUG~b+GIŠ	
o0900370	|DUG~b×HI|	aka	200_01	DUG~b+HI	DUG~b+HI.png	|DUG~b×HI|~v1	o0900370
o0900376	|DUG~b×KASKAL|	aka	200_02	DUG~b+KASKAL	
o0900379	|DUG~b×KU₆~a|	aka	200_03	DUG~b+KU₆~a	
o0900381	|DUG~b×KUR~a|	aka	200_04	DUG~b+KUR~a	
o0900384	|DUG~b×(KUR~a.X)|	map	200_05	DUG~b+KUR~a+?	DUGb+KURa+X.png	gv
o0900382	|DUG~b×KUR~b|	sl	200_06	DUG~b+KUR~b	
o0900389	|DUG~b×LAM~a|	aka	200_07	DUG~b+LAM~a	
o0900386	|DUG~b×KUR@g~a|	map	200_08	DUG~b+LAM+KUR~a	
o0900391	|DUG~b×MAŠ|	aka	201_01	DUG~b+MAŠ	
o0900408	|DUG~b×NAGA~a|	aka	201_02	DUG~b+NAGA~a	
o0900410	|DUG~b×NAM₂|	sl	201_03	DUG~b+NAM₂	
o0900414	|DUG~b×SA~a|	aka	201_04	DUG~b+SA~a	
o0900416	|DUG~b×(SA~a.GI)|	map	201_05	DUG~b+SA~a+GI	
o0900418	|DUG~b×SI₄~a|	aka	201_06	DUG~b+SI₄~a	
o0900420	|DUG~b×(SI₄~a.X)|	map	201_07	DUG~b+SI₄~a+?	
o0900422	|DUG~b×SIG₂~a1|	aka	201_08	DUG~b+SIG₂~a1	DUGb+SIG2a1.png	gv
o0900423	|DUG~b×SIG₂~a2|	sl	202_01	DUG~b+SIG₂~a2	
o0900425	|DUG~b×SIG₇|	aka	202_02	DUG~b+SIG₇	
o0900427	|DUG~b×SUHUR|	sl	202_03	DUG~b+SUHUR	
o0900431	|DUG~b×ŠAH₂~a|	aka	202_04	DUG~b+ŠAH₂~a	
o0900433	|DUG~b×ŠE~a|	aka	202_05	DUG~b+ŠE~a	DUGb+SZEa.png	|DUG~b×ŠE~a|~v2	o0900435
o0900436	|DUG×(ŠE.NAM₂)|	min	202_06	DUG~b+ŠE~a+NAM₂	
o0900439	|DUG~b×TAK₄~a|	aka	203_01	DUG~b+TAK₄~a	
o0900441	|DUG~b×(TAK₄~a.SA~a)|	map	203_02	DUG~b+TAK₄~a+SA~a	
o0900443	|DUG~b×(TAK₄~a.SAL)|	map	203_03	DUG~b+TAK₄~a+SAL	
o0900445	|DUG~b×TI|	aka	203_04	DUG~b+TI~a	
o0900449	|DUG~b×U₂~a|	aka	203_05	DUG~b+U₂~a	
o0900450	|DUG~b×U₂~b|	sl	203_06	DUG~b+U₂~b	DUGb+U2b.png	LLATU form not in CDLI-gh (collate).
o0900456	|DUG~b×UH₃~a|	aka	203_07	DUG~b+UH₃~a	
o0900458	|DUG~b×UH₃~a@t|	sl	203_08	DUG~b+UH₃~a@t	
o0900466	|DUG~b×ZATU764|	sl	203_09	DUG~b+ZATU764	
o0900468	|DUG~b×ZATU779|	aka	203_10	DUG~b+ZATU779	
o0900470	|DUG~b×ZATU780|	sl	204_01	DUG~b+ZATU780	
o0900472	|DUG~b×ZATU781|	aka	204_02	DUG~b+ZATU781	
o0900474	|DUG~b×(ZATU789.SA~a)|	map	204_03	DUG~b+ZATU789+SA~a	
o0900461	|DUG~b×X|	sl	204_04	DUG~b+?	
o0900336	DUG~c	sl	205_01	DUG~c	DUGc.png	DUG~c1	o0900337
o0900485	DUR₂	sl	206_01	DUR₂	
o0900493	E₂~a	sl	206_02	E₂~a	
o0900494	E₂~b	sl	207_01	E₂~b	
o0900504	|E₂~b×1(N58@t)|	aka	207_02	E₂~b+AŠ~c	
o0900511	EDIN	sl	207_03	EDIN	
o0900513	EN~a	sl	208_01	EN~a	ENa.png	EN~a2	o0900515
o0901606	|EN~a×NUN~a|	sl	209_01	EN~a+NUN~a	
o0900517	EN~b	sl	210_01	EN~b	ENb.png	LLATU form not in CDLI-gh (collate).
o0900533	ENDIB	sl	210_02	ENDIB	
o0900534	ENGIZ	sl	210_03	ENGIZ	
o0900535	ENKUM	sl	210_04	ENKUM	
o0900537	ENLIL	sl	210_05	ENLIL	
o0900541	ERIM~a	sl	210_06	ERIM~a	
o0900543	ERIM~b2	map	210_07	ERIM~b	
o0900544	ERIM₂	sl	210_08	ERIM₂	
o0900545	ERIN	sl	211_01	ERIN	
o0900546	EŠDA	sl	211_02	EŠDA	
o0900550	EZEN~a	sl	211_03	EZEN~a	EZENa.png	EZEN~a1	o0900551
o0900581	|EZEN~a×SU~a|	sl	211_04	EZEN~a+SU~a	
o0900552	EZEN~b	sl	212_01	EZEN~b	
o0900571	|EZEN~b×6(N57)|	aka	212_02	EZEN~b+6(N57)	
o0900594	EZINU~a	sl	212_03	EZINU~a	
o0900597	EZINU~d	sl	212_04	EZINU~d	
o0900599	GA~a	sl	212_05	GA~a	GAa.png	GA~a4	o0900603
o0900604	GA~b	sl	213_01	GA~b	
o0900605	GA~c	sl	213_02	GA~c	
o0900612	|GA~c×1(N14)|	sl	213_03	GA~c+1(N14)	
o0900616	GA₂~a1	sl	213_04	GA₂~a1	
o0900623	|GA₂~a1×A|	aka	213_05	GA₂~a1+A	
o0900641	|GA₂~a1×GIŠ@t|	sl	214_01	GA₂~a1+GIŠ@t	
o0900648	|GA₂~a1×HAL|	sl	214_02	GA₂~a1+HAL	
o0900650	|GA₂~a1×HI|	aka	214_03	GA₂~a1+HI	
o0900654	|GA₂~a1×KU₃~a|	sl	214_04	GA₂~a1+KU₃~a	
o0900657	|GA₂~a1×KU₆~a|	aka	214_05	GA₂~a1+KU₆~a	
o0900664	|GA₂~a1×MAŠ|	sl	214_06	GA₂~a1+MAŠ	
o0900687	|GA₂~a1×PAP~a|	sl	214_07	GA₂~a1+PAP~a	
o0900691	|GA₂~a1×SUHUR|	aka	214_08	GA₂~a1+SUHUR	
o0900705	|GA₂~a1×TI|	map	214_09	GA₂~a1+TI~a	
