o0900099	APIN	DNE; only in APIN!(KASKAL) P006275 o i 8
o0900164	BIR	DNE; questionable in both occurrences
o0900338	DUG~d	Former DUG~e; ADD as F301E
o0900492	E₂	DNE; hapax in square brackets P253777 r 1
o0900512	EN	DNE; typo for EN~ in P006239
o0900554	EZEN~c	ADD; CDLI-tc as CDLI-gh EZEN~c = EZEN~b@t but with both UIV and UIII forms
o0900671	|GA₂~a2×3(N57)|	ADD; CDLI-gh has incorrect form GA₂~a1×3(N57) so also DEL GA₂~a1×3(N57)
o0900713	|GA₂~b×X|	DEL; X is clear but not yet identified in an unedited MS text, P252169
o0900728	GAL	DNE; all examples are GAL~a or in one case perhaps GAL~b!
o0900925	|GUG₂~v1×ŠITA~a1|	DNE; unedited Umma hapax P006324, CDLI-tc GUG₂×ŠITAa1
o0900975	HI@g	DNE; examples should be HI@g~a
o0901042	|KA₂×LAM|	REN; PCSL SN is overspecified; CDLI-tc all examples KA₂×LAM
o0901118	KISAL~c	DNE; hapax is broken at left end; read KISAL~b1#? Preserved traces are BREAK+4(N57).
o0901130	KIŠIK	DNE; hapax in CUSAS21 298 o01b2 is KIŠIK~a!?
o0901144	KU₆	DNE; typo for KU₆~a
o0901400	MUD₃@g	DNE; both times typo for MUD₃~a@g
o0901434	|MUŠEN×PAP~a|	DNE; uncertain sign in unedited Umma text
o0901436	NA	DNE; typo for NA~a in hapax in P448702
o0901451	NAGA	DNE; typo for NAGA~a in hapax in P252171
o0901463	NAM	DNE; CUSAS31 o i 1.a is typo for NAM₂; P252160 is uncertain in unedited MS text.
o0901658	RAD	DNE; P004501 should be RAD~b
o0901717	SAR	DNE; both times in P328658 SAR is SAR~a
o0901885	SUHUR@t	REN; add-data has SUHUR~b@t but all CDLI-tc instances are SUHUR@t
o0901913	|ŠA×HI@g|	DNE; typo for |(SZAxHI@g~a)~a|
o0902038	ŠU₂	ADD; ŠU~a and ŠU~b are not used in CDLI-tc, only ŠU₂
o0902218	|U₄+1(N14)+1(N08)|	DNE; collation indicates ADD: |U₄×(1(N14).1(N08))|
o0902242	UDU	DNE; all three occurrences are UDU~a
o0902301	UR	DNE; hapax is UR~a
o0902410	UZ	DNE; UZ~a sufficient though there are multiple SALT variants
o0902441	ZATU624	DNE; traces in hapax CUSAS21 112 suggest ZATU624~a
o0902572	ZATU694	DNE; hapax CUSAS21 74 is uncertain
o0902615	|ZATU714×HI@g|	DNE; all occurrences in CUSAS21 78 should be ZATU714×HI@g~a
o0902696	ZATU751	DNE; hapax in CUSAS21 143 should be ZATU751~a
o0902738	ZATU773	DNE; examples are either ZATU773~a or ZATU773~b
o0903060	|1(N34)×1(N58)|	DNE; number
o0903405	GEŠTU~c	DNE; @compoundonly in SAG×GEŠTU~c
