o0903435	F005F	12551
o0903436	F0060	12552
o0903437	F0061	12554
o0903438	F0062	12555
o0903439	F0063	12556
o0903440	F0064	12557
o0903441	F0065	12558
o0903442	F0066	1264D
o0903443	F0067	1264E
o0903444	F0068	12650
o0903445	F0069	12651
o0903446	F006A	12652
o0903447	F006B	12653
o0903448	F006C	12654
o0903449	F006D	125BF
o0903450	F006E	125C0
o0903451	F006F	125C2
o0903452	F0070	125C3
o0903453	F0071	125C4
o0903454	F0072	125C5
o0903455	F0073	125C6
o0903456	F0074	125F0
o0903457	F0075	125F1
o0903458	F0076	125F3
o0903459	F0077	12607
o0903460	F0078	12608
o0903461	F0079	1260A
o0903462	F007A	12677
o0903463	F007B	1267A
o0903464	F007C	12632
o0903465	F007D	12633
o0903466	F007E	12635
o0903467	F007F	1255C
o0903468	F0080	12566
o0903469	F0081	12567
o0903470	F0082	12568
o0903471	F0083	12569
o0903472	F0084	1256A
o0903473	F0085	1265A
o0903474	F0086	1265B
o0903475	F0087	1265C
o0903476	F0088	1265D
o0903477	F0089	1265E
o0903478	F008A	125CB
o0903479	F008B	125F8
o0903480	F008C	125F9
o0903481	F008D	125FA
o0903482	F008E	125FB
o0903483	F008F	125FC
o0903484	F0090	1260F
o0903485	F0091	12610
o0903486	F0092	12611
o0903487	F0093	12612
o0903488	F0094	12613
o0903489	F0095	12613
o0903490	F0096	1267F
o0903491	F0097	12680
o0903492	F0098	12681
o0903493	F0099	12682
o0903494	F009A	12683
o0903495	F009B	1263A
o0903496	F009C	1263B
o0903497	F009D	1263C
o0903498	F009E	1263D
o0903499	F009F	1263E
o0903500	F00A0	125DE
o0903501	F00A1	125AB
o0903502	F00A2	12624
o0903503	F00A3	125AD
o0903504	F00A4	125AF
o0903505	F00A5	1256C
o0903506	F00A6	1256D
o0903507	F00A7	1256F
o0903508	F00A8	12570
o0903509	F00A9	12571
o0903510	F00AA	12572
o0903511	F00AB	12573
o0903512	F00AC	12663
o0903513	F00AD	12664
o0903514	F00AE	12665
o0903515	F00AF	12666
o0903516	F00B0	12667
o0903517	F00B1	125CD
o0903518	F00B2	125D0
o0903519	F00B3	12617
o0903520	F00B4	12618
o0903521	F00B5	1261A
o0903522	F00B6	1261B
o0903523	F00B7	1261C
o0903524	F00B8	1261D
o0903525	F00B9	1261E
o0903526	F00BA	12642
o0903527	F00BB	1257A
o0903528	F00BC	1257D
o0903529	F00BD	1257E
o0903530	F00BE	1257F
o0903531	F00BF	12581
o0903532	F00C0	12615
o0903533	F00C1	12640
o0903534	F00C2	12575
o0903535	F00C3	12576
o0903536	F00C4	12578
o0903537	F00C5	12620
o0903538	F00C6	12621
o0903539	F00C7	12583
o0903540	F00C8	12586
o0903541	F00C9	1259B
o0903542	F00CA	1259E
o0903543	F00CB	1259F
o0903544	F00CC	125A0
o0903545	F00CD	125A1
o0903546	F00CE	1266D
o0903547	F00CF	12670
o0903548	F00D0	12671
o0903549	F00D1	12672
o0903550	F00D2	12673
o0903551	F00D3	12674
o0903552	F00D4	125E1
o0903553	F00D5	125E4
o0903554	F00D6	125A4
o0903555	F00D7	125A7
o0903556	F00D8	125A9
o0903269	F00D9	F0115
