|ŠU₂~b.E₂~b|	x12B98.x127CE
|EN₂.E₂~a|	x127E3.x127CA
|E₂~b.LIŠ|	x127CE.x129B5
|U₄.6(N08)|	x12BE1.x1255E
|2(N57).SU~a|	xF0111.x12B1B
|U₄.7(N08)|	x12BE1.x1255F
|U₄×(1(N14).3(N01)).1(N14).4(N08)|	xF3094.x12562.x1255C
|2(N57).KU₆~a|	xF0111.x12965
|1(N57).E₂~a|	xF0110.x127CA
|KUR~b.E₂~a|	x1296F.x127CA
|1(N57).ŠUBUR|	xF0110.x12B9E
|1(N57).ŠUBUR|\1	@glyf 1 |1(N57).ŠUBUR~v1| U+12DF7 o0903221
|U₄.2(N14)|	x12BE1.x12563
|U₄×2(N01).2(N14)|	x12BF5.x12563
|U₄.1(N14).5(N08)|	x12BE1.x12562.x1255D
|TUR₃~a.5(N57)|	x12BD8.xF0114
|KA~a.ŠE~a@t|	x12914.x12B57
|3(N57).BAR×UŠ~a|	xF0112.xF3095
|(BU~a&BU~a).X|	xF302C.O
|E₂~a.LIŠ|	x127CA.x129B5
|ŠE~a.NAM₂|	x12B55
|ŠE~a.NAM₂|\1	@glyf 1 |ŠE~a.NAM₂|~v1 U+12B55 o0901956
|ŠE~a.NAM₂|\2	@glyf 2 |ŠE~a.NAM₂|~v2 U+F3014 o0901957
|SAL.LAM~b|	x12AB5.x129AD
|1(N02).RU|	x125BE.x12AA3
|U₄.1(N14).4(N08)|	x12BE1.x12562.x1255C
|U₄.2(N08)|	x12BE1.x1255A
|KU₆~a.1(N02)|	x12965.x125BE
|NI~a.RU|	x12A3A.x12AA3
|GIR~b.GIR~b|	x12895.x12895
|(BU~a&BU~a).NA₂~a|	xF302C.x12A0F
|(BU~a&BU~a).NA₂~a|\1	@glyf 1 |(BU~a&BU~a).NA₂~a~v1| U+12711 o0900192
|U₄.8(N08)|	x12BE1.x12560
|5(N57).KU₃~a|	xF0114.x12963
|3(N58).UR₃~b1|	xF011C.x12C56
|SAL.ŠU₂~b|	x12AB5.x12B98
|U₄×8(N01).X|	x12C00.O
|KAK~a.GA₂~a1|	x12922.x12815
|IR~a.GA₂~a1|	x12903.x12815
|GA~a.ZATU753|	x1280A.x12D79
|GA~a.ZATU753|\1	@glyf 1 |GA~a~v4.ZATU753|~v1 U+12810 o0900608
|2(N57).AB₂|	xF0111.x126A7
|TUG₂~a.BAD&BAD|	x12BC4.x126E0
|KA~a.ŠE~a|	x12914.x12B52
|APIN~a.APIN~a|	x126D2.x126D2
|3(N57).UDU~a|	xF0112.x12C25
|U₄×1(N01).5(N08)|	x12BF3.x1255D
|5(N57).GAR|	xF0114.x12868
