A	A	o0900000	𒚐
|A×AB₂|	A+AB₂	o0900001	𒚑
|A×EN~a~v2|	A+EN~a	o0900004	𒚒
@aka A+EN~a	A+EN~a
|A×1(N14)|	A+1N14	o0900005	𒚕
|A×ŠUBUR|	A+ŠUBUR	o0900006	𒚓
|A×ZATU672|	A+ZATU672	o0900007	𒚔
A@t	A@t	o0900009	𒚖
A₂	A₂	o0900010	𒚗
AB~a	AB~a	o0900012	𒚘
AB~a~v1	AB~a	o0900013	𒚢
AB~b	AB~b	o0900014	𒚣
|AB~b×A|	AB~b+A	o0900016	𒚤
|AB~a×A@t|	AB~a+A@t	o0900018	𒚙
|AB~a×AŠ₂|	AB~a+AŠ₂	o0900020	𒚚
|AB~a×KU₆~a|	AB~a+KU₆~a	o0900022	𒚛
|AB~b×KU₆~a|	AB~b+KU₆~a	o0900023	𒚥
|AB~a×1(N01)|	AB~a+1N1	o0900025	𒚠
|AB~a×1(N04)|	AB~a+1N4	o0900027	󳀫
|AB~a×SUKKAL|	AB~a+SUKKAL	o0900029	𒚜
|AB~b×ŠA₃~a1|	AB~b+ŠA₃~a1	o0900031	𒚦
|AB~a×(ŠE~a&ŠE~a)|	AB~a+ŠE~a+ŠE~a	o0900033	𒚝
|AB~a×X|	AB~a+X	o0900035	𒚞
|AB~a×ZATU659|	AB~a+ZATU659	o0900038	𒚟
@aka AB~a+ZATU659	AB~a+ZATU659
AB~a@g	AB~a@g	o0900040	𒚡
AB₂	AB₂	o0900041	𒚧
AB₂~v1	AB₂	o0900042	𒚩
|AB₂×2(N14)|	AB₂+2N14	o0900043	𒚨
|AB₂~v2×2(N14)|	AB₂+2N14	o0900044	𒚪
@aka AB₂+2N14	AB₂+2N14
AB₂@g	AB₂@g	o0900046	󳀪
ABGAL	ABGAL	o0900047	𒚫
ABGAL~v1	ABGAL	o0900048	𒚬
ABRIG	ABRIG	o0900049	𒚭
ABZU	ABZU	o0900050	𒚮
|AB×ZU|	AB+ZU	o0900051	󳁖
@aka AB+ZU	ABZU~b
AD~a	AD~a	o0900053	𒚯
AD~b	AD~b	o0900054	𒚰
AD~c	AD~c	o0900055	𒚱
ADAB	ADAB	o0900056	𒚲
ADAB~v1	ADAB	o0900057	󳁧
ADDA	ADDA	o0900058	𒚳
ADDA@t	ADDA@t	o0900059	𒚴
@aka ADDA@t	ADDA@t~b
AGAR₂	AGAR₂	o0900060	𒚵
AK~a	AK~a	o0900062	𒚶
AK~b	AK~b	o0900063	𒚷
AL	AL	o0900064	𒚸
ALAN~a	ALAN~a	o0900066	𒚹
ALAN~b	ALAN~b	o0900067	𒚺
ALAN~c	ALAN~c	o0900068	𒚻
ALAN~d	ALAN~d	o0900069	𒚼
ALAN~e	ALAN~e	o0900070	𒚽
ALIM	ALIM	o0900072	𒚾
@aka ALIM	ALIM~a
AM~a	AM~a	o0900074	𒚿
AM~b	AM~b	o0900075	𒛀
AMA~a	AMA~a	o0900077	𒛁
AMA~a~v1	AMA~a	o0900078	𒛃
AMA~b	AMA~b	o0900079	𒛄
|AMA~a×E₂~a|	AMA~a+E₂~a	o0900081	𒛂
AMAR	AMAR	o0900082	𒛅
AMAR~v1	AMAR	o0900083	𒛉
AMAR~v2	AMAR	o0900084	𒛊
|AMAR~v2×TAR~c|	AMAR+TAR~c	o0900086	𒛋
@aka AMAR+TAR~c	AMAR+TAR~d
@aka AMAR+TAR~c	AMAR+TAR
|AMAR&AMAR|	AMAR+AMAR	o0900087	𒛇
AMAR@g	AMAR@g	o0900088	𒛈
AN	AN	o0900089	𒛌
AN~v2	AN	o0900091	𒛍
ANŠE~a	ANŠE~a	o0900093	𒛎
