ZATU014a	ZATU gives |2(N57)+AB₂| and |3(N57)+AB₂|; Corpus has |3(N57).AB₂|/|4(N57).AB₂| in ATU 1, 610 = P005961 ii 5-6 read 3(N57) AB₂ 4(N57) AB₂ in CDLI.
ZATU074	ZATU074 DARA₄+BAD+BAD reread in ATU 3 p.154 W20421,2 = Lú Vorläufer (Tf.23) O0305 as RI₈~a? DARA₄~b.
ZATU136	ZATU EN+UDU(?) read in CDLI as X in hapax ATU 1, 342=P001563 ATU 5, pl. 104, W 9656,es i 1.
ZATU165	Only in UET II as BAU328 = |GA₂×(1(N58).BAD)|.
ZATU205	ATU 1, 28=P001294 ATU 5, pl. 068, W 9579,av read |GI&GI| |GI×SIG₂~d1|;
ZATU272	Read as sequence KA GI.
ZATU322	|LAGAB×ZATU766|; collation on P004228 o i 4b suggests not all of LAGAB is present; read X in CDLI-tc
ZATU356	ZATU |MAŠ+GAN₂| read as MAŠ GAN₂ in CDLI-tc
ZATU372	ZATU MURUB₃ read ME~a EN~b LAGAR~b1 in hapax P000849=ATU 1, 480=ATU 5 pl. 17, W 6855, i 1, i.e., |ŠITA~b2@g×HI@g~a|
ZATU395	See new copy of ATU 1, 143 in P001212=ATU 5, pl. 054, W 9335,i.
ZATU479	Delete, W 16012,b+ = P002571 now read UDU ŠITA.
ZATU505	Delete, W 14777,e = P002181 now read GAL~a ŠAB~a AL.
ZATU517	Delete, W 17586 = P002625 now read as 1(N01) KU₃.
ZATU537	|ŠU₂.U₄| in ATU 206 read as AB₂ in P001387=ATU 5 pl.80, W 9655,o.
ZATU542	ŠUNIGIN taken as DA in CDLI.
ZATU559	Damaged, identification uncertain, possibly KAB.
ZATU671	Damaged, identification uncertain.
ZATU770	Damaged; ATU 833 = ATU 1, 442 = P001011 ATU 5, pl. 034, W 9071,h; excluded from CDLI list.
ZATU790	Vacat.
ZATU793	Vacat.
ZATU794	Vacat.
ZATU796	Vacat.
ZATU816	Vacat.
ZATU827	Vacat.
ZATU828	Vacat.
ZATU830	Vacat.
