BAHAR₂~b	BAHAR₂~b	𒛧
DIM~a	DIM~a	+
DU₆~b	DU₆~b	+
DUB~b	DUB~b	𒝣
DUG~c~v1	DUG~c	𒞿
|DUG~c~v1×1(N57)|	|DUG~c×1(N57)|	𒟀
EN~a	EN~a	𒟘
GA~a	GA~a	𒠏
GAN~a	GAN~a	𒡓
GUG₂	"GUG₂~a"	+
GUM~b	GUM~b	𒣗
GURUŠ~a	-	𒣛
|HI×1(N57)|	|HI×1(N57@t)|	𒣮
IŠ~a	IŠ~a	+
KIŠ	KIŠ	𒥛
|LAGAB~a×ŠA|	-	+
MA	-	𒧀
MEN	-	𒧦
MUŠ₃~a	-	𒨃
NA₂~a	-	𒨐
NAGAR~a	-	𒨜
NANNA~a	-	+
NAR	-	+
NE~a	-	+
NIMGIR	-	𒩈
PA~a	-	𒪍
PU₂	-	+
RU	-	𒪥
SAG	-	𒪮
ZATU751~a	-	+
SANGA	-	𒪼
SI₄~d	-	𒫌
SI₄~f	-	𒫎
SIG₂~a2	-	+
SIG₇	"SIG,~a"	𒫤
SIMUG	-	𒬙
SUM~a	-	+
ŠA₃~a1	-	+
ŠA₃~a2	-	+
ŠAB~a	-	+
ŠAGAN	-	𒭇
ŠAM₂	-	󳃈
ŠE₃	-	𒭜
ŠIM~a	-	𒭳
ŠIR₃	-	𒭷
|ŠU₂~a.EN~a~v1|	|ŠU₂~a.EN~a|	𒮔
TI~a	-	𒮾
TUG₂~a	-	+
TUR	-	𒯗
U₂~b	-	𒯝
U₈	-	𒰙
UD₅~a	-	𒰡
URI₃~a	-	𒱠
URUDU~a	-	𒱴
ZATU662	-	𒳞
ZATU710	-	+
ZATU811	-	MISNUMBER
ZATU812	-	MISNUMBER
ZATU714+HI.gunu	-	MISNAMED
ZATU750	-	+
ZATU752	-	𒵸
ZATU776	-	+
