o0992220	12550	𒕐
o0992221	12551	𒕑
o0992223	12552	𒕒
o0992225	12553	𒕓
o0992226	12554	𒕔
o0992228	12555	𒕕
o0992230	12556	𒕖
o0992232	12557	𒕗
o0992234	12558	𒕘
o0992316	12559	𒕙
o0992317	1255A	𒕚
o0992318	1255B	𒕛
o0992319	1255C	𒕜
o0992321	1255D	𒕝
o0992322	1255E	𒕞
o0992323	1255F	𒕟
o0992324	12560	𒕠
o0992325	12561	𒕡
o0992337	12562	𒕢
o0992338	12563	𒕣
o0992339	12564	𒕤
o0992340	12565	𒕥
o0992341	12566	𒕦
o0992343	12567	𒕧
o0992345	12568	𒕨
o0992347	12569	𒕩
o0992349	1256A	𒕪
o0992488	1256B	𒕫
o0992490	1256C	𒕬
o0992492	1256D	𒕭
o0992494	1256E	𒕮
o0992495	1256F	𒕯
o0992497	12570	𒕰
o0992499	12571	𒕱
o0992501	12572	𒕲
o0992503	12573	𒕳
o0992609	12574	𒕴
o0992610	12575	𒕵
o0992612	12576	𒕶
o0992614	12577	𒕷
o0992615	12578	𒕸
o0992575	12579	𒕹
o0992576	1257A	𒕺
o0992578	1257B	𒕻
o0992579	1257C	𒕼
o0992580	1257D	𒕽
o0992582	1257E	𒕾
o0992584	1257F	𒕿
o0992586	12580	𒖀
o0992587	12581	𒖁
o0992627	12582	𒖂
o0992628	12583	𒖃
o0992630	12584	𒖄
o0992631	12585	𒖅
o0992632	12586	𒖆
o0992253	12589	𒖉
o0992442	1258C	𒖌
o0992443	1258D	𒖍
o0992634	1259A	𒖚
o0992635	1259B	𒖛
o0992637	1259C	𒖜
o0992638	1259D	𒖝
o0992639	1259E	𒖞
o0992641	1259F	𒖟
o0992643	125A0	𒖠
o0992645	125A1	𒖡
o0992647	125A2	𒖢
o0992675	125A3	𒖣
o0992676	125A4	𒖤
o0992678	125A5	𒖥
o0992679	125A6	𒖦
o0992680	125A7	𒖧
o0992683	125A8	𒖨
o0992684	125A9	𒖩
o0992452	125AA	𒖪
o0992460	125AB	𒖫
o0992465	125AC	𒖬
o0992468	125AD	𒖭
o0992474	125AE	𒖮
o0992475	125AF	𒖯
o0992479	125B0	𒖰
o0992483	125B1	𒖱
o0992484	125B2	𒖲
o0992485	125B3	𒖳
o0992486	125B4	𒖴
o0992487	125B5	𒖵
o0992548	125B6	𒖶
o0992549	125B7	𒖷
o0992550	125B8	𒖸
o0992551	125B9	𒖹
o0992552	125BA	𒖺
o0992553	125BB	𒖻
o0992554	125BC	𒖼
o0992555	125BD	𒖽
o0992254	125BE	𒖾
o0992255	125BF	𒖿
o0992257	125C0	𒗀
o0992259	125C1	𒗁
o0992260	125C2	𒗂
o0992262	125C3	𒗃
o0992264	125C4	𒗄
o0992266	125C5	𒗅
o0992268	125C6	𒗆
o0992370	125C7	𒗇
o0992371	125C8	𒗈
o0992372	125C9	𒗉
o0992373	125CA	𒗊
o0992374	125CB	𒗋
o0992520	125CC	𒗌
o0992521	125CD	𒗍
o0992523	125CE	𒗎
o0992524	125CF	𒗏
o0992525	125D0	𒗐
o0992301	125D1	𒗑
o0992302	125D2	𒗒
o0992303	125D3	𒗓
o0992304	125D4	𒗔
o0992305	125D5	𒗕
o0992306	125D6	𒗖
o0992307	125D7	𒗗
o0992308	125D8	𒗘
