12690	12690
12692	12691
12693	12692
12694	12693
12695	12694
12697	12695
12698	12696
12699	12697
1269A	12698
1269D	12699
1269F	1269A
F302B	1269B
126A1	1269C
126A3	1269D
126A7	1269E
126A8	1269F
F3056	126A0
126AF	126A1
126B0	126A2
126B1	126A3
126B2	126A4
126B3	126A5
126B5	126A6
126B6	126A7
126B7	126A8
126B8	126A9
126B9	126AA
126BA	126AB
126BB	126AC
126BD	126AD
126BE	126AE
126BF	126AF
126C0	126B0
126C1	126B1
126C2	126B2
126C4	126B3
126C5	126B4
126CB	126B5
126C7	126B6
126CC	126B7
126CE	126B8
126CF	126B9
126D0	126BA
126D1	126BB
F3068	126BC
126D2	126BD
126D4	126BE
126D5	126BF
126D6	126C0
126DA	126C1
126DC	126C2
126DD	126C3
126DE	126C4
126DF	126C5
126E0	126C6
126E1	126C7
126E2	126C8
126E3	126C9
126E4	126CA
126E7	126CB
126E8	126CC
126E9	126CD
126EB	126CE
126EC	126CF
126F0	126D0
126F1	126D1
126F2	126D2
126F3	126D3
126F4	126D4
126F5	126D5
126F6	126D6
126F7	126D7
126F8	126D8
126F9	126D9
126FA	126DA
126FB	126DB
126FC	126DC
126FD	126DD
126FE	126DE
12700	126DF
12702	126E0
12703	126E1
12704	126E2
12705	126E3
12706	126E4
12708	126E5
1270A	126E6
1270B	126E7
1270C	126E8
F302D	126E9
12714	126EA
12710	126EB
12715	126EC
12716	126ED
12718	126EE
12719	126EF
1271A	126F0
1271B	126F1
1271C	126F2
1271D	126F3
1271E	126F4
1271F	126F5
12720	126F6
12722	126F7
12723	126F8
12724	126F9
12725	126FA
12726	126FB
12727	126FC
12728	126FD
12729	126FE
1272A	126FF
1272B	12700
1272D	12701
1272E	12702
1272F	12703
12730	12704
12731	12705
12733	12706
12737	12707
12734	12708
12738	12709
12739	1270A
1273A	1270B
1273B	1270C
F3069	1270D
1273C	1270E
1273D	1270F
1273E	12710
1273F	12711
12740	12712
F302F	12713
12741	12714
12742	12715
12743	12716
12745	12717
12748	12718
12749	12719
1274A	1271A
1274B	1271B
F3030	1271C
1274C	1271D
1274D	1271E
1274E	1271F
1274F	12720
12750	12721
12752	12722
12753	12723
12754	12724
12755	12725
12756	12726
12757	12727
12759	12728
F3031	12729
F3032	1272A
1275A	1272B
1275B	1272C
1275D	1272D
1275F	1272E
12762	1272F
12765	12730
12766	12731
12767	12732
12768	12733
F3033	12734
12769	12735
1276A	12736
1276B	12737
1276C	12738
1276D	12739
F306A	1273A
12770	1273B
12771	1273C
12772	1273D
12773	1273E
12777	1273F
127AE	12740
12778	12741
12779	12742
1277A	12743
1277B	12744
1277C	12745
1277D	12746
1277F	12747
12780	12748
12781	12749
12782	1274A
12783	1274B
12784	1274C
12785	1274D
127B2	1274E
12786	1274F
12787	12750
12788	12751
1278A	12752
1278B	12753
1278C	12754
1278D	12755
1278E	12756
1278F	12757
12791	12758
F3054	12759
12792	1275A
12794	1275B
12795	1275C
12796	1275D
12797	1275E
12798	1275F
12799	12760
1279A	12761
1279B	12762
1279C	12763
1279D	12764
1279E	12765
1279F	12766
127A0	12767
F3034	12768
127A1	12769
127A2	1276A
127A5	1276B
127A6	1276C
127A7	1276D
127A8	1276E
127A9	1276F
127AA	12770
127AB	12771
F3035	12772
127B9	12773
127BF	12774
127C0	12775
127BB	12776
127C1	12777
127C2	12778
127C3	12779
127C4	1277A
127C5	1277B
127C6	1277C
127C7	1277D
127C8	1277E
127CA	1277F
127CD	12780
127CE	12781
127D0	12782
127D1	12783
127D2	12784
127D4	12785
127D5	12786
127D9	12787
127DA	12788
127DB	12789
127DD	1278A
127E1	1278B
127E2	1278C
127E3	1278D
127EB	1278E
127EC	1278F
127ED	12790
127EF	12791
127F0	12792
127F1	12793
127F2	12794
127F3	12795
127F4	12796
127F5	12797
127F6	12798
F3036	12799
127F7	1279A
127F9	1279B
127FA	1279C
127FB	1279D
127FD	1279E
127FE	1279F
127FF	127A0
12803	127A1
F3106	127A2
12804	127A3
12805	127A4
12806	127A5
12807	127A6
12808	127A7
12809	127A8
1280E	127A9
12811	127AA
12812	127AB
12813	127AC
12814	127AD
12815	127AE
12816	127AF
F3039	127B0
12817	127B1
F306B	127B2
12818	127B3
12819	127B4
1281A	127B5
1281B	127B6
1281C	127B7
1281D	127B8
1281E	127B9
12820	127BA
12821	127BB
12822	127BC
12823	127BD
12824	127BE
12827	127BF
12828	127C0
12829	127C1
1282A	127C2
1282B	127C3
1282E	127C4
1282F	127C5
12830	127C6
12831	127C7
12833	127C8
12834	127C9
12836	127CA
12837	127CB
12838	127CC
1283A	127CD
1283B	127CE
1283C	127CF
1283E	127D0
12840	127D1
12841	127D2
12842	127D3
12843	127D4
F306C	127D5
12845	127D6
12846	127D7
12847	127D8
12848	127D9
12849	127DA
1284A	127DB
1284B	127DC
1284D	127DD
1284E	127DE
1284F	127DF
12850	127E0
12853	127E1
12857	127E2
12858	127E3
12859	127E4
1285A	127E5
1285B	127E6
12861	127E7
12862	127E8
1285C	127E9
1285E	127EA
12863	127EB
F303A	127EC
12866	127ED
12867	127EE
12868	127EF
12869	127F0
1286A	127F1
1286B	127F2
1286C	127F3
1286D	127F4
1286F	127F5
12870	127F6
F306E	127F7
F306F	127F8
12871	127F9
12874	127FA
12875	127FB
12877	127FC
12878	127FD
F303B	127FE
12885	127FF
12879	12800
12886	12801
1287A	12802
1287B	12803
1287C	12804
12887	12805
1287E	12806
1287F	12807
12880	12808
12888	12809
12883	1280A
12889	1280B
1288A	1280C
1288C	1280D
1288D	1280E
1288E	1280F
12890	12810
12893	12811
12896	12812
12898	12813
1289A	12814
1289C	12815
1289D	12816
1289E	12817
1289F	12818
128A1	12819
128A2	1281A
128A3	1281B
128A4	1281C
128A5	1281D
128A6	1281E
128A7	1281F
128A9	12820
128AA	12821
128AB	12822
128AC	12823
128AD	12824
128AE	12825
128AF	12826
128B0	12827
128B1	12828
128B2	12829
128B4	1282A
128B5	1282B
128B6	1282C
128B9	1282D
F3070	1282E
128BA	1282F
128BC	12830
128BD	12831
128BE	12832
128C0	12833
128C2	12834
128C4	12835
128C5	12836
128C6	12837
128C7	12838
128C8	12839
128CB	1283A
128CC	1283B
128CD	1283C
128CF	1283D
128D0	1283E
128D1	1283F
128D2	12840
128D3	12841
128D4	12842
128D5	12843
128D8	12844
128D9	12845
128DA	12846
128DD	12847
128DC	12848
128DE	12849
128DF	1284A
128E0	1284B
128E1	1284C
128E2	1284D
128E3	1284E
128E4	1284F
128E5	12850
128E6	12851
128EC	12852
128EE	12853
128F0	12854
128F1	12855
128F2	12856
128F3	12857
128F4	12858
128F5	12859
128F6	1285A
F3072	1285B
128F7	1285C
128F9	1285D
128FA	1285E
128FB	1285F
128FE	12860
128FF	12861
12900	12862
12902	12863
12903	12864
12905	12865
12906	12866
12907	12867
1290B	12868
1290D	12869
12913	1286A
12914	1286B
12915	1286C
12918	1286D
12919	1286E
1291B	1286F
1291C	12870
1291E	12871
1291F	12872
12922	12873
12924	12874
12925	12875
12926	12876
12928	12877
12929	12878
1292A	12879
1292B	1287A
1292C	1287B
1292D	1287C
1292E	1287D
F303C	1287E
F303D	1287F
F303E	12880
12930	12881
12931	12882
12932	12883
12934	12884
12936	12885
12939	12886
1293A	12887
1293B	12888
1293C	12889
1293D	1288A
1293E	1288B
1293F	1288C
12940	1288D
12941	1288E
12942	1288F
12943	12890
12944	12891
12945	12892
12946	12893
12947	12894
F3073	12895
12948	12896
12949	12897
1294A	12898
1294E	12899
12950	1289A
12951	1289B
12952	1289C
12953	1289D
12954	1289E
12955	1289F
12959	128A0
1295B	128A1
1295C	128A2
1295D	128A3
1295F	128A4
12960	128A5
12961	128A6
12962	128A7
12963	128A8
12964	128A9
12965	128AA
12968	128AB
1296A	128AC
1296C	128AD
1296F	128AE
12972	128AF
12974	128B0
12975	128B1
12976	128B2
12977	128B3
12978	128B4
12979	128B5
1297A	128B6
1297B	128B7
1297C	128B8
1297E	128B9
1297F	128BA
12980	128BB
12983	128BC
12985	128BD
12986	128BE
12987	128BF
12989	128C0
1298A	128C1
1298B	128C2
1298D	128C3
1298E	128C4
1298F	128C5
12990	128C6
12991	128C7
12992	128C8
12993	128C9
12995	128CA
12996	128CB
F301A	128CC
12997	128CD
1299A	128CE
1299B	128CF
1299C	128D0
1299E	128D1
1299F	128D2
129A0	128D3
129A1	128D4
129A2	128D5
129A3	128D6
129A4	128D7
129A6	128D8
F303F	128D9
