o0980000	12690	©	A	A	A	I	𒚐	𒚐;󳃹	EASL0001 EALX001 EAAR001 EAJN001 EAVR001	o0980000
o0980003	12691	©n	|A×EN~a|	|A×EN~a~v2|	|AxEN~a|	I	𒚒	𒚒	EASL0004 EAAR002	o0980003
o0980004	12692	©	|A×ŠUBUR|	|A×ŠUBUR|	|AxSZUBUR|	I	𒚓	𒚓	EASL0005 EAAR003	o0980004
o0980005	12693	©	|A×ZATU672|	|A×ZATU672|	|AxZATU672|	I	𒚔	𒚔	EASL0006 EAAR004	o0980005
o0980006	12694	©	|A×1(N14)|	|A×1(N14)|	|Ax1(N14)|	I	𒚕	𒚕	EASL0007	o0980006
o0980009	12695	©	A₂	A₂	A2	I	𒚗	𒚗	EASL0010 EALX002 EAAR005	o0980009
o0980010	12696	©	AB~a	AB~a	AB~a	I	𒚘	𒚢,𒚘	EASL0011 EALX003 EAAR006 EAJN002 EAVR002	o0980010
o0980011	12697	©	|AB~a×A@t|	|AB~a×A@t|	|AB~axA@t|	I	𒚙	𒚙;󳃱	EASL0012 EAAR007	o0980011
o0980012	12698	©	|AB~a×AŠ₂|	|AB~a×AŠ₂|	|AB~axASZ2|	I	𒚚	𒚚;󳂮	EASL0013 EALX004	o0980012
o0980015	12699	©c	|AB~a×(ŠE~a&ŠE~a)|	|AB~a×(ŠE~a&ŠE~a)|	|AB~ax(SZE~a&SZE~a)|	I	𒚝	𒚝;󳀝	EASL0016	o0980015
o0980017	1269A	©	|AB~a×ZATU659|	|AB~a×ZATU659|	|AB~axZATU659|	I	𒚟	𒚟	EASL0018 EALX005	o0980017
o0980019	1269B	©C31b	|AB~a×1(N04)|	|AB~a×1(N04)|	-	I	󳀫	󳀫	CSL003	-
o0980020	1269C	©	AB~a@g	AB~a@g	AB~a@g	I	𒚡	𒚡	EASL0020 EALX006	o0980020
o0980021	1269D	©	AB~b	AB~b	AB~b	I	𒚣	𒚣	EASL0021 EALX007 EAAR008 EAJN003 EAVR003	o0980021
o0980025	1269E	©	AB₂	AB₂	AB2	I	𒚧	𒚧,𒚩;󳃵	EASL0025 EALX008 EAAR009 EAJN004 EAVR004	o0980025
o0980026	1269F	©	|AB₂×2(N14)|	|AB₂×2(N14)|	|AB2x2(N14)|	I	𒚨	𒚪,𒚨	EASL0026 EALX009 EAAR010	o0980026
o0980030	126A0	©	ABZU	ABZU	ABZU	I	󳁖	𒚮;󳁖	EASL0030 EALX012	o0980030
o0980031	126A1	©	AD~a	AD~a	AD~a	I	𒚯	𒚯	EASL0031 EALX013 EAJN006 EAVR005	o0980031
o0980032	126A2	©	AD~b	AD~b	AD~b	I	𒚰	𒚰	EASL0032 EALX014	o0980032
o0980033	126A3	©	AD~c	AD~c	AD~c	I	𒚱	𒚱	EASL0033 EAJN007	o0980033
o0980034	126A4	©!D	ADAB	ADAB	ADAB	I	𒚲	𒚲;󳁧	EASL0034 EALX015 EAAR012 EAVR006	o0980034
o0980035	126A5	©	ADDA	ADDA	ADDA	I	𒚳	𒚳	EASL0035 EALX016	o0980035
o0980037	126A6	©	AGAR₂	AGAR₂	AGAR2	I	𒚵	𒚵	EASL0037 EALX017 EAJN008	o0980037
o0980038	126A7	©	AK~a	AK~a	AK~a	I	𒚶	𒚶	EASL0038 EALX018 EAAR013 EAJN009 EAVR007	o0980038
o0980039	126A8	©	AK~b	AK~b	AK~b	I	𒚷	𒚷	EASL0039	o0980039
o0980040	126A9	©	AL	AL	AL	I	𒚸	𒚸	EASL0040 EALX019 EAAR014 EAJN010 EAVR008	o0980040
o0980041	126AA	©	ALAN~a	ALAN~a	ALAN~a	I	𒚹	𒚹	EASL0041	o0980041
o0980042	126AB	©	ALAN~b	ALAN~b	ALAN~b	I	𒚺	𒚺	EASL0042 EALX020	o0980042
o0980043	126AC	©	ALAN~c	ALAN~c	ALAN~c	I	𒚻	𒚻	EASL0043	o0980043
o0980045	126AD	©	ALAN~e	ALAN~e	ALAN~e	I	𒚽	𒚽	EASL0045 EAVR009	o0980045
o0980047	126AE	©	ALIM	ALIM	ALIM	I	𒚾	𒚾	EASL0047 EALX021	o0980047
o0980048	126AF	©	AM~a	AM~a	AM~a	I	𒚿	𒚿	EASL0048	o0980048
o0980049	126B0	©	AM~b	AM~b	AM~b	I	𒛀	𒛀	EASL0049 EALX022	o0980049
o0980050	126B1	©	AMA~a	AMA~a	AMA~a	I	𒛁	𒛁,𒛃	EASL0050 EALX023 EAAR015 EAJN011 EAVR010	o0980050
o0980051	126B2	©	|AMA~a×E₂~a|	|AMA~a×E₂~a|	|AMA~axE2~a|	I	𒛂	𒛂	EASL0051 EAJN012	o0980051
o0980052	126B3	©	AMA~b	AMA~b	AMA~b	I	𒛄	𒛄	EASL0052 EALX024	o0980052
o0980053	126B4	©	AMAR	AMAR	AMAR	I	𒛅	𒛊,𒛅,𒛉	EASL0053 EALX025 EAAR016 EAJN013 EAVR011	o0980053
o0980055	126B5	©n	|AMAR×TAR~c|	|AMAR~v2×TAR~c|	|AMARxTAR|	I	𒛋	𒛋	EASL0056 EAAR017	o0980055
o0980056	126B6	©	|AMAR&AMAR|	|AMAR&AMAR|	|AMAR&AMAR|	I	𒛇	𒛇	EASL0055	o0980056
o0980058	126B7	©	AN	AN	AN	I	𒛌	𒛍,󲜐,𒛌	EASL0058 EALX026 EAAR018 EAJN016 EAVR012	o0980058
o0980059	126B8	©	ANŠE~a	ANŠE~a	ANSZE~a	I	𒛎	𒛎	EASL0059	o0980059
o0980060	126B9	©	ANŠE~b	ANŠE~b	ANSZE~b	I	𒛏	𒛏	EASL0060 EALX027 EAAR019 EAJN017 EAVR013	o0980060
o0980061	126BA	©	ANŠE~c	ANŠE~c	ANSZE~c	I	𒛐	𒛐	EASL0061 EAAR020	o0980061
o0980062	126BB	©	ANŠE~e	ANŠE~e	ANSZE~e	I	𒛑	𒛑	EASL0062	o0980062
o0980063	126BC	©C01t	ANŠE~f	ANŠE~f	-	I	󳁨	󳁨	CSL004	-
o0980065	126BD	©	APIN~a	APIN~a	APIN~a	I	𒛒	𒛒	EASL0064 EALX028 EAAR021 EAJN018 EAVR014	o0980065
o0980067	126BE	©	APIN~b	APIN~b	APIN~b	I	𒛔	𒛔	EASL0066 EALX029 EAJN019	o0980067
o0980068	126BF	©	APIN~c	APIN~c	APIN~c	I	𒛕	𒛕	EASL0067 EALX030	o0980068
o0980069	126C0	©!D	ARARMA₂~a	ARARMA₂~a	ARARMA2~a	I	𒛖	𒛗,𒛖	EASL0068 EALX031	o0980069
o0980073	126C1	©!C	ASAR	ASAR	ASAR	I	𒛚	𒛚	EASL0072 EALX032	o0980073
o0980074	126C2	©	AŠ₂	AŠ₂	ASZ2	I	𒛛	𒛛	EASL0073	o0980074
o0980075	126C3	©!	AZ	AZ	AZ	I	𒛜	𒛜	EASL0074	o0980075
o0980076	126C4	©	AZU	AZU	AZU	I	𒛝	𒛝	EASL0075 EAAR023	o0980076
o0980077	126C5	©	BA	BA	BA	I	𒛞	𒛞	EASL0076 EALX033 EAAR024 EAJN020 EAVR015	o0980077
o0980078	126C6	©	BAD	BAD	BAD	I	𒛟	𒛟	EASL0077 EALX034 EAAR025	o0980078
o0980079	126C7	©	|BAD&BAD|	|BAD&BAD|	|BAD&BAD|	I	𒛠	𒛠	EASL0078 EALX035	o0980079
o0980080	126C8	©	BAD₃~a	BAD₃~a	BAD3~a	I	𒛡	𒛡	EASL0079 EALX038	o0980080
o0980081	126C9	©	BAD₃~b1	BAD₃~b1	BAD3~b1	I	𒛢	𒛢	EASL0080	o0980081
o0980082	126CA	©	BAD₃~b2	BAD₃~b2	BAD3~b2	I	𒛣	𒛣	EASL0081	o0980082
o0980083	126CB	©	BAHAR₂~a	BAHAR₂~a	BAHAR2~a	I	𒛤	𒛤,𒛥	EASL0082 EALX039	o0980083
o0980084	126CC	©	BAHAR₂~b	BAHAR₂~b	BAHAR2~b	I	𒛧	𒛦,𒛧	EASL0083 EALX040 EAJN022 EAVR017	o0980084
o0980085	126CD	©	BAHAR₂~c	BAHAR₂~c	BAHAR2~c	I	𒛨	𒛨	EASL0084 EAJN023 EAVR018	o0980085
o0980086	126CE	©	BALA~a	BALA~a	BALA~a	I	𒛩	𒛩	EASL0085 EALX041 EAAR028 EAJN024	o0980086
o0980087	126CF	©	BALA~b	BALA~b	BALA~b	I	𒛫	𒛪,𒛫	EASL0086	o0980087
o0980088	126D0	©	BALAG	BALAG	BALAG	I	𒛬	𒛬,𒛭	EASL0087 EALX042 EAAR029	o0980088
o0980089	126D1	©	BAN~a	BAN~a	BAN~a	I	𒛰	𒛮,𒛯,𒛰	EASL0088 EAAR030	o0980089
o0980090	126D2	©	BAN~b	BAN~b	BAN~b	I	𒛱	𒛱	EASL0089 EALX043 EAJN025	o0980090
o0980091	126D3	©	BANŠUR~a	BANŠUR~a	BANSZUR~a	I	𒛲	𒛲	EASL0090 EAAR031	o0980091
o0980092	126D4	©	BANŠUR~a@t	BANŠUR~a@t	BANSZUR~a@t	I	𒛳	𒛳	EASL0091	o0980092
o0980093	126D5	©	BANŠUR~b1	BANŠUR~b1	BANSZUR~b1	I	𒛴	𒛴	EASL0092 EALX044	o0980093
o0980094	126D6	©	BANŠUR~b2	BANŠUR~b2	BANSZUR~b2	I	𒛵	𒛵	EASL0093 EALX045	o0980094
o0980095	126D7	©	BANŠUR~c	BANŠUR~c	BANSZUR~c	I	𒛶	𒛶	EASL0094 EALX046	o0980095
o0980096	126D8	©!U	BAPPIR~a	BAPPIR~a	BAPPIR~a	I	𒛷	𒛷	EASL0095	o0980096
o0980097	126D9	©!U	BAPPIR~b	BAPPIR~b	BAPPIR~b	I	𒛸	𒛸	EASL0096 EALX047	o0980097
o0980098	126DA	©!U	BAPPIR~c	BAPPIR~c	BAPPIR~c	I	𒛹	𒛹	EASL0097	o0980098
o0980099	126DB	©!U	BAPPIR~d	BAPPIR~d	BAPPIR~d	I	𒛺	𒛺	EASL0098 EALX048 EAVR019	o0980099
o0980100	126DC	©!U	BAPPIR~e	BAPPIR~e	BAPPIR~e	I	𒛻	𒛻	EASL0099	o0980100
o0980101	126DD	©!U	BAPPIR~f	BAPPIR~f	BAPPIR~f	I	𒛼	𒛼	EASL0100	o0980101
o0980102	126DE	©	BAR	BAR	BAR	I	𒛽	𒛽	EASL0101 EALX049 EAAR032 EAJN026 EAVR020	o0980102
o0980105	126DF	©	BARA₂~a	BARA₂~a	BARA2~a	I	𒛾	𒛾,𒛿	EASL0102 EALX050 EAAR033 EAJN027 EAVR021	o0980105
o0980106	126E0	©	BARA₂~b	BARA₂~b	BARA2~b	I	𒜀	𒜀,𒜁	EASL0103 EAAR034	o0980106
o0980107	126E1	©	BARA₃	BARA₃	BARA3	I	𒜂	𒜂	EASL0104 EALX051 EAJN028	o0980107
o0980109	126E2	©	BIR~a	BIR~a	BIR~a	I	𒜃	𒜃	EASL0106 EALX052 EAAR035	o0980109
o0980110	126E3	©	BIR~b	BIR~b	BIR~b	I	𒜄	𒜄	EASL0107 EAAR036	o0980110
o0980111	126E4	©	BIR~c	BIR~c	BIR~c	I	𒜅	𒜅	EASL0108 EALX053	o0980111
o0980112	126E5	©	BIR₃~a	BIR₃~a	BIR3~a	I	𒜆	𒜇,𒜆	EASL0109 EAAR037 EAVR022	o0980112
o0980113	126E6	©	BIR₃~b	BIR₃~b	BIR3~b	I	𒜈	𒜉,𒜈	EASL0110 EAAR038	o0980113
o0980114	126E7	©	BIR₃~c	BIR₃~c	BIR3~c	I	𒜊	𒜊;󳃗	EASL0111 EALX054 EAVR023	o0980114
o0980115	126E8	©	BU~a	BU~a	BU~a	I	𒜋	𒜓,𒜋	EASL0112 EALX055 EAAR039 EAJN029 EAVR024	o0980115
o0980117	126E9	©	|BU~a+DU₆~a|	|BU~a+DU₆~a|	|BU~a+DU6~a|	I	𒜌	𒜌,𒜍	EASL0113 EALX057 EAAR043 EAJN030 EAVR026	o0980117
o0980118	126EA	©C21t	|BU~a+KI|	|BU~a+KI|	-	I	󳀭	󳀭	CSL008	-
o0980120	126EB	©n	|BU~a×A|	|BU~a~v1×A|	|BU~axA|	I	𒜔	𒜔	EASL0119 EAAR040 EAVR025	o0980120
o0980123	126EC	©	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA2~a|	I	𒜐	𒜐,𒜑	EASL0116 EALX056 EAAR041	o0980123
o0980125	126ED	©nc	|(BU~a%BU~a).NA₂~a@n|	|(BU~a~v1%BU~a~v1).NA₂~a@n|	|(BU~a&BU~a).NA2~a@n|	I	𒜕	𒜕,󲱣;󳃷	EASL0120 EAAR042	o0980125
o0980126	126EE	©	BU~b	BU~b	BU~b	I	𒜖	𒜖	EASL0121 EALX058 EAAR044 EAJN031	o0980126
o0980128	126EF	©	BU₃	BU₃	BU3	I	𒜘	𒜘	EASL0123 EALX059 EAVR027	o0980128
o0980129	126F0	©	BULUG	BULUG	BULUG	I	𒜙	𒜙	EASL0124 EAAR045	o0980129
o0980130	126F1	©	BULUG₃	BULUG₃	BULUG3	I	𒜚	𒜚	EASL0125 EALX060	o0980130
o0980132	126F2	©	BUR~a	BUR~a	BUR~a	I	𒜛	𒜛	EASL0126 EALX061 EAVR028	o0980132
o0980133	126F3	©	BUR~b	BUR~b	BUR~b	I	𒜜	𒜜	EASL0127 EAAR046	o0980133
o0980134	126F4	©	BUR~c	BUR~c	BUR~c	I	𒜝	𒜝	EASL0128	o0980134
o0980135	126F5	©	BUR~d	BUR~d	BUR~d	I	𒜞	𒜞	EASL0129	o0980135
o0980136	126F6	©	BUR₂	BUR₂	BUR2	I	𒜟	𒜟	EASL0130 EALX062	o0980136
o0980137	126F7	©	DA~a	DA~a	DA~a	I	𒜠	𒜠	EASL0131 EALX063 EAAR047 EAJN032 EAVR029	o0980137
o0980139	126F8	©	DA~b	DA~b	DA~b	I	𒜢	𒜢	EASL0133 EALX064 EAAR048	o0980139
o0980140	126F9	©	DA~c	DA~c	DA~c	I	𒜣	𒜣	EASL0134 EAAR049	o0980140
o0980141	126FA	©	DA~d	DA~d	DA~d	I	𒜤	𒜤	EASL0135 EAAR050	o0980141
o0980143	126FB	©	DAH	DAH	DAH	I	𒜥	𒜥	EASL0137 EAAR051 EAJN033 EAVR030	o0980143
o0980144	126FC	©	DAM	DAM	DAM	I	𒜦	𒜦	EASL0138 EALX065	o0980144
o0980145	126FD	©	DANNA	DANNA	DANNA	I	𒜧	𒜧	EASL0139	o0980145
o0980146	126FE	©	DAR~a	DAR~a	DAR~a	I	𒜨	𒜨	EASL0140 EALX066 EAVR031	o0980146
o0980147	126FF	©	|DAR~a×A|	|DAR~a×A|	|DAR~axA|	I	𒜩	𒜩	EASL0141	o0980147
o0980148	12700	©	DAR~b	DAR~b	DAR~b	I	𒜪	𒜪	EASL0142 EAJN034	o0980148
o0980149	12701	©	DAR~c	DAR~c	DAR~c	I	𒜫	𒜫	EASL0143 EALX067	o0980149
o0980150	12702	©	DAR~d	DAR~d	DAR~d	I	𒜬	𒜬	EASL0144	o0980150
o0980151	12703	©	DARA₃~a	DARA₃~a	DARA3~a	I	𒜭	𒜭	EASL0145 EAAR052	o0980151
o0980152	12704	©	DARA₃~b	DARA₃~b	DARA3~b	I	𒜮	𒜮	EASL0146 EAAR053	o0980152
o0980153	12705	©	DARA₃~c	DARA₃~c	DARA3~c	I	𒜯	𒜯,𒜲	EASL0147 EALX068	o0980153
o0980154	12706	©	|DARA₃~c×KAR₂|	|DARA₃~c×KAR₂|	|DARA3~cxKAR2|	I	𒜰	𒜰;󳃘	EASL0148 EAVR032	o0980154
o0980155	12707	©	|DARA₃~c×(KAR₂.ŠE~a)|	|DARA₃~c×(KAR₂.ŠE~a)|	|DARA3~cx(KAR2.SZE~a)|	I	𒜱	𒜱	EASL0149 EAAR054	o0980155
o0980156	12708	©	DARA₃~d	DARA₃~d	DARA3~d	I	𒜳	𒜳	EASL0150 EALX069	o0980156
o0980157	12709	©	|DARA₃~d×(KAR₂.ŠE~a)|	|DARA₃~d×(KAR₂.ŠE~a)|	|DARA3~dx(KAR2.SZE~a)|	I	𒜷	𒜷	EASL0151	o0980157
o0980158	1270A	©	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂~b|	|DARA3~dxKAR2|	I	𒜴	𒜵,𒜴,𒜶	EASL0152 EALX070 EAAR055	o0980158
o0980159	1270B	©	DARA₄~a1	DARA₄~a1	DARA4~a1	I	𒜸	𒜸	EASL0153 EALX071 EAVR033	o0980159
o0980160	1270C	©	DARA₄~a2	DARA₄~a2	DARA4~a2	I	𒜹	𒜹	EASL0154 EAAR056	o0980160
o0980161	1270D	©	DARA₄~a3	DARA₄~a3	DARA4~a3	I	𒜺	𒜺	EASL0155 EALX072	o0980161
o0980162	1270E	©	DARA₄~b	DARA₄~b	DARA4~b	I	𒜻	𒜻	EASL0156 EALX073 EAAR057	o0980162
o0980163	1270F	©C31t	DARA₄~c	DARA₄~c	-	I	󳁩	󳁩	CSL012	-
o0980164	12710	©	DARA₄~c1	DARA₄~c1	DARA4~c1	I	𒜼	𒜼	EASL0157 EALX074 EAVR034	o0980164
o0980165	12711	©	DARA₄~c2	DARA₄~c2	DARA4~c2	I	𒜽	𒜽	EASL0158	o0980165
o0980166	12712	©	DARA₄~c3	DARA₄~c3	DARA4~c3	I	𒜾	𒜾	EASL0159	o0980166
o0980167	12713	©	DARA₄~c4	DARA₄~c4	DARA4~c4	I	𒜿	𒜿	EASL0160	o0980167
o0980168	12714	©	DARA₄~c5	DARA₄~c5	DARA4~c5	I	𒝀	𒝀	EASL0161	o0980168
o0980169	12715	©C21b	DARA₄~d	DARA₄~d	-	I	󳀯	󳀯	CSL013	-
o0980170	12716	©	DI	DI	DI	I	𒝁	𒝁	EASL0162 EALX075 EAAR058 EAJN035 EAVR035	o0980170
o0980171	12717	©	DI@t	DI@t	DI@t	I	𒝂	𒝂	EASL0163 EALX076	o0980171
o0980172	12718	©	DIB	DIB	DIB	I	𒝃	𒝃,𒝄;󳃙	EASL0164 EALX077 EAAR059 EAVR036	o0980172
o0980173	12719	©	DILMUN	DILMUN	DILMUN	I	𒝅	𒝇,𒝅,𒝆	EASL0165 EALX078 EAAR060	o0980173
