o0900085	𒛆	𒛅.𒖾	₁𒛅.₁𒖾	|AMAR.1(N02)|	|AMAR.1(N02)|	u126C5_u200D_u125BE.liga
o0900098	󲜖	𒛌.𒣾.𒢎	₁𒛌.₁𒣾.₁𒢎	|AN.IM~a.GI₆|	|AN.IM~a.GI₆|	u126CC_u200D_u128FE_u200D_u1288E.liga
o0900104	𒛓	𒛒.𒛒	₁𒛒.₁𒛒	|APIN~a.APIN~a|	|APIN~a.APIN~a|	u126D2_u200D_u126D2.liga
o0900181	𒜗	𒜖.𒨏	₁𒜖.₂𒨐	|BU~b.NA₂~a|	|BU~b.NA₂~a|	u12716_u200D_u12A10.liga
o0900209	󳁡	𒜚.𒝐	₁𒜚.₁𒝐	|BULUG₃.DU₆~a|	|BULUG₃.DU₆~a|	u1271A_u200D_u12750.liga
o0900222	𒜡	𒜠.𒦵	₁𒜠.₁𒦵	|DA~a.LIŠ|	|DA~a.LIŠ|	u12720_u200D_u129B5.liga
o0900049	𒚭	𒝍.𒧢.𒩴	₁𒝍.₁𒧢.₁𒩴	|DU.ME~a.NUN~a|	|DU.ME~a.NUN~a|	u1274D_u200D_u129E2_u200D_u12A74.liga
o0900508	𒟓	𒝍.𒯡	₁𒝍.₁𒯡	|DU.U₄.1(N14).1(N08)|	|DU.U₄|	u1274D_u200D_u12BE1.liga
o0900498	𒟋	𒟊.𒦵	₁𒟊.₁𒦵	|E₂~a.LIŠ|	|E₂~a.LIŠ|	u127CA_u200D_u129B5.liga
o0901578	𒩩	𒟊.𒩴	₁𒟊.₁𒩴	|E₂~a.NUN~a|	|E₂~a.NUN~a|	u127CA_u200D_u12A74.liga
o0900499	𒟏	𒟎.𒦵	₁𒟎.₁𒦵	|E₂~b.LIŠ|	|E₂~b.LIŠ|	u127CE_u200D_u129B5.liga
o0900537	𒟪	𒟙.𒥁	₁𒟙.₁𒥁	|EN~a.KID~a|	|EN~a.KID~a|	u127D9_u200D_u12941.liga
o0900534	𒟧	𒟙.𒧢.𒡸	₁𒟙.₁𒧢.₁𒡸	|EN~a.ME~a.GI|	|EN~a.ME~a.GI|	u127D9_u200D_u129E2_u200D_u12878.liga
o0900533	𒟦	𒟙.𒧢.𒧬	₁𒟙.₁𒧢.₁𒧬	|EN~a.ME~a.MU|	|EN~a.ME~a.MU|	u127D9_u200D_u129E2_u200D_u129EC.liga
o0900535	𒟨	𒟙.󳄆∘𒩴.𒫤	₁𒟙.₁󳄆∘₁𒩴.₂𒫣	|EN~a.ŠE~a@t.EZEN~b.NUN~a.SIG₇|	|EN~a.EZEN~b×ŠE~a@t∘NUN~a.SIG₇|	u127D9_u200D_uF3106_u200D_u12A74_u200D_u12AE3.liga
o0900535	𒟩	𒟙.𒛦∘𒫣.𒧢.𒩴	₁𒟙.₂𒛧∘₁𒫣.₁𒧢.₁𒩴	|EN~a.ŠE~a@t.EZEN~b.NUN~a.SIG₇|	|EN~a.BAHAR₂~b∘SIG₇.ME~a.NUN~a|	u127D9_u200D_u126E7_u200D_u12AE3_u200D_u129E2_u200D_u12A74.liga
o0900531	𒟤	𒟣.𒟊	₁𒟣.₁𒟊	|EN₂.E₂~a|	|EN₂.E₂~a|	u127E3_u200D_u127CA.liga
o0900532	𒟥	𒟣.𒟎	₁𒟣.₁𒟎	|EN₂.E₂~b|	|EN₂.E₂~b|	u127E3_u200D_u127CE.liga
o0901473	𒨨	𒟰.𒨣	₁𒟰.₁𒨣	|EŠDA.NAM₂|	|EŠDA.NAM₂|	u127F0_u200D_u12A23.liga
o0901473	𒨧	𒟰+𒨣	₁𒟰+₁𒨣	|EŠDA.NAM₂|	|EŠDA+NAM₂|	u127F0_u200D_u12A23.liga.cv01
o0900607	𒠐	𒠊.𒵹	₂𒠎.₁𒵹	|GA~a.ZATU753|	|GA~a.ZATU753|	u1280E_u200D_u12D79.liga
o0900607	𒠌	𒵹.𒠊	₁𒵹.₂𒠎	|GA~a.ZATU753|	|ZATU753.GA~a|	u12D79_u200D_u1280E.liga
o0902394	𒲃	𒡎.𒜟	₁𒡎.₁𒜟	|GAL~a.BUR₂|	|GAL~a.BUR₂|	u1284E_u200D_u1271F.liga
o0901311	𒦻	𒡎.𒦶	₁𒡎.₁𒦶	|GAL~a.LU₂|	|GAL~a.LU₂|	u1284E_u200D_u129B6.liga
o0901311	𒦺	𒦶∘𒡎	₁𒦶∘₁𒡎	|GAL~a.LU₂|	|LU₂∘GAL~a|	u129B6_u200D_u1284E.liga
o0901944	𒭑	𒡎.𒨺	₁𒡎.₁𒨺	|GAL~a.NI~a|	|GAL~a.NI~a|	u1284E_u200D_u12A3A.liga
o0901943	𒭐	𒡎.𒩃	₁𒡎.₁𒩃	|GAL~a.NIM~a|	|GAL~a.NIM~a|	u1284E_u200D_u12A43.liga
o0901110	𒥌	𒡎.𒰱	₁𒡎.₁𒰱	|GAL~a.UKKIN~a|	|GAL~a.UKKIN~a|	u1284E_u200D_u12C31.liga
