A	PROTO-CUNEIFORM SIGN A
|A×AB₂|	PROTO-CUNEIFORM SIGN A TIMES AB2
|A×AN|	PROTO-CUNEIFORM SIGN A TIMES AN
|A×EN~a|	PROTO-CUNEIFORM SIGN A TIMES EN-A
|A×ŠUBUR|	PROTO-CUNEIFORM SIGN A TIMES SHUBUR
|A×ZATU672|	PROTO-CUNEIFORM SIGN A TIMES ZATU672
|A×1(N14)|	PROTO-CUNEIFORM SIGN A TIMES ONE-N14
A@g	PROTO-CUNEIFORM SIGN A GUNU
A@t	PROTO-CUNEIFORM SIGN A TENU
A₂	PROTO-CUNEIFORM SIGN A2
AB~a	PROTO-CUNEIFORM SIGN AB-A
|AB~a×A@t|	PROTO-CUNEIFORM SIGN AB-A TIMES A TENU
|AB~a×AŠ₂|	PROTO-CUNEIFORM SIGN AB-A TIMES ASH2
|AB~a×KU₆~a|	PROTO-CUNEIFORM SIGN AB-A TIMES KU6-A
|AB~a×SUKKAL|	PROTO-CUNEIFORM SIGN AB-A TIMES SUKKAL
|AB~a×(ŠE~a&ŠE~a)|	PROTO-CUNEIFORM SIGN AB-A TIMES SHE-A OVER SHE-A
|AB~a×X|	PROTO-CUNEIFORM SIGN AB-A TIMES X
|AB~a×ZATU659|	PROTO-CUNEIFORM SIGN AB-A TIMES ZATU659
|AB~a×1(N01)|	PROTO-CUNEIFORM SIGN AB-A TIMES ONE-N1
|AB~a×1(N04)|	PROTO-CUNEIFORM SIGN AB-A TIMES ONE-N4
AB~a@g	PROTO-CUNEIFORM SIGN AB-A GUNU
AB~b	PROTO-CUNEIFORM SIGN AB-B
|AB~b×A|	PROTO-CUNEIFORM SIGN AB-B TIMES A
|AB~b×KU₆~a|	PROTO-CUNEIFORM SIGN AB-B TIMES KU6-A
|AB~b×ŠA₃~a1|	PROTO-CUNEIFORM SIGN AB-B TIMES SHA3-A1
AB₂	PROTO-CUNEIFORM SIGN AB2
|AB₂×2(N14)|	PROTO-CUNEIFORM SIGN AB2 TIMES TWO-N14
AB₂@g	PROTO-CUNEIFORM SIGN AB2 GUNU
ABGAL	PROTO-CUNEIFORM SIGN ABGAL
ABRIG	PROTO-CUNEIFORM SIGN ABRIG
ABZU	PROTO-CUNEIFORM SIGN ABZU
AD~a	PROTO-CUNEIFORM SIGN AD-A
AD~b	PROTO-CUNEIFORM SIGN AD-B
AD~c	PROTO-CUNEIFORM SIGN AD-C
ADAB	PROTO-CUNEIFORM SIGN ADAB
ADDA	PROTO-CUNEIFORM SIGN ADDA
ADDA@t	PROTO-CUNEIFORM SIGN ADDA TENU
AGAR₂	PROTO-CUNEIFORM SIGN AGAR2
AK~a	PROTO-CUNEIFORM SIGN AK-A
AK~b	PROTO-CUNEIFORM SIGN AK-B
AL	PROTO-CUNEIFORM SIGN AL
ALAN~a	PROTO-CUNEIFORM SIGN ALAN-A
ALAN~b	PROTO-CUNEIFORM SIGN ALAN-B
ALAN~c	PROTO-CUNEIFORM SIGN ALAN-C
ALAN~d	PROTO-CUNEIFORM SIGN ALAN-D
ALAN~e	PROTO-CUNEIFORM SIGN ALAN-E
ALAN~f	PROTO-CUNEIFORM SIGN ALAN-F
ALIM	PROTO-CUNEIFORM SIGN ALIM
AM~a	PROTO-CUNEIFORM SIGN AM-A
AM~b	PROTO-CUNEIFORM SIGN AM-B
AMA~a	PROTO-CUNEIFORM SIGN AMA-A
|AMA~a×E₂~a|	PROTO-CUNEIFORM SIGN AMA-A TIMES E2-A
AMA~b	PROTO-CUNEIFORM SIGN AMA-B
AMAR	PROTO-CUNEIFORM SIGN AMAR
|AMAR.1(N02)|	PROTO-CUNEIFORM SIGN AMAR BESIDE ONE-N2
|AMAR×TAR~c|	PROTO-CUNEIFORM SIGN AMAR TIMES TAR-C
|AMAR&AMAR|	PROTO-CUNEIFORM SIGN AMAR OVER AMAR
AMAR@g	PROTO-CUNEIFORM SIGN AMAR GUNU
AN	PROTO-CUNEIFORM SIGN AN
ANŠE~a	PROTO-CUNEIFORM SIGN ANSHE-A
ANŠE~b	PROTO-CUNEIFORM SIGN ANSHE-B
ANŠE~c	PROTO-CUNEIFORM SIGN ANSHE-C
ANŠE~e	PROTO-CUNEIFORM SIGN ANSHE-E
ANŠE~f	PROTO-CUNEIFORM SIGN ANSHE-F
ANZU₂	PROTO-CUNEIFORM SIGN ANZU2
APIN~a	PROTO-CUNEIFORM SIGN APIN-A
|APIN~a.APIN~a|	PROTO-CUNEIFORM SIGN APIN-A BESIDE APIN-A
APIN~b	PROTO-CUNEIFORM SIGN APIN-B
APIN~c	PROTO-CUNEIFORM SIGN APIN-C
ARARMA₂~a	PROTO-CUNEIFORM SIGN ARARMA2-A
ARARMA₂~b	PROTO-CUNEIFORM SIGN ARARMA2-B
ARATTA	PROTO-CUNEIFORM SIGN ARATTA
ASAL₂	PROTO-CUNEIFORM SIGN ASAL2
ASAR	PROTO-CUNEIFORM SIGN ASAR
AŠ₂	PROTO-CUNEIFORM SIGN ASH2
AZ	PROTO-CUNEIFORM SIGN AZ
AZU	PROTO-CUNEIFORM SIGN AZU
