o0900000	A	A	A	𒚐
o0900012	AB~a	ABa	AB~a	𒚘
o0900014	AB~b	ABb	AB~b	𒚣
o0900041	AB₂	AB2	AB₂	𒚧
o0900047	ABGAL	ABGAL	ABGAL	𒚫
o0900053	AD~a	ADa	AD~a	𒚯
o0900055	AD~c	ADc	AD~c	𒚱
o0900060	AGAR₂	AGAR2	AGAR₂	𒚵
o0900062	AK~a	AKa	AK~a	𒚶
o0900064	AL	AL	AL	𒚸
o0900077	AMA~a	AMAa	AMA~a	𒛁
o0900081	|AMA~a×E₂~a|	AMAa+E2a	AMA~a+E₂~a	𒛂
o0900082	AMAR	AMAR	AMAR	𒛅
o0900085	|AMAR.1(N02)|	AMAR+1N2	AMAR.1N2	𒛆
o0903258	|4(N57).AMAR|	AMAR+4N57	4N57.AMAR	𒸄
o0900089	AN	AN	AN	𒛌
o0900094	ANŠE~b	ANŠEb	ANŠE~b	𒛏
o0900100	APIN~a	APINa	APIN~a	𒛒
o0900101	APIN~b	APINb	APIN~b	𒛔
o0900115	BA	BA	BA	𒛞
o0903282	|(1(N58).BAD)~a|	BAD+DIŠa	BAD+DIŠ~a	𒸍
o0900126	BAHAR₂~b	BAHAR2b	BAHAR₂~b	𒛦
o0900128	BAHAR₂~c	BAHAR2c	BAHAR₂~c	𒛨
o0900130	BALA~a	BALAa	BALA~a	𒛩
o0900139	BAN~b	BANb	BAN~b	𒛱
o0900154	BAR	BAR	BAR	𒛽
o0900158	BARA₂~a	BARA2a	BARA₂~a	𒛾
o0900162	BARA₃	BARA3	BARA₃	𒜂
o0900175	BU~a	BUa	BU~a	𒜋
o0900199	|BU~a+DU₆~a|	BUa+DU6a	BU~a+DU₆~a	𒜌
o0900177	BU~b	BUb	BU~b	𒜖
o0900217	DA~a	DAa	DA~a	𒜠
o0900224	DAH	DAH	DAH	𒜥
o0900229	DAR~b	DARb	DAR~b	𒜪
o0900260	DI	DI	DI	𒝁
o0900269	DIM~a	DIMa	DIM~a	𒝈
o0900276	DIN	DIN	DIN	𒝋
o0900279	DU	DU	DU	𒝍
o0900281	|DU×1(N58@t)|	DU+1N58	DU+1N58	𒝎
o0900282	DU@g	DU.gunû	DU@g	𒝏
o0900287	DU₆~b	DU6b	DU₆~b	𒝓
o0900296	DU₈~c	DU8c	DU₈~c	𒝙
o0900312	DUB~a	DUBa	DUB~a	𒝟
o0900313	DUB~b	DUBb	DUB~b	𒝠
o0900331	DUG~a	DUGa	DUG~a	𒝭
o0900334	DUG~b	DUGb	DUG~b	𒝷
o0900336	DUG~c~v1	DUGc	DUG~c	𒞼
