o0980029	|DU.ME~a.NUN~a|
o0980306	|DU.U₄.1(N14).1(N08)|
o0980970	|E₂~a.NUN~a|
o0980322	|EN~a.BAHAR₂~b.SIG₇.ME~a.NUN~a|
o0980323	|EN~a.KID~a|
o0980321	|EN~a.ME~a.GI|
o0980320	|EN~a.ME~a.MU|
o0980322	|EN~a.EZEN~b×ŠE~a@t.NUN~a.SIG₇|
o0981495	|GAL~a.BUR₂|
o0981199	|GAL~a.NI~a|
o0981198	|GAL~a.NIM~a|
o0980540	|GEŠTU~a.NAGA~a|
o0980912	|GIR₃~c.AB~a|
o0981301	|GIR₃~c.PIRIG~b1|
o0980581	|HI.LAGAB~a|
o0981510	|MUŠ₃~a.AB~a|
o0981176	|MUŠ₃~a.ERIN|
o0981511	|MUŠ₃~a.UNUG~a|
o0980604	|NAGAR~a.BU~a|
o0980605	|NAGAR~b.BU~a|
o0980497	|NE~a.GI|
o0980329	|NE~a.RU|
o0980497	|NE~c.GI|
o0980028	|NUN~a.ME~a|
o0980029	|NUN~a.ME~a.DU|
o0981147	|PA~a.UDU~a|
o0980866	|SAL.LAGAR~a|
o0980933	|SAL.NAM₂|
o0980969	|SAL.NAM₂.EZEN~b×ŠE~a@t.NUN~a.SIG₇|
o0981092	|SAL.SI|
o0980679	|SAL.SILA₄~c|
o0981275	|SU~a.KUR~a.RU|
o0980904	|ŠEŠ~a.NA~a|
o0980773	|ŠITA~a1.MUD₃~a|
o0980650	|TE.A|
o0980070	|U₄.AB~b|
o0981461	|URI₃~a.AB~a|
o0981460	|URI₃~a.IB~a|
o0980903	|URI₃~a.NA~a|
o0981458	|URI₃~a.UNUG~a|
o0981472	|1(N57).URU~a1|
o0981473	|2(N57).URU~a1|
o0980071	|3(N57).LAM~a.KUR~a.RU|
o0980616	|UŠ~a.KUR~a|
o0980678	|UKKIN~a.GAL~a|
o0980799	|LU₂.GAL~a|
o0980902	|EŠDA.NAM₂|
o0981187	|PA~a.IB~a|
o0981188	|PAP~a.IB~a|
o0981273	|KUR~a.RU|
o0981274	|3(N57).RU|
o0981211	|ŠE~a.GUG₂|
