o0900086	|AMAR×TAR|
o0900100	APIN
o0900122	|EZEM~b×AN|
o0900199	|BU~a.DU₆~a|
o0900205	BU₃~a
o0900242	|DARA₃~d×KAR₂|
o0900242	|DARA₃~d×KAR₂|~v1
o0900242	|DARA₃~d×KAR₂|~v2
o0900243	|DARA₃~d×KAR₂|
o0900243	|DARA₃~d×KAR₂|~v1
o0900243	|DARA₃~d×KAR₂|~v2
o0900277	|DIN+1(N57)|
o0900281	|DU×DIŠ|
o0900309	DU₈@g~c
o0900324	|(DUB×DIŠ)~a|
o0900325	|(DUB×DIŠ)~b|
o0900326	|(DUB×DIŠ)~c|
o0900354	|DUG~b@r×DIN|
o0900394	|DUG+AŠ~c|
o0900476	|DUG~b&(DUG~b×1(N58))|
o0900503	|E₂~a×1(N57)@t|
o0900504	|E₂~b×1(N57)@t|
o0900516	EN
o0900532	|EN₂×E₂~b|
o0900547	|EŠDA×TAR|
o0900592	EZEM~c
o0900592	EZEN~c
o0900559	|EZEN~a×(HI.1(N57).AN)|
o0900565	|EZEN~a+KI|
o0900628	|GA₂~a×E₂~a|
o0900646	|GA₂~a2×(GU₄.ŠE₃)|
o0900680	|GA₂~a2×NIM~b1|
o0900696	|GA₂~a1×(SUKUD&SUKUD)~a|
o0900697	|GA₂~a1×(SUKUD&SUKUD)~b|
o0900809	|GI+A|
o0900816	|GI×1(N58)@t|
o0900836	GI₆~a
o0900862	|GIR₃~c×KAR₂|
o0900871	GIR₃~c@g
o0900883	|GIŠ×ŠU₂~a|
o0900884	|GIŠ×ŠU₂~b|
o0900906	GU~a
o0900911	|GU₄.ZATU755~a|
o0900920	GUG₂~a
o0900955	GURUŠDA~a
o0900960	HI~a
o0900970	|HI×1(N57)@t|
o0900976	HI@g
o0900976	HI~a@g
o0901043	|KA₂×LAM|
o0901044	TUK
o0901044	TUKU
o0901045	|TUKU+DIŠ|
o0901086	|KAŠ~b×ŠE~a|
o0901090	KI~a
o0901093	|KI@n+DUB~a|
o0901179	LA
o0901184	LA₂~a
o0901197	|LAGAB~a×DU₆~b|
o0901213	|LAGAB~a×KUŠU₂~b|
o0901260	|LAGAB~b+LAGAB~b|
o0901260	|LAGAB~b×LAGAB~b|
o0901373	MAR@g~a
o0901377	MAŠNITA
o0901401	MUD₃@g
o0901430	|MUŠEN×1(N57)|
o0901431	|MUŠEN×2(N57)|
o0901432	|MUŠEN×3(N57)|
o0901437	NA
o0901452	NAGA
o0901495	NISAG~a3
o0901530	|NINDA₂×(HI+ME~a)|
o0901551	|NINDA₂×(HI@g~a.1(N06))|
o0901955	|ŠE~a×NAM₂|
o0901570	|NINDA₂×((UDU~a×TAR)~a)|
o0901571	|NINDA₂×((UDU~a+TAR)~b)|
o0901571	|NINDA₂×((UDU~a×TAR)~b)|
o0901571	|NINDA₂×((UDU~a.TAR)~b)|
o0901606	|EN~a+NUN~a|
o0901606	|EN~a×NUN~a|
o0901609	|EN~a+NUN~b|
o0901613	NUNUZ~a1@n
o0902243	UDU
o0901643	PAP@t
o0901651	|PIRIG~b1+DIŠ|
o0901671	RU~a
o0901681	|SAG+GEŠTU~a|
o0901689	|SAG+NAM₂|
o0901693	|SAG+UKKIN~b1×1(N57)|
o0901693	|SAG×(UKKIN~b×1(N57))|
o0901702	LUKUR
o0901723	|ŠE~a+SAR|
o0901748	|SIG×1(N57)|
o0901751	SIG₂
o0901751	SIG₂~a
o0901769	|SIG₂~b.SIG₂~b|
o0901792	|SILA₃~a+GARA₂~a|
o0901808	|SILA₃~a+KAŠ~a|
o0901820	|SILA₃~a+MUD₃~b|
o0901865	SILANITA~a
o0901879	SUG₅~a
o0901881	SUHUR~a
o0901919	ŠA₃~b1
o0901957	|ŠE~a×NAM₂|
o0902004	ŠITA~a
o0902012	|ŠITA~b1×HI@g~a|
o0902026	ŠITA~a1@g
o0902041	|ŠU₂+AN|
o0902041	|ŠU₂.AN|
o0902041	|ŠU₂×AN|
o0902046	|ŠU₂×EN~a|
o0902050	|ŠU₂.((HI+1(N57))+(HI+1(N57)))|
o0902050	|ŠU₂.(HI×1(N57))&(HI×1(N57))|
o0902058	|ŠU₂×3(N57)|
o0902102	TE~a
o0902103	TI~a
o0902180	|U₄×1(N01)+1(N24)|
o0902215	|U₄×1(N58)@t|
o0902218	|(U₄+1(N14)).1(N08)|
o0902302	UR
o0902306	|UR~a×KAR₂|
o0902311	|UR₂×TAR|
o0902313	UR₃
o0902339	URU
o0902363	|URU~a1+1(N58)|
