EAVR001	o0980000	A	A	A	𒚐	/pcsl/msvo4/images/001.png
EAVR002	o0980010	AB~a	ABa	AB~a	𒚘	/pcsl/msvo4/images/002.png
EAVR003	o0980021	AB~b	ABb	AB~b	𒚣	/pcsl/msvo4/images/003.png
EAVR004	o0980025	AB₂	AB2	AB₂	𒚧	/pcsl/msvo4/images/004.png
EAVR005	o0980031	AD~a	ADa	AD~a	𒚯	/pcsl/msvo4/images/005.png
EAVR006	o0980034	ADAB	ADAB	ADAB	𒚲	/pcsl/msvo4/images/006.png
EAVR007	o0980038	AK~a	AKa	AK~a	𒚶	/pcsl/msvo4/images/007.png
EAVR008	o0980040	AL	AL	AL	𒚸	/pcsl/msvo4/images/008.png
EAVR009	o0980045	ALAN~e	ALANe	ALAN~e	𒚽	/pcsl/msvo4/images/009.png
EAVR010	o0980050	AMA~a	AMAa	AMA~a	𒛁,𒛃	/pcsl/msvo4/images/010.png
EAVR011	o0980053	AMAR	AMAR	AMAR	𒛅	/pcsl/msvo4/images/011.png
EAVR012	o0980058	AN	AN	AN	𒛌	/pcsl/msvo4/images/012.png
EAVR013	o0980060	ANŠE~b	ANŠEb	ANŠE~b	𒛏	/pcsl/msvo4/images/013.png
EAVR014	o0980065	APIN~a	APINa	APIN~a	𒛒	/pcsl/msvo4/images/014.png
EAVR015	o0980077	BA	BA	BA	𒛞	/pcsl/msvo4/images/015.png
EAVR016	o0980877	|(1(N58).BAD)~a|	BAD+DIŠa	BAD+DIŠ~a	𒸍	/pcsl/msvo4/images/016.png
EAVR017	o0980084	BAHAR₂~b	BAHAR2b	BAHAR₂~b	𒛧	/pcsl/msvo4/images/017.png
EAVR018	o0980085	BAHAR₂~c	BAHAR2c	BAHAR₂~c	𒛨	/pcsl/msvo4/images/018.png
EAVR019	o0980099	BAPPIR~d	BAPPIRd	BAPPIR~d	𒛺	/pcsl/msvo4/images/019.png
EAVR020	o0980102	BAR	BAR	BAR	𒛽	/pcsl/msvo4/images/020.png
EAVR021	o0980105	BARA₂~a	BARA2a	BARA₂~a	𒛿	/pcsl/msvo4/images/021.png
EAVR022	o0980112	BIR₃~a	BIR3a	BIR₃~a	𒜆	/pcsl/msvo4/images/022.png
EAVR023	o0980114	BIR₃~c	BIR3c	BIR₃~c	󳃗	/pcsl/msvo4/images/023.png
EAVR024	o0980115	BU~a	BUa	BU~a	𒜋	/pcsl/msvo4/images/024.png
EAVR025	o0980120	|BU~a~v1×A|	BUa+A	BU~a+A	𒜔	/pcsl/msvo4/images/025.png
EAVR026	o0980117	|BU~a+DU₆~a|	BUa+DU6a	BU~a+DU₆~a	𒜌	/pcsl/msvo4/images/026.png
EAVR027	o0980128	BU₃	BU3a	BU₃~a	𒜘	/pcsl/msvo4/images/027.png
EAVR028	o0980132	BUR~a	BURa	BUR~a	𒜛	/pcsl/msvo4/images/028.png
EAVR029	o0980137	DA~a	DAa	DA~a	𒜠	/pcsl/msvo4/images/029.png
EAVR030	o0980143	DAH	DAH	DAH	𒜥	/pcsl/msvo4/images/030.png
EAVR031	o0980146	DAR~a	DARa	DAR~a	𒜨	/pcsl/msvo4/images/031.png
EAVR032	o0980154	|DARA₃~c×KAR₂|	DARA3c+KAR2	DARA₃~c+KAR₂	󳃘	/pcsl/msvo4/images/032.png
EAVR033	o0980159	DARA₄~a1	DARA4a1	DARA₄~a1	𒜸	/pcsl/msvo4/images/033.png
EAVR034	o0980164	DARA₄~c1	DARA4c1	DARA₄~c1	𒜼	/pcsl/msvo4/images/034.png
EAVR035	o0980170	DI	DI	DI	𒝁	/pcsl/msvo4/images/035.png
EAVR036	o0980172	DIB	DIB	DIB	󳃙	/pcsl/msvo4/images/036.png
EAVR037	o0980174	DIM~a	DIMa	DIM~a	𒝈	/pcsl/msvo4/images/037.png
EAVR038	o0980179	DIN	DIN	DIN	𒝋	/pcsl/msvo4/images/038.png
EAVR039	o0980182	DU	DU	DU	𒝍	/pcsl/msvo4/images/039.png
EAVR040	o0980200	DUB~a	DUBa	DUB~a	𒝟	/pcsl/msvo4/images/040.png
EAVR041	o0980201	DUB~b	DUBb	DUB~b	𒝢	/pcsl/msvo4/images/041.png
EAVR042	o0980212	DUG~a	DUGa	DUG~a	𒝭	/pcsl/msvo4/images/042.png
EAVR043	o0980221	|DUG~a×1(N57)|	DUG+AŠa	DUG+AŠ~a	𒝳	/pcsl/msvo4/images/043.png
EAVR044	o0980217	|DUG~a×NAGA~a|	DUGa+NAGAa	DUG~a+NAGA~a	𒝰	/pcsl/msvo4/images/044.png
EAVR045	o0980218	|DUG~a×U₂~a|	DUGa+U2a	DUG~a+U₂~a	𒝱	/pcsl/msvo4/images/045.png
EAVR046	o0980284	DUG~c~v1	DUGc	DUG~c	𒞿	/pcsl/msvo4/images/046.png
EAVR047	o0980290	DUR~b	DURb	DUR~b	󳃚	/pcsl/msvo4/images/047.png
EAVR048	o0980291	DUR₂	DUR2	DUR₂	𒟅	/pcsl/msvo4/images/048.png
EAVR049	o0980297	E₂~a	E2a	E₂~a	𒟊	/pcsl/msvo4/images/049.png
EAVR050	o0980300	|E₂~a×1(N58@t)|	E2a+1N57.tenû	E₂~a+1N57@t	𒟍	/pcsl/msvo4/images/050.png
EAVR051	o0980301	E₂~b	E2b	E₂~b	𒟎	/pcsl/msvo4/images/051.png
EAVR052	o0980309	EN~a	ENa	EN~a	𒟘	/pcsl/msvo4/images/052.png
EAVR053	o0980312	EN~c	ENc	EN~c	𒟝	/pcsl/msvo4/images/053.png
EAVR054	o0980321	ENGIZ	ENGIZ	ENGIZ	𒟧	/pcsl/msvo4/images/054.png
EAVR055	o0980326	ERIM~a	ERIMa	ERIM~a	𒟫	/pcsl/msvo4/images/055.png
EAVR056	o0980329	ERIM₂	ERIM2	ERIM₂	𒟮	/pcsl/msvo4/images/056.png
EAVR057	o0980330	ERIN	ERIN	ERIN	𒟯	/pcsl/msvo4/images/057.png
EAVR058	o0980337	|EZEN~a×(HI×1(N57).AN)|	EZENa+HI+1N57+AN	EZEN~a.HI.1N57.AN	𒟵	/pcsl/msvo4/images/058.png
EAVR059	o0980350	EZEN~b	EZENb	EZEN~b	𒠃	/pcsl/msvo4/images/059.png
EAVR060	o0980354	EZINU~a	EZINUa	EZINU~a	𒠆	/pcsl/msvo4/images/060.png
EAVR061	o0980358	GA~a	GAa	GA~a	𒠎	/pcsl/msvo4/images/061.png
EAVR062	o0980359	|GA~a.ZATU753|	GAa+ZATU753	GA~a.ZATU753	𒠐	/pcsl/msvo4/images/062.png
EAVR063	o0980382	|GA₂~a1×(KU₆~a.KU₆~a)|	GA2a1+KU6a+KU6a	GA₂~a1.KU₆~a.KU₆~a	𒠢	/pcsl/msvo4/images/063.png
EAVR064	o0981688	|ZATU737×BUR~a|	GABURRA	GABURRA	𒵙	/pcsl/msvo4/images/064.png
EAVR065	o0980427	GADA~a	GADAa	GADA~a	𒡋	/pcsl/msvo4/images/065.png
EAVR066	o0980430	GAL~a	GALa	GAL~a	𒡎	/pcsl/msvo4/images/066.png
EAVR067	o0980434	GAN~a	GANa	GAN~a	𒡓	/pcsl/msvo4/images/067.png
EAVR068	o0980436	GAN~c	GANc	GAN~c	𒡘	/pcsl/msvo4/images/068.png
EAVR069	o0980453	GAN₂	GAN2	GAN₂	𒡧	/pcsl/msvo4/images/069.png
EAVR070	o0980454	GAR	GAR	GAR	𒡨	/pcsl/msvo4/images/070.png
EAVR071	o0982217	|5(N57).GAR|	GAR+5N57	5N57.GAR	𒸈	/pcsl/msvo4/images/071.png
