o0980010	AB~a	𒚘	𒚢𒚘
o0980025	AB₂	𒚧	𒚧𒚩
o0980026	|AB₂×2(N14)|	𒚨	𒚪𒚨
o0980028	ABGAL	𒚫	𒚫𒚬
o0980050	AMA~a	𒛁	𒛁𒛃
o0980053	AMAR	𒛅	𒛊𒛅𒛉
o0980058	AN	𒛌	𒛍󲜐𒛌
o0980069	ARARMA₂~a	𒛖	𒛗𒛖
o0980083	BAHAR₂~a	𒛤	𒛤𒛥
o0980084	BAHAR₂~b	𒛧	𒛦𒛧
o0980087	BALA~b	𒛫	𒛪𒛫
o0980088	BALAG	𒛬	𒛬𒛭
o0980089	BAN~a	𒛰	𒛮𒛯𒛰
o0980105	BARA₂~a	𒛾	𒛾𒛿
o0980106	BARA₂~b	𒜀	𒜀𒜁
o0980112	BIR₃~a	𒜆	𒜇𒜆
o0980113	BIR₃~b	𒜈	𒜉𒜈
o0980117	|BU~a+DU₆~a|	𒜌	𒜌𒜍
o0980123	|(BU~a&BU~a).NA₂~a|	𒜐	𒜐𒜑
o0980115	BU~a	𒜋	𒜓𒜋
o0980153	DARA₃~c	𒜯	𒜯𒜲
o0980158	|DARA₃~d×KAR₂~b|	𒜴	𒜵𒜴𒜶
o0980172	DIB	𒝃	𒝃𒝄
o0980173	DILMUN	𒝅	𒝇𒝅𒝆
o0980185	DU₆~a	𒝐	𒝑𒝐
o0980192	DU₈~b	𒝗	𒝗𒝘
o0980199	DU₈~c@g	𒝝	𒝝𒝞
o0980201	DUB~b	𒝢	𒝡𒝠𒝣𒝢𒝤
o0980212	DUG~a	𒝭	𒝶𒝵𒝭
o0980234	|DUG~b×GEŠTU~a|	𒞁	𒞰𒞁
o0980222	DUG~b	𒝷	𒞭𒝷
o0980229	|DUG~b×DIN|	𒝼	𒞯𒝼
o0980238	|DUG~b×HI|	𒞅	𒞱𒞅
o0980247	|DUG~b×MAŠ|	𒞍	𒞳𒞍
o0980261	|DUG~b×ŠE~a|	𒞙	𒞴𒞵𒞙
o0980268	|DUG~b×U₂~b|	𒞠	𒞶𒞺𒞠
o0980272	|DUG~b×X|	𒞣	𒞷𒞣
o0980279	|DUG~b×1(N57)|	𒞪	𒞸𒞪
o0980284	DUG~c	𒞿	𒞼𒞿
o0980285	|DUG~c×1(N57)|	𒟀	𒞾𒞽𒟀
o0980309	EN~a	𒟙	𒟖𒟗𒟘𒟙
o0980310	EN~b	𒟚	𒟚𒟜
o0980312	EN~c	𒟝	𒟝𒟟
o0980322	ENKUM	𒟨	𒟨𒟩
o0980334	EZEN~a	𒟳	𒠁𒟳
o0980341	|EZEN~a×LA~e|	𒟸	󲳕𒟸
o0980352	|EZEN~b×6(N57)|	𒠄	󲳟𒠄
o0980358	GA~a	𒠎	𒠊𒠋𒠍𒠎𒠏
o0980359	|GA~a.ZATU753|	𒠌	𒠌𒠐
o0980434	GAN~a	𒡓	𒡒𒡓
o0980435	GAN~b	𒡗	𒡔𒡕𒡖𒡗
o0980436	GAN~c	𒡘	𒡘𒡠
o0980467	GEŠTU~a	𒡱	𒡱𒡲𒡳
o0980470	GEŠTU~c3	𒡵	𒡵𒡶
o0980472	GI	𒡸	𒢄𒡸
o0980494	GI₆	𒢎	𒢏𒢎
o0980502	GIR~b	𒢖	𒢕𒢖
o0980533	GIŠGAL	𒢲	𒢳𒢲
o0980537	GIŠIMMAR~b1	𒢹	𒢷𒢸𒢹
o0980543	GU₄	𒢾	𒣁𒢾
o0980547	GU₇	𒣂	𒣂𒣃
o0980552	GUG₂	𒣈	𒣊𒣈
o0980565	GUM~b@n	𒣕	𒣕𒣖
o0980564	GUM~b	𒣔	𒣔𒣗
o0980569	GURUŠ~a	𒣝	𒣛𒣝
o0980580	|HI.SUHUR|	𒣩	𒣧𒣨𒣩
o0980586	|(HI×1(N57)).(HI×1(N57))|	𒣭	𒣭󳂒
o0980595	IB~a	𒣴	𒣴󳃳
o0980599	IDIGNA	𒣷	𒣸𒣷
o0980609	IN~b	𒤀	𒤀𒤁
o0980616	IR₁₁	𒤉	𒤈𒤉
o0980618	IŠ~a	𒤋	𒤌𒤋
o0980619	IŠ~b	𒤍	𒤍𒤎𒤏𒤐𒤑𒤒
o0980639	KAL~b1	𒤦	𒤦𒤧
o0980655	KAŠ~a	𒤴	𒤵𒤴
o0980656	KAŠ~b	𒤶	𒤸𒤶
o0980678	KINGAL	𒥌	𒥋𒥌
o0980687	KISIM~b	𒥕	𒥕𒥖𒥗𒥘
o0980689	KIŠ	𒥛	𒥚𒥛
o0980692	KITI	𒥟	𒥞𒥟
o0980712	KUR~c	𒥲	𒥱𒥲
o0980789	LAM~b	𒦱	𒦭𒦱𒦲
o0980794	LI	𒦳	𒦳𒦴
o0980796	LU₂	𒦶	𒦹𒦶𒦸
o0980799	LUGAL	𒦻	𒦺𒦻
o0980801	MA	𒦽	𒦽𒧀
o0980830	MAR~a	𒧘	𒧘𒧚
o0980844	MEN~a	𒧦	𒧥𒧦
o0980846	MES	𒧩	𒧨𒧩
o0980850	MUD	𒧭	𒧭𒧮
o0980869	MUŠ₃~a@g	𒨀	𒨀𒨁
o0980868	MUŠ₃~a	𒨃	𒧿𒨂𒨃
o0980884	NA₂~a	𒨐	𒨏𒨐
o0980888	NAB	𒨓	𒨓𒨔𒨕
o0980892	NAGAR~a	𒨜	𒨙𒨚𒨛𒨜
o0980893	NAGAR~b	𒨝	𒨝𒨞
o0980902	NAMEŠDA	𒨨	𒨧𒨨
o0980903	NANNA~a	𒨩	𒨩𒨪
o0980947	|NINDA₂×(HI.AN.ME~a)|	𒩖	𒩖,󲷁,𒩙
o0980908	NE~a	𒨯	𒨯𒨰𒨱
o0980913	NESAG₂~a	𒨶	𒨶󲥠
o0980915	NESAG₂~b	𒨹	𒨷𒨹
o0980923	|NI~b×4(N57)|	𒩀	𒩀;𒸇
o0980932	NIMGIR	𒩈	𒩇𒩈
o0980934	NINDA₂	𒩊	𒩧𒩊
o0982243	|NINDA₂×GUDU₄|~v2	󲷁	𒩚𒩙󲷁󲷂
o0980990	NUN~c	𒩽	𒩼𒩽𒩾𒩿
o0980998	NUNUZ~c	𒪇	𒪇𒪈𒪉𒪊
o0980999	PA~a	𒪌	𒪋𒪌𒪍
o0981006	PAP~b	𒪓	𒪓𒪔
o0981024	RU	𒪥	𒪣𒪥
o0981027	SA~c	𒪧	𒪧𒪨
o0981028	SAG	𒪮	𒪩𒪮𒪲
o0981031	|SAG@n×GEŠTU~b|	𒪭	𒪭𒪳
o0981050	SANGA~a	𒪼	𒪺𒪻𒪼
o0981051	SANGA~b	𒪾	𒪽𒪾
o0981059	SI	𒫇	𒫄𒫇
o0981071	SI₄~d	𒫋	𒫋𒫌
