o0900000	A	A	A	𒚐
o0900012	AB~a	ABa	AB~a	𒚘
o0900014	AB~b	ABb	AB~b	𒚣
o0900041	AB₂	AB2	AB₂	𒚧
o0900053	AD~a	ADa	AD~a	𒚯
o0900056	ADAB	ADAB	ADAB	𒚲
o0900062	AK~a	AKa	AK~a	𒚶
o0900064	AL	AL	AL	𒚸
o0900070	ALAN~e	ALANe	ALAN~e	𒚽
o0900077	AMA~a	AMAa	AMA~a	𒛁
o0900082	AMAR	AMAR	AMAR	𒛅
o0900089	AN	AN	AN	𒛌
o0900094	ANŠE~b	ANŠEb	ANŠE~b	𒛏
o0900100	APIN~a	APINa	APIN~a	𒛒
o0900115	BA	BA	BA	𒛞
o0903282	|(1(N58).BAD)~a|	BAD+DIŠa	BAD+DIŠ~a	𒸍
o0900126	BAHAR₂~b	BAHAR2b	BAHAR₂~b	𒛦
o0900128	BAHAR₂~c	BAHAR2c	BAHAR₂~c	𒛨
o0900151	BAPPIR~d	BAPPIRd	BAPPIR~d	𒛺
o0900154	BAR	BAR	BAR	𒛽
o0900158	BARA₂~a	BARA2a	BARA₂~a	𒛾
o0900169	BIR₃~a	BIR3a	BIR₃~a	𒜆
o0900173	BIR₃~c	BIR3c	BIR₃~c	𒜊
o0900175	BU~a	BUa	BU~a	𒜋
o0900183	|BU~a~v1×A|	BUa+A	BU~a+A	𒜔
o0900199	|BU~a+DU₆~a|	BUa+DU6a	BU~a+DU₆~a	𒜌
o0900205	BU₃	BU3a	BU₃~a	𒜘
o0900211	BUR~a	BURa	BUR~a	𒜛
o0900217	DA~a	DAa	DA~a	𒜠
o0900224	DAH	DAH	DAH	𒜥
o0900228	DAR~a	DARa	DAR~a	𒜨
o0900241	|DARA₃~c×KAR₂|	DARA3c+KAR2	DARA₃~c+KAR₂	𒜰
o0900249	DARA₄~a1	DARA4a1	DARA₄~a1	𒜸
o0900254	DARA₄~c1	DARA4c1	DARA₄~c1	𒜼
o0900260	DI	DI	DI	𒝁
o0900262	DIB	DIB	DIB	𒝃
o0900269	DIM~a	DIMa	DIM~a	𒝈
o0900276	DIN	DIN	DIN	𒝋
o0900279	DU	DU	DU	𒝍
o0900312	DUB~a	DUBa	DUB~a	𒝟
o0900313	DUB~b	DUBb	DUB~b	𒝠
o0900331	DUG~a	DUGa	DUG~a	𒝭
o0900394	|DUG~a×1(N57)|	DUG+AŠa	DUG+AŠ~a	𒝳
o0900407	|DUG~a×NAGA~a|	DUGa+NAGAa	DUG~a+NAGA~a	𒝰
o0900447	|DUG~a×U₂~a|	DUGa+U2a	DUG~a+U₂~a	𒝱
