EAAR001	o0900000	A	A	A	𒚐	/pcsl/atu5/images/001.png
EAAR002	o0900004	|A×EN~a~v2|	A+ENa	A+EN~a	𒚒	/pcsl/atu5/images/002.png
EAAR003	o0900006	|A×ŠUBUR|	A+ŠUBUR	A+ŠUBUR	𒚓	/pcsl/atu5/images/003.png
EAAR004	o0900007	|A×ZATU672|	A+ZATU672	A+ZATU672	𒚔	/pcsl/atu5/images/004.png
EAAR005	o0900010	A₂	A2	A₂	𒚗	/pcsl/atu5/images/005.png
EAAR006	o0900012	AB~a	ABa	AB~a	𒚘,𒚢	/pcsl/atu5/images/006.png
EAAR007	o0900018	|AB~a×A@t|	ABa+A.tenû	AB~a+A@t	𒚙	/pcsl/atu5/images/007.png
EAAR008	o0900014	AB~b	ABb	AB~b	𒚣	/pcsl/atu5/images/008.png
EAAR009	o0900041	AB₂	AB2	AB₂	𒚧,𒚩	/pcsl/atu5/images/009.png
EAAR010	o0900043	|AB₂×2(N14)|	AB2+2N14	AB₂+2N14	𒚪	/pcsl/atu5/images/010.png
EAAR011	o0903223	|2(N57).AB₂|	AB2+2N57	2N57.AB₂	𒷸	/pcsl/atu5/images/011.png
EAAR012	o0900056	ADAB	ADAB	ADAB	𒚲	/pcsl/atu5/images/012.png
EAAR013	o0900062	AK~a	AKa	AK~a	𒚶	/pcsl/atu5/images/013.png
EAAR014	o0900064	AL	AL	AL	𒚸	/pcsl/atu5/images/014.png
EAAR015	o0900077	AMA~a	AMAa	AMA~a	𒛁,𒛃	/pcsl/atu5/images/015.png
EAAR016	o0900082	AMAR	AMAR	AMAR	𒛊	/pcsl/atu5/images/016.png
EAAR017	o0900086	|AMAR~v2×TAR~c|	AMAR+TAR	AMAR+TAR	𒛋	/pcsl/atu5/images/017.png
EAAR018	o0900089	AN	AN	AN	𒛍,󲜐,𒛌	/pcsl/atu5/images/018.png
EAAR019	o0900094	ANŠE~b	ANŠEa	ANŠE~a	𒛏	/pcsl/atu5/images/019.png
EAAR020	o0900095	ANŠE~c	ANŠEc	ANŠE~c	𒛐	/pcsl/atu5/images/020.png
EAAR021	o0900100	APIN~a	APINa	APIN~a	𒛒	/pcsl/atu5/images/021.png
EAAR022	o0900108	ARARMA₂~b	ARARMA2b	ARARMA₂~b	𒛘	/pcsl/atu5/images/022.png
EAAR023	o0900114	AZU	AZU	AZU	𒛝	/pcsl/atu5/images/023.png
EAAR024	o0900115	BA	BA	BA	𒛞	/pcsl/atu5/images/024.png
EAAR025	o0900116	BAD	BAD	BAD	𒛟	/pcsl/atu5/images/025.png
EAAR026	o0903281	|(1(N58).BAD)~a|	BAD+DIŠa	BAD+DIŠ~a	𒸍	/pcsl/atu5/images/026.png
EAAR027	o0903283	|(1(N58).BAD)~b|	BAD+DIŠb	BAD+DIŠ~b	𒸏,𒸎	/pcsl/atu5/images/027.png
EAAR028	o0900130	BALA~b	BALAb	BALA~b	𒛩	/pcsl/atu5/images/028.png
EAAR029	o0900133	BALAG	BALAG	BALAG	𒛬,𒛭	/pcsl/atu5/images/029.png
EAAR030	o0900136	BAN~a	BANa	BAN~a	𒛮,𒛯,𒛰	/pcsl/atu5/images/030.png
EAAR031	o0900141	BANŠUR~a	BANŠURa	BANŠUR~a	𒛲	/pcsl/atu5/images/031.png
EAAR032	o0900154	BAR	BAR	BAR	𒛽	/pcsl/atu5/images/032.png
EAAR033	o0900158	BARA₂~a	BARA2a	BARA₂~a	𒛾	/pcsl/atu5/images/033.png
EAAR034	o0900160	BARA₂~b	BARA2b	BARA₂~b	𒜀	/pcsl/atu5/images/034.png
EAAR035	o0900165	BIR~a	BIRa	BIR~a	𒜃	/pcsl/atu5/images/035.png
EAAR036	o0900166	BIR~b	BIRb	BIR~b	𒜄	/pcsl/atu5/images/036.png
EAAR037	o0900169	BIR₃~a	BIR3a	BIR₃~a	𒜇	/pcsl/atu5/images/037.png
EAAR038	o0900171	BIR₃~b	BIR3b	BIR₃~b	𒜉	/pcsl/atu5/images/038.png
EAAR039	o0900175	BU~a	BUa	BU~a	𒜓,𒜋	/pcsl/atu5/images/039.png
EAAR040	o0900183	|BU~a~v1×A|	BUa+A	BU~a+A	𒜔	/pcsl/atu5/images/040.png
EAAR041	o0900191	|(BU~a&BU~a).NA₂~a|	BUa+BUa+NA2a	BU~a.BU~a.NA₂~a	𒜐	/pcsl/atu5/images/041.png
EAAR042	o0903398	|(BU~a~v1%BU~a~v1).NA₂~a@n|	BUa+BUa+NA2a.nutillû	BU~a.BU~a.NA₂~a@n	󳃷	/pcsl/atu5/images/042.png
EAAR043	o0900199	|BU~a+DU₆~a|	BUa+DU6a	BU~a+DU₆~a	𒜌,𒜍	/pcsl/atu5/images/043.png
EAAR044	o0900177	BU~b	BUb	BU~b	𒜖	/pcsl/atu5/images/044.png
EAAR045	o0900206	BULUG	BULUG	BULUG	𒜙	/pcsl/atu5/images/045.png
EAAR046	o0900212	BUR~b	BURb	BUR~b	𒜜	/pcsl/atu5/images/046.png
EAAR047	o0900217	DA~a	DAa	DA~a	𒜠	/pcsl/atu5/images/047.png
EAAR048	o0900218	DA~b	DAb	DA~b	𒜢	/pcsl/atu5/images/048.png
EAAR049	o0900219	DA~c	DAc	DA~c	𒜣	/pcsl/atu5/images/049.png
EAAR050	o0900220	DA~d	DAd	DA~d	𒜤	/pcsl/atu5/images/050.png
EAAR051	o0900224	DAH	DAH	DAH	𒜥	/pcsl/atu5/images/051.png
