o0992215	12550
o0992216	12551
o0992218	12552
o0992220	12553
o0992221	12554
o0992223	12555
o0992225	12556
o0992227	12557
o0992229	12558
o0992311	12559
o0992312	1255A
o0992313	1255B
o0992314	1255C
o0992316	1255D
o0992317	1255E
o0992318	1255F
o0992319	12560
o0992320	12561
o0992332	12562
o0992333	12563
o0992334	12564
o0992335	12565
o0992336	12566
o0992338	12567
o0992340	12568
o0992342	12569
o0992344	1256A
o0992483	1256B
o0992485	1256C
o0992487	1256D
o0992489	1256E
o0992490	1256F
o0992492	12570
o0992494	12571
o0992496	12572
o0992498	12573
o0992604	12574
o0992605	12575
o0992607	12576
o0992609	12577
o0992610	12578
o0992570	12579
o0992571	1257A
o0992573	1257B
o0992574	1257C
o0992575	1257D
o0992577	1257E
o0992579	1257F
o0992581	12580
o0992582	12581
o0992622	12582
o0992623	12583
o0992625	12584
o0992626	12585
o0992627	12586
o0992248	12589
o0992437	1258C
o0992438	1258D
o0992629	1259A
o0992630	1259B
o0992632	1259C
o0992633	1259D
o0992634	1259E
o0992636	1259F
o0992638	125A0
o0992640	125A1
o0992642	125A2
o0992670	125A3
o0992671	125A4
o0992673	125A5
o0992674	125A6
o0992675	125A7
o0992678	125A8
o0992679	125A9
o0992447	125AA
o0992455	125AB
o0992460	125AC
o0992463	125AD
o0992469	125AE
o0992470	125AF
o0992474	125B0
o0992478	125B1
o0992479	125B2
o0992480	125B3
o0992481	125B4
o0992482	125B5
o0992543	125B6
o0992544	125B7
o0992545	125B8
o0992546	125B9
o0992547	125BA
o0992548	125BB
o0992549	125BC
o0992550	125BD
o0992249	125BE
o0992250	125BF
o0992252	125C0
o0992254	125C1
o0992255	125C2
o0992257	125C3
o0992259	125C4
o0992261	125C5
o0992263	125C6
o0992365	125C7
o0992366	125C8
o0992367	125C9
o0992368	125CA
o0992369	125CB
o0992515	125CC
o0992516	125CD
o0992518	125CE
o0992519	125CF
o0992520	125D0
o0992296	125D1
o0992297	125D2
o0992298	125D3
o0992299	125D4
o0992300	125D5
o0992301	125D6
o0992302	125D7
o0992303	125D8
o0992304	125D9
o0992430	125DA
o0992431	125DB
o0992432	125DC
o0992433	125DD
o0992434	125DE
o0992542	125DF
o0992658	125E0
o0992659	125E1
o0992661	125E2
o0992662	125E3
o0992663	125E4
o0992665	125E5
o0992666	125E6
o0992667	125E7
o0992668	125E8
o0992710	125E9
o0992452	125EA
o0992551	125EB
o0992552	125EC
o0992553	125ED
o0992554	125EE
o0992265	125EF
o0992266	125F0
o0992268	125F1
o0992270	125F2
o0992271	125F3
o0992373	125F4
o0992374	125F5
o0992375	125F6
o0992376	125F7
o0992377	125F8
o0992379	125F9
o0992381	125FA
o0992383	125FB
o0992385	125FC
o0992593	125FD
o0992453	125FE
o0992457	125FF
o0992461	12600
o0992466	12601
o0992555	12602
o0992556	12603
o0992557	12604
o0992558	12605
o0992273	12606
o0992274	12607
o0992276	12608
o0992278	12609
o0992279	1260A
o0992387	1260B
o0992388	1260C
o0992389	1260D
o0992390	1260E
o0992391	1260F
o0992393	12610
o0992395	12611
o0992397	12612
o0992399	12613
o0992594	12614
o0992595	12615
o0992522	12616
o0992523	12617
o0992525	12618
o0992527	12619
o0992528	1261A
o0992530	1261B
o0992532	1261C
o0992534	1261D
o0992536	1261E
o0992615	1261F
o0992616	12620
o0992618	12621
o0992620	12622
o0992454	12623
o0992458	12624
o0992462	12625
o0992468	12626
o0992472	12627
o0992477	12628
o0992559	12629
o0992560	1262A
o0992561	1262B
o0992562	1262C
o0992563	1262D
o0992564	1262E
o0992565	1262F
o0992566	12630
o0992288	12631
o0992289	12632
o0992291	12633
o0992293	12634
o0992294	12635
o0992416	12636
o0992417	12637
o0992418	12638
o0992419	12639
o0992420	1263A
o0992422	1263B
o0992424	1263C
o0992426	1263D
o0992428	1263E
o0992600	1263F
o0992601	12640
o0992539	12641
o0992540	12642
o0992329	12643
o0992330	12644
o0992331	12645
o0992305	12646
o0992306	12647
o0992307	12648
o0992308	12649
o0992309	1264A
o0992310	1264B
o0992232	1264C
o0992233	1264D
o0992235	1264E
o0992237	1264F
o0992238	12650
o0992240	12651
o0992242	12652
o0992244	12653
o0992246	12654
o0992327	12655
o0992350	12656
o0992351	12657
o0992352	12658
o0992353	12659
o0992354	1265A
o0992356	1265B
o0992358	1265C
o0992360	1265D
o0992362	1265E
o0992500	1265F
o0992501	12660
o0992502	12661
o0992503	12662
o0992504	12663
o0992506	12664
o0992508	12665
o0992510	12666
o0992512	12667
o0992584	12668
o0992585	12669
o0992440	1266A
o0992441	1266B
o0992643	1266C
o0992644	1266D
o0992646	1266E
o0992647	1266F
o0992648	12670
o0992650	12671
o0992652	12672
o0992654	12673
o0992656	12674
o0992514	12675
o0992281	12676
o0992282	12677
o0992284	12678
o0992285	12679
o0992286	1267A
o0992402	1267B
o0992403	1267C
o0992404	1267D
o0992405	1267E
o0992406	1267F
o0992408	12680
o0992410	12681
o0992412	12682
o0992414	12683
o0992598	12684
o0992599	12685
o0992538	12686
o0990000	12690
o0990002	12691
o0990004	12692
o0990005	12693
o0990006	12694
o0990007	12695
o0990009	12696
o0990010	12697
o0990012	12698
o0990013	12699
o0990015	1269A
o0990017	1269B
o0990018	1269C
o0990019	1269D
o0990021	1269E
o0990022	1269F
o0990023	126A0
o0990025	126A1
o0990011	126A2
o0990026	126A3
o0990027	126A4
o0990028	126A5
o0990029	126A6
o0990030	126A7
o0990034	126A8
o0990031	126A9
o0990033	126AA
o0990036	126AB
o0990037	126AC
o0990038	126AD
o0990040	126AE
o0990042	126AF
o0990043	126B0
o0990044	126B1
o0990045	126B2
o0990047	126B3
o0990048	126B4
o0990049	126B5
o0990050	126B6
o0990051	126B7
o0990052	126B8
o0990053	126B9
o0990054	126BA
o0990055	126BB
o0990056	126BC
o0990057	126BD
o0990059	126BE
o0990060	126BF
o0990061	126C0
o0990062	126C1
o0990064	126C2
o0990063	126C3
o0990065	126C4
o0990067	126C5
o0990071	126C7
o0990072	126C8
o0990068	126C9
o0990066	126CA
o0990070	126CB
o0990075	126CC
o0990073	126CD
o0990076	126CE
o0990077	126CF
o0990078	126D0
o0990079	126D1
o0990082	126D2
o0990084	126D4
o0990085	126D5
o0990087	126D6
o0990086	126D7
o0990088	126D8
o0990089	126D9
o0990091	126DA
o0990092	126DB
o0990093	126DC
o0990094	126DD
o0990095	126DE
o0990096	126DF
o0990097	126E0
o0990098	126E1
o0990099	126E2
o0990100	126E3
o0990101	126E4
o0990102	126E5
o0990103	126E6
o0990104	126E7
o0990105	126E8
o0990106	126E9
o0990107	126EA
o0990108	126EB
o0990109	126EC
o0990110	126ED
o0990111	126EE
o0990112	126EF
o0990113	126F0
o0990114	126F1
o0990115	126F2
o0990117	126F4
o0990118	126F5
o0990119	126F6
o0990120	126F7
o0990121	126F8
o0990122	126F9
o0990123	126FA
