o0900000	A	A	A	𒚐
o0900010	A₂	A₂	A₂	𒚗
o0900012	AB~a	AB~a	AB~a	𒚘
o0900020	|AB~a×AŠ₂|	AB~a+AŠ₂	AB~a+AŠ₂	𒚚
o0900038	|AB~a×ZATU659|	AB~a+ZATU659	AB~a+ZATU659	𒚟
o0900040	AB~a@g	AB~a@g	AB~a@g	𒚡
o0900014	AB~b	AB~b	AB~b	𒚣
o0900041	AB₂	AB₂	AB₂	𒚧
o0900043	|AB₂×2(N14)|	AB₂+2(N14)	AB₂+2(N14)	𒚨
o0900047	ABGAL	ABGAL	ABGAL	𒚫
o0900049	ABRIG	ABRIG	ABRIG	𒚭
o0900050	ABZU	ABZU	ABZU	𒚮
o0900053	AD~a	AD~a	AD~a	𒚯
o0900054	AD~b	AD~b	AD~b	𒚰
o0900056	ADAB	ADAB	ADAB	𒚲
o0900058	ADDA	ADDA	ADDA	𒚳
o0900060	AGAR₂	AGAR₂	AGAR₂	𒚵
o0900062	AK~a	AK~a	AK~a	𒚶
o0900064	AL	AL	AL	𒚸
o0900067	ALAN~b	ALAN~b	ALAN~b	𒚺
o0900072	ALIM	ALIM~a	ALIM~a	𒚾
o0900075	AM~b	AM~b	AM~b	𒛀
o0900077	AMA~a	AMA~a	AMA~a	𒛁
o0900079	AMA~b	AMA~b	AMA~b	𒛄
o0900082	AMAR	AMAR	AMAR	𒛅
o0900089	AN	AN	AN	𒛌
o0900094	ANŠE~b	ANŠE~b	ANŠE~b	𒛏
o0900100	APIN~a	APIN~a	APIN~a	𒛒
o0900101	APIN~b	APIN~b	APIN~b	𒛔
o0900102	APIN~c	APIN~c	APIN~c	𒛕
o0900106	ARARMA₂~a	ARARMA₂~a	ARARMA₂~a	𒛖
o0900111	ASAR	ASAR	ASAR	𒛚
o0900115	BA	BA	BA	𒛞
o0900116	BAD	BAD	BAD	𒛟
o0900117	|BAD&BAD|	BAD+BAD	BAD+BAD	𒛠
o0903282	|(1(N58).BAD)~a|	BAD+DIŠ~a	BAD+DIŠ~a	𒸍
o0903283	|(1(N58).BAD)~b|	BAD+DIŠ~b	BAD+DIŠ~b	𒸏
o0900119	BAD₃~a	BAD₃~a	BAD₃~a	𒛡
o0900124	BAHAR₂~a	BAHAR₂~a	BAHAR₂~a	𒛤
o0900126	BAHAR₂~b	BAHAR₂~b	BAHAR₂~b	𒛦
o0900130	BALA~a	BALA~a	BALA~a	𒛩
o0900133	BALAG	BALAG	BALAG	𒛬
o0900139	BAN~b	BAN~b	BAN~b	𒛱
o0900142	BANŠUR~b1	BANŠUR~b1	BANŠUR~b1	𒛴
o0900143	BANŠUR~b2	BANŠUR~b2	BANŠUR~b2	𒛵
o0900144	BANŠUR~c	BANŠUR~c	BANŠUR~c	𒛶
o0900149	BAPPIR~b	BAPPIR~b	BAPPIR~b	𒛸
o0900151	BAPPIR~d	BAPPIR~d	BAPPIR~d	𒛺
o0900154	BAR	BAR	BAR	𒛽
o0900158	BARA₂~a	BARA₂~a	BARA₂~a	𒛾
o0900162	BARA₃	BARA₃	BARA₃	𒜂
o0900165	BIR~a	BIR~a	BIR~a	𒜃
o0900167	BIR~c	BIR~c	BIR~c	𒜅
o0900173	BIR₃~c	BIR₃~c	BIR₃~c	𒜊
o0900175	BU~a	BU~a	BU~a	𒜋
o0900191	|(BU~a&BU~a).NA₂~a|	BU~a+BU~a+NA₂~a	BU~a+BU~a+NA₂~a	𒜏
o0900199	|BU~a+DU₆~a|	BU~a+DU₆	BU~a+DU₆	𒜌
o0900177	BU~b	BU~b	BU~b	𒜖
o0900205	BU₃	BU₃~a	BU₃~a	𒜘
o0900207	BULUG₃	BULUG₃	BULUG₃	𒜚
o0900211	BUR~a	BUR~a	BUR~a	𒜛
o0900215	BUR₂	BUR₂	BUR₂	𒜟
o0900217	DA~a	DA~a	DA~a	𒜠
o0900218	DA~b	DA~b	DA~b	𒜢
