o0981828..	n	1(N01)--	1(N01)
o0980917..	s	NI~a--	NI~a
o0981828..	n	1(N01)--	1(N01)
o0980222..	s	DUG~b--	DUG~b
o0981828..	n	1(N01)--	1(N01)
o0980284..	s	DUG~c--	DUG~c
o0981828..	n	1(N01)--	1(N01)
o0980285..	c	|DUG~c×1(N57)|--	|DUG~c×1(N57)|
o0981828..	n	1(N01)--	1(N01)
o0981196..	s	ŠAKIR~c--	ŠAKIR~c
o0981828..	n	1(N01)--	1(N01)
o0980851..	s	MUD₃~a--	MUD₃~a
o0981828..	n	1(N01)--	1(N01)
o0980773..	s	|ŠITA~a1.MUD₃~a|--	LAHTAN₂
o0981229..	e	--	-
o0980851..	e	--	-
o0981828..	n	1(N01)--	1(N01)
o0980687..	s	KISIM~b--	KISIM~b
o0981828..	n	1(N01)--	1(N01)
o0980921..	s	NI~b--	NI~b
o0981828..	n	1(N01)--	1(N01)
o0980579..	s	HI--	HI
o0980921..	s	NI~b--	NI~b
o0981828..	n	1(N01)--	1(N01)
o0982182..	n	1(N58)--	1(N58)
o0980921..	s	NI~b--	NI~b
o0981828..	n	1(N01)--	1(N01)
o0980611..	s	IR~a--	IR~a
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0980434..	s	GAN~a--	GAN~a
o0981828..	n	1(N01)--	1(N01)
o0982174..	n	3(N57)--	3(N57)
o0980434..	s	GAN~a--	GAN~a
o0981828..	n	1(N01)--	1(N01)
o0980297..	s	E₂~a--	E₂~a
o0980434..	s	GAN~a--	GAN~a
o0981828..	n	1(N01)--	1(N01)
o0980261..	c	|DUG~b×ŠE~a|--	|DUG~b×ŠE~a|
o0981828..	n	1(N01)--	1(N01)
o0980227..	c	|DUG~b×BALA~a|--	|DUG~b×BALA~a|
o0981828..	n	1(N01)--	1(N01)
o0980240..	c	|DUG~b×KASKAL|--	|DUG~b×KASKAL|
o0981828..	n	1(N01)--	1(N01)
o0980656..	s	KAŠ~b--	KAŠ~b
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0980272..	c	|DUG~b×X|--	|DUG~b×X|
o0981828..	n	1(N01)--	1(N01)
o0980252..	c	|DUG~b×(SA~a.GI)|--	|DUG~b×(SA~a.GI)|
o0981828..	n	1(N01)--	1(N01)
o0980248..	c	|DUG~b×NAGA~a|--	|DUG~b×NAGA~a|
o0981828..	n	1(N01)--	1(N01)
o0980272..	c	|DUG~b×X|--	|DUG~b×X|
o0981828..	n	1(N01)--	1(N01)
o0980266..	c	|DUG~b×TI|--	|DUG~b×TI|
o0981828..	n	1(N01)--	1(N01)
o0980247..	c	|DUG~b×MAŠ|--	|DUG~b×MAŠ|
o0981828..	n	1(N01)--	1(N01)
o0980253..	c	|DUG~b×SI₄~a|--	|DUG~b×SI₄~a|
o0981828..	n	1(N01)--	1(N01)
o0980233..	c	|DUG~b×GA~b|--	|DUG~b×GA~b|
o0981828..	n	1(N01)--	1(N01)
o0980236..	c	|DUG~b×GI₆|--	|DUG~b×GI₆|
o0981828..	n	1(N01)--	1(N01)
o0980272..	c	|DUG~b×X|--	|DUG~b×X|
o0981828..	n	1(N01)--	1(N01)
o0980272..	c	|DUG~b×X|--	|DUG~b×X|
o0981828..	n	1(N01)--	1(N01)
o0980242..	c	|DUG~b×KUR~a|--	|DUG~b×KUR~a|
o0981828..	n	1(N01)--	1(N01)
o0980237..	c	|DUG~b×GIŠ|--	|DUG~b×GIŠ|
o0981828..	n	1(N01)--	1(N01)
o0980277..	c	|DUG~b×ZATU781|--	|DUG~b×ZATU781|
o0981828..	n	1(N01)--	1(N01)
o0980272..	c	|DUG~b×X|--	|DUG~b×X|
o0981828..	n	1(N01)--	1(N01)
o0982246..	s	X--	X
o0981828..	n	1(N01)--	1(N01)
o0980435..	s	GAN~b--	GAN~b
o0980472..	s	GI--	GI
o0981828..	n	1(N01)--	1(N01)
o0980097..	s	BAPPIR~b--	BAPPIR~b
o0981828..	n	1(N01)--	1(N01)
o0980257..	c	|DUG~b×SIG₇|--	|DUG~b×SIG₇|
o0981332..	s	U₄--	U₄
o0981828..	n	1(N01)--	1(N01)
o0980257..	c	|DUG~b×SIG₇|--	|DUG~b×SIG₇|
o0980472..	s	GI--	GI
o0981828..	n	1(N01)--	1(N01)
o0980257..	c	|DUG~b×SIG₇|--	|DUG~b×SIG₇|
o0980927..	s	NIM~a--	NIM~a
o0981828..	n	1(N01)--	1(N01)
o0980037..	s	AGAR₂--	AGAR₂
o0981828..	n	1(N01)--	1(N01)
o0981330..	s	U₂~b--	U₂~b
o0981828..	n	1(N01)--	1(N01)
o0981330..	s	U₂~b--	U₂~b
o0981828..	n	1(N01)--	1(N01)
o0982026..	n	1(N34)--	1(N34)
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0980077..	s	BA--	BA
o0980058..	s	AN--	AN
o0980868..	s	MUŠ₃~a--	MUŠ₃~a
o0982246..	s	X--	X
o0981828..	n	1(N01)--	1(N01)
o0980830..	s	MAR~a--	MAR~a
o0982246..	s	X--	X
o0981828..	n	1(N01)--	1(N01)
o0980801..	s	MA--	MA
o0981267..	s	ŠUBUR--	ŠUBUR
o0981828..	n	1(N01)--	1(N01)
o0981332..	s	U₄--	U₄
o0980086..	s	BALA~a--	BALA~a
o0981828..	n	1(N01)--	1(N01)
o0981394..	s	UB--	UB
o0981828..	n	1(N01)--	1(N01)
o0981050..	s	SANGA~a--	SANGA~a
o0980981..	s	NUN~a--	NUN~a
o0981828..	n	1(N01)--	1(N01)
o0981212..	s	ŠEN~a--	ŠEN~a
o0980000..	s	A--	A
o0981828..	n	1(N01)--	1(N01)
o0980981..	s	NUN~a--	NUN~a
o0980000..	s	A--	A
o0981828..	n	1(N01)--	1(N01)
o0982246..	s	X--	X
o0981828..	n	1(N01)--	1(N01)
o0980662..	s	KI--	KI
o0980801..	s	MA--	MA
o0981828..	n	1(N01)--	1(N01)
o0981203..	c	|ŠE~a.NAM₂|--	|ŠE~a.NAM₂|
o0981200..	e	--	-
o0980898..	e	--	-
o0980981..	s	NUN~a--	NUN~a
o0981828..	n	1(N01)--	1(N01)
o0980077..	s	BA--	BA
o0981247..	s	ŠU--	ŠU
o0980981..	s	NUN~a--	NUN~a
o0981828..	n	1(N01)--	1(N01)
o0980662..	s	KI--	KI
o0981564..	s	ZATU647--	ZATU647
o0981828..	n	1(N01)--	1(N01)
o0980137..	s	DA~a--	DA~a
o0980908..	s	NE~a--	NE~a
o0981828..	n	1(N01)--	1(N01)
o0980662..	s	KI--	KI
o0980040..	s	AL--	AL
o0981148..	s	SU~a--	SU~a
o0981828..	n	1(N01)--	1(N01)
o0981153..	s	SUG--	SUG
o0980838..	s	MAŠ--	MAŠ
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0980780..	s	LAL₂~a--	LAL₂~a
o0981828..	n	1(N01)--	1(N01)
o0980999..	s	PA~a--	PA~a
o0981154..	s	SUG₅--	SUG₅
o0981267..	s	ŠUBUR--	ŠUBUR
o0981828..	n	1(N01)--	1(N01)
o0980000..	s	A--	A
o0980000..	s	A--	A
o0980309..	s	EN~a--	EN~a
o0981297..	s	TI--	TI
o0981828..	n	1(N01)--	1(N01)
o0980925..	s	NI₂--	NI₂
o0981828..	n	1(N01)--	1(N01)
o0980309..	s	EN~a--	EN~a
o0980077..	s	BA--	BA
o0980619..	s	IŠ~b--	IŠ~b
o0981828..	n	1(N01)--	1(N01)
o0980513..	c	|GIR₃~c×ŠE₃|--	|GIR₃~c×ŠE₃|
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0980697..	s	KU₃~a--	KU₃~a
o0981828..	n	1(N01)--	1(N01)
o0982246..	s	X--	X
o0980430..	s	GAL~a--	GAL~a
o0980662..	s	KI--	KI
o0981828..	n	1(N01)--	1(N01)
o0980635..	s	KAK~a--	KAK~a
