o0900000	s	A	A	38	3
o0900012	s	AB~a	AB~a	81	24
o0900014	s	AB~b	AB~b	3	50
o0900041	s	AB₂	AB₂	11	58
o0900047	s	|NUN~a.ME~a|	ABGAL	2	67
o0900053	s	AD~a	AD~a	1	72
o0900055	s	AD~c	AD~c	6	76
o0900060	s	AGAR₂	AGAR₂	2	85
o0900062	s	AK~a	AK~a	1	87
o0900064	s	AL	AL	9	91
o0900077	s	AMA~a	AMA~a	9	111
o0900082	e		-	3	118
o0900082	s	AMAR	AMAR	7	118
o0900085	c	|AMAR.1(N02)|	|AMAR.1(N02)|	2	119
o0900089	s	AN	AN	26	131
o0900093	s	ANŠE~a	ANŠE~a	1	136
o0900100	s	APIN~a	APIN~a	23	149
o0900101	s	APIN~b	APIN~b	2	153
o0900115	s	BA	BA	66	174
o0900116	e		-	11	176
o0900128	s	BAHAR₂~c	BAHAR₂~c	6	193
o0900130	s	BALA~a	BALA~a	2	195
o0900149	s	BAPPIR~b	BAPPIR~b	1	221
o0900154	s	BAR	BAR	44	231
o0900162	s	BARA₃	BARA₃	1	243
o0900171	s	BIR₃~b	BIR₃~b	1	719
o0900175	s	BU~a	BU~a	23	725
o0900177	s	BU~b	BU~b	2	758
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	2	730
o0900217	s	DA~a	DA~a	9	781
o0900224	s	DAH	DAH	12	793
o0900260	s	DI	DI	19	853
o0900269	s	DIM~a	DIM~a	2	865
o0900276	s	DIN	DIN	1	876
o0900279	s	DU	DU	34	884
o0900281	c	|DU×1(N58@t)|	|DU×DIŠ|	3	886
o0900282	s	DU@g	DU@g	1	891
o0900284	s	DU₆~a	DU₆~a	1	893
o0900296	s	DU₈~c	DU₈~c	1	914
o0900312	s	DUB~a	DUB~a	17	933
o0900331	s	DUG~a	DUG~a	35	965
o0900334	s	DUG~b	DUG~b	3	987
o0900347	c	|DUG~b×BALA~a|	|DUG~b×BALA~a|	1	994
o0900359	c	|DUG~b×GA~b|	|DUG~b×GA~b|	1	1007
