o0980000	s	A	A	38	1
o0980010	s	AB~a	AB~a	81	11
o0980021	s	AB~b	AB~b	3	22
o0980025	s	AB₂	AB₂	11	26
o0980028	s	|NUN~a.ME~a|	ABGAL	2	1110
o0980031	s	AD~a	AD~a	1	32
o0980033	s	AD~c	AD~c	6	34
o0980037	s	AGAR₂	AGAR₂	2	38
o0980038	s	AK~a	AK~a	1	39
o0980040	s	AL	AL	9	41
o0980050	s	AMA~a	AMA~a	9	51
o0980053	e		-	3	54
o0980053	s	AMAR	AMAR	7	54
o0980054	c	|AMAR.1(N02)|	|AMAR.1(N02)|	2	55
o0980058	s	AN	AN	26	60
o0980059	s	ANŠE~a	ANŠE~a	1	61
o0980065	s	APIN~a	APIN~a	24	69
o0980067	s	APIN~b	APIN~b	2	71
o0980077	s	BA	BA	66	82
o0980078	e		-	11	83
o0980084	s	BAHAR₂~b	BAHAR₂~b	4	90
o0980085	s	BAHAR₂~c	BAHAR₂~c	6	91
o0980086	s	BALA~a	BALA~a	2	92
o0980097	s	BAPPIR~b	BAPPIR~b	1	103
o0980102	s	BAR	BAR	44	108
o0980107	s	BARA₃	BARA₃	1	113
o0980113	s	BIR₃~b	BIR₃~b	1	119
o0980115	s	BU~a	BU~a	23	121
o0980117	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	2	125
o0980126	s	BU~b	BU~b	2	137
o0980137	s	DA~a	DA~a	9	149
o0980143	s	DAH	DAH	12	155
o0980170	s	DI	DI	19	185
o0980174	s	DIM~a	DIM~a	2	189
o0980179	s	DIN	DIN	1	194
o0980182	s	DU	DU	34	199
o0980183	c	|DU×1(N58@t)|	|DU×DIŠ|	3	202
o0980184	s	DU@g	DU@g	1	203
o0980185	s	DU₆~a	DU₆~a	1	204
o0980193	s	DU₈~c	DU₈~c	1	213
o0980200	s	DUB~a	DUB~a	17	224
o0980201	s	DUB~b	DUB~b	1	225
o0980212	s	DUG~a	DUG~a	35	240
o0980222	s	DUG~b	DUG~b	3	250
o0980227	c	|DUG~b×BALA~a|	|DUG~b×BALA~a|	1	254
o0980233	c	|DUG~b×GA~b|	|DUG~b×GA~b|	1	260
o0980236	c	|DUG~b×GI₆|	|DUG~b×GI₆|	1	263
o0980237	c	|DUG~b×GIŠ|	|DUG~b×GIŠ|	1	264
o0980240	c	|DUG~b×KASKAL|	|DUG~b×KASKAL|	1	267
o0980242	c	|DUG~b×KUR~a|	|DUG~b×KUR~a|	1	269
o0980247	c	|DUG~b×MAŠ|	|DUG~b×MAŠ|	1	274
o0980248	c	|DUG~b×NAGA~a|	|DUG~b×NAGA~a|	1	275
