o0980000	s	A	A	102
o0980010	s	AB~a	AB~a	67
o0980012	c	|AB~a×AŠ₂|	|AB~a×AŠ₂|	1
o0980015	c	|AB~a×(ŠE~a&ŠE~a)|	|AB~a×(ŠE~a&ŠE~a)|	3
o0980019	c	|AB~a×1(N04)|	|AB~a×1(N04)|	3
o0980021	s	AB~b	AB~b	12
o0980025	s	AB₂	AB₂	17
o0980028	s	|NUN~a.ME~a|	ABGAL	4
o0980030	s	ABZU	ABZU	2
o0980031	s	AD~a	AD~a	8
o0980034	s	ADAB	ADAB	8
o0980038	s	AK~a	AK~a	5
o0980040	s	AL	AL	14
o0980041	s	ALAN~a	ALAN~a	2
o0980045	s	ALAN~e	ALAN~e	2
o0980050	s	AMA~a	AMA~a	18
o0980051	c	|AMA~a×E₂~a|	|AMA~a×E₂~a|	3
o0980053	s	AMAR	AMAR	10
o0980058	s	AN	AN	150
o0980059	s	ANŠE~a	ANŠE~a	1
o0980061	s	ANŠE~c	ANŠE~c	1
o0980063	s	ANŠE~f	ANŠE~f	5
o0980065	s	APIN~a	APIN~a	44
o0980067	s	APIN~b	APIN~b	4
o0980069	s	ARARMA₂~a	ARARMA₂~a	2
o0980073	s	ASAR	ASAR	10
o0980075	s	AZ	AZ	3
o0980077	s	BA	BA	102
o0980083	s	BAHAR₂~a	BAHAR₂~a	2
o0980084	s	BAHAR₂~b	BAHAR₂~b	5
o0980085	s	BAHAR₂~c	BAHAR₂~c	5
o0980086	s	BALA~a	BALA~a	1
o0980087	s	BALA~b	BALA~b	1
o0980093	s	BANŠUR~b1	BANŠUR~b1	1
o0980102	s	BAR	BAR	51
o0980105	s	BARA₂~a	BARA₂~a	9
o0980109	s	BIR~a	BIR~a	1
o0980112	e		-	1
o0980112	s	BIR₃~a	BIR₃~a	1
o0980114	s	BIR₃~c	BIR₃~c	1
o0980115	s	BU~a	BU~a	113
o0980117	c	|BU~a+DU₆~a|	|BU~a.DU₆~a|	7
o0980117	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	12
o0980118	c	|BU~a+KI|	|BU~a+KI|	1
o0980120	c	|BU~a×A|	|BU~a×A|	1
o0980123	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	4
o0980126	s	BU~b	BU~b	3
o0980128	e		-	1
o0980128	s	BU₃	BU₃	2
o0980128	s	BU₃	BU₃~a	2
o0980130	s	BULUG₃	BULUG₃	19
o0980133	s	BUR~b	BUR~b	1
o0980136	s	BUR₂	BUR₂	1
o0980137	s	DA~a	DA~a	38
o0980143	s	DAH	DAH	2
o0980144	s	DAM	DAM	1
o0980146	s	DAR~a	DAR~a	6
o0980148	s	DAR~b	DAR~b	8
o0980149	s	DAR~c	DAR~c	3
o0980154	c	|DARA₃~c×KAR₂|	|DARA₃~c×KAR₂|	1
o0980158	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	1
o0980159	s	DARA₄~a1	DARA₄~a1	3
o0980164	s	DARA₄~c1	DARA₄~c1	1
o0980165	s	DARA₄~c2	DARA₄~c2	10
o0980169	s	DARA₄~d	DARA₄~d	1
o0980170	s	DI	DI	8
o0980171	s	DI@t	DI@t	1
o0980172	s	DIB	DIB	2
o0980173	s	DILMUN	DILMUN	5
o0980174	s	DIM~a	DIM~a	3
o0980179	s	DIN	DIN	1
o0980180	c	|DIN×1(N58)|	|DIN+1(N57)|	1
o0980182	s	DU	DU	103
o0980185	s	DU₆~a	DU₆~a	5
o0980188	s	DU₆~b	DU₆~b	5
o0980190	s	DU₇	DU₇	1
o0980193	s	DU₈~c	DU₈~c	13
o0980194	c	|DU₈~c×AB₂|	|DU₈~c×AB₂|	1
o0980195	c	|DU₈~c×AMAR|	|DU₈~c×AMAR|	5
o0980197	c	|DU₈~c×UDU~a|	|DU₈~c×UDU~a|	3
o0980199	s	DU₈~c@g	DU₈~c@g	2
o0980200	s	DUB~a	DUB~a	29
o0980201	s	DUB~b	DUB~b	6
o0980204	s	DUB~d	DUB~d	1
o0980206	s	DUB~f	DUB~f	1
o0980207	s	DUB~h	DUB~h	1
o0980212	s	DUG~a	DUG~a	52
o0980218	c	|DUG~a×U₂~a|	|DUG~a×U₂~a|	1
o0980221	c	|DUG~a×1(N57)|	|DUG~a×1(N57)|	2
o0980222	s	DUG~b	DUG~b	3
o0980238	c	|DUG~b×HI|	|DUG~b×HI|	2
o0980269	c	|DUG~b×(UDU~a×TAR~b)|	|DUG~b×(UDU~a×TAR~b)|	2
o0980282	c	|DUG~b×1(N58)|	|DUG~b×1(N58)|	1
o0980284	s	DUG~c	DUG~c	1
o0980285	c	|DUG~c×1(N57)|	|DUG~c×1(N57)|	1
o0980289	s	DUR~a	DUR~a	1
o0980290	s	DUR~b	DUR~b	1
o0980291	s	DUR₂	DUR₂	6
o0980292	s	E~a	E~a	75
o0980293	s	E~b	E~b	18
o0980297	e		-	1
o0980297	s	E₂~a	E₂~a	102
o0980300	c	|E₂~a×1(N58@t)|	|E₂~a×1(N57)@t|	29
o0980301	e		-	8
o0980301	s	E₂~b	E₂~b	13
o0980303	c	|E₂~b×1(N58@t)|	|E₂~b×1(N57)@t|	2
o0980309	e		-	10
o0980309	s	EN~a	EN~a	239
o0980312	s	EN~c	EN~c	4
o0980317	e		-	6
o0980317	s	EN₂	EN₂	2
o0980320	s	|EN~a.ME~a.MU|	ENDIB	1
o0980321	s	|EN~a.ME~a.GI|	ENGIZ	1
o0980326	s	ERIM~a	ERIM~a	19
o0980329	s	|NE~a.RU|	ERIM₂	1
o0980330	s	ERIN	ERIN	17
o0980331	e		-	12
o0980331	s	EŠDA	EŠDA	2
o0980333	s	EŠGAR	EŠGAR	5
o0980334	s	EZEN~a	EZEN~a	1
o0980336	c	|EZEN~a×EN~b|	|EZEN~a×EN~b|	1
o0980337	c	|EZEN~a×(HI×1(N57).AN)|	|EZEN~a×(HI.1(N57).AN)|	1
o0980339	c	|EZEN~a×KAŠ~b|	|EZEN~a×KAŠ~b|	2
o0980346	c	|EZEN~a×SU~a|	|EZEN~a×SU~a|	1
o0980350	s	EZEN~b	EZEN~b	5
o0980353	s	EZEN~b@t	EZEN~c	2
o0980354	s	EZINU~a	EZINU~a	2
o0980358	e		-	1
o0980358	s	GA~a	GA~a	17
o0980359	c	|GA~a.ZATU753|	|GA~a.ZATU753|	1
o0980361	s	GA~b	GA~b	3
o0980365	s	GA₂~a1	GA₂~a1	19
o0980367	c	|GA₂~a1×E₂~a|	|GA₂~a×E₂~a|	1
o0980370	c	|GA₂~a1×GEŠTU~a|	|GA₂~a1×GEŠTU~a|	1
o0980378	c	|GA₂~a1×HI|	|GA₂~a1×HI|	1
o0980382	c	|GA₂~a1×(KU₆~a.KU₆~a)|	|GA₂~a1×(KU₆~a.KU₆~a)|	1
o0980399	c	|GA₂~a1×X|	|GA₂~a1×X|	1
o0980403	s	GA₂~a2	GA₂~a2	4
o0980415	s	GA₂~b	GA₂~b	1
o0980419	c	|GA₂~b×KU₆~a|	|GA₂~b×KU₆~a|	1
o0980427	s	GADA~a	GADA~a	4
o0980430	e		-	5
o0980430	s	GAL~a	GAL~a	90
o0980431	s	GAL~b	GAL~b	3
o0980436	s	GAN~c	GAN~c	2
o0980442	c	|GAN~c×LAGAB~b|	|GAN~c×LAGAB~b|	1
o0980449	c	|GAN~c×(4(N57).GAR)|	|GAN~c×(4(N57).GAR)|	1
o0980453	s	GAN₂	GAN₂	63
o0980454	e		-	6
o0980454	s	GAR	GAR	73
o0980459	s	GARA₂~a	GARA₂~a	1
o0980465	s	GEŠTIN~d	GEŠTIN~d	1
o0980466	s	GEŠTIN~e	GEŠTIN~e	1
o0980467	s	GEŠTU~a	GEŠTU~a	1
o0980469	s	GEŠTU~b	GEŠTU~b	2
o0980470	s	GEŠTU~c3	GEŠTU~c3	3
o0980472	e		-	1
o0980472	s	GI	GI	78
o0980473	c	|GI×A|	|GI+A|	1
o0980483	c	|GI&GI|	|GI&GI|	12
o0980489	s	GI₄~a	GI₄~a	11
o0980494	s	GI₆	GI₆	10
o0980495	s	GIBIL	GIBIL	33
o0980500	s	GIR~a	GIR~a	1
o0980506	s	GIR₂~a	GIR₂~a	3
o0980508	s	GIR₃~a	GIR₃~a	1
o0980511	s	GIR₃~c	GIR₃~c	19
o0980515	s	GIR₃@g~b	GIR₃@g~b	17
o0980520	e		-	2
o0980520	s	GIŠ	GIŠ	28
o0980521	c	|GIŠ.TE|	|GIŠ.TE|	2
o0980525	c	|(GIŠ×ŠU₂)~a|	|GIŠ×ŠU₂~a|	8
o0980526	c	|(GIŠ×ŠU₂)~b|	|GIŠ×ŠU₂~b|	4
o0980528	s	GIŠ@t	GIŠ@t	6
o0980530	s	GIŠ₃~a	GIŠ₃~a	10
o0980532	s	GIŠ₃~b	GIŠ₃~b	10
o0980533	s	GIŠGAL	GIŠGAL	1
o0980534	s	GIŠIMMAR~a1	GIŠIMMAR~a1	2
o0980535	s	GIŠIMMAR~a2	GIŠIMMAR~a2	1
o0980536	s	GIŠIMMAR~a3	GIŠIMMAR~a3	1
o0980537	s	GIŠIMMAR~b1	GIŠIMMAR~b1	3
o0980541	s	GU	GU~a	13
o0980543	s	GU₄	GU₄	4
o0980546	s	GU₄@g	GU₄@g	1
o0980547	s	GU₇	GU₇	52
o0980548	s	GUB₃~a	GUB₃~a	1
o0980552	s	GUG₂	GUG₂	45
o0980552	s	GUG₂	GUG₂~a	3
o0980562	s	GUL	GUL	2
o0980564	s	GUM~b	GUM~b	7
o0980567	s	GUN₃~b	GUN₃~b	2
o0980568	s	GUR	GUR	1
o0980569	s	GURUŠ~a	GURUŠ~a	3
o0980574	s	GURUŠDA	GURUŠDA	3
o0980574	s	GURUŠDA	GURUŠDA~a	8
o0980575	s	HAL	HAL	27
o0980577	s	HAŠHUR	HAŠHUR	1
o0980579	s	HI	HI	42
o0980585	c	|HI×1(N57)|	|HI×1(N57)|	5
o0980590	s	HI@g~a	HI@g~a	67
o0980590	s	HI@g~a	HI~a@g	5
o0980591	s	HI@g~b	HI@g~b	1
o0980594	s	I	I	8
o0980595	e		-	12
o0980595	s	IB~a	IB~a	13
o0980597	s	IB~b	IB~b	1
o0980598	s	IB~c	IB~c	5
