o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0901376	s	MAŠ--	MAŠ
o0902858	n	1(N01)--	1(N01)
o0900778	s	GAN₂--	GAN₂
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0902858	n	1(N01)--	1(N01)
o0900724	s	GADA~a--	GADA~a
o0901887	s	SUKKAL--	SUKKAL
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0900602	s	GA~a--	GA~a
o0902858	n	1(N01)--	1(N01)
o0901757	s	SIG₂~b--	SIG₂~b
o0900602	s	GA~a--	GA~a
o0902858	n	1(N01)--	1(N01)
o0901120	s	KISAL~b2@t--	KISAL~b2@t
o0900729	s	GAL~a--	GAL~a
o0902858	n	1(N01)--	1(N01)
o0901516	s	NIM~a--	NIM~a
o0900729	s	GAL~a--	GAL~a
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0901927	s	|PA~a.IB~a|--	ŠAB~a
o0901626	e	--	-
o0900983	e	--	-
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900724	s	GADA~a--	GADA~a
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900983	s	IB~a--	IB~a
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0901468	s	NAM₂--	NAM₂
o0900545	s	ERIN--	ERIN
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901468	s	NAM₂--	NAM₂
o0900100	s	APIN~a--	APIN~a
o0901075	s	KASKAL--	APIN~a
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0902004	s	ŠITA~a1--	ŠITA~a1
o0902858	n	1(N01)--	1(N01)
o0902146	s	TUR₃~a--	TUR₃~a
o0902858	n	1(N01)--	1(N01)
o0903234	n	3(N57)--	3(N57)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0902102	s	TE--	TE
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0901365	c	|MAR~b×GAR|--	|MAR~b×GAR|
o0900729	s	GAL~a--	GAL~a
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0901927	s	|PA~a.IB~a|--	ŠAB~a
o0901626	e	--	-
o0900983	e	--	-
o0900983	s	IB~a--	ŠAB~a
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0900517	s	EN~b--	EN~b
o0903368	s	X--	X
o0901115	s	KISAL~b1--	KISAL~b1
o0903153	n	1(N46)--	1(N46)
o0901187	s	LAGAB~b--	LAGAB~b
o0902102	s	TE--	TE
o0900115	s	BA--	BA
o0900890	s	GIŠ₃~b--	GIŠ₃~b
o0900312	s	DUB~a--	DUB~a
o0901711	s	SANGA~a--	SANGA~a
o0902858	n	1(N01)--	1(N01)
o0900729	s	GAL~a--	GAL~a
o0902004	s	ŠITA~a1--	ŠITA~a1
o0901524	s	|SAL.NAM₂|--	NIN
o0901697	e	--	-
o0901468	e	--	-
