o0900000	s	A	A	41	3
o0900012	s	AB~a	AB~a	30	24
o0900014	s	AB~b	AB~b	5	50
o0900041	s	AB₂	AB₂	1	58
o0900047	s	|NUN~a.ME~a|	ABGAL	3	67
o0900050	s	ABZU	ABZU	2	69
o0900053	s	AD~a	AD~a	6	72
o0900056	s	ADAB	ADAB	2	78
o0900062	s	AK~a	AK~a	2	87
o0900064	s	AL	AL	6	91
o0900066	s	ALAN~a	ALAN~a	2	93
o0900077	s	AMA~a	AMA~a	3	111
o0900081	c	|AMA~a×E₂~a|	|AMA~a×E₂~a|	2	112
o0900082	s	AMAR	AMAR	7	118
o0900089	s	AN	AN	76	131
o0900093	s	ANŠE~a	ANŠE~a	1	136
o0900095	s	ANŠE~c	ANŠE~c	1	140
o0900097	s	ANŠE~f	ANŠE~f	5	145
o0900100	s	APIN~a	APIN~a	15	149
o0900106	s	ARARMA₂~a	ARARMA₂~a	2	157
o0900111	s	ASAR	ASAR	7	164
o0900113	s	AZ	AZ	2	170
o0900115	s	BA	BA	72	174
o0900124	s	BAHAR₂~a	BAHAR₂~a	1	187
o0900128	s	BAHAR₂~c	BAHAR₂~c	3	193
o0900130	s	BALA~a	BALA~a	1	195
o0900142	s	BANŠUR~b1	BANŠUR~b1	1	213
o0900154	s	BAR	BAR	29	231
o0900158	s	BARA₂~a	BARA₂~a	2	237
o0900175	s	BU~a	BU~a	43	725
o0900191	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	4	744
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	6	730
o0900205	s	BU₃	BU₃~a	1	762
o0900207	s	BULUG₃	BULUG₃	8	767
o0900212	s	BUR~b	BUR~b	1	773
o0900217	s	DA~a	DA~a	19	781
o0900224	s	DAH	DAH	1	793
o0900225	s	DAM	DAM	1	795
o0900228	s	DAR~a	DAR~a	2	799
o0900229	s	DAR~b	DAR~b	6	803
o0900241	c	|DARA₃~c×KAR₂|	|DARA₃~c×KAR₂|	1	814
o0900249	s	DARA₄~a1	DARA₄~a1	2	831
o0900255	s	DARA₄~c2	DARA₄~c2	9	843
o0900260	s	DI	DI	3	853
o0900261	s	DI@t	DI@t	1	855
o0900264	s	DILMUN	DILMUN	1	861
o0900269	s	DIM~a	DIM~a	1	865
o0900276	s	DIN	DIN	1	876
o0900279	s	DU	DU	54	884
o0900284	s	DU₆~a	DU₆~a	4	893
o0900287	s	DU₆~b	DU₆~b	4	903
o0900296	s	DU₈~c	DU₈~c	12	914
o0900299	c	|DU₈~c×AB₂|	|DU₈~c×AB₂|	1	915
o0900301	c	|DU₈~c×AMAR|	|DU₈~c×AMAR|	2	917
o0900305	c	|DU₈~c×UDU~a|	|DU₈~c×UDU~a|	2	921
o0900309	s	DU₈~c@g	DU₈~c@g	2	926
o0900312	s	DUB~a	DUB~a	16	933
o0900319	s	DUB~d	DUB~d	1	945
o0900331	s	DUG~a	DUG~a	39	965
o0900334	s	DUG~b	DUG~b	3	987
o0900370	c	|DUG~b×HI|	|DUG~b×HI|	2	1018
o0900394	c	|DUG~a×1(N57)|	|DUG~a×1(N57)|	1	982
o0900454	c	|DUG~b×(UDU~a×TAR~b)|	|DUG~b×(UDU~a×TAR~b)|	1	1087
o0900483	s	DUR~a	DUR~a	1	1139
o0900485	s	DUR₂	DUR₂	5	1144
o0900493	s	E₂~a	E₂~a	55	1157
o0900494	e		-	8	1167
o0900503	c	|E₂~a×1(N58@t)|	|E₂~a×1(N57)@t|	13	1162
o0900517	s	EN~b	EN~b	1	1197
o0900529	s	EN₂	EN₂	2	1214
o0900533	s	|EN~a.ME~a.MU|	ENDIB	1	1221
o0900541	s	ERIM~a	ERIM~a	3	1227
o0900545	s	ERIN	ERIN	5	1234
o0900546	e		-	8	1236
o0900546	s	EŠDA	EŠDA	1	1236
o0900548	s	EŠGAR	EŠGAR	1	1243
o0900552	s	EZEN~b	EZEN~b	3	1283
o0900563	c	|EZEN~a×KAŠ~b|	|EZEN~a×KAŠ~b|	2	1258
o0900581	c	|EZEN~a×SU~a|	|EZEN~a×SU~a|	1	1273
o0900592	s	EZEN~b@t	EZEN~c	1	1288
o0900604	s	GA~b	GA~b	1	1310
o0900616	s	GA₂~a1	GA₂~a1	10	1319
o0900617	s	GA₂~a2	GA₂~a2	2	1398
o0900620	s	GA₂~b	GA₂~b	1	1424
o0900633	c	|GA₂~a1×GEŠTU~a|	|GA₂~a1×GEŠTU~a|	1	1328
o0900650	c	|GA₂~a1×HI|	|GA₂~a1×HI|	1	1344
o0900709	c	|GA₂~a1×X|	|GA₂~a1×X|	1	1388
o0900724	s	GADA~a	GADA~a	4	1450
o0900729	e		-	3	1456
o0900729	s	GAL~a	GAL~a	58	1456
o0900730	s	GAL~b	GAL~b	1	1463
o0900742	s	GAN~c	GAN~c	2	1477
o0900778	s	GAN₂	GAN₂	14	1512
o0900779	e		-	4	1514
o0900779	s	GAR	GAR	46	1514
o0900793	s	GEŠTIN~e	GEŠTIN~e	1	1538
o0900800	s	GEŠTU~b	GEŠTU~b	1	1547
o0900801	s	GEŠTU~c3	GEŠTU~c3	1	1550
o0900806	s	GI	GI	33	1555
o0900822	c	|GI&GI|	|GI&GI|	1	1578
o0900829	s	GI₄~a	GI₄~a	3	1592
o0900836	s	GI₆	GI₆	3	1602
o0900839	s	GIBIL	GIBIL	12	1607
o0900855	s	GIR₂~a	GIR₂~a	1	1628
o0900858	s	GIR₃~a	GIR₃~a	1	1632
o0900860	s	GIR₃~c	GIR₃~c	3	1638
o0900870	s	GIR₃@g~b	GIR₃@g~b	9	1650
o0900875	s	GIŠ	GIŠ	21	1660
o0900883	c	|(GIŠ×ŠU₂)~a|	|GIŠ×ŠU₂~a|	7	1670
o0900885	s	GIŠ@t	GIŠ@t	4	1680
o0900889	s	GIŠ₃~a	GIŠ₃~a	7	1684
o0900890	s	GIŠ₃~b	GIŠ₃~b	8	1688
o0900896	s	GIŠIMMAR~a1	GIŠIMMAR~a1	2	1693
o0900906	s	GU	GU~a	6	1709
o0900908	s	GU₄	GU₄	1	1714
o0900912	s	GU₇	GU₇	41	1725
o0900920	s	GUG₂	GUG₂	35	1738
o0900920	s	GUG₂	GUG₂~a	3	1738
o0900935	s	GUL	GUL	1	1762
o0900938	s	GUM~b	GUM~b	2	1766
o0900946	s	GUR	GUR	1	1776
o0900955	s	GURUŠDA	GURUŠDA	2	1791
o0900955	s	GURUŠDA	GURUŠDA~a	4	1791
o0900956	s	HAL	HAL	14	1794
o0900958	s	HAŠHUR	HAŠHUR	1	1798
o0900960	s	HI	HI	26	1802
o0900968	c	|HI×1(N57)|	|HI×1(N57)|	5	1812
