o0980000	s	A	A	18	1
o0980010	e		-	1	22
o0980010	s	AB~a	AB~a	16	22
o0980025	s	AB₂	AB₂	6	56
o0980028	s	|NUN~a.ME~a|	ABGAL	6	2761
o0980031	s	AD~a	AD~a	3	74
o0980034	s	ADAB	ADAB	1	80
o0980040	s	AL	AL	7	93
o0980049	s	AM~b	AM~b	1	111
o0980050	s	AMA~a	AMA~a	4	113
o0980053	s	AMAR	AMAR	9	120
o0980058	s	AN	AN	25	133
o0980059	s	ANŠE~a	ANŠE~a	1	137
o0980065	s	APIN~a	APIN~a	8	151
o0980069	s	ARARMA₂~a	ARARMA₂~a	1	159
o0980073	s	ASAR	ASAR	2	168
o0980075	e		-	3	174
o0980075	s	AZ	AZ	2	174
o0980077	s	BA	BA	35	178
o0980078	e		-	1	180
o0980102	s	BAR	BAR	14	235
o0980105	s	BARA₂~a	BARA₂~a	4	241
o0980107	s	BARA₃	BARA₃	1	247
o0980115	s	BU~a	BU~a	15	729
o0980117	c	|BU~a+DU₆~a|	|BU~a.DU₆~a|	1	734
o0980126	s	BU~b	BU~b	2	761
o0980128	s	BU₃	BU₃~a	1	765
o0980130	s	BULUG₃	BULUG₃	1	770
o0980133	s	BUR~b	BUR~b	1	776
o0980136	s	BUR₂	BUR₂	3	782
o0980137	s	DA~a	DA~a	9	784
o0980144	s	DAM	DAM	4	798
o0980145	s	DANNA	DANNA	2	800
o0980148	s	DAR~b	DAR~b	3	806
o0980159	s	DARA₄~a1	DARA₄~a1	1	835
o0980163	s	DARA₄~c	DARA₄~c	1	843
o0980170	s	DI	DI	2	857
o0980173	s	DILMUN	DILMUN	2	865
o0980174	s	DIM~a	DIM~a	1	869
o0980177	s	DIM~b	DIM~b	1	876
o0980182	s	DU	DU	15	888
o0980188	s	DU₆~b	DU₆~b	2	906
o0980193	s	DU₈~c	DU₈~c	9	917
o0980195	c	|DU₈~c×AMAR|	|DU₈~c×AMAR|	3	920
o0980199	s	DU₈~c@g	DU₈~c@g	5	929
o0980200	s	DUB~a	DUB~a	3	936
o0980212	s	DUG~a	DUG~a	12	968
o0980215	c	|DUG~a×KU₆~a|	|DUG~a×KU₆~a|	1	973
o0980221	c	|DUG~a×1(N57)|	|DUG~a×1(N57)|	2	985
o0980291	s	DUR₂	DUR₂	2	1148
o0980292	s	E~a	E~a	1	1150
o0980293	s	E~b	E~b	1	1152
o0980297	s	E₂~a	E₂~a	20	1161
o0980300	c	|E₂~a×1(N58@t)|	|E₂~a×1(N57)@t|	3	1168
o0980301	e		-	1	1171
o0980301	s	E₂~b	E₂~b	11	1171
o0980309	e		-	1	1189
o0980309	s	EN~a	EN~a	49	1189
o0980317	e		-	1	1218
o0980319	c	|EN₂.E₂~b|	|EN₂.E₂~b|	1	1221
o0980326	s	ERIM~a	ERIM~a	3	1240
o0980330	s	ERIN	ERIN	6	1248
o0980331	e		-	2	1250
o0980331	s	EŠDA	EŠDA	2	1250
o0980350	s	EZEN~b	EZEN~b	7	1296
o0980365	s	GA₂~a1	GA₂~a1	4	1334
o0980381	c	|GA₂~a1×KU₆~a|	|GA₂~a1×KU₆~a|	1	1365
o0980416	c	|GA₂~b×DUB~a|	|GA₂~b×DUB~a|	1	1440
o0980427	s	GADA~a	GADA~a	2	1465
o0980430	e		-	1	1471
o0980430	s	GAL~a	GAL~a	36	1471
o0980431	s	GAL~b	GAL~b	1	1476
o0980453	s	GAN₂	GAN₂	31	1525
o0980454	e		-	4	1527
o0980454	s	GAR	GAR	19	1527
o0980459	s	GARA₂~a	GARA₂~a	1	1537
o0980469	s	GEŠTU~b	GEŠTU~b	1	1560
o0980472	s	GI	GI	14	1568
o0980483	c	|GI&GI|	|GI&GI|	1	1591
o0980494	s	GI₆	GI₆	2	1615
o0980495	s	GIBIL	GIBIL	2	1619
o0980500	s	GIR~a	GIR~a	1	1630
o0980506	s	GIR₂~a	GIR₂~a	2	1643
o0980508	s	GIR₃~a	GIR₃~a	1	1647
o0980511	s	GIR₃~c	GIR₃~c	1	1653
o0980515	s	GIR₃@g~b	GIR₃@g~b	2	1665
o0980520	s	GIŠ	GIŠ	3	1675
o0980525	c	|(GIŠ×ŠU₂)~a|	|GIŠ×ŠU₂~a|	2	1686
o0980528	s	GIŠ@t	GIŠ@t	4	1695
o0980532	s	GIŠ₃~b	GIŠ₃~b	1	1703
o0980537	s	GIŠIMMAR~b1	GIŠIMMAR~b1	2	1715
o0980541	s	GU	GU~a	2	1725
o0980543	s	GU₄	GU₄	8	1730
o0980547	s	GU₇	GU₇	28	1741
o0980552	s	GUG₂	GUG₂	16	1753
o0980557	s	GUKKAL~a	GUKKAL~a	1	1766
