o0980000	s	A	A	4	1
o0980010	s	AB~a	AB~a	4	22
o0980031	s	AD~a	AD~a	2	74
o0980040	s	AL	AL	3	93
o0980053	s	AMAR	AMAR	1	120
o0980058	s	AN	AN	5	133
o0980078	e		-	1	180
o0980083	s	BAHAR₂~a	BAHAR₂~a	3	191
o0980102	s	BAR	BAR	1	235
o0980107	s	BARA₃	BARA₃	1	247
o0980115	s	BU~a	BU~a	10	729
o0980117	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	2	734
o0980130	s	BULUG₃	BULUG₃	1	770
o0980137	s	DA~a	DA~a	2	784
o0980146	s	DAR~a	DAR~a	1	802
o0980148	s	DAR~b	DAR~b	1	806
o0980174	s	DIM~a	DIM~a	3	869
o0980182	s	DU	DU	3	888
o0980291	s	DUR₂	DUR₂	1	1148
o0980297	s	E₂~a	E₂~a	7	1161
o0980309	s	EN~a	EN~a	23	1189
o0980350	s	EZEN~b	EZEN~b	1	1296
o0980354	s	EZINU~a	EZINU~a	1	1306
o0980365	s	GA₂~a1	GA₂~a1	1	1334
o0980430	s	GAL~a	GAL~a	1	1471
o0980454	s	GAR	GAR	1	1527
o0980472	s	GI	GI	3	1568
o0980483	c	|GI&GI|	|GI&GI|	1	1591
o0980487	c	|GI&GI&GI|	|GI&GI&GI|	1	1599
o0980500	s	GIR~a	GIR~a	1	1630
o0980511	s	GIR₃~c	GIR₃~c	2	1653
o0980516	s	GIR₃@g~c	GIR₃@g~c	1	1667
o0980520	s	GIŠ	GIŠ	1	1675
o0980525	c	|(GIŠ×ŠU₂)~a|	|GIŠ×ŠU₂~a|	2	1686
o0980541	s	GU	GU	1	1725
o0980543	s	GU₄	GU₄	1	1730
o0980552	s	GUG₂	GUG₂	1	1753
o0980562	s	GUL	GUL	2	1776
o0980575	s	HAL	HAL	2	1808
o0980579	s	HI	HI	2	1816
o0980609	s	IN~b	IN~b	1	1890
o0980656	s	KAŠ~b	KAŠ~b	1	2000
o0980659	s	KAŠ~c	KAŠ~c	1	2008
o0980662	s	KI	KI	1	2015
o0980671	s	KID~e	KID~e	1	2035
o0980707	s	KUR~a	KUR~a	1	2117
o0980745	c	|LAGAB~a×ŠITA~a1|	|LAGAB~a×ŠITA~a1|	1	2203
o0980828	c	|MAH~b×NA~a|	|MAH~b×NA~a|	1	2386
o0980838	s	MAŠ	MAŠ	1	2410
o0980841	s	ME~a	ME~a	1	2417
o0980858	s	MUN~a1	MUN~a1	3	2457
o0980868	s	MUŠ₃~a	MUŠ₃~a	1	2479
o0980871	s	MUŠEN	MUŠEN	2	2491
o0980877	c	|1(N58).BAD|	|1(N58).BAD~a|	1	2509
o0980898	e		-	1	2566
o0980898	s	NAM₂	NAM₂	1	2566
o0980908	s	NE~a	NE~a	1	2591
o0980917	s	NI~a	NI~a	2	2617
o0980933	s	|SAL.NAM₂|	NIN	1	2919
o0980974	s	NU	NU	1	2745
o0980978	s	NU₁₁@t	NU₁₁@t	1	2754
o0980981	s	NUN~a	NUN~a	1	2760
o0980998	s	NUNUZ~c	NUNUZ~c	1	2800
o0980999	s	PA~a	PA~a	2	2805
o0981004	s	PAP~a	PAP~a	8	2820
o0981028	s	SAG	SAG	2	2878
o0981031	c	|SAG×GEŠTU~b|	|SAG×GEŠTU~b|	1	2886
o0981041	e		-	1	2911
o0981041	s	SAL	SAL	6	2911
o0981059	s	SI	SI	4	2956
o0981091	s	SIG₇	SIG₇	1	3031
o0981148	s	SU~a	SU~a	2	3156
o0981169	s	SUKUD@g~d	SUKUD@g~d	1	3209
o0981181	s	ŠA₃~a1	ŠA₃~a1	2	3239
o0981200	s	ŠE~a	ŠE~a	11	3286
o0981243	s	ŠITA@g~a	ŠITA@g~a	1	3401
o0981247	s	ŠU	ŠU	6	3410
o0981252	s	ŠU₂	ŠU₂	4	3420
o0981267	s	ŠUBUR	ŠUBUR	1	3462
o0981271	s	ŠUR₂~b	ŠUR₂~b	1	3472
o0981291	s	TAK₄~a	TAK₄~a	1	3515
o0981294	s	TAR~a	TAR~a	1	3522
o0981296	s	TE	TE	1	3528
o0981297	s	TI	TI	1	3532
o0981317	s	TUN₃~a	TUN₃~a	1	3582
o0981320	s	TUR	TUR	12	3588
o0981323	s	TUR₃~a	TUR₃~a	1	3598
o0981330	s	U₂~b	U₂~b	4	3612
o0981332	e		-	1	3618
o0981332	s	U₄	U₄	1	3618
o0981342	c	|U₄.1(N14)|	|U₄.1(N14)|	1	3638
o0981352	c	|U₄×1(N01)|	|U₄×1(N01)|	6	3659
o0981372	c	|U₄×(1(N14).2(N01))|	|U₄×(1(N14).2(N01))|	6	3700
o0981381	c	|U₄×1(N57)|	|U₄×1(N57)|	6	3719
o0981382	c	|U₄×2(N57)|	|U₄×2(N57)|	4	3721
o0981383	c	|U₄×3(N57)|	|U₄×3(N57)|	3	3723
o0981392	s	U₈	U₈	1	3743
o0981403	c	|UDU~a×TAR~a|	|(UDU~a×TAR)~a|	1	6715
o0981437	s	UR~a	UR~a	1	6792
o0981520	s	ZI~a	ZI~a	1	6981
o0981578	s	ZATU659	ZATU659	5	7763
o0981740	s	ZATU773~a	ZATU773~a	1	8180
o0981828	n	1(N01)	1(N01)	7	8374
o0981829	n	2(N01)	2(N01)	6	8376
o0981830	n	3(N01)	3(N01)	3	8379
o0981831	n	4(N01)	4(N01)	1	8382
o0981832	n	5(N01)	5(N01)	3	8384
o0981833	n	6(N01)	6(N01)	1	8387
o0981834	n	7(N01)	7(N01)	1	8390
o0981835	n	8(N01)	8(N01)	1	8393
o0981836	n	9(N01)	9(N01)	1	8396
o0981862	n	1(N04)	1(N04)	2	8472
o0981863	n	2(N04)	2(N04)	1	8474
o0981912	e		-	1	8601
o0981912	n	1(N14)	1(N14)	7	8601
o0981913	n	2(N14)	2(N14)	1	8603
o0981914	n	3(N14)	3(N14)	1	8605
o0981915	n	4(N14)	4(N14)	3	8607
o0981916	n	5(N14)	5(N14)	1	8609
o0981994	n	1(N24)	1(N24)	5	8812
o0982000	n	1(N24B)	1(N24~b)	1	8831
o0982002	n	1(N26)	1(N26)	1	8837
o0982005	n	1(N28)	1(N28)	3	8849
o0982009	n	2(N29A)	2(N29~a)	1	8867
o0982010	n	1(N29AB)	1(N29A~b)	1	8873
o0982011	n	2(N29AB)	2(N29A~b)	1	8875
o0982014	n	1(N30A)	1(N30~a)	1	8890
o0982022	n	1(N30E)	1(N30~e)	1	8918
o0982023	n	1(N31)	1(N31)	1	8921
o0982026	n	1(N34)	1(N34)	1	8930
o0982064	n	1(N39A)	1(N39~a)	4	9044
o0982065	n	2(N39A)	2(N39~a)	2	9046
o0982076	n	1(N41)	1(N41)	3	9071
o0982077	n	2(N41)	2(N41)	1	9073
o0982079	n	4(N41)	4(N41)	1	9077
o0982172	n	1(N57)	1(N57)	3	9322
o0982173	n	2(N57)	2(N57)	2	9324
o0982174	n	3(N57)	3(N57)	7	9327
o0982176	n	5(N57)	5(N57)	1	9331
o0982177	n	6(N57)	6(N57)	1	9333
o0982182	e		-	1	9348
