   4 g	o0900000..	@pcsl/pc25%pc:s/A=A--#wn%qpc:#u%:#a1#a1#u0#+m-------	A
   2 g	o0900012..	@pcsl/pc25%pc:s/=AB~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	AB~a
   2 g	o0900012..	@pcsl/pc25%pc:s/=AB~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	AB~a
   1 g	o0900053..	@pcsl/pc25%pc:s/=AD~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	AD~a
   1 g	o0900053..	@pcsl/pc25%pc:s/=AD~a--#wn%qpc:#u%:#a1#a1#u0#+m?------	AD~a
   3 g	o0900064..	@pcsl/pc25%pc:s/AL=AL--#wn%qpc:#u%:#a1#a1#u0#+k-------	AL
   1 g	o0900082..	@pcsl/pc25%pc:s/AMAR=AMAR--#wn%qpc:#u%:#a1#a1#u0#+m-------	AMAR
   2 g	o0900089..	@pcsl/pc25%pc:s/AN=AN--#wn%qpc:#u%:#a1#a1#u0#+k-------	AN
   3 g	o0900089..	@pcsl/pc25%pc:s/AN=AN--#wn%qpc:#u%:#a1#a1#u0#+m-------	AN
   3 g	o0900124..	@pcsl/pc25%pc:s/=BAHAR₂~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	BAHAR₂~a
   1 g	o0900154..	@pcsl/pc25%pc:s/BAR=BAR--#wn%qpc:#u%:#a1#a1#u0#.k?------	BAR
   1 g	o0900162..	@pcsl/pc25%pc:s/BARA₃=BARA₃--#wn%qpc:#u%:#a1#a1#u0#+m-------	BARA₃
  10 g	o0900175..	@pcsl/pc25%pc:s/=BU~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	BU~a
   2 g	o0900199..	@pcsl/pc25%pc:c/=|BU~a+DU₆~a|--#wn%qpc:#u%:#a1#a1#e0#+m-------	|BU~a+DU₆~a|
   1 g	o0900207..	@pcsl/pc25%pc:s/BULUG₃=BULUG₃--#wn%qpc:#u%:#a1#a1#u0#.k?------	BULUG₃
   1 g	o0900217..	@pcsl/pc25%pc:s/=DA~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	DA~a
   1 g	o0900217..	@pcsl/pc25%pc:s/=DA~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	DA~a
   1 g	o0900228..	@pcsl/pc25%pc:s/=DAR~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	DAR~a
   1 g	o0900229..	@pcsl/pc25%pc:s/=DAR~b--#wn%qpc:#u%:#a1#a1#u0#+m-------	DAR~b
   3 g	o0900269..	@pcsl/pc25%pc:s/=DIM~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	DIM~a
   3 g	o0900279..	@pcsl/pc25%pc:s/DU=DU--#wn%qpc:#u%:#a1#a1#u0#+m-------	DU
   1 g	o0900485..	@pcsl/pc25%pc:s/DUR₂=DUR₂--#wn%qpc:#u%:#a1#a1#u0#+m-------	DUR₂
   7 g	o0900493..	@pcsl/pc25%pc:s/=E₂~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	E₂~a
   3 g	o0900513..	@pcsl/pc25%pc:s/=EN~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	EN~a
  20 g	o0900513..	@pcsl/pc25%pc:s/=EN~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	EN~a
   1 g	o0900552..	@pcsl/pc25%pc:s/=EZEN~b--#wn%qpc:#u%:#a1#a1#u0#+m-------	EZEN~b
   1 g	o0900594..	@pcsl/pc25%pc:s/=EZINU~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	EZINU~a
   1 g	o0900616..	@pcsl/pc25%pc:s/=GA₂~a1--#wn%qpc:#u%:#a1#a1#u0#+m-------	GA₂~a1
   1 g	o0900729..	@pcsl/pc25%pc:s/=GAL~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	GAL~a
   1 g	o0900779..	@pcsl/pc25%pc:s/GAR=GAR--#wn%qpc:#u%:#a1#a1#u0#+k-------	GAR
   3 g	o0900806..	@pcsl/pc25%pc:s/GI=GI--#wn%qpc:#u%:#a1#a1#u0#+m-------	GI
   1 g	o0900822..	@pcsl/pc25%pc:c/GI=|GI&GI|--#wn%qpc:#u%:#a1#a1#e0#.k?------	|GI&GI|
   1 g	o0900845..	@pcsl/pc25%pc:s/=GIR~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	GIR~a
   2 g	o0900860..	@pcsl/pc25%pc:s/=GIR₃~c--#wn%qpc:#u%:#a1#a1#u0#+m-------	GIR₃~c
