   1 g	o0900000..	@pcsl/pc25%pc:s/A=A--#wn%qpc:#u%:#a1#a1#u0#.k-------	A
   8 g	o0900000..	@pcsl/pc25%pc:s/A=A--#wn%qpc:#u%:#a1#a1#u0#+k-------	A
   2 g	o0900012..	@pcsl/pc25%pc:s/=AB~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	AB~a
   5 g	o0900012..	@pcsl/pc25%pc:s/=AB~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	AB~a
   1 g	o0900014..	@pcsl/pc25%pc:s/=AB~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	AB~b
   2 g	o0900041..	@pcsl/pc25%pc:s/AB₂=AB₂--#wn%qpc:#u%:#a1#a1#u0#.k-------	AB₂
   3 g	o0900041..	@pcsl/pc25%pc:s/AB₂=AB₂--#wn%qpc:#u%:#a1#a1#u0#+k-------	AB₂
   1 g	o0900062..	@pcsl/pc25%pc:s/=AK~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	AK~a
   1 g	o0900064..	@pcsl/pc25%pc:s/AL=AL--#wn%qpc:#u%:#a1#a1#u0#+k-------	AL
   1 g	o0900077..	@pcsl/pc25%pc:s/=AMA~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	AMA~a
   1 g	o0900077..	@pcsl/pc25%pc:s/=AMA~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	AMA~a
   1 g	o0900089..	@pcsl/pc25%pc:s/AN=AN--#wn%qpc:#u%:#a1#a1#u0#.k-------	AN
   7 g	o0900089..	@pcsl/pc25%pc:s/AN=AN--#wn%qpc:#u%:#a1#a1#u0#+k-------	AN
   2 g	o0900094..	@pcsl/pc25%pc:s/=ANŠE~b--#wn%qpc:#u%:#a1#a1#u0#.k?------	ANŠE~b
   2 g	o0900100..	@pcsl/pc25%pc:s/=APIN~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	APIN~a
   3 g	o0900100..	@pcsl/pc25%pc:s/=APIN~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	APIN~a
   1 g	o0900115..	@pcsl/pc25%pc:s/BA=BA--#wn%qpc:#u%:#a1#a1#u0#.k-------	BA
   6 g	o0900115..	@pcsl/pc25%pc:s/BA=BA--#wn%qpc:#u%:#a1#a1#u0#+k-------	BA
   1 g	o0900126..	@pcsl/pc25%pc:s/=BAHAR₂~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	BAHAR₂~b
   1 g	o0900128..	@pcsl/pc25%pc:s/=BAHAR₂~c--#wn%qpc:#u%:#a1#a1#u0#.k-------	BAHAR₂~c
   1 g	o0900151..	@pcsl/pc25%pc:s/=BAPPIR~d--#wn%qpc:#u%:#a1#a1#u0#+k-------	BAPPIR~d
   1 g	o0900154..	@pcsl/pc25%pc:s/BAR=BAR--#wn%qpc:#u%:#a1#a1#u0#.k?------	BAR
   7 g	o0900154..	@pcsl/pc25%pc:s/BAR=BAR--#wn%qpc:#u%:#a1#a1#u0#+k-------	BAR
   1 g	o0900158..	@pcsl/pc25%pc:s/=BARA₂~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	BARA₂~a
   1 g	o0900169..	@pcsl/pc25%pc:s/=BIR₃~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	BIR₃~a
   2 g	o0900175..	@pcsl/pc25%pc:s/=BU~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	BU~a
   4 g	o0900175..	@pcsl/pc25%pc:s/=BU~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	BU~a
   1 g	o0900199..	@pcsl/pc25%pc:c/=|BU~a+DU₆~a|--#wn%qpc:#u%:#a1#a1#e0#.k-------	|BU~a+DU₆~a|
   1 g	o0900199..	@pcsl/pc25%pc:c/=|BU~a+DU₆~a|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|BU~a+DU₆~a|
   1 g	o0900211..	@pcsl/pc25%pc:s/=BUR~a--#wn%qpc:#u%:#a1#a1#u0#.k?------	BUR~a
  16 g	o0900211..	@pcsl/pc25%pc:s/=BUR~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	BUR~a
   2 g	o0900217..	@pcsl/pc25%pc:s/=DA~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	DA~a
   2 g	o0900217..	@pcsl/pc25%pc:s/=DA~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	DA~a
   1 g	o0900224..	@pcsl/pc25%pc:s/DAH=DAH--#wn%qpc:#u%:#a1#a1#u0#+k-------	DAH
   1 g	o0900228..	@pcsl/pc25%pc:s/=DAR~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	DAR~a
   1 g	o0900228..	@pcsl/pc25%pc:s/=DAR~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	DAR~a
   1 g	o0900249..	@pcsl/pc25%pc:s/=DARA₄~a1--#wn%qpc:#u%:#a1#a1#u0#.k-------	DARA₄~a1
   2 g	o0900249..	@pcsl/pc25%pc:s/=DARA₄~a1--#wn%qpc:#u%:#a1#a1#u0#+k-------	DARA₄~a1
   1 g	o0900254..	@pcsl/pc25%pc:s/=DARA₄~c1--#wn%qpc:#u%:#a1#a1#u0#.k-------	DARA₄~c1
   1 g	o0900260..	@pcsl/pc25%pc:s/DI=DI--#wn%qpc:#u%:#a1#a1#u0#+k-------	DI
   3 g	o0900269..	@pcsl/pc25%pc:s/=DIM~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	DIM~a
   1 g	o0900276..	@pcsl/pc25%pc:s/DIN=DIN--#wn%qpc:#u%:#a1#a1#u0#+k-------	DIN
   3 g	o0900279..	@pcsl/pc25%pc:s/DU=DU--#wn%qpc:#u%:#a1#a1#u0#+k-------	DU
   1 g	o0900407..	@pcsl/pc25%pc:c/=|DUG~a×NAGA~a|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|DUG~a×NAGA~a|
   1 g	o0900484..	@pcsl/pc25%pc:s/=DUR~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	DUR~b
   2 g	o0900485..	@pcsl/pc25%pc:s/DUR₂=DUR₂--#wn%qpc:#u%:#a1#a1#u0#+k-------	DUR₂
   2 g	o0900493..	@pcsl/pc25%pc:s/=E₂~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	E₂~a
   1 g	o0900494..	@pcsl/pc25%pc:s/=E₂~b--#wn%qpc:#u%:#a1#a1#u0#.k?------	E₂~b
   4 g	o0900494..	@pcsl/pc25%pc:s/=E₂~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	E₂~b
  10 g	o0900513..	@pcsl/pc25%pc:s/=EN~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	EN~a
   3 g	o0900513..	@pcsl/pc25%pc:s/=EN~a--#wn%qpc:#u%:#a1#a1#u0#.k?------	EN~a
  27 g	o0900513..	@pcsl/pc25%pc:s/=EN~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	EN~a
   1 g	o0900534..	@pcsl/pc25%pc:s/ENGIZ=ENGIZ--#wn%qpc:#u%:#a1#a1#u0#+k-------	ENGIZ
   1 g	o0900541..	@pcsl/pc25%pc:s/=ERIM~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	ERIM~a
   3 g	o0900541..	@pcsl/pc25%pc:s/=ERIM~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	ERIM~a
   1 g	o0900544..	@pcsl/pc25%pc:s/ERIM₂=ERIM₂--#wn%qpc:#u%:#a1#a1#u0#.k-------	ERIM₂
   1 g	o0900545..	@pcsl/pc25%pc:s/ERIN=ERIN--#wn%qpc:#u%:#a1#a1#u0#.k?------	ERIN
   1 g	o0900552..	@pcsl/pc25%pc:s/=EZEN~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	EZEN~b
   2 g	o0900599..	@pcsl/pc25%pc:s/=GA~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	GA~a
   6 g	o0900724..	@pcsl/pc25%pc:s/=GADA~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	GADA~a
   4 g	o0900729..	@pcsl/pc25%pc:s/=GAL~a--#wn%qpc:#u%:#a1#a1#u0#.k?------	GAL~a
   6 g	o0900729..	@pcsl/pc25%pc:s/=GAL~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	GAL~a
   2 g	o0900736..	@pcsl/pc25%pc:s/=GAN~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	GAN~a
   1 g	o0900742..	@pcsl/pc25%pc:s/=GAN~c--#wn%qpc:#u%:#a1#a1#u0#.k-------	GAN~c
   1 g	o0900742..	@pcsl/pc25%pc:s/=GAN~c--#wn%qpc:#u%:#a1#a1#u0#+k-------	GAN~c
   1 g	o0900778..	@pcsl/pc25%pc:s/GAN₂=GAN₂--#wn%qpc:#u%:#a1#a1#u0#.k-------	GAN₂
   2 g	o0900778..	@pcsl/pc25%pc:s/GAN₂=GAN₂--#wn%qpc:#u%:#a1#a1#u0#+k-------	GAN₂
   1 g	o0900779..	@pcsl/pc25%pc:s/GAR=GAR--#wn%qpc:#u%:#a1#a1#u0#.k-------	GAR
   1 g	o0900779..	@pcsl/pc25%pc:s/GAR=GAR--#wn%qpc:#u%:#a1#a1#u0#.k?------	GAR
   1 g	o0900779..	@pcsl/pc25%pc:s/GAR=GAR--#wn%qpc:#u%:#a1#a1#u0#+k-------	GAR
   2 g	o0900806..	@pcsl/pc25%pc:s/GI=GI--#wn%qpc:#u%:#a1#a1#u0#.k-------	GI
  13 g	o0900806..	@pcsl/pc25%pc:s/GI=GI--#wn%qpc:#u%:#a1#a1#u0#+k-------	GI
   1 g	o0900836..	@pcsl/pc25%pc:s/GI₆=GI₆--#wn%qpc:#u%:#a1#a1#u0#+k-------	GI₆
   1 g	o0900860..	@pcsl/pc25%pc:s/=GIR₃~c--#wn%qpc:#u%:#a1#a1#u0#+k-------	GIR₃~c
   1 g	o0900870..	@pcsl/pc25%pc:s/=GIR₃@g~b--#wn%qpc:#u%:#a1#a1#u0#.k-------	GIR₃@g~b
   1 g	o0900870..	@pcsl/pc25%pc:s/=GIR₃@g~b--#wn%qpc:#u%:#a1#a1#u0#.k?------	GIR₃@g~b
   1 g	o0900870..	@pcsl/pc25%pc:s/=GIR₃@g~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	GIR₃@g~b
   4 g	o0900875..	@pcsl/pc25%pc:s/GIŠ=GIŠ--#wn%qpc:#u%:#a1#a1#u0#+k-------	GIŠ
   1 g	o0900883..	@pcsl/pc25%pc:c/=|(GIŠ×ŠU₂)~a|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|GIŠ×ŠU₂~a|
   5 g	o0900899..	@pcsl/pc25%pc:s/=GIŠIMMAR~b1--#wn%qpc:#u%:#a1#a1#u0#+k-------	GIŠIMMAR~b1
   2 g	o0900906..	@pcsl/pc25%pc:s/GU=GU--#wn%qpc:#u%:#a1#a1#u0#+k-------	GU
   1 g	o0900908..	@pcsl/pc25%pc:s/GU₄=GU₄--#wn%qpc:#u%:#a1#a1#u0#.k?------	GU₄
   2 g	o0900908..	@pcsl/pc25%pc:s/GU₄=GU₄--#wn%qpc:#u%:#a1#a1#u0#+k-------	GU₄
   1 g	o0900912..	@pcsl/pc25%pc:s/GU₇=GU₇--#wn%qpc:#u%:#a1#a1#u0#+k-------	GU₇
   1 g	o0900920..	@pcsl/pc25%pc:s/GUG₂=GUG₂--#wn%qpc:#u%:#a1#a1#u0#+k-------	GUG₂
   2 g	o0900935..	@pcsl/pc25%pc:s/GUL=GUL--#wn%qpc:#u%:#a1#a1#u0#+k-------	GUL
   1 g	o0900938..	@pcsl/pc25%pc:s/=GUM~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	GUM~b
   1 g	o0900948..	@pcsl/pc25%pc:s/=GURUŠ~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	GURUŠ~a
   1 g	o0900948..	@pcsl/pc25%pc:s/=GURUŠ~a--#wn%qpc:#u%:#a1#a1#u0#.k?------	GURUŠ~a
   1 g	o0900954..	@pcsl/pc25%pc:c/=|GURUŠ~c×2(N14)|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|GURUŠ~c×2(N14)|
   1 g	o0900955..	@pcsl/pc25%pc:s/GURUŠDA=GURUŠDA--#wn%qpc:#u%:#a1#a1#u0#.k-------	GURUŠDA
   3 g	o0900958..	@pcsl/pc25%pc:s/HAŠHUR=HAŠHUR--#wn%qpc:#u%:#a1#a1#u0#.k-------	HAŠHUR
   1 g	o0900958..	@pcsl/pc25%pc:s/HAŠHUR=HAŠHUR--#wn%qpc:#u%:#a1#a1#u0#.k?------	HAŠHUR
   2 g	o0900958..	@pcsl/pc25%pc:s/HAŠHUR=HAŠHUR--#wn%qpc:#u%:#a1#a1#u0#+k-------	HAŠHUR
