o0900000	s	A	A	27	3
o0900005	c	|A×1(N14)|	|A×1(N14)|	1	14
o0900006	c	|A×ŠUBUR|	|A×ŠUBUR|	1	10
o0900007	c	|A×ZATU672|	|A×ZATU672|	1	12
o0900010	s	A₂	A₂	1	22
o0900012	s	AB~a	AB~a	29	24
o0900014	e		-	1	50
o0900018	c	|AB~a×A@t|	|AB~a×A@t|	1	25
o0900041	e		-	1	58
o0900041	s	AB₂	AB₂	60	58
o0900043	c	|AB₂×2(N14)|	|AB₂×2(N14)|	2	59
o0900054	s	AD~b	AD~b	1	74
o0900056	s	ADAB	ADAB	10	78
o0900062	s	AK~a	AK~a	4	87
o0900064	s	AL	AL	11	91
o0900077	s	AMA~a	AMA~a	12	111
o0900082	s	AMAR	AMAR	18	118
o0900087	c	|AMAR&AMAR|	|AMAR&AMAR|	1	123
o0900088	s	AMAR@g	AMAR@g	1	129
o0900089	s	AN	AN	88	131
o0900093	s	ANŠE~a	ANŠE~a	2	136
o0900094	s	ANŠE~b	ANŠE~b	1	138
o0900095	s	ANŠE~c	ANŠE~c	1	140
o0900096	s	ANŠE~e	ANŠE~e	3	143
o0900100	e		-	2	149
o0900100	s	APIN~a	APIN~a	16	149
o0900102	s	APIN~c	APIN~c	1	155
o0900104	c	|APIN~a.APIN~a|	|APIN~a.APIN~a|	1	150
o0900108	s	|U₄.AB~b|	ARARMA₂~b	1	160
o0900114	s	AZU	AZU	2	172
o0900115	s	BA	BA	98	174
o0900116	e		-	18	176
o0900116	s	BAD	BAD	1	176
o0900117	e		-	1	178
o0900133	s	BALAG	BALAG	7	200
o0900141	s	BANŠUR~a	BANŠUR~a	1	209
o0900146	s	BANŠUR~a@t	BANŠUR~a@t	1	211
o0900154	s	BAR	BAR	24	231
o0900158	s	BARA₂~a	BARA₂~a	9	237
o0900160	s	BARA₂~b	BARA₂~b	3	240
o0900165	s	BIR~a	BIR~a	2	710
o0900166	s	BIR~b	BIR~b	1	712
o0900169	s	BIR₃~a	BIR₃~a	1	716
o0900171	s	BIR₃~b	BIR₃~b	3	719
o0900175	e		-	1	725
o0900175	s	BU~a	BU~a	42	725
o0900177	s	BU~b	BU~b	2	758
o0900191	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	1	744
o0900197	c	|(BU~a&BU~a).X|	|(BU~a&BU~a).X|	1	750
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	3	730
o0900206	s	BULUG	BULUG	2	765
o0900212	s	BUR~b	BUR~b	1	773
o0900215	s	BUR₂	BUR₂	2	779
o0900217	s	DA~a	DA~a	12	781
o0900218	s	DA~b	DA~b	3	785
o0900219	s	DA~c	DA~c	2	787
o0900220	s	DA~d	DA~d	1	789
o0900224	s	DAH	DAH	1	793
o0900226	s	DANNA	DANNA	1	797
o0900235	s	DARA₃~a	DARA₃~a	3	809
o0900236	s	DARA₃~b	DARA₃~b	1	811
o0900237	s	DARA₃~c	DARA₃~c	1	813
o0900243	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	2	826
o0900246	c	|DARA₃~c×(KAR₂.ŠE~a)|	|DARA₃~c×(KAR₂.ŠE~a)|	1	817
o0900249	s	DARA₄~a1	DARA₄~a1	2	831
o0900250	s	DARA₄~a2	DARA₄~a2	3	833
o0900251	s	DARA₄~a3	DARA₄~a3	1	835
o0900252	s	DARA₄~b	DARA₄~b	2	837
o0900255	s	DARA₄~c2	DARA₄~c2	3	843
o0900260	s	DI	DI	16	853
o0900261	s	DI@t	DI@t	1	855
o0900262	s	DIB	DIB	1	857
o0900264	s	DILMUN	DILMUN	1	861
o0900269	s	DIM~a	DIM~a	5	865
o0900270	s	DIM~b	DIM~b	2	872
o0900271	s	DIM~c	DIM~c	2	874
o0900276	s	DIN	DIN	21	876
o0900278	s	DIN@t	DIN@t	1	881
o0900279	s	DU	DU	17	884
o0900284	s	DU₆~a	DU₆~a	1	893
o0900288	s	DU₆~c	DU₆~c	1	905
o0900293	s	DU₈~a	DU₈~a	1	909
o0900294	s	DU₈~b	DU₈~b	2	911
o0900296	s	DU₈~c	DU₈~c	6	914
o0900303	c	|DU₈~c×HI|	|DU₈~c×HI|	1	919
o0900312	s	DUB~a	DUB~a	5	933
o0900318	s	DUB~c	DUB~c	1	943
o0900319	s	DUB~d	DUB~d	1	945
o0900324	c	|(DUB@n~a×1(N58))~a|	|(DUB×DIŠ)~a|	5	955
o0900325	c	|DUB@n~b×1(N58)~a|	|(DUB×DIŠ)~b|	1	960
o0900331	s	DUG~a	DUG~a	22	965
o0900334	s	DUG~b	DUG~b	27	987
o0900370	c	|DUG~b×HI|	|DUG~b×HI|	1	1018
o0900391	c	|DUG~b×MAŠ|	|DUG~b×MAŠ|	2	1037
o0900395	c	|DUG~b×1(N57)|	|DUG~b×1(N57)|	3	1108
o0900433	c	|DUG~b×ŠE~a|	|DUG~b×ŠE~a|	5	1066
o0900461	c	|DUG~b×X|	|DUG~b×X|	2	1093
o0900483	s	DUR~a	DUR~a	18	1139
o0900485	s	DUR₂	DUR₂	3	1144
o0900489	s	E~c	E~c	1	1150
o0900493	s	E₂~a	E₂~a	5	1157
o0900494	s	E₂~b	E₂~b	3	1167
o0900517	s	EN~b	EN~b	54	1197
o0900525	s	EN@g~a	EN@g~a	1	1210
o0900526	s	EN@g~b	EN@g~b	9	1212
o0900528	s	EN~b@t	EN~b@t	1	1200
o0900529	s	EN₂	EN₂	3	1214
o0900541	s	ERIM~a	ERIM~a	41	1227
o0900542	s	ERIM~b1	ERIM~b1	1	1229
o0900543	s	ERIM~b2	ERIM~b2	1	1231
o0900545	s	ERIN	ERIN	25	1234
o0900546	e		-	2	1236
o0900546	s	EŠDA	EŠDA	20	1236
o0900548	s	EŠGAR	EŠGAR	6	1243
o0900550	s	EZEN~a	EZEN~a	8	1247
o0900552	s	EZEN~b	EZEN~b	1	1283
o0900561	c	|EZEN~a×KAB|	|EZEN~a×KAB|	1	1256
o0900575	c	|EZEN~a×NIMGIR|	|EZEN~a×NIMGIR|	1	1267
o0900577	c	|EZEN~a×RAD~a|	|EZEN~a×RAD~a|	1	1269
o0900585	c	|EZEN~a×U₄|	|EZEN~a×U₄|	1	1277
o0900587	c	|EZEN~a×X|	|EZEN~a×X|	1	1279
o0900592	s	EZEN~b@t	EZEN~c	2	1288
o0900597	s	EZINU~d	EZINU~d	4	1298
o0900616	s	GA₂~a1	GA₂~a1	6	1319
o0900619	s	GA₂~a4	GA₂~a4	1	1422
o0900620	s	GA₂~b	GA₂~b	9	1424
o0900623	c	|GA₂~a1×A|	|GA₂~a1×A|	1	1320
o0900625	c	|GA₂~b×DUB~a|	|GA₂~b×DUB~a|	1	1425
o0900650	c	|GA₂~a1×HI|	|GA₂~a1×HI|	1	1344
o0900657	c	|GA₂~a1×KU₆~a|	|GA₂~a1×KU₆~a|	2	1350
o0900662	c	|GA₂~a1×LAGAB~b|	|GA₂~a1×LAGAB~b|	1	1354
o0900666	c	|GA₂~a1×1(N14)|	|GA₂~a1×1(N14)|	2	1391
o0900668	c	|GA₂~a1×1(N57)|	|GA₂~a1×1(N57)|	2	1393
o0900691	c	|GA₂~a1×SUHUR|	|GA₂~a1×SUHUR|	3	1370
o0900694	c	|GA₂~a1×SUKUD|	|GA₂~a1×SUKUD|	5	1372
o0900699	c	|GA₂~a1×SUMAŠ|	|GA₂~a1×SUMAŠ|	1	1380
o0900709	c	|GA₂~a1×X|	|GA₂~a1×X|	3	1388
o0900712	c	|GA₂~a3×X|	|GA₂~a3×X|	1	1419
o0900720	s	GAʾAR~a2	GAʾAR~a2	1	1443
o0900721	s	GAʾAR~b1	GAʾAR~b1	1	1445
o0900722	s	GAʾAR~b2	GAʾAR~b2	2	1447
o0900724	s	GADA~a	GADA~a	9	1450
o0900727	s	GADA~b@g	GADA~b@g	2	1454
o0900729	e		-	2	1456
o0900729	s	GAL~a	GAL~a	46	1456
o0900730	s	GAL~b	GAL~b	3	1463
o0900751	c	|GAN~c×HI|	|GAN~c×HI|	1	1480
o0900761	c	|GAN~c×LAGAB~b|	|GAN~c×LAGAB~b|	1	1488
o0900773	c	|GAN~c×X|	|GAN~c×X|	1	1498
o0900778	s	GAN₂	GAN₂	5	1512
o0900779	s	GAR	GAR	35	1514
o0900781	s	GAR@g~a	GAR@g~a	4	1516
o0900784	s	GAR₃	GAR₃	29	1522
o0900797	s	GEŠTU~a	GEŠTU~a	8	1540
o0900800	s	GEŠTU~b	GEŠTU~b	27	1547
o0900801	s	GEŠTU~c3	GEŠTU~c3	2	1550
o0900806	s	GI	GI	39	1555
o0900817	c	|GI×NAM₂|	|GI×NAM₂|	1	1565
o0900819	c	|GI×SIG₂~d1|	|GI×SIG₂~d1|	2	1567
o0900822	c	|GI&GI|	|GI&GI|	1	1578
o0900823	c	|(GI&GI)×GIŠ@t|	|(GI&GI)×GIŠ@t|	1	1580
o0900827	s	GI@t	GI@t	1	1590
o0900829	s	GI₄~a	GI₄~a	1	1592
o0900830	s	GI₄~b	GI₄~b	6	1598
o0900835	c	|GI₄~b&GI₄~b|	|GI₄~b&GI₄~b|	1	1599
o0900836	s	GI₆	GI₆	12	1602
o0900839	s	GIBIL	GIBIL	2	1607
o0900845	s	GIR~a	GIR~a	1	1615
o0900855	s	GIR₂~a	GIR₂~a	4	1628
o0900858	s	GIR₃~a	GIR₃~a	14	1632
o0900859	s	GIR₃~b	GIR₃~b	1	1636
o0900860	s	GIR₃~c	GIR₃~c	4	1638
o0900869	s	GIR₃@g~a	GIR₃@g~a	3	1648
o0900870	s	GIR₃@g~b	GIR₃@g~b	1	1650
o0900871	s	GIR₃@g~c	GIR₃@g~c	1	1652
o0900873	s	GISAL~a	GISAL~a	1	1656
o0900874	s	GISAL~b	GISAL~b	2	1658
o0900875	s	GIŠ	GIŠ	4	1660
o0900880	c	|(GIŠ×(DIN.DIN))~b|	|(GIŠ×(DIN.DIN))~b|	1	1665
o0900885	s	GIŠ@t	GIŠ@t	7	1680
o0900896	s	GIŠIMMAR~a1	GIŠIMMAR~a1	3	1693
o0900897	s	GIŠIMMAR~a2	GIŠIMMAR~a2	1	1695
o0900903	s	GIŠIMMAR~b3	GIŠIMMAR~b3	1	1706
o0900906	s	GU	GU	2	1709
o0900908	e		-	1	1714
o0900908	s	GU₄	GU₄	50	1714
o0900911	c	|GU₄.ZATU755~b|	|GU₄.ZATU755~a|	1	1716
o0900912	s	GU₇	GU₇	6	1725
o0900916	s	GUB₃~a	GUB₃~a	1	1728
o0900918	s	GUB₃~c	GUB₃~c	1	1732
o0900920	s	GUG₂	GUG₂	7	1738
o0900929	e		-	2	1752
o0900929	s	GUKKAL~a	GUKKAL~a	25	1752
o0900930	s	GUKKAL~b	GUKKAL~b	2	1756
o0900932	s	GUKKAL~d	GUKKAL~d	1	1760
o0900934	c	|GUKKAL~a.HI@g~a|	|GUKKAL~a.HI@g~a|	2	1753
o0900935	s	GUL	GUL	4	1762
o0900937	s	GUM~a	GUM~a	14	1764
o0900938	s	GUM~b	GUM~b	3	1766
o0900944	s	GUN₃~a	GUN₃~a	1	1772
o0900950	s	GURUŠ~b	GURUŠ~b	4	1784
o0900952	c	|GURUŠ~a×2(N14)|	|GURUŠ~a×2(N14)|	2	1779
