o0980010	s	AB~a	AB~a	1	11
o0980025	s	AB₂	AB₂	1	26
o0980038	s	AK~a	AK~a	1	39
o0980058	s	AN	AN	1	60
o0980284	s	DUG~c	DUG~c	3	315
o0980342	c	|EZEN~a×NIM~b2|	|EZEN~a×NIM~b2|	1	393
o0980365	s	GA₂~a1	GA₂~a1	4	418
o0980467	s	GEŠTU~a	GEŠTU~a	1	528
o0980538	s	GIŠIMMAR~b2	GIŠIMMAR~b2	1	612
o0980615	s	IR~d	IR~d	1	702
o0980659	s	KAŠ~c	KAŠ~c	3	749
o0980699	s	KU₆~a	KU₆~a	2	791
o0980789	s	LAM~b	LAM~b	1	891
o0980905	s	NANŠE~a	NANŠE~a	1	1026
o0980908	s	NE~a	NE~a	2	1029
o0981050	s	SANGA~a	SANGA~a	1	1198
o0981059	s	SI	SI	1	1207
o0981332	s	U₄	U₄	1	1520
o0981432	s	UNUG~a	UNUG~a	1	1628
o0981437	s	UR~a	UR~a	1	1634
o0981544	s	ZATU630	ZATU630	1	1756
o0981721	s	ZATU759	ZATU759	3	1936
o0981828	n	1(N01)	1(N01)	5	2045
o0981829	n	2(N01)	2(N01)	3	2046
o0981831	n	4(N01)	4(N01)	1	2048
o0981832	n	5(N01)	5(N01)	1	2049
o0981834	n	7(N01)	7(N01)	1	2051
o0981849	n	2(N02)	2(N02)	1	2070
o0981850	n	3(N02)	3(N02)	2	2071
o0981852	n	5(N02)	5(N02)	1	2073
o0981912	n	1(N14)	1(N14)	1	2155
o0981913	n	2(N14)	2(N14)	1	2156
o0982026	n	1(N34)	1(N34)	1	2333
