o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0980028..	s	|NUN~a.ME~a|--	ABGAL
o0980981..	e	--	-
o0980841..	e	--	-
o0981828..	n	1(N01)--	1(N01)
o0980678..	s	|UKKIN~a.GAL~a|--	KINGAL
o0981414..	e	--	-
o0980430..	e	--	-
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0980430..	s	GAL~a--	GAL~a
o0981431..	s	UMUN₂--	UMUN₂
o0981828..	n	1(N01)--	1(N01)
o0980430..	s	GAL~a--	GAL~a
o0981431..	s	UMUN₂--	UMUN₂
o0980697..	s	KU₃~a--	KU₃~a
o0981828..	n	1(N01)--	1(N01)
o0980200..	s	DUB~a--	DUB~a
o0981050..	s	SANGA~a--	SANGA~a
o0981828..	n	1(N01)--	1(N01)
o0981154..	s	SUG₅--	SUG₅
o0981028..	s	SAG--	SAG
o0981828..	n	1(N01)--	1(N01)
o0981394..	s	UB--	UB
o0981028..	s	SAG--	SAG
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0980430..	s	GAL~a--	GAL~a
o0981229..	s	ŠITA~a1--	ŠITA~a1
o0981828..	n	1(N01)--	1(N01)
o0980028..	s	|NUN~a.ME~a|--	ABGAL
o0980981..	e	--	-
o0980841..	e	--	-
o0981828..	n	1(N01)--	1(N01)
o0980927..	s	NIM~a--	NIM~a
o0981828..	n	1(N01)--	1(N01)
o0980430..	s	GAL~a--	GAL~a
o0981142..	s	SILA₄~b--	SILA₄~b
o0981828..	n	1(N01)--	1(N01)
o0980430..	s	GAL~a--	GAL~a
o0981187..	s	|PA~a.IB~a|--	ŠAB~a
o0980999..	e	--	-
o0980595..	e	--	-
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0981093..	s	SILA₃~a--	SILA₃~a
o0980619..	s	IŠ~b--	IŠ~b
o0981828..	n	1(N01)--	1(N01)
o0980921..	s	NI~b--	NI~b
o0981320..	s	TUR--	TUR
o0981828..	n	1(N01)--	1(N01)
o0981041..	s	SAL--	SAL
o0981709..	s	ZATU750--	ZATU750
o0981828..	n	1(N01)--	1(N01)
o0980430..	s	GAL~a--	GAL~a
o0981828..	n	1(N01)--	1(N01)
o0980430..	s	GAL~a--	GAL~a
o0980574..	s	GURUŠDA--	GURUŠDA
o0981828..	n	1(N01)--	1(N01)
o0981050..	s	SANGA~a--	SANGA~a
o0980574..	s	GURUŠDA--	GURUŠDA
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0980430..	s	GAL~a--	GAL~a
o0981828..	n	1(N01)--	1(N01)
o0980867..	s	MUŠ--	MUŠ
o0981828..	n	1(N01)--	1(N01)
o0980430..	s	GAL~a--	GAL~a
o0980865..	s	MUNU₃--	MUNU₃
o0981828..	n	1(N01)--	1(N01)
o0980309..	s	EN~a--	EN~a
o0980981..	s	NUN~a--	NUN~a
o0981828..	n	1(N01)--	1(N01)
o0982246..	s	X--	X
o0980309..	s	EN~a--	EN~a
o0980053..	s	AMAR--	AMAR
o0981828..	n	1(N01)--	1(N01)
o0982246..	s	X--	X
o0981256..	c	|ŠU₂.EN~a|--	|ŠU₂.EN~a|
o0981252..	e	--	-
o0980309..	e	--	-
o0981828..	n	1(N01)--	1(N01)
o0981828..	n	1(N01)--	1(N01)
o0982246..	s	X--	X
o0980595..	s	IB~a--	IB~a
