o0900189	c	|BU~a&BU~a|	|BU~a&BU~a|
o0900189	e		-
o0900189	e		-
o0900189	e		-
o0900189	e		-
o0900189	e		-
o0900189	e		-
o0900189	e		-
o0903367	e		-
o0903368	e		-
o0903368	e		-
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
