o0980000	e		-	4	1
o0980000	s	A	A	330	1
o0980009	s	A₂	A₂	1	10
o0980010	e		-	28	11
o0980010	s	AB~a	AB~a	279	11
o0980012	c	|AB~a×AŠ₂|	|AB~a×AŠ₂|	2	13
o0980015	c	|AB~a×(ŠE~a&ŠE~a)|	|AB~a×(ŠE~a&ŠE~a)|	3	16
o0980017	c	|AB~a×ZATU659|	|AB~a×ZATU659|	3	18
o0980019	c	|AB~a×1(N04)|	|AB~a×1(N04)|	3	20
o0980020	s	AB~a@g	AB~a@g	1	21
o0980021	e		-	1	22
o0980021	s	AB~b	AB~b	52	22
o0980025	s	AB₂	AB₂	195	26
o0980028	s	|NUN~a.ME~a|	ABGAL	42	1110
o0980029	s	|NUN~a.ME~a.DU|	ABRIG	2	1111
o0980030	s	ABZU	ABZU	5	31
o0980031	s	AD~a	AD~a	37	32
o0980032	s	AD~b	AD~b	2	33
o0980033	s	AD~c	AD~c	6	34
o0980034	s	ADAB	ADAB	14	35
o0980035	s	ADDA	ADDA	1	36
o0980037	s	AGAR₂	AGAR₂	16	38
o0980038	s	AK~a	AK~a	35	39
o0980040	s	AL	AL	78	41
o0980041	s	ALAN~a	ALAN~a	5	42
o0980042	s	ALAN~b	ALAN~b	4	43
o0980043	s	ALAN~c	ALAN~c	5	44
o0980045	s	ALAN~e	ALAN~e	2	46
o0980047	s	ALIM	ALIM	10	48
o0980048	s	AM~a	AM~a	2	49
o0980049	s	AM~b	AM~b	2	50
o0980050	s	AMA~a	AMA~a	63	51
o0980051	c	|AMA~a×E₂~a|	|AMA~a×E₂~a|	3	52
o0980052	s	AMA~b	AMA~b	4	53
o0980053	e		-	4	54
o0980053	s	AMAR	AMAR	93	54
o0980054	c	|AMAR.1(N02)|	|AMAR.1(N02)|	2	55
o0980058	s	AN	AN	573	60
o0980059	s	ANŠE~a	ANŠE~a	3	61
o0980060	s	ANŠE~b	ANŠE~b	20	62
o0980061	s	ANŠE~c	ANŠE~c	2	63
o0980062	s	ANŠE~e	ANŠE~e	4	65
o0980063	s	ANŠE~f	ANŠE~f	5	66
o0980065	s	APIN~a	APIN~a	137	69
o0980067	s	APIN~b	APIN~b	9	71
o0980068	s	APIN~c	APIN~c	1	72
o0980069	s	ARARMA₂~a	ARARMA₂~a	7	73
o0980070	s	|U₄.AB~b|	ARARMA₂~b	1	1519
o0980071	s	|3(N57).LAM~a.KUR~a.RU|	ARATTA	1	2598
o0980073	s	ASAR	ASAR	17	77
o0980075	e		-	3	80
o0980075	s	AZ	AZ	17	80
o0980077	s	BA	BA	430	82
o0980078	e		-	45	83
o0980078	s	BAD	BAD	13	83
o0980079	c	|BAD&BAD|	|BAD&BAD|	7	85
o0980079	e		-	21	85
o0980080	s	BAD₃~a	BAD₃~a	2	86
o0980081	s	BAD₃~b1	BAD₃~b1	1	87
o0980082	s	BAD₃~b2	BAD₃~b2	2	88
o0980083	s	BAHAR₂~a	BAHAR₂~a	10	89
o0980084	s	BAHAR₂~b	BAHAR₂~b	17	90
o0980085	s	BAHAR₂~c	BAHAR₂~c	14	91
o0980086	s	BALA~a	BALA~a	18	92
o0980087	s	BALA~b	BALA~b	1	93
o0980088	s	BALAG	BALAG	9	94
o0980089	s	BAN~a	BAN~a	6	95
o0980090	s	BAN~b	BAN~b	2	96
o0980093	s	BANŠUR~b1	BANŠUR~b1	2	99
o0980094	s	BANŠUR~b2	BANŠUR~b2	1	100
o0980095	s	BANŠUR~c	BANŠUR~c	2	101
o0980096	s	BAPPIR~a	BAPPIR~a	3	102
o0980097	s	BAPPIR~b	BAPPIR~b	3	103
o0980098	s	BAPPIR~c	BAPPIR~c	1	104
o0980099	s	BAPPIR~d	BAPPIR~d	6	105
o0980100	s	BAPPIR~e	BAPPIR~e	1	106
o0980101	s	BAPPIR~f	BAPPIR~f	1	107
o0980102	s	BAR	BAR	267	108
o0980105	s	BARA₂~a	BARA₂~a	37	111
o0980107	s	BARA₃	BARA₃	15	113
o0980109	s	BIR~a	BIR~a	1	115
o0980112	e		-	1	118
o0980112	s	BIR₃~a	BIR₃~a	12	118
o0980113	s	BIR₃~b	BIR₃~b	1	119
o0980114	s	BIR₃~c	BIR₃~c	4	120
o0980115	e		-	4	121
o0980115	s	BU~a	BU~a	351	121
o0980117	c	|BU~a+DU₆~a|	|BU~a.DU₆~a|	8	125
o0980117	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	35	125
o0980118	c	|BU~a+KI|	|BU~a+KI|	1	126
o0980120	c	|BU~a×A|	|BU~a×A|	1	128
o0980123	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	7	132
o0980126	s	BU~b	BU~b	11	137
o0980128	e		-	1	139
o0980128	s	BU₃	BU₃	20	139
o0980128	s	BU₃	BU₃~a	3	139
o0980129	s	BULUG	BULUG	1	141
o0980130	s	BULUG₃	BULUG₃	30	142
o0980132	s	BUR~a	BUR~a	27	144
o0980133	s	BUR~b	BUR~b	7	145
o0980135	s	BUR~d	BUR~d	1	147
o0980136	e		-	3	148
o0980136	s	BUR₂	BUR₂	32	148
o0980137	s	DA~a	DA~a	138	149
o0980143	s	DAH	DAH	21	155
o0980144	s	DAM	DAM	14	156
o0980145	s	DANNA	DANNA	3	157
o0980146	s	DAR~a	DAR~a	13	158
o0980147	c	|DAR~a×A|	|DAR~a×A|	1	159
o0980148	s	DAR~b	DAR~b	12	160
o0980149	s	DAR~c	DAR~c	4	161
o0980153	s	DARA₃~c	DARA₃~c	4	165
o0980154	c	|DARA₃~c×KAR₂|	|DARA₃~c×KAR₂|	2	166
o0980156	s	DARA₃~d	DARA₃~d	1	168
o0980157	c	|DARA₃~d×(KAR₂.ŠE~a)|	|DARA₃~d×(KAR₂.ŠE~a)|	1	172
