o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0903221	c	|1(N57).ŠUBUR|--	|1(N57).ŠUBUR|
o0903210	e	--	-
o0902060	e	--	-
o0902858	n	1(N01)--	1(N01)
o0903231	c	|2(N57).ŠUBUR|--	|2(N57).ŠUBUR|
o0903222	e	--	-
o0902060	e	--	-
o0902858	n	1(N01)--	1(N01)
o0902161	s	U₄--	U₄
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901044	s	KAB--	KAB
o0902858	n	1(N01)--	1(N01)
o0901380	s	ME~a--	ME~a
o0901792	c	|SILA₃~a×GARA₂~a|--	|SILA₃~a×GARA₂~a|
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901662	s	RAD~a@g--	RAD~a@g
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901142	s	KU₃~a--	KU₃~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902557	s	ZATU686~a--	ZATU686~a
o0900175	s	BU~a--	BU~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900175	s	BU~a--	BU~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901426	s	MUŠEN--	MUŠEN
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901639	s	PAP~a--	PAP~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902256	s	UH₃~a--	UH₃~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900960	s	HI--	HI
o0901592	s	NUN~a--	NUN~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901075	s	KASKAL--	KASKAL
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901285	s	LAM~b--	LAM~b
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901030	s	KA~a--	KA~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900056	s	ADAB--	ADAB
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901861	s	SILA₄~b--	SILA₄~b
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902227	s	UB--	UB
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901426	s	MUŠEN--	MUŠEN
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902128	s	TUM~a--	TUM~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900806	s	GI--	GI
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902302	s	UR~a--	UR~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901918	s	ŠA₃~a1--	ŠA₃~a1
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900778	s	GAN₂--	GAN₂
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901946	s	ŠE~a--	ŠE~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900955	s	GURUŠDA--	GURUŠDA
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900000	s	A--	A
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901696	s	SAGŠU--	SAGŠU
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900124	s	BAHAR₂~a--	BAHAR₂~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0900041	s	AB₂--	AB₂
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0901483	s	NE~a--	NE~a
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0900199	c	|BU~a+DU₆~a|--	|BU~a+DU₆~a|
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0901186	s	LAGAB~a--	LAGAB~a
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0900836	s	GI₆--	GI₆
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0902161	s	U₄--	U₄
o0902858	n	1(N01)--	1(N01)
o0900175	s	BU~a--	BU~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902332	s	URI₃~a--	URI₃~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901058	s	KAL~b1--	KAL~b1
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0903210	n	1(N57)--	1(N57)
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0901145	s	KU₆~a--	KU₆~a
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0901725	s	SI--	SI
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0900516	s	EN~a--	EN~a
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0901881	s	SUHUR--	SUHUR
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0901392	s	MU--	MU
o0902858	n	1(N01)--	1(N01)
o0902102	s	TE--	TE
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902710	s	ZATU758--	ZATU758
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900730	s	GAL~b--	GAL~b
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900124	s	BAHAR₂~a--	BAHAR₂~a
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0900089	s	AN--	AN
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0900858	s	GIR₃~a--	GIR₃~a
o0902858	n	1(N01)--	1(N01)
o0903252	c	|3(N57).ŠUBUR|--	|3(N57).ŠUBUR|
o0903234	e	--	-
o0902060	e	--	-
o0902858	n	1(N01)--	1(N01)
o0901963	s	ŠE₃--	ŠE₃
o0902060	s	ŠUBUR--	ŠUBUR
o0902858	n	1(N01)--	1(N01)
o0901516	s	NIM~a--	NIM~a
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0901325	s	MAH~a--	MAH~a
o0902934	n	5(N14)--	5(N14)
o0902865	n	8(N01)--	8(N01)
o0902858	n	1(N01)--	1(N01)
o0902858	n	1(N01)--	1(N01)
o0900949	s	GURUŠ~a--	GURUŠ~a
o0901090	s	KI--	KI
o0902858	n	1(N01)--	1(N01)
o0902161	s	U₄--	U₄
o0901055	c	|KAK~a.GA₂~a1|--	|KAK~a.GA₂~a1|
o0901052	e	--	-
o0900616	e	--	-
o0902858	n	1(N01)--	1(N01)
o0901055	c	|KAK~a.GA₂~a1|--	|KAK~a.GA₂~a1|
o0901052	e	--	-
o0900616	e	--	-
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0902142	s	TUR--	TUR
o0902858	n	1(N01)--	1(N01)
o0902302	s	UR~a--	UR~a
o0902858	n	1(N01)--	1(N01)
o0903234	n	3(N57)--	3(N57)
o0900797	s	GEŠTU~a--	GEŠTU~a
o0902858	n	1(N01)--	1(N01)
o0901674	s	SA~a--	SA~a
o0902858	n	1(N01)--	1(N01)
o0902858	n	1(N01)--	1(N01)
o0902858	n	1(N01)--	1(N01)
o0902858	n	1(N01)--	1(N01)
o0902858	n	1(N01)--	1(N01)
o0902601	s	ZATU707~a--	ZATU707~a
o0902557	s	ZATU686~a--	ZATU686~a
o0902601	s	ZATU707~a--	ZATU707~a
o0902601	s	ZATU707~a--	ZATU707~a
o0901030	s	KA~a--	KA~a
o0900493	s	E₂~a--	E₂~a
o0900493	s	E₂~a--	E₂~a
o0901030	s	KA~a--	KA~a
o0901187	s	LAGAB~b--	LAGAB~b
o0902601	s	ZATU707~a--	ZATU707~a
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0902007	s	ŠITA~b1--	ŠITA~b1
o0902858	n	1(N01)--	1(N01)
o0902004	s	ŠITA~a1--	ŠITA~a1
o0902858	n	1(N01)--	1(N01)
o0902116	s	TUG₂~a--	TUG₂~a
o0902858	n	1(N01)--	1(N01)
o0902116	s	TUG₂~a--	TUG₂~a
o0902858	n	1(N01)--	1(N01)
o0901910	s	ŠA--	ŠA
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0902243	s	UDU~a--	UDU~a
o0902858	n	1(N01)--	1(N01)
o0901834	c	|SILA₃~a×NUN~b|--	|SILA₃~a×NUN~b|
o0902858	n	1(N01)--	1(N01)
o0901802	c	|SILA₃~a×HI|--	|SILA₃~a×HI|
o0902858	n	1(N01)--	1(N01)
o0902004	s	ŠITA~a1--	ŠITA~a1
o0902858	n	1(N01)--	1(N01)
o0902014	c	|ŠITA~a1×KAK~a|--	|ŠITA~a1×KAK~a|
o0902858	n	1(N01)--	1(N01)
o0902020	c	|ŠITA~a1×ŠU|--	|ŠITA~a1×ŠU|
o0902858	n	1(N01)--	1(N01)
o0902014	c	|ŠITA~a1×KAK~a|--	|ŠITA~a1×KAK~a|
o0902858	n	1(N01)--	1(N01)
o0902020	c	|ŠITA~a1×ŠU|--	|ŠITA~a1×ŠU|
o0902858	n	1(N01)--	1(N01)
o0903580	s	DUG~c--	DUG~c
o0900729	s	GAL~a--	GAL~a
o0902858	n	1(N01)--	1(N01)
o0901639	s	PAP~a--	PAP~a
o0900154	s	BAR--	BAR
o0902858	n	1(N01)--	1(N01)
o0901592	s	NUN~a--	NUN~a
o0901468	s	NAM₂--	NAM₂
o0902858	n	1(N01)--	1(N01)
o0901639	s	PAP~a--	PAP~a
o0903234	n	3(N57)--	3(N57)
o0902858	n	1(N01)--	1(N01)
o0902858	n	1(N01)--	1(N01)
o0901470	s	NAM₂@g--	NAM₂@g
o0902858	n	1(N01)--	1(N01)
o0901887	s	SUKKAL--	SUKKAL
o0901592	s	NUN~a--	NUN~a
o0902858	n	1(N01)--	1(N01)
o0901887	s	SUKKAL--	SUKKAL
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0901380	s	ME~a--	ME~a
o0902243	s	UDU~a--	UDU~a
o0902339	s	URU~a1--	URU~a1
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900516	s	EN~a--	EN~a
o0902858	n	1(N01)--	1(N01)
o0901376	s	MAŠ--	MAŠ
o0900100	s	APIN~a--	APIN~a
o0902858	n	1(N01)--	1(N01)
o0900516	s	EN~a--	EN~a
o0900516	s	EN~a--	EN~a
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0903234	n	3(N57)--	3(N57)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0900089	s	AN--	AN
o0902033	s	ŠU--	ŠU
o0902858	n	1(N01)--	1(N01)
o0901380	s	ME~a--	ME~a
o0902858	n	1(N01)--	1(N01)
o0902036	s	ŠU@g--	ŠU@g
o0902858	n	1(N01)--	1(N01)
o0902033	s	ŠU--	ŠU
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0901145	s	KU₆~a--	KU₆~a
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0901145	s	KU₆~a--	KU₆~a
o0902858	n	1(N01)--	1(N01)
o0900217	s	DA~a--	DA~a
o0902858	n	1(N01)--	1(N01)
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0902858	n	1(N01)--	1(N01)
o0903234	n	3(N57)--	3(N57)
o0902318	s	UR₃~b2--	UR₃~b2
