	V/pub	V/unp	V/all	IV/pub	IV/unp	IV/all	III/pub	III/unp	III/all
Uruk/num	18/125	0/0	18/125 	159/5178	0/0	159/5178 	188/11709	0/0	188/11709
Uruk/idg	3/6	0/0	3/6 	864/6597	0/0	864/6597 	1084/20691	0/0	1084/20691
JN/num	3/3	0/0	3/3 	0/0	0/0	0/0 	138/2530	0/0	138/2530
JN/idg	0/0	0/0	0/0 	0/0	0/0	0/0 	451/4243	0/0	451/4243
Umma/num	0/0	0/0	0/0 	0/0	0/0	0/0 	121/1595	0/0	121/1595
Umma/idg	0/0	0/0	0/0 	0/0	0/0	0/0 	387/2305	0/0	387/2305
Uqair/num	0/0	0/0	0/0 	0/0	0/0	0/0 	50/444	0/0	50/444
Uqair/idg	0/0	0/0	0/0 	0/0	0/0	0/0 	241/922	0/0	241/922
Misc/num	23/45	0/0	23/45 	31/70	0/0	31/70 	168/5219	0/0	168/5219
Misc/idg	1/1	0/0	1/1 	46/72	0/0	46/72 	686/8032	0/0	686/8032
total	28/173	0/0	28/173 	161/5248	0/0	161/5248 	241/21497 	0/0	241/21497
total	3/7	0/0	3/7 	871/6669	0/0	871/6669 	1363/36193 	0/0	1363/36193
