o0902858	n	1(N01)--	1(N01)
o0900870	s	GIR₃@g~b--	GIR₃@g~b
o0903368	s	X--	X
o0902858	n	1(N01)--	1(N01)
o0901377	s	MAŠ₂--	MAŠ₂
o0900089	s	AN--	AN
o0902227	s	UB--	UB
o0902858	n	1(N01)--	1(N01)
o0901377	s	MAŠ₂--	MAŠ₂
o0901999	s	ŠIR~a--	ŠIR~a
o0901517	s	NIM~b1--	NIM~b1
o0902858	n	1(N01)--	1(N01)
o0902116	s	TUG₂~a--	TUG₂~a
o0902227	s	UB--	UB
o0902863	n	6(N01)--	6(N01)
o0902243	s	UDU~a--	UDU~a
o0902858	n	1(N01)--	1(N01)
o0902116	s	TUG₂~a--	TUG₂~a
o0902932	n	3(N14)--	3(N14)
o0902858	n	1(N01)--	1(N01)
o0901946	s	ŠE~a--	ŠE~a
o0903234	n	3(N57)--	3(N57)
o0900516	s	EN~a--	EN~a
o0903368	s	X--	X
o0902934	n	5(N14)--	5(N14)
o0902861	n	4(N01)--	4(N01)
o0901501	s	NI~a--	NI~a
o0900541	s	ERIM~a--	ERIM~a
o0903234	n	3(N57)--	3(N57)
o0902557	s	ZATU686~a--	ZATU686~a
o0902933	n	4(N14)--	4(N14)
o0902863	n	6(N01)--	6(N01)
o0903368	s	X--	X
o0902929	n	1(N14)--	1(N14)
o0902227	s	UB--	UB
o0903368	s	X--	X
o0900806	s	GI--	GI
o0902745	s	ZATU776--	ZATU776
o0902929	n	1(N14)--	1(N14)
o0901501	s	NI~a--	NI~a
o0902929	n	1(N14)--	1(N14)
o0902146	s	TUR₃~a--	TUR₃~a
o0902929	n	1(N14)--	1(N14)
o0902339	s	URU~a1--	URU~a1
o0902929	n	1(N14)--	1(N14)
o0902862	n	5(N01)--	5(N01)
o0900089	s	AN--	AN
o0901522	s	NIMGIR--	NIMGIR
o0902929	n	1(N14)--	1(N14)
o0902862	n	5(N01)--	5(N01)
o0900960	s	HI--	HI
o0900089	s	AN--	AN
o0901361	s	MAR~a--	MAR~a
o0900175	s	BU~a--	BU~a
o0902929	n	1(N14)--	1(N14)
o0902861	n	4(N01)--	4(N01)
o0903368	s	X--	X
o0902511	s	ZATU662--	ZATU662
o0902929	n	1(N14)--	1(N14)
o0902862	n	5(N01)--	5(N01)
o0903368	s	X--	X
o0903368	s	X--	X
o0902929	n	1(N14)--	1(N14)
o0902862	n	5(N01)--	5(N01)
o0900217	s	DA~a--	DA~a
o0900279	s	DU--	DU
o0900729	s	GAL~a--	GAL~a
o0902929	n	1(N14)--	1(N14)
o0901626	s	PA~a--	PA~a
o0900545	s	ERIN--	ERIN
o0902864	n	7(N01)--	7(N01)
o0902060	s	ŠUBUR--	ŠUBUR
o0901075	s	KASKAL--	KASKAL
o0902930	n	2(N14)--	2(N14)
o0902865	n	8(N01)--	8(N01)
o0900875	s	GIŠ--	GIŠ
o0900991	s	IG~a--	IG~a
o0902930	n	2(N14)--	2(N14)
o0901639	s	PAP~a--	PAP~a
o0900860	s	GIR₃~c--	GIR₃~c
o0902930	n	2(N14)--	2(N14)
o0903234	n	3(N57)--	3(N57)
o0900081	c	|AMA~a×E₂~a|--	|AMA~a×E₂~a|
o0902929	n	1(N14)--	1(N14)
o0900100	s	APIN~a--	APIN~a
o0902930	n	2(N14)--	2(N14)
o0903234	n	3(N57)--	3(N57)
o0900077	s	AMA~a--	AMA~a
o0902158	s	U₂~b--	U₂~b
o0900000	s	A--	A
o0902293	s	UNUG~a--	UNUG~a
o0902929	n	1(N14)--	1(N14)
o0900100	s	APIN~a--	APIN~a
o0900885	s	GIŠ@t--	GIŠ@t
o0900494	s	E₂~b--	E₂~b
o0903163	n	3(N48)--	3(N48)
o0902158	s	U₂~b--	U₂~b
o0901678	s	SAG--	SAG
o0901639	s	PAP~a--	PAP~a
o0900860	s	GIR₃~c--	GIR₃~c
o0903161	n	1(N48)--	1(N48)
o0902158	s	U₂~b--	U₂~b
o0901678	s	SAG--	SAG
o0901626	s	PA~a--	PA~a
o0903161	n	1(N48)--	1(N48)
o0903064	n	5(N34)--	5(N34)
o0902227	s	UB--	UB
o0901639	s	PAP~a--	PAP~a
o0900860	s	GIR₃~c--	GIR₃~c
o0903061	n	2(N34)--	2(N34)
o0901058	s	KAL~b1--	KAL~b1
o0902933	n	4(N14)--	4(N14)
o0901522	s	NIMGIR--	NIMGIR
o0901639	s	PAP~a--	PAP~a
o0900860	s	GIR₃~c--	GIR₃~c
o0902932	n	3(N14)--	3(N14)
o0900312	s	DUB~a--	DUB~a
o0903368	s	X--	X
o0901678	s	SAG--	SAG
o0901639	s	PAP~a--	PAP~a
o0902930	n	2(N14)--	2(N14)
o0900545	s	ERIN--	ERIN
o0900860	s	GIR₃~c--	GIR₃~c
o0901639	s	PAP~a--	PAP~a
o0902929	n	1(N14)--	1(N14)
o0902863	n	6(N01)--	6(N01)
o0900100	s	APIN~a--	APIN~a
o0901639	s	PAP~a--	PAP~a
o0902859	n	2(N01)--	2(N01)
o0900938	s	GUM~b--	GUM~b
o0901639	s	PAP~a--	PAP~a
o0900860	s	GIR₃~c--	GIR₃~c
o0902929	n	1(N14)--	1(N14)
o0900875	s	GIŠ--	GIŠ
o0901812	c	|SILA₃~a×KU₆~a|--	|SILA₃~a×KU₆~a|
o0901639	s	PAP~a--	PAP~a
o0900860	s	GIR₃~c--	GIR₃~c
o0903062	n	3(N34)--	3(N34)
o0900012	s	AB~a--	AB~a
o0901639	s	PAP~a--	PAP~a
o0903368	s	X--	X
o0903061	n	2(N34)--	2(N34)
o0900077	s	AMA~a--	AMA~a
o0903234	n	3(N57)--	3(N57)
o0903368	s	X--	X
o0903063	n	4(N34)--	4(N34)
o0902929	n	1(N14)--	1(N14)
o0902860	n	3(N01)--	3(N01)
o0900885	s	GIŠ@t--	GIŠ@t
o0900494	s	E₂~b--	E₂~b
o0903134	n	1(N45)--	1(N45)
o0903064	n	5(N34)--	5(N34)
o0903368	s	X--	X
o0903061	n	2(N34)--	2(N34)
o0902929	n	1(N14)--	1(N14)
o0902865	n	8(N01)--	8(N01)
o0903368	s	X--	X
o0901062	s	KALAM~a--	KALAM~a
o0901626	s	PA~a--	PA~a
o0900860	s	GIR₃~c--	GIR₃~c
o0901678	s	SAG--	SAG
o0903368	s	X--	X
o0903061	n	2(N34)--	2(N34)
o0902929	n	1(N14)--	1(N14)
o0901426	s	MUŠEN--	MUŠEN
o0901380	s	ME~a--	ME~a
o0902690	s	ZATU749~b--	ZATU749~b
o0903061	n	2(N34)--	2(N34)
o0902930	n	2(N14)--	2(N14)
o0902858	n	1(N01)--	1(N01)
o0900158	s	BARA₂~a--	BARA₂~a
o0900836	s	GI₆--	GI₆
o0901090	s	KI--	KI
o0903059	n	1(N34)--	1(N34)
o0902929	n	1(N14)--	1(N14)
o0900493	s	E₂~a--	E₂~a
o0900000	s	A--	A
o0903059	n	1(N34)--	1(N34)
o0902932	n	3(N14)--	3(N14)
o0901461	s	NAGAR~b--	NAGAR~b
o0903368	s	X--	X
o0902934	n	5(N14)--	5(N14)
