o0900000	s	A	A	66	3
o0900012	s	AB~a	AB~a	37	24
o0900014	s	AB~b	AB~b	7	50
o0900020	c	|AB~a×AŠ₂|	|AB~a×AŠ₂|	1	28
o0900027	c	|AB~a×1(N04)|	|AB~a×1(N04)|	3	44
o0900033	c	|AB~a×(ŠE~a&ŠE~a)|	|AB~a×(ŠE~a&ŠE~a)|	3	35
o0900041	s	AB₂	AB₂	16	58
o0900047	s	ABGAL	ABGAL	1	67
o0900053	s	AD~a	AD~a	2	72
o0900056	s	ADAB	ADAB	6	78
o0900062	s	AK~a	AK~a	3	87
o0900064	s	AL	AL	8	91
o0900070	s	ALAN~e	ALAN~e	2	101
o0900077	s	AMA~a	AMA~a	15	111
o0900081	c	|AMA~a×E₂~a|	|AMA~a×E₂~a|	1	112
o0900082	s	AMAR	AMAR	3	118
o0900089	s	AN	AN	75	131
o0900100	s	APIN~a	APIN~a	30	149
o0900101	s	APIN~b	APIN~b	4	153
o0900111	s	ASAR	ASAR	3	164
o0900113	s	AZ	AZ	1	170
o0900115	s	BA	BA	31	174
o0900124	s	BAHAR₂~a	BAHAR₂~a	1	187
o0900128	s	BAHAR₂~c	BAHAR₂~c	2	193
o0900154	s	BAR	BAR	22	231
o0900158	s	BARA₂~a	BARA₂~a	7	237
o0900165	s	BIR~a	BIR~a	1	710
o0900169	s	BIR₃~a	BIR₃~a	1	716
o0900173	s	BIR₃~c	BIR₃~c	1	722
o0900175	s	BU~a	BU~a	70	725
o0900177	s	BU~b	BU~b	3	758
o0900199	c	|BU~a+DU₆~a|	|BU~a.DU₆~a|	7	730
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	6	730
o0900202	c	|BU~a+KI|	|BU~a+KI|	1	733
o0900205	s	BU₃	BU₃	2	762
o0900205	s	BU₃	BU₃~a	1	762
o0900207	s	BULUG₃	BULUG₃	11	767
o0900215	s	BUR₂	BUR₂	1	779
o0900217	s	DA~a	DA~a	20	781
o0900224	s	DAH	DAH	1	793
o0900228	s	DAR~a	DAR~a	4	799
o0900229	s	DAR~b	DAR~b	2	803
o0900230	s	DAR~c	DAR~c	3	805
o0900243	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	1	826
o0900249	s	DARA₄~a1	DARA₄~a1	1	831
o0900254	s	DARA₄~c1	DARA₄~c1	1	841
o0900255	s	DARA₄~c2	DARA₄~c2	1	843
o0900259	s	DARA₄~d	DARA₄~d	1	851
o0900260	s	DI	DI	5	853
o0900262	s	DIB	DIB	2	857
o0900264	s	DILMUN	DILMUN	4	861
o0900269	s	DIM~a	DIM~a	2	865
o0900277	c	|DIN×1(N58)|	|DIN+1(N57)|	1	878
o0900279	s	DU	DU	49	884
o0900284	s	DU₆~a	DU₆~a	2	893
o0900287	s	DU₆~b	DU₆~b	1	903
o0900291	s	DU₇	DU₇	1	907
o0900296	s	DU₈~c	DU₈~c	1	914
o0900301	c	|DU₈~c×AMAR|	|DU₈~c×AMAR|	3	917
