o0900000	s	A	A	128	3
o0900012	e		-	1	24
o0900012	s	AB~a	AB~a	70	24
o0900014	s	AB~b	AB~b	13	50
o0900016	c	|AB~b×A|	|AB~b×A|	1	51
o0900020	c	|AB~a×AŠ₂|	|AB~a×AŠ₂|	1	28
o0900027	c	|AB~a×1(N04)|	|AB~a×1(N04)|	3	44
o0900033	c	|AB~a×(ŠE~a&ŠE~a)|	|AB~a×(ŠE~a&ŠE~a)|	3	35
o0900041	s	AB₂	AB₂	24	58
o0900047	s	|NUN~a.ME~a|	ABGAL	5	67
o0900050	s	ABZU	ABZU	2	69
o0900053	s	AD~a	AD~a	10	72
o0900055	s	AD~c	AD~c	1	76
o0900056	s	ADAB	ADAB	10	78
o0900060	s	AGAR₂	AGAR₂	2	85
o0900062	s	AK~a	AK~a	8	87
o0900064	s	AL	AL	14	91
o0900066	s	ALAN~a	ALAN~a	2	93
o0900070	s	ALAN~e	ALAN~e	2	101
o0900077	s	AMA~a	AMA~a	19	111
o0900081	c	|AMA~a×E₂~a|	|AMA~a×E₂~a|	3	112
o0900082	s	AMAR	AMAR	21	118
o0900089	e		-	1	131
o0900089	s	AN	AN	180	131
o0900093	s	ANŠE~a	ANŠE~a	1	136
o0900095	s	ANŠE~c	ANŠE~c	1	140
o0900097	s	ANŠE~f	ANŠE~f	5	145
o0900100	s	APIN~a	APIN~a	48	149
o0900101	s	APIN~b	APIN~b	4	153
o0900106	s	ARARMA₂~a	ARARMA₂~a	2	157
o0900111	s	ASAR	ASAR	12	164
o0900112	s	AŠ₂	AŠ₂	1	167
o0900113	s	AZ	AZ	3	170
o0900115	s	BA	BA	111	174
o0900116	e		-	4	176
o0900121	s	BAD₃~b1	BAD₃~b1	1	183
o0900122	c	BAD₃~b2	|EZEM~b×AN|	1	185
o0900124	s	BAHAR₂~a	BAHAR₂~a	2	187
o0900128	s	BAHAR₂~c	BAHAR₂~c	5	193
o0900130	s	BALA~a	BALA~a	1	195
o0900133	s	BALAG	BALAG	1	200
o0900139	s	BAN~b	BAN~b	3	207
o0900142	s	BANŠUR~b1	BANŠUR~b1	1	213
o0900154	s	BAR	BAR	60	231
o0900158	s	BARA₂~a	BARA₂~a	12	237
o0900165	s	BIR~a	BIR~a	2	710
o0900169	e		-	1	716
o0900169	s	BIR₃~a	BIR₃~a	1	716
o0900173	s	BIR₃~c	BIR₃~c	1	722
o0900175	s	BU~a	BU~a	123	725
o0900177	s	BU~b	BU~b	3	758
o0900191	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	4	744
o0900199	c	|BU~a+DU₆~a|	|BU~a.DU₆~a|	7	730
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	12	730
o0900202	c	|BU~a+KI|	|BU~a+KI|	1	733
o0900205	e		-	1	762
o0900205	s	BU₃	BU₃	2	762
o0900205	s	BU₃	BU₃~a	2	762
o0900207	s	BULUG₃	BULUG₃	20	767
o0900211	s	BUR~a	BUR~a	2	771
o0900212	s	BUR~b	BUR~b	1	773
o0900215	s	BUR₂	BUR₂	1	779
