o0980000	s	A	A	9	1
o0980010	s	AB~a	AB~a	6	11
o0980021	s	AB~b	AB~b	1	22
o0980025	s	AB₂	AB₂	5	26
o0980038	s	AK~a	AK~a	1	39
o0980040	s	AL	AL	1	41
o0980050	s	AMA~a	AMA~a	2	51
o0980058	s	AN	AN	8	60
o0980060	s	ANŠE~b	ANŠE~b	2	62
o0980065	s	APIN~a	APIN~a	5	69
o0980077	s	BA	BA	5	82
o0980078	e		-	1	83
o0980084	s	BAHAR₂~b	BAHAR₂~b	1	90
o0980085	s	BAHAR₂~c	BAHAR₂~c	1	91
o0980099	s	BAPPIR~d	BAPPIR~d	1	105
o0980102	s	BAR	BAR	8	108
o0980105	s	BARA₂~a	BARA₂~a	1	111
o0980112	s	BIR₃~a	BIR₃~a	1	118
o0980115	s	BU~a	BU~a	6	121
o0980117	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	2	125
o0980132	s	BUR~a	BUR~a	17	144
o0980137	s	DA~a	DA~a	4	149
o0980143	s	DAH	DAH	1	155
o0980146	s	DAR~a	DAR~a	2	158
o0980159	s	DARA₄~a1	DARA₄~a1	3	174
o0980164	s	DARA₄~c1	DARA₄~c1	1	179
o0980170	s	DI	DI	1	185
o0980174	s	DIM~a	DIM~a	3	189
o0980179	s	DIN	DIN	1	194
o0980182	s	DU	DU	3	199
o0980217	c	|DUG~a×NAGA~a|	|DUG~a×NAGA~a|	1	245
o0980284	s	DUG~c	DUG~c	2	315
o0980290	s	DUR~b	DUR~b	1	321
o0980291	s	DUR₂	DUR₂	2	322
o0980297	s	E₂~a	E₂~a	2	329
o0980301	s	E₂~b	E₂~b	5	335
o0980309	e		-	1	345
o0980309	s	EN~a	EN~a	39	345
o0980321	s	|EN~a.ME~a.GI|	ENGIZ	1	348
o0980326	s	ERIM~a	ERIM~a	4	371
o0980329	s	|NE~a.RU|	ERIM₂	1	1030
o0980330	s	ERIN	ERIN	1	375
o0980331	e		-	1	376
o0980350	s	EZEN~b	EZEN~b	1	401
o0980358	s	GA~a	GA~a	2	410
o0980427	s	GADA~a	GADA~a	6	485
o0980430	e		-	1	488
o0980430	s	GAL~a	GAL~a	10	488
o0980434	s	GAN~a	GAN~a	2	495
o0980436	s	GAN~c	GAN~c	2	497
o0980453	s	GAN₂	GAN₂	3	514
o0980454	s	GAR	GAR	3	515
o0980472	e		-	1	535
o0980472	s	GI	GI	15	535
o0980494	s	GI₆	GI₆	1	559
o0980511	s	GIR₃~c	GIR₃~c	1	577
o0980515	s	GIR₃@g~b	GIR₃@g~b	3	585
o0980520	s	GIŠ	GIŠ	4	590
o0980525	c	|(GIŠ×ŠU₂)~a|	|GIŠ×ŠU₂~a|	1	597
o0980537	s	GIŠIMMAR~b1	GIŠIMMAR~b1	5	611
o0980541	s	GU	GU	2	615
o0980543	s	GU₄	GU₄	3	618
o0980547	s	GU₇	GU₇	1	623
o0980552	s	GUG₂	GUG₂	1	628
o0980562	s	GUL	GUL	2	639
o0980564	s	GUM~b	GUM~b	1	641
o0980569	s	GURUŠ~a	GURUŠ~a	2	646
o0980573	c	|GURUŠ~c×2(N14)|	|GURUŠ~c×2(N14)|	1	651
o0980574	s	GURUŠDA	GURUŠDA	1	652
o0980577	s	HAŠHUR	HAŠHUR	6	656
o0980579	s	HI	HI	4	658
o0980585	c	|HI×1(N57)|	|HI×1(N57)|	1	666
o0980590	s	HI@g~a	HI@g~a	5	677
o0980594	s	I	I	2	681
o0980595	s	IB~a	IB~a	1	682
o0980606	s	IM~a	IM~a	1	693
o0980641	s	KALAM~a	KALAM~a	1	729
o0980642	s	KALAM~b	KALAM~b	1	730
o0980653	s	KASKAL	KASKAL	1	742
o0980655	s	KAŠ~a	KAŠ~a	1	744
o0980656	s	KAŠ~b	KAŠ~b	1	745
o0980662	s	KI	KI	9	752
o0980668	s	KID~b	KID~b	1	760
o0980671	s	KID~e	KID~e	1	763
o0980678	s	|UKKIN~a.GAL~a|	KINGAL	1	1609
o0980692	s	KITI	KITI	8	784
o0980695	s	KU~b1	KU~b1	5	787
o0980697	s	KU₃~a	KU₃~a	2	789
o0980699	s	KU₆~a	KU₆~a	31	791
o0980704	s	KU₆~c	KU₆~c	1	796
o0980707	e		-	1	799
o0980707	s	KUR~a	KUR~a	6	799
o0980727	s	LAGAB~a	LAGAB~a	1	824
o0980753	s	LAGAB~b	LAGAB~b	1	852
o0980801	s	MA	MA	5	905
o0980815	c	|MAH~a×NA~a|	|MAH~a×NA~a|	1	919
o0980830	s	MAR~a	MAR~a	2	934
o0980838	s	MAŠ	MAŠ	1	943
o0980839	s	MAŠ₂	MAŠ₂	1	944
o0980841	e		-	1	947
o0980841	s	ME~a	ME~a	25	947
o0980849	s	MU	MU	3	955
o0980851	s	MUD₃~a	MUD₃~a	1	957
o0980852	s	MUD₃~a@g	MUD₃~a@g	2	958
o0980858	s	MUN~a1	MUN~a1	1	965
o0980871	s	MUŠEN	MUŠEN	6	981
o0980877	c	|1(N58).BAD|	|1(N58).BAD~a|	1	991
o0980880	s	NA~a	NA~a	2	997
o0980888	s	NAB	NAB	1	1006
o0980889	s	NAGA~a	NAGA~a	4	1008
o0980892	s	NAGAR~a	NAGAR~a	2	1011
o0980898	e		-	2	1019
o0980898	s	NAM₂	NAM₂	4	1019
o0980902	s	|EŠDA.NAM₂|	NAMEŠDA	1	377
o0980907	s	NAR	NAR	1	1028
o0980908	e		-	1	1029
o0980908	s	NE~a	NE~a	4	1029
o0980917	s	NI~a	NI~a	6	1040
o0980921	s	NI~b	NI~b	2	1044
o0980926	s	NIGIN	NIGIN	1	1049
o0980928	s	NIM~b1	NIM~b1	2	1051
o0980932	s	NIMGIR	NIMGIR	1	1055
o0980950	c	|NINDA₂×KAŠ~b|	|NINDA₂×KAŠ~b|	1	1075
o0980971	s	NIR~a	NIR~a	1	1100
o0980981	s	NUN~a	NUN~a	2	1111
o0980993	s	NUNUZ~a1	NUNUZ~a1	1	1125
o0980999	s	PA~a	PA~a	15	1132
o0981004	s	PAP~a	PAP~a	13	1139
o0981017	s	RAD~a	RAD~a	37	1155
o0981024	e		-	1	1162
o0981024	s	RU	RU	1	1162
o0981028	s	SAG	SAG	10	1167
o0981038	s	SAG@g	SAG@g	1	1181
o0981039	s	SAG@n	SAG@n	3	1182
o0981041	e		-	3	1184
o0981041	s	SAL	SAL	17	1184
o0981042	c	|SAL.KUR~a|	|SAL.KUR~a|	1	1185
o0981045	c	|SAL.ŠU₂|	|SAL.ŠU₂|	2	1193
o0981050	s	SANGA~a	SANGA~a	11	1198
o0981054	s	SAR~a	SAR~a	3	1202
o0981059	s	SI	SI	6	1207
o0981080	s	SIG₂~b	SIG₂~b	6	1231
o0981116	c	|SILA₃~a×NI~a|	|SILA₃~a×NI~a|	1	1271
o0981131	s	SILA₃~b	SILA₃~b	1	1287
o0981148	s	SU~a	SU~a	2	1306
o0981154	s	SUG₅	SUG₅	1	1313
o0981156	s	SUHUR	SUHUR	12	1316
o0981160	s	SUKKAL	SUKKAL	1	1321
o0981177	s	ŠA	ŠA	1	1339
o0981181	s	ŠA₃~a1	ŠA₃~a1	1	1344
o0981182	s	ŠA₃~a2	ŠA₃~a2	3	1345
o0981189	s	ŠAGAN	ŠAGAN	2	1353
o0981200	e		-	1	1364
o0981200	s	ŠE~a	ŠE~a	28	1364
o0981203	c	|ŠE~a.NAM₂|	|ŠE~a.NAM₂|	1	1368
o0981208	s	ŠE₃	ŠE₃	2	1375
o0981212	s	ŠEN~a	ŠEN~a	2	1379
o0981218	s	ŠEN~e	ŠEN~e	1	1385
o0981223	s	ŠIDIM	ŠIDIM	3	1391
o0981227	s	ŠIR~a	ŠIR~a	1	1395
o0981229	s	ŠITA~a1	ŠITA~a1	2	1398
o0981236	s	ŠITA~a3	ŠITA~a3	1	1407
o0981247	s	ŠU	ŠU	14	1421
o0981249	c	|ŠU&ŠU|	|ŠU&ŠU|	1	1423
o0981252	e		-	2	1426
o0981252	s	ŠU₂	ŠU₂	5	1426
o0981267	s	ŠUBUR	ŠUBUR	7	1446
o0981270	s	ŠUR₂~a	ŠUR₂~a	1	1450
o0981271	s	ŠUR₂~b	ŠUR₂~b	1	1451
o0981283	s	TAG~a1	TAG~a1	1	1463
o0981291	s	TAK₄~a	TAK₄~a	1	1471
o0981294	s	TAR~a	TAR~a	3	1474
o0981296	s	TE	TE	5	1478
o0981297	s	TI	TI	5	1481
o0981304	s	TU~b	TU~b	1	1489
o0981306	s	TUG₂~a	TUG₂~a	10	1491
o0981315	s	TUM~c	TUM~c	2	1503
o0981317	s	TUN₃~a	TUN₃~a	4	1505
o0981320	s	TUR	TUR	9	1508
o0981323	s	TUR₃~a	TUR₃~a	1	1511
o0981329	s	U₂~a	U₂~a	2	1517
o0981330	s	U₂~b	U₂~b	1	1518
o0981332	s	U₄	U₄	4	1520
o0981355	c	|U₄×2(N01)|	|U₄×2(N01)|	1	1546
o0981378	c	|U₄×(2(N14).4(N01))|	|U₄×(2(N14).4(N01))|	1	1570
o0981381	c	|U₄×1(N57)|	|U₄×1(N57)|	2	1573
o0981382	c	|U₄×2(N57)|	|U₄×2(N57)|	1	1574
o0981383	c	|U₄×3(N57)|	|U₄×3(N57)|	1	1575
o0981384	c	|U₄×4(N57)|	|U₄×4(N57)|	1	1576
o0981385	c	|U₄×5(N57)|	|U₄×5(N57)|	1	1577
o0981386	c	|U₄×6(N57)|	|U₄×6(N57)|	1	1578
o0981387	c	|U₄×7(N57)|	|U₄×7(N57)|	2	1579
o0981388	c	|U₄×8(N57)|	|U₄×8(N57)|	2	1580
o0981392	s	U₈	U₈	4	1585
o0981394	s	UB	UB	4	1587
o0981398	s	UD₅~a	UD₅~a	7	1591
o0981402	s	UDU~a	UDU~a	12	1596
o0981407	s	UDUNITA~a	UDUNITA~a	3	1601
o0981414	e		-	1	1608
o0981414	s	UKKIN~a	UKKIN~a	5	1608
o0981427	s	UMBIN~a	UMBIN~a	1	1623
o0981431	s	UMUN₂	UMUN₂	2	1627
o0981432	s	UNUG~a	UNUG~a	1	1628
o0981437	s	UR~a	UR~a	1	1634
o0981441	s	UR~c	UR~c	1	1639
o0981442	s	UR₂	UR₂	27	1640
o0981453	s	UR₄~b	UR₄~b	3	1653
o0981455	s	UR₅~a	UR₅~a	1	1655
o0981457	s	URI	URI	4	1657
o0981459	s	URI₃~a	URI₃~a	4	1659
o0981463	s	URU~a1	URU~a1	2	1668
o0981482	s	URUDU~a	URUDU~a	1	1689
o0981499	s	UTUA~a	UTUA~a	9	1707
o0981502	s	UTUL~a	UTUL~a	1	1710
o0981513	s	ZAG~a	ZAG~a	2	1723
o0981565	s	ZATU648	ZATU648	1	1777
o0981578	s	ZATU659	ZATU659	1	1790
o0981630	s	ZATU694~c	ZATU694~c	2	1843
o0981657	s	ZATU714	ZATU714	2	1870
o0981668	s	ZATU724	ZATU724	1	1881
o0981677	s	ZATU732	ZATU732	1	1890
o0981680	s	ZATU735~a	ZATU735~a	1	1893
o0981682	s	ZATU735~c	ZATU735~c	1	1895
o0981683	s	ZATU736~a	ZATU736~a	1	1896
o0981688	c	|ZATU737×BUR~a|	|ZATU737×BUR~a|	1	1901
o0981698	c	|ZATU737×SU~a|	|ZATU737×SU~a|	1	1911
o0981709	s	ZATU750	ZATU750	3	1924
o0981714	s	ZATU753	ZATU753	1	1929
o0981718	s	ZATU756	ZATU756	3	1933
o0981719	s	ZATU757	ZATU757	1	1934
o0981721	s	ZATU759	ZATU759	3	1936
o0981722	c	|ZATU759×KU₆~a|	|ZATU759×KU₆~a|	6	1937
o0981740	s	ZATU773~a	ZATU773~a	2	1956
o0981744	s	ZATU776	ZATU776	1	1960
o0981745	s	ZATU777	ZATU777	2	1961
o0981755	s	ZATU787	ZATU787	1	1971
o0981756	s	ZATU788	ZATU788	1	1972
o0981828	n	1(N01)	1(N01)	157	2045
o0981829	n	2(N01)	2(N01)	50	2046
o0981830	n	3(N01)	3(N01)	14	2047
o0981831	n	4(N01)	4(N01)	9	2048
o0981832	n	5(N01)	5(N01)	28	2049
o0981833	n	6(N01)	6(N01)	1	2050
o0981834	n	7(N01)	7(N01)	4	2051
o0981835	n	8(N01)	8(N01)	4	2052
o0981862	n	1(N04)	1(N04)	1	2085
o0981863	n	2(N04)	2(N04)	1	2086
o0981864	n	3(N04)	3(N04)	1	2087
o0981872	n	1(N05)	1(N05)	1	2097
o0981895	n	4(N08)	4(N08)	1	2130
o0981912	n	1(N14)	1(N14)	40	2155
o0981913	n	2(N14)	2(N14)	7	2156
o0981914	n	3(N14)	3(N14)	11	2157
o0981915	n	4(N14)	4(N14)	7	2158
o0981916	n	5(N14)	5(N14)	6	2159
o0981917	n	6(N14)	6(N14)	3	2160
o0981918	n	7(N14)	7(N14)	3	2161
o0981919	n	8(N14)	8(N14)	5	2162
o0981920	n	9(N14)	9(N14)	3	2163
o0981951	n	1(N19)	1(N19)	1	2200
o0981952	n	2(N19)	2(N19)	1	2201
