o0980000	e		-	5	1
o0980000	s	A	A	217	1
o0980009	s	A₂	A₂	1	10
o0980010	e		-	47	11
o0980010	s	AB~a	AB~a	155	11
o0980012	c	|AB~a×AŠ₂|	|AB~a×AŠ₂|	1	13
o0980017	c	|AB~a×ZATU659|	|AB~a×ZATU659|	3	18
o0980020	s	AB~a@g	AB~a@g	2	21
o0980021	e		-	1	22
o0980021	s	AB~b	AB~b	53	22
o0980025	s	AB₂	AB₂	198	26
o0980028	s	|NUN~a.ME~a|	ABGAL	32	1110
o0980029	s	|NUN~a.ME~a.DU|	ABRIG	2	1111
o0980030	s	ABZU	ABZU	3	31
o0980031	s	AD~a	AD~a	28	32
o0980032	s	AD~b	AD~b	2	33
o0980034	s	ADAB	ADAB	12	35
o0980035	s	ADDA	ADDA	1	36
o0980037	s	AGAR₂	AGAR₂	14	38
o0980038	s	AK~a	AK~a	34	39
o0980040	s	AL	AL	60	41
o0980041	s	ALAN~a	ALAN~a	4	42
o0980042	s	ALAN~b	ALAN~b	7	43
o0980043	s	ALAN~c	ALAN~c	6	44
o0980047	s	ALIM	ALIM	12	48
o0980048	s	AM~a	AM~a	2	49
o0980049	s	AM~b	AM~b	1	50
o0980050	s	AMA~a	AMA~a	42	51
o0980051	c	|AMA~a×E₂~a|	|AMA~a×E₂~a|	1	52
o0980052	s	AMA~b	AMA~b	4	53
o0980053	e		-	2	54
o0980053	s	AMAR	AMAR	77	54
o0980058	s	AN	AN	431	60
o0980060	s	ANŠE~b	ANŠE~b	27	62
o0980061	s	ANŠE~c	ANŠE~c	1	63
o0980062	s	ANŠE~e	ANŠE~e	5	65
o0980065	s	APIN~a	APIN~a	79	69
o0980067	s	APIN~b	APIN~b	4	71
o0980068	s	APIN~c	APIN~c	1	72
o0980069	s	ARARMA₂~a	ARARMA₂~a	7	73
o0980070	s	|U₄.AB~b|	ARARMA₂~b	1	1519
o0980071	s	|3(N57).LAM~a.KUR~a.RU|	ARATTA	1	2598
o0980073	s	ASAR	ASAR	5	77
o0980075	s	AZ	AZ	13	80
o0980077	s	BA	BA	319	82
o0980078	e		-	40	83
o0980078	s	BAD	BAD	18	83
o0980079	c	|BAD&BAD|	|BAD&BAD|	7	85
o0980079	e		-	32	85
o0980080	s	BAD₃~a	BAD₃~a	2	86
o0980081	s	BAD₃~b1	BAD₃~b1	1	87
o0980082	s	BAD₃~b2	BAD₃~b2	3	88
o0980083	s	BAHAR₂~a	BAHAR₂~a	11	89
o0980084	s	BAHAR₂~b	BAHAR₂~b	9	90
o0980085	s	BAHAR₂~c	BAHAR₂~c	5	91
o0980086	s	BALA~a	BALA~a	15	92
o0980088	s	BALAG	BALAG	11	94
o0980089	s	BAN~a	BAN~a	8	95
o0980090	s	BAN~b	BAN~b	5	96
o0980093	s	BANŠUR~b1	BANŠUR~b1	2	99
o0980094	s	BANŠUR~b2	BANŠUR~b2	1	100
o0980095	s	BANŠUR~c	BANŠUR~c	2	101
o0980096	s	BAPPIR~a	BAPPIR~a	4	102
o0980097	s	BAPPIR~b	BAPPIR~b	2	103
o0980098	s	BAPPIR~c	BAPPIR~c	1	104
o0980099	s	BAPPIR~d	BAPPIR~d	5	105
o0980100	s	BAPPIR~e	BAPPIR~e	1	106
o0980101	s	BAPPIR~f	BAPPIR~f	1	107
o0980102	s	BAR	BAR	190	108
o0980105	s	BARA₂~a	BARA₂~a	38	111
o0980107	e		-	1	113
o0980107	s	BARA₃	BARA₃	13	113
o0980112	s	BIR₃~a	BIR₃~a	14	118
o0980113	s	BIR₃~b	BIR₃~b	1	119
o0980114	s	BIR₃~c	BIR₃~c	3	120
o0980115	e		-	4	121
o0980115	s	BU~a	BU~a	237	121
o0980117	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	25	125
o0980123	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	3	132
o0980126	e		-	1	137
o0980126	s	BU~b	BU~b	4	137
o0980127	c	|BU~b.NA₂~a|	|BU~b.NA₂~a|	1	138
o0980128	s	BU₃	BU₃	20	139
o0980129	s	BULUG	BULUG	1	141
o0980130	s	BULUG₃	BULUG₃	10	142
o0980132	s	BUR~a	BUR~a	15	144
o0980133	s	BUR~b	BUR~b	5	145
o0980135	s	BUR~d	BUR~d	1	147
o0980136	e		-	5	148
o0980136	s	BUR₂	BUR₂	38	148
o0980137	s	DA~a	DA~a	94	149
o0980143	s	DAH	DAH	7	155
o0980144	s	DAM	DAM	9	156
o0980145	s	DANNA	DANNA	1	157
o0980146	s	DAR~a	DAR~a	8	158
o0980147	c	|DAR~a×A|	|DAR~a×A|	1	159
o0980148	s	DAR~b	DAR~b	1	160
o0980149	s	DAR~c	DAR~c	3	161
o0980150	s	DAR~d	DAR~d	1	162
