o0900000	s	A	A	105	3
o0900012	s	AB~a	AB~a	79	24
o0900014	s	AB~b	AB~b	31	50
o0900040	s	AB~a@g	AB~a@g	1	48
o0900041	s	AB₂	AB₂	71	58
o0900047	s	ABGAL	ABGAL	4	67
o0900053	s	AD~a	AD~a	6	72
o0900056	s	ADAB	ADAB	9	78
o0900060	s	AGAR₂	AGAR₂	4	85
o0900062	s	AK~a	AK~a	12	87
o0900064	s	AL	AL	31	91
o0900066	s	ALAN~a	ALAN~a	2	93
o0900067	s	ALAN~b	ALAN~b	6	95
o0900068	s	ALAN~c	ALAN~c	3	97
o0900072	s	ALIM	ALIM	2	105
o0900074	s	AM~a	AM~a	1	107
o0900077	s	AMA~a	AMA~a	24	111
o0900079	s	AMA~b	AMA~b	1	116
o0900081	c	|AMA~a×E₂~a|	|AMA~a×E₂~a|	1	112
o0900082	s	AMAR	AMAR	19	118
o0900089	s	AN	AN	166	131
o0900094	s	ANŠE~b	ANŠE~b	10	138
o0900095	s	ANŠE~c	ANŠE~c	1	140
o0900096	s	ANŠE~e	ANŠE~e	3	143
o0900100	s	APIN~a	APIN~a	35	149
o0900101	s	APIN~b	APIN~b	1	153
o0900106	s	ARARMA₂~a	ARARMA₂~a	5	157
o0900108	s	ARARMA₂~b	ARARMA₂~b	1	160
o0900109	s	ARATTA	ARATTA	1	161
o0900113	s	AZ	AZ	1	170
o0900115	s	BA	BA	171	174
o0900116	s	BAD	BAD	8	176
o0900117	c	|BAD&BAD|	|BAD&BAD|	1	178
o0900122	s	BAD₃~b2	BAD₃~b2	3	185
o0900124	s	BAHAR₂~a	BAHAR₂~a	8	187
o0900128	s	BAHAR₂~c	BAHAR₂~c	5	193
o0900130	s	BALA~a	BALA~a	4	195
o0900133	s	BALAG	BALAG	6	200
o0900139	s	BAN~b	BAN~b	4	207
o0900142	s	BANŠUR~b1	BANŠUR~b1	1	213
o0900148	s	BAPPIR~a	BAPPIR~a	2	219
o0900150	s	BAPPIR~c	BAPPIR~c	1	223
o0900154	s	BAR	BAR	113	231
o0900158	s	BARA₂~a	BARA₂~a	23	237
o0900162	s	BARA₃	BARA₃	2	243
o0900169	s	BIR₃~a	BIR₃~a	8	716
o0900171	s	BIR₃~b	BIR₃~b	1	719
o0900175	s	BU~a	BU~a	104	725
o0900177	s	BU~b	BU~b	1	758
o0900191	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	1	744
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	16	730
o0900205	s	BU₃	BU₃	6	762
o0900207	s	BULUG₃	BULUG₃	3	767
o0900211	s	BUR~a	BUR~a	5	771
o0900212	s	BUR~b	BUR~b	4	773
o0900214	s	BUR~d	BUR~d	1	777
o0900215	s	BUR₂	BUR₂	22	779
o0900217	s	DA~a	DA~a	49	781
o0900224	s	DAH	DAH	4	793
o0900226	s	DANNA	DANNA	1	797
o0900228	s	DAR~a	DAR~a	5	799
o0900229	s	DAR~b	DAR~b	1	803
o0900230	s	DAR~c	DAR~c	2	805
o0900231	s	DAR~d	DAR~d	1	807
o0900237	s	DARA₃~c	DARA₃~c	1	813
o0900243	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	2	826
o0900247	c	|DARA₃~d×(KAR₂.ŠE~a)|	|DARA₃~d×(KAR₂.ŠE~a)|	1	824
o0900249	s	DARA₄~a1	DARA₄~a1	1	831
o0900252	s	DARA₄~b	DARA₄~b	1	837
o0900254	s	DARA₄~c1	DARA₄~c1	11	841
o0900255	s	DARA₄~c2	DARA₄~c2	9	843
o0900256	s	DARA₄~c3	DARA₄~c3	3	845
o0900257	s	DARA₄~c4	DARA₄~c4	6	847
o0900258	s	DARA₄~c5	DARA₄~c5	1	849
o0900260	s	DI	DI	17	853
o0900262	s	DIB	DIB	1	857
o0900264	s	DILMUN	DILMUN	6	861
o0900269	s	DIM~a	DIM~a	8	865
o0900271	s	DIM~c	DIM~c	1	874
o0900276	s	DIN	DIN	19	876
o0900278	s	DIN@t	DIN@t	1	881
o0900279	s	DU	DU	114	884
o0900284	s	DU₆~a	DU₆~a	1	893
o0900287	s	DU₆~b	DU₆~b	5	903
o0900291	s	DU₇	DU₇	3	907
o0900296	s	DU₈~c	DU₈~c	3	914
o0900309	s	DU₈~c@g	DU₈~c@g	1	926
o0900312	s	DUB~a	DUB~a	33	933
o0900320	s	DUB~e	DUB~e	1	947
o0900321	s	DUB~f	DUB~f	3	949
o0900331	s	DUG~a	DUG~a	54	965
o0900334	s	DUG~b	DUG~b	29	987
o0900351	c	|DUG~b×DIN|	|DUG~b×DIN|	1	998
o0900375	c	|DUG~a×KASKAL|	|DUG~a×KASKAL|	1	968
o0900388	c	|DUG~a×LAM~b|	|DUG~a×LAM~b|	1	972
o0900394	c	|DUG~a×1(N57)|	|DUG~a×1(N57)|	1	982
o0900395	c	|DUG~b×1(N57)|	|DUG~b×1(N57)|	1	1108
o0900433	c	|DUG~b×ŠE~a|	|DUG~b×ŠE~a|	1	1066
o0900448	c	|DUG~a×U₂~b|	|DUG~a×U₂~b|	1	978
o0900449	c	|DUG~b×U₂~a|	|DUG~b×U₂~a|	1	1080
o0900450	c	|DUG~b×U₂~b|	|DUG~b×U₂~b|	1	1082
o0900483	s	DUR~a	DUR~a	1	1139
o0900484	s	DUR~b	DUR~b	11	1141
o0900485	s	DUR₂	DUR₂	19	1144
o0900487	s	E~a	E~a	2	1146
o0900488	s	E~b	E~b	1	1148
o0900493	s	E₂~a	E₂~a	154	1157
o0900494	s	E₂~b	E₂~b	12	1167
o0900496	s	E₂~d	E₂~d	1	1176
o0900503	c	|E₂~a×1(N58@t)|	|E₂~a×1(N57)@t|	2	1162
o0900504	c	|E₂~b×1(N58@t)|	|E₂~b×1(N57)@t|	1	1170
o0900508	s	E₃~a	E₃~a	1	1178
o0900510	s	E₃~b	E₃~b	1	1179
o0900519	s	EN~c	EN~c	2	1202
o0900529	s	EN₂	EN₂	1	1214
o0900534	s	ENGIZ	ENGIZ	2	1222
o0900535	s	ENKUM	ENKUM	4	1223
o0900541	s	ERIM~a	ERIM~a	38	1227
o0900544	s	ERIM₂	ERIM₂	7	1233
o0900545	s	ERIN	ERIN	13	1234
o0900546	s	EŠDA	EŠDA	4	1236
o0900548	s	EŠGAR	EŠGAR	5	1243
o0900550	s	EZEN~a	EZEN~a	6	1247
o0900552	s	EZEN~b	EZEN~b	33	1283
o0900554	s	EZEN~c	EZEN~c	1	1290
o0900581	c	|EZEN~a×SU~a|	|EZEN~a×SU~a|	2	1273
o0900583	c	|EZEN~a×(U₂~b.A)|	|EZEN~a×(U₂~b.A)|	4	1275
o0900594	s	EZINU~a	EZINU~a	2	1292
o0900596	s	EZINU~c	EZINU~c	2	1296
o0900604	s	GA~b	GA~b	2	1310
o0900605	s	GA~c	GA~c	2	1312
o0900607	c	|GA~a.ZATU753|	|GA~a.ZATU753|	51	1301
o0900610	c	|GA~c×KASKAL|	|GA~c×KASKAL|	2	1313
o0900616	s	GA₂~a1	GA₂~a1	34	1319
o0900617	s	GA₂~a2	GA₂~a2	11	1398
o0900618	s	GA₂~a3	GA₂~a3	1	1418
o0900620	s	GA₂~b	GA₂~b	1	1424
o0900625	c	|GA₂~b×DUB~a|	|GA₂~b×DUB~a|	4	1425
o0900637	c	|GA₂~a1×GIR~a|	|GA₂~a1×GIR~a|	5	1334
o0900639	c	|GA₂~a1×(GIR~a.KU₆~a)|	|GA₂~a1×(GIR~a.KU₆~a)|	1	1336
o0900644	c	|GA₂~a2×GU₄|	|GA₂~a2×GU₄|	3	1399
o0900655	c	|GA₂~b×KU₃~a|	|GA₂~b×KU₃~a|	1	1430
o0900657	c	|GA₂~a1×KU₆~a|	|GA₂~a1×KU₆~a|	5	1350
o0900666	c	|GA₂~a1×1(N14)|	|GA₂~a1×1(N14)|	1	1391
o0900675	c	|GA₂~a1×NAGA~a|	|GA₂~a1×NAGA~a|	1	1358
o0900678	c	|GA₂~a2×NI~b|	|GA₂~a2×NI~b|	1	1404
o0900685	c	|GA₂~a1×PAD~b|	|GA₂~a1×PAD~b|	1	1364
o0900705	c	|GA₂~a1×TI|	|GA₂~a1×TI|	1	1384
o0900707	c	|GA₂~a1×U₄|	|GA₂~a1×U₄|	7	1386
o0900709	c	|GA₂~a1×X|	|GA₂~a1×X|	2	1388
o0900711	c	|GA₂~a2×X|	|GA₂~a2×X|	1	1413
o0900719	s	GAʾAR~a1	GAʾAR~a1	3	1441
o0900720	s	GAʾAR~a2	GAʾAR~a2	8	1443
o0900724	s	GADA~a	GADA~a	25	1450
o0900727	s	GADA~b@g	GADA~b@g	1	1454
o0900729	s	GAL~a	GAL~a	145	1456
o0900730	s	GAL~b	GAL~b	1	1463
o0900733	s	GALGA~b	GALGA~b	3	1467
o0900742	s	GAN~c	GAN~c	18	1477
o0900765	c	|GAN~c×NE~a|	|GAN~c×NE~a|	3	1490
o0900767	c	|GAN~c×SIG₇|	|GAN~c×SIG₇|	1	1492
o0900773	c	|GAN~c×X|	|GAN~c×X|	2	1498
o0900778	s	GAN₂	GAN₂	38	1512
o0900779	s	GAR	GAR	63	1514
o0900783	s	GAR@g~c	GAR@g~c	1	1520
o0900786	s	GARA₂~a	GARA₂~a	24	1524
o0900787	s	GARA₂~b	GARA₂~b	2	1526
o0900790	s	GEŠTIN~a	GEŠTIN~a	1	1530
o0900797	s	GEŠTU~a	GEŠTU~a	7	1540
o0900800	s	GEŠTU~b	GEŠTU~b	19	1547
o0900806	s	GI	GI	146	1555
o0900822	c	|GI&GI|	|GI&GI|	24	1578
o0900829	s	GI₄~a	GI₄~a	4	1592
o0900830	s	GI₄~b	GI₄~b	1	1598
o0900836	s	GI₆	GI₆	32	1602
o0900839	s	GIBIL	GIBIL	19	1607
o0900840	s	GIBIL@t	GIBIL@t	1	1609
o0900848	s	GIR~c	GIR~c	1	1624
o0900851	c	|GIR~b.GIR~b|	|GIR~b.GIR~b|	1	1620
o0900853	c	|GIR~a.KU₆~a|	|GIR~a.KU₆~a|	1	1616
o0900855	s	GIR₂~a	GIR₂~a	4	1628
o0900858	s	GIR₃~a	GIR₃~a	1	1632
o0900860	s	GIR₃~c	GIR₃~c	16	1638
o0900870	s	GIR₃@g~b	GIR₃@g~b	6	1650
o0900871	s	GIR₃@g~c	GIR₃@g~c	1	1652
o0900875	s	GIŠ	GIŠ	41	1660
o0900877	c	|GIŠ.TE|	|GIŠ.TE|	11	1661
o0900883	c	|(GIŠ×ŠU₂)~a|	|GIŠ×ŠU₂~a|	8	1670
o0900884	c	|(GIŠ×ŠU₂)~b|	|GIŠ×ŠU₂~b|	4	1672
o0900885	s	GIŠ@t	GIŠ@t	5	1680
o0900890	s	GIŠ₃~b	GIŠ₃~b	3	1688
o0900892	c	|GIŠ₃~a&GIŠ₃~a|	|GIŠ₃~a&GIŠ₃~a|	2	1685
o0900893	s	GIŠGAL	GIŠGAL	1	1690
o0900897	s	GIŠIMMAR~a2	GIŠIMMAR~a2	1	1695
o0900898	s	GIŠIMMAR~a3	GIŠIMMAR~a3	1	1697
o0900903	s	GIŠIMMAR~b3	GIŠIMMAR~b3	1	1706
o0900905	s	GIZZAL~v	GIZZAL~v	1	1708
o0900906	s	GU	GU	13	1709
o0900908	s	GU₄	GU₄	23	1714
o0900912	s	GU₇	GU₇	82	1725
o0900916	s	GUB₃~a	GUB₃~a	2	1728
o0900917	s	GUB₃~b	GUB₃~b	1	1730
o0900918	s	GUB₃~c	GUB₃~c	2	1732
o0900920	s	GUG₂	GUG₂	31	1738
o0900935	s	GUL	GUL	11	1762
o0900938	s	GUM~b	GUM~b	5	1766
o0900944	s	GUN₃~a	GUN₃~a	12	1772
o0900945	s	GUN₃~b	GUN₃~b	3	1774
o0900955	s	GURUŠDA	GURUŠDA	8	1791
o0900956	s	HAL	HAL	20	1794
o0900958	s	HAŠHUR	HAŠHUR	14	1798
o0900960	s	HI	HI	100	1802
o0900976	s	HI@g~a	HI@g~a	4	1834
o0900977	s	HI@g~b	HI@g~b	1	1836
o0900978	s	HI@g~c	HI@g~c	1	1838
o0900981	s	I	I	4	1842
o0900983	s	IB~a	IB~a	99	1844
o0900988	s	IDIGNA	IDIGNA	7	1855
o0900991	s	IG~a	IG~a	1	1858
o0900992	s	IG~b	IG~b	1	1860
o0900995	s	IL	IL	1	1864
o0901000	s	IM~a	IM~a	5	1868
o0901001	s	IM~b	IM~b	3	1872
o0901005	s	IN~b	IN~b	4	1874
o0901009	s	IR~a	IR~a	3	1879
o0901018	s	IRHAN	IRHAN	1	1890
o0901020	s	IŠ~a	IŠ~a	3	1892
o0901022	s	IŠ~b	IŠ~b	7	1897
o0901028	s	IŠ~c	IŠ~c	1	1904
o0901030	s	KA~a	KA~a	27	1906
o0901033	c	|KA~a.ŠE~a|	|KA~a.ŠE~a|	1	1907
o0901039	s	KA₂~b	KA₂~b	2	1915
o0901043	c	|KA₂~d×LAM~b|	|KA₂×LAM|	9	1920
o0901044	s	KAB	KAB	18	1924
o0901052	s	KAK~a	KAK~a	7	1936
o0901055	c	|KAK~a.GA₂~a1|	|KAK~a.GA₂~a1|	3	1937
o0901058	s	KAL~b1	KAL~b1	1	1944
o0901060	s	KAL~b2	KAL~b2	3	1947
o0901062	s	KALAM~a	KALAM~a	6	1949
o0901063	s	KALAM~b	KALAM~b	17	1951
o0901071	s	KAR	KAR	2	1967
o0901073	s	KAR₂~a	KAR₂~a	22	1969
o0901075	s	KASKAL	KASKAL	11	1973
o0901078	s	KAŠ~a	KAŠ~a	6	1977
o0901080	s	KAŠ~b	KAŠ~b	17	1980
o0901082	s	KAŠ~c	KAŠ~c	18	1988
o0901090	s	KI	KI	107	1995
o0901094	s	KIB	KIB	4	2003
o0901097	s	KID~a	KID~a	5	2007
o0901098	s	KID~b	KID~b	13	2009
o0901099	s	KID~c	KID~c	1	2011
o0901113	s	KISAL~a1	KISAL~a1	1	2032
o0901115	s	KISAL~b1	KISAL~b1	21	2036
o0901122	s	KISIM~a	KISIM~a	32	2044
o0901123	s	KISIM~b	KISIM~b	7	2046
o0901131	s	KIŠIK~a	KIŠIK~a	4	2057
o0901132	s	KIŠIK~b	KIŠIK~b	3	2059
o0901137	s	KU~b1	KU~b1	6	2069
o0901138	s	KU~b2	KU~b2	3	2071
o0901142	s	KU₃~a	KU₃~a	55	2073
o0901145	s	KU₆~a	KU₆~a	45	2078
o0901147	s	KU₆~d	KU₆~d	1	2090
o0901153	c	|KU₆~a+KU₆~a|	|KU₆~a+KU₆~a|	1	2081
o0901155	s	KU₆~a@s	KU₆~a@s	1	2086
o0901158	s	KUR~a	KUR~a	31	2094
o0901164	c	|KUR~a.E₂~a|	|KUR~a.E₂~a|	5	2095
o0901173	s	KUŠU₂~b	KUŠU₂~b	1	2119
o0901179	s	LA~b	LA~b	1	2130
o0901180	s	LA~c	LA~c	1	2132
o0901184	s	LA₂	LA₂	21	2138
o0901186	s	LAGAB~a	LAGAB~a	9	2141
o0901187	s	LAGAB~b	LAGAB~b	30	2203
o0901207	c	|LAGAB~a×KU₆~a|	|LAGAB~a×KU₆~a|	1	2151
o0901239	c	|LAGAB~a×SU~a|	|LAGAB~a×SU~a|	1	2175
o0901251	c	|LAGAB~b×U₄|	|LAGAB~b×U₄|	2	2226
o0901255	c	|LAGAB~a×X|	|LAGAB~a×X|	1	2191
o0901262	s	LAGAR~a	LAGAR~a	1	2236
o0901270	s	LAL₂~a	LAL₂~a	8	2259
o0901279	s	LAL₃~a	LAL₃~a	5	2269
o0901283	s	LAM~a	LAM~a	1	2275
o0901301	s	LI	LI	1	2289
o0901303	s	LIŠ	LIŠ	1	2290
o0901304	s	LU₂	LU₂	12	2292
o0901308	c	|LU₂×GEŠTU~c3|	|LU₂×GEŠTU~c3|	1	2293
o0901312	s	LUM	LUM	1	2304
o0901313	s	MA	MA	30	2306
o0901318	c	|MA×1(N58)|	|MA×1(N58)|	1	2315
o0901325	s	MAH~a	MAH~a	3	2325
o0901335	c	|MAH~a×MAŠ|	|MAH~a×MAŠ|	2	2332
o0901357	c	|MAH~a×X|	|MAH~a×X|	1	2350
o0901361	s	MAR~a	MAR~a	10	2365
o0901363	s	MAR~b	MAR~b	1	2373
o0901375	s	MAR~a@t	MAR~a@t	1	2371
o0901376	s	MAŠ	MAŠ	38	2384
o0901377	s	MAŠ₂	MAŠ₂	22	2386
o0901378	s	MAŠ₂@g	MAŠ₂@g	1	2388
o0901380	s	ME~a	ME~a	74	2391
o0901382	s	ME₃	ME₃	3	2396
o0901390	s	MIR~a	MIR~a	4	2407
o0901391	s	MIR~b	MIR~b	8	2409
o0901392	s	MU	MU	16	2411
o0901393	s	MUD	MUD	36	2413
o0901396	s	MUD₃~a	MUD₃~a	1	2416
o0901399	s	MUD₃~d	MUD₃~d	1	2427
o0901404	s	MUL	MUL	1	2430
o0901407	s	MUN~a1	MUN~a1	3	2432
o0901408	s	MUN~a2	MUN~a2	2	2435
o0901409	s	MUN~a3	MUN~a3	1	2438
o0901416	s	MURUB₂	MURUB₂	3	2450
o0901422	s	MUŠ₃~b	MUŠ₃~b	3	2463
o0901426	s	MUŠEN	MUŠEN	37	2465
o0901437	s	NA~a	NA~a	31	2594
o0901445	s	NA₂~b2	NA₂~b2	4	2609
o0901448	s	NAB	NAB	4	2613
o0901452	s	NAGA~a	NAGA~a	37	2618
o0901455	c	|NAGA~a×TAK₄~a|	|NAGA~a×TAK₄~a|	1	2619
o0901461	s	NAGAR~b	NAGAR~b	9	2630
o0901464	s	NAM~a	NAM~a	1	2634
o0901468	s	NAM₂	NAM₂	71	2642
o0901469	c	|NAM₂×1(N01)|	|NAM₂×1(N01)|	1	2643
o0901470	s	NAM₂@g	NAM₂@g	1	2647
o0901475	s	NANNA~a	NANNA~a	5	2652
o0901477	s	NANNA~b	NANNA~b	2	2653
o0901479	s	NANŠE~a	NANŠE~a	2	2654
o0901480	s	NANŠE~b	NANŠE~b	2	2656
o0901481	s	NAR	NAR	26	2658
o0901483	s	NE~a	NE~a	67	2661
o0901493	s	NESAG₂~a	NESAG₂~a	4	2677
o0901499	s	NESAG₂~b@t	NESAG₂~b@t	1	2685
o0901501	s	NI~a	NI~a	26	2687
o0901502	s	NI~b	NI~b	9	2695
o0901513	s	NI₂	NI₂	13	2704
o0901514	s	NIGIN	NIGIN	2	2706
o0901516	s	NIM~a	NIM~a	4	2708
o0901517	s	NIM~b1	NIM~b1	22	2710
o0901518	s	NIM~b2	NIM~b2	2	2712
o0901524	s	NIN	NIN	26	2721
o0901525	s	NINDA₂	NINDA₂	2	2722
o0901527	c	|NINDA₂×AN|	|NINDA₂×AN|	1	2723
o0901530	c	|NINDA₂×(HI.ME~a)|	|NINDA₂×(HI+ME~a)|	4	2754
o0901533	c	|NINDA₂×(HI.AN.ME~a)|	|NINDA₂×(HI.AN.ME~a)|	3	2752
o0901535	c	|NINDA₂×(AN.ME~a)|	|NINDA₂×(AN.ME~a)|	1	2727
o0901538	c	|NINDA₂×BA|	|NINDA₂×BA|	1	2731
o0901542	c	|NINDA₂×GAʾAR~a1|	|NINDA₂×GAʾAR~a1|	1	2735
o0901548	c	|NINDA₂×HI|	|NINDA₂×HI|	2	2750
o0901551	c	|NINDA₂×(1(N06).HI@g~a)|	|NINDA₂×(HI@g~a.1(N06))|	1	2798
o0901556	c	|NINDA₂×MAR~b|	|NINDA₂×MAR~b|	1	2764
o0901567	c	|NINDA₂×U₄|	|NINDA₂×U₄|	2	2772
o0901568	c	|NINDA₂×(U₄.X)|	|NINDA₂×(U₄.X)|	1	2774
o0901570	c	|NINDA₂×(UDU~a×TAR~a)|	|NINDA₂×((UDU~a×TAR)~a)|	1	2780
o0901571	c	|NINDA₂×(UDU~a×TAR~b)|	|NINDA₂×((UDU~a+TAR)~b)|	1	2782
o0901572	c	|NINDA₂×X|	|NINDA₂×X|	5	2784
o0901580	s	NIR~a	NIR~a	9	2806
o0901581	s	NIR~b	NIR~b	2	2810
o0901583	c	|NIR~a×AN|	|NIR~a×AN|	11	2807
o0901584	s	NU	NU	6	2813
o0901585	s	NU@g	NU@g	2	2815
o0901586	s	NU₁₁	NU₁₁	12	2818
o0901590	s	NUMUN₂	NUMUN₂	2	2826
o0901592	s	NUN~a	NUN~a	194	2828
o0901593	s	NUN~b	NUN~b	3	2843
o0901614	s	NUNUZ~a1	NUNUZ~a1	38	2858
o0901616	s	NUNUZ~b1	NUNUZ~b1	1	2865
o0901617	s	NUNUZ~b2	NUNUZ~b2	1	2867
o0901618	s	NUNUZ~c	NUNUZ~c	7	2869
o0901636	s	PAD~a	PAD~a	18	2889
o0901639	s	PAP~a	PAP~a	153	2893
o0901648	s	PIRIG~b1	PIRIG~b1	30	2909
o0901649	s	PIRIG~b2	PIRIG~b2	1	2918
o0901656	s	PU₂	PU₂	3	2920
o0901657	s	RA	RA	1	2924
o0901659	s	RAD~a	RAD~a	21	2926
o0901660	s	RAD~b	RAD~b	2	2932
o0901662	s	RAD~a@g	RAD~a@g	1	2928
o0901668	s	RI₈~a	RI₈~a	6	2936
o0901674	s	SA~a	SA~a	10	2947
o0901675	s	SA~c	SA~c	4	2949
o0901694	s	SAG@g	SAG@g	1	2979
o0901695	s	SAG@n	SAG@n	2	2981
o0901696	s	SAGŠU	SAGŠU	6	2983
o0901697	s	SAL	SAL	140	2985
o0901699	c	|SAL.KUR~a|	|SAL.KUR~a|	9	2986
o0901704	c	|SAL×1(N58)|	|SAL×1(N58)|	2	2993
o0901718	s	SAR~a	SAR~a	26	3020
o0901720	s	SAR~c	SAR~c	2	3026
o0901723	c	|SAR~a×ŠE~a|	|SAR~a×ŠE~a|	10	3021
o0901739	s	SI₄~a	SI₄~a	19	3049
o0901744	s	SI₄~f	SI₄~f	1	3058
o0901746	s	SIG	SIG	20	3061
o0901751	s	SIG₂~a1	SIG₂~a1	12	3070
o0901752	s	SIG₂~a2	SIG₂~a2	4	3072
o0901753	s	SIG₂~a3	SIG₂~a3	4	3076
o0901757	s	SIG₂~b	SIG₂~b	51	3082
o0901765	s	SIG₂~e	SIG₂~e	3	3102
o0901769	c	|SIG₂~b&SIG₂~b|	|SIG₂~b.SIG₂~b|	2	3086
o0901771	s	SIG₇	SIG₇	14	3106
o0901775	s	SILA₃~a	SILA₃~a	22	3110
o0901777	s	SILA₃~c	SILA₃~c	1	3203
o0901792	c	|SILA₃~a×GARA₂~a|	|SILA₃~a×GARA₂~a|	8	3125
o0901796	c	|SILA₃~a×GEŠTU~c5|	|SILA₃~a×GEŠTU~c5|	1	3131
o0901800	c	|SILA₃~a×HAŠHUR|	|SILA₃~a×HAŠHUR|	1	3133
o0901802	c	|SILA₃~a×HI|	|SILA₃~a×HI|	3	3135
o0901810	c	|SILA₃~a×KAŠ~d|	|SILA₃~a×KAŠ~d|	1	3145
o0901812	c	|SILA₃~a×KU₆~a|	|SILA₃~a×KU₆~a|	4	3147
o0901814	c	|SILA₃~a×KUR~a|	|SILA₃~a×KUR~a|	1	3149
o0901822	c	|SILA₃~a×1(N57)|	|SILA₃~a×1(N57)|	1	3186
o0901826	c	|SILA₃~a×NAGA~a|	|SILA₃~a×NAGA~a|	1	3157
o0901829	c	|SILA₃~a×NI~a|	|SILA₃~a×NI~a|	3	3159
o0901830	c	|SILA₃~b×NI~a|	|SILA₃~b×NI~a|	1	3198
o0901832	c	|SILA₃~d×NI~a|	|SILA₃~d×NI~a|	1	3210
o0901834	c	|SILA₃~a×NUN~b|	|SILA₃~a×NUN~b|	1	3161
o0901843	c	|SILA₃~a×ŠE~a@t|	|SILA₃~a×ŠE~a@t|	7	3171
o0901845	c	|SILA₃~a×ŠU|	|SILA₃~a×ŠU|	11	3173
o0901848	c	|SILA₃~a×ŠU₂|	|SILA₃~a×ŠU₂|	1	3175
